1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,7228,385,-444,0,0,-113,942,6744,553,414,-247,6024,75,25,50,24,0,7228,4429,2143,1637,506,119,414,256,36,80,65,0,19,-2,88,0,-30,0,-335,-335,0,202
1952:Q1,-1621,-814,-228,0,0,14,-600,-855,2201,315,-33,-3338,40,14,26,8,0,-1621,-896,-1335,-1348,13,3208,315,-64,13,-70,1,0,5,-10,5,0,-8,0,-5,-5,0,-2844
1952:Q2,1593,1054,327,0,0,6,721,496,277,-21,106,134,34,11,23,9,0,1593,-1752,1180,1339,-159,30,-21,82,19,62,-9,0,5,10,6,0,-11,0,123,123,0,1951
1952:Q3,1897,195,-78,0,0,186,87,1731,343,-437,312,1513,-38,-14,-24,9,0,1897,2811,346,548,-202,115,-451,-10,23,-12,-9,0,5,-8,6,0,-15,0,484,484,0,-1398
1952:Q4,4660,904,121,0,0,-180,963,3735,-1239,525,-177,4626,16,5,11,5,0,4660,1978,122,243,-121,-982,480,110,27,81,-2,0,5,15,6,0,-22,0,-352,-352,0,3304
1953:Q1,-4197,-1023,-346,0,0,-47,-630,-3470,589,86,-119,-4026,294,-3,297,2,0,-4197,755,-3136,-3052,-84,802,39,-129,23,-156,9,0,6,4,4,0,-19,0,-169,-169,0,-2359
1953:Q2,-1950,582,78,0,0,19,485,-2254,-1896,354,-68,-644,-277,2,-279,-1,0,-1950,-3237,2048,2121,-73,-2223,305,-14,18,-42,18,0,9,-2,5,0,-20,0,-47,-47,0,1218
1953:Q3,3574,609,534,0,0,-15,90,2981,2236,-518,-39,1302,-16,-1,-15,0,0,3574,2628,114,155,-41,2753,-574,121,11,82,19,0,9,13,5,0,-18,0,-55,-55,0,-1413
1953:Q4,2605,-261,-818,0,0,-87,644,2845,-1724,714,-101,3956,20,7,13,1,0,2605,1138,687,685,2,-2864,645,221,3,185,10,0,7,28,5,0,-17,0,-181,-181,0,2959
1954:Q1,-5014,-693,434,0,0,65,-1192,-4335,914,399,-54,-5594,7,-1,8,7,0,-5014,-1569,-2785,-2844,59,1866,340,-196,-4,-155,2,0,4,-53,9,0,1,0,10,10,0,-2680
1954:Q2,2170,388,145,0,0,58,185,1755,531,-21,51,1194,17,5,12,10,0,2170,-984,1772,1648,124,451,-47,57,-11,41,-5,0,2,5,9,0,16,0,114,114,0,807
1954:Q3,1356,-332,-121,0,0,-41,-170,1665,-1471,-947,-221,4304,11,2,9,12,0,1356,4228,1545,1406,139,-2068,-928,30,-16,10,-5,0,0,24,-12,0,29,0,-260,-260,0,-1191
1954:Q4,6127,724,-206,0,0,-18,948,5352,52,925,351,4024,41,13,28,10,0,6127,405,1672,1569,103,-588,1006,113,-21,129,-1,0,-1,-3,-26,0,36,0,346,346,0,3173
1955:Q1,-4459,-919,321,0,0,-108,-1132,-3539,-102,-113,-235,-3089,-10,-5,-5,9,0,-4459,-313,-1435,-1515,80,-3,-52,-156,-7,-179,10,0,-3,-10,11,0,22,0,-348,-348,0,-2152
1955:Q2,1251,149,-488,0,0,-3,640,1068,1008,489,66,-495,27,9,18,7,0,1251,-2390,1011,942,69,1423,454,70,3,28,18,0,-6,2,23,0,2,0,72,72,0,611
1955:Q3,685,-58,111,0,0,1,-170,743,-858,-735,-51,2387,-9,-4,-5,9,0,685,3493,614,548,66,-808,-874,111,12,71,19,0,-6,-5,37,0,-17,0,-54,-54,0,-1797
1955:Q4,4854,981,-142,0,0,25,1098,3849,-511,730,126,3504,11,3,8,13,0,4854,380,1046,978,68,-882,491,174,17,105,11,0,-5,33,47,0,-34,0,154,154,0,3491
1956:Q1,-3436,-1050,138,0,0,-60,-1128,-2413,2461,362,106,-5342,11,4,7,16,0,-3436,-664,-3105,-3142,37,2481,103,-262,6,-215,4,0,1,-40,4,0,-22,0,50,50,0,-2039
1956:Q2,250,1042,-9,0,0,-43,1094,-840,-938,818,74,-794,29,10,19,19,0,250,-1424,856,837,19,-600,619,5,-9,36,-2,0,3,-16,-1,0,-6,0,41,41,0,753
1956:Q3,-50,-780,73,0,0,28,-881,680,-122,-1569,-98,2469,28,10,18,22,0,-50,2702,335,300,35,-217,-1715,-3,-25,-2,-3,0,5,12,-1,0,11,0,-60,-60,0,-1092
1956:Q4,5158,812,-147,0,0,-9,968,4305,-1377,565,195,4922,15,4,11,26,0,5158,1224,1793,1713,80,-1952,465,235,-40,197,1,0,7,44,1,0,25,0,190,190,0,3203
1957:Q1,-3630,-858,85,0,0,27,-970,-2791,2652,37,-323,-5157,-12,-1,-11,31,0,-3630,-1069,-2468,-2588,120,3226,-70,-230,-27,-207,9,0,10,-47,11,0,21,0,-297,-297,0,-2722
1957:Q2,-929,638,-45,0,0,110,573,-1621,-1895,1170,508,-1404,18,8,10,36,0,-929,-2137,837,698,139,-1768,1003,108,-11,68,15,0,14,7,6,0,9,0,626,626,0,402
1957:Q3,1685,-148,129,0,0,-82,-195,1764,1840,-1899,-2,1825,32,0,32,37,0,1685,2639,789,612,177,1500,-2142,36,7,8,15,0,14,-11,7,0,-4,0,-84,-84,0,-1053
1957:Q4,2396,404,-143,0,0,-15,562,1917,-2432,936,117,3296,41,2,39,34,0,2396,-332,1542,1312,230,-2822,599,205,23,142,12,0,9,32,4,0,-17,0,104,104,0,3100
