date,FA893140005.Q,FA313140003.Q,FA543140005.Q,FA263140005.Q,FA893140005.Q,FA153040005.Q,FA763040005.Q,FA543040005.Q,FA733040005.Q,FA543141905.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,3800,1165,2635,0,3800,3800,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3150,605,2545,0,3150,3150,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,2843,213,2630,0,2843,2843,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,2751,84,2667,0,2751,2751,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,2945,309,2636,0,2945,2945,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q3,4628,104,4524,0,4628,4628,0,0,0,0
1966:Q4,4884,96,4788,0,4884,4884,0,0,0,0
1967:Q1,5060,96,4964,0,5060,5060,0,0,0,0
1967:Q2,4948,96,4852,0,4948,4948,0,0,0,0
1967:Q3,4968,80,4888,0,4968,4968,0,0,0,0
1967:Q4,4884,48,4836,0,4884,4884,0,0,0,0
1968:Q1,4808,8,4800,0,4808,4808,0,0,0,0
1968:Q2,4736,-32,4768,0,4736,4736,0,0,0,0
1968:Q3,4756,-32,4788,0,4756,4756,0,0,0,0
1968:Q4,4852,0,4852,0,4852,4852,0,0,0,0
1969:Q1,4948,44,4904,0,4948,4948,0,0,0,0
1969:Q2,5012,80,4932,0,5012,5012,0,0,0,0
1969:Q3,5076,88,4988,0,5076,5076,0,0,0,0
1969:Q4,5116,52,5064,0,5116,5116,0,0,0,0
1970:Q1,5364,276,5088,0,5364,5364,0,0,0,0
1970:Q2,5100,48,5052,0,5100,5100,0,0,0,0
1970:Q3,5264,44,5220,0,5264,5264,0,0,0,0
1970:Q4,5632,56,5576,0,5632,5632,0,0,0,0
1971:Q1,5996,68,5928,0,5996,5996,0,0,0,0
1971:Q2,6336,72,6264,0,6336,6336,0,0,0,0
1971:Q3,6520,76,6444,0,6520,6520,0,0,0,0
1971:Q4,6552,68,6484,0,6552,6552,0,0,0,0
1972:Q1,6676,120,6556,0,6676,6676,0,0,0,0
1972:Q2,6824,156,6668,0,6824,6824,0,0,0,0
1972:Q3,6940,168,6772,0,6940,6940,0,0,0,0
1972:Q4,7056,164,6892,0,7056,7056,0,0,0,0
1973:Q1,7216,172,7044,0,7216,7216,0,0,0,0
1973:Q2,7416,188,7228,0,7416,7416,0,0,0,0
1973:Q3,7452,184,7268,0,7452,7452,0,0,0,0
1973:Q4,7304,156,7148,0,7304,7304,0,0,0,0
1974:Q1,7128,132,6996,0,7128,7128,0,0,0,0
1974:Q2,6928,108,6820,0,6928,6928,0,0,0,0
1974:Q3,7016,104,6912,0,7016,7016,0,0,0,0
1974:Q4,7404,116,7288,0,7404,7404,0,0,0,0
1975:Q1,12188,4576,7612,0,12188,12188,0,0,0,0
1975:Q2,9396,1516,7880,0,9396,9396,0,0,0,0
1975:Q3,8236,156,8080,0,8236,8236,0,0,0,0
1975:Q4,11080,2876,8204,0,11080,11080,0,0,0,0
1976:Q1,7952,-396,8348,0,7952,7952,0,0,0,0
1976:Q2,9840,1336,8504,0,9840,9840,0,0,0,0
1976:Q3,8884,212,8672,0,8884,8884,0,0,0,0
1976:Q4,10104,1244,8860,0,10104,10104,0,0,0,0
1977:Q1,9200,208,8992,0,9200,9200,0,0,0,0
1977:Q2,9728,668,9060,0,9728,9728,0,0,0,0
1977:Q3,9740,396,9344,0,9740,9740,0,0,0,0
1977:Q4,11256,1412,9844,0,11256,11256,0,0,0,0
1978:Q1,10624,212,10412,0,10624,10624,0,0,0,0
1978:Q2,12272,1224,11048,0,12272,12272,0,0,0,0
1978:Q3,11456,268,11188,0,11456,11456,0,0,0,0
1978:Q4,11880,1056,10824,0,11880,11880,0,0,0,0
1979:Q1,10528,-72,10600,0,10528,10528,0,0,0,0
1979:Q2,11572,1052,10520,0,11572,11572,0,0,0,0
1979:Q3,10384,8,10376,0,10384,10384,0,0,0,0
1979:Q4,11240,1084,10156,0,11240,11240,0,0,0,0
1980:Q1,9832,-128,9960,0,9832,9832,0,0,0,0
1980:Q2,10752,976,9776,0,10752,10752,0,0,0,0
1980:Q3,9668,72,9596,0,9668,9668,0,0,0,0
1980:Q4,10740,1340,9400,0,10740,10740,0,0,0,0
1981:Q1,9168,-128,9296,0,9168,9168,0,0,0,0
1981:Q2,10596,1336,9260,0,10596,10596,0,0,0,0
1981:Q3,8824,-96,8920,0,8824,8824,0,0,0,0
1981:Q4,9712,1440,8272,0,9712,9712,0,0,0,0
1982:Q1,7668,140,7528,0,7668,7668,0,0,0,0
1982:Q2,8136,1456,6680,0,8136,8136,0,0,0,0
1982:Q3,6580,40,6540,0,6580,6580,0,0,0,0
1982:Q4,8852,1748,7104,0,8852,8852,0,0,0,0
1983:Q1,7652,112,7540,0,7652,7652,0,0,0,0
1983:Q2,9472,1620,7852,0,9472,9472,0,0,0,0
1983:Q3,8172,208,7964,0,8172,8172,0,0,0,0
1983:Q4,9776,1892,7884,0,9776,9776,0,0,0,0
1984:Q1,5032,344,4688,0,5032,5032,0,0,0,0
1984:Q2,6080,1816,4264,0,6080,6080,0,0,0,0
1984:Q3,5424,212,5212,0,5424,5424,0,0,0,0
1984:Q4,7612,1964,5648,0,7612,7612,0,0,0,0
1985:Q1,8440,144,8296,0,8440,8440,0,0,0,0
1985:Q2,11372,1876,9496,0,11372,11372,0,0,0,0
1985:Q3,11252,224,11028,0,11252,11252,0,0,0,0
1985:Q4,15068,2188,12880,0,15068,15068,0,0,0,0
1986:Q1,15704,120,15584,0,15704,15704,0,0,0,0
1986:Q2,18364,1984,16380,0,18364,18364,0,0,0,0
1986:Q3,18272,292,17980,0,18272,18272,0,0,0,0
1986:Q4,20636,1772,18864,0,20636,20636,0,0,0,0
1987:Q1,28260,508,27752,0,28260,28260,0,0,0,0
1987:Q2,25528,1956,23572,0,25528,25528,0,0,0,0
1987:Q3,29224,4124,25100,0,29224,29224,0,0,0,0
1987:Q4,41912,-1768,43680,0,41912,41912,0,0,0,0
1988:Q1,23844,84,23760,0,23844,23844,0,0,0,0
1988:Q2,28856,2080,26776,0,28856,28856,0,0,0,0
1988:Q3,24600,148,24452,0,24600,24600,0,0,0,0
1988:Q4,34016,2380,31636,0,34016,34016,0,0,0,0
1989:Q1,15312,88,15224,0,15312,15312,0,0,0,0
1989:Q2,34224,2108,32116,0,34224,34224,0,0,0,0
1989:Q3,22692,-32,22724,0,22692,22692,0,0,0,0
1989:Q4,45668,2464,43204,0,45668,45668,0,0,0,0
1990:Q1,26724,-16,26740,0,26724,26724,0,0,0,0
1990:Q2,30944,2192,28752,0,30944,30944,0,0,0,0
1990:Q3,29164,140,29024,0,29164,29164,0,0,0,0
1990:Q4,25784,2436,23348,0,25784,25784,0,0,0,0
1991:Q1,24832,244,24588,0,24832,24832,0,0,0,0
1991:Q2,35132,2288,32844,0,35132,35132,0,0,0,0
1991:Q3,18484,-436,18920,0,18484,18484,0,0,0,0
1991:Q4,26004,2688,23316,0,26004,26004,0,0,0,0
1992:Q1,30112,-464,30576,0,30112,30112,0,0,0,0
1992:Q2,18636,2452,16184,0,18636,18636,0,0,0,0
1992:Q3,38100,668,37432,0,38100,38100,0,0,0,0
1992:Q4,32320,3100,29220,0,32320,32320,0,0,0,0
1993:Q1,31116,12,31104,0,31116,31116,0,0,0,0
1993:Q2,36376,2560,33816,0,36376,36376,0,0,0,0
1993:Q3,37144,276,36868,0,37144,37144,0,0,0,0
1993:Q4,38400,2724,35676,0,38400,38400,0,0,0,0
1994:Q1,27860,24,27836,0,27860,27860,0,0,0,0
1994:Q2,28948,2716,26232,0,28948,28948,0,0,0,0
1994:Q3,69884,392,69492,0,69884,69884,0,0,0,0
1994:Q4,25168,1940,23228,0,25168,25168,0,0,0,0
1995:Q1,46088,200,45888,0,46088,46088,0,0,0,0
1995:Q2,55452,1724,53728,0,55452,55452,0,0,0,0
1995:Q3,31088,296,30792,0,31088,31088,0,0,0,0
1995:Q4,37624,1856,35768,0,37624,37624,0,0,0,0
1996:Q1,14720,368,14352,0,14720,14720,0,0,0,0
