date,FL344090055.Q,LM344022025.Q,LM343061113.Q,LM343061723.Q,LM343063023.Q,FL343069055.Q,LM343064125.Q,FL344090055.Q
1945:Q4,0,0,0,0,0,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,0,0,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,0,0,0,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1973:Q1,0,0,0,0,0,0,0,0
1973:Q2,0,0,0,0,0,0,0,0
1973:Q3,0,0,0,0,0,0,0,0
1973:Q4,0,0,0,0,0,0,0,0
1974:Q1,0,0,0,0,0,0,0,0
1974:Q2,0,0,0,0,0,0,0,0
1974:Q3,0,0,0,0,0,0,0,0
1974:Q4,0,0,0,0,0,0,0,0
1975:Q1,0,0,0,0,0,0,0,0
1975:Q2,0,0,0,0,0,0,0,0
1975:Q3,0,0,0,0,0,0,0,0
1975:Q4,0,0,0,0,0,0,0,0
1976:Q1,0,0,0,0,0,0,0,0
1976:Q2,0,0,0,0,0,0,0,0
1976:Q3,0,0,0,0,0,0,0,0
1976:Q4,0,0,0,0,0,0,0,0
1977:Q1,0,0,0,0,0,0,0,0
1977:Q2,0,0,0,0,0,0,0,0
1977:Q3,0,0,0,0,0,0,0,0
1977:Q4,0,0,0,0,0,0,0,0
1978:Q1,0,0,0,0,0,0,0,0
1978:Q2,0,0,0,0,0,0,0,0
1978:Q3,0,0,0,0,0,0,0,0
1978:Q4,0,0,0,0,0,0,0,0
1979:Q1,0,0,0,0,0,0,0,0
1979:Q2,0,0,0,0,0,0,0,0
1979:Q3,0,0,0,0,0,0,0,0
1979:Q4,0,0,0,0,0,0,0,0
1980:Q1,0,0,0,0,0,0,0,0
1980:Q2,0,0,0,0,0,0,0,0
1980:Q3,0,0,0,0,0,0,0,0
1980:Q4,0,0,0,0,0,0,0,0
1981:Q1,0,0,0,0,0,0,0,0
1981:Q2,0,0,0,0,0,0,0,0
1981:Q3,0,0,0,0,0,0,0,0
1981:Q4,0,0,0,0,0,0,0,0
1982:Q1,0,0,0,0,0,0,0,0
1982:Q2,0,0,0,0,0,0,0,0
1982:Q3,0,0,0,0,0,0,0,0
1982:Q4,0,0,0,0,0,0,0,0
1983:Q1,0,0,0,0,0,0,0,0
1983:Q2,0,0,0,0,0,0,0,0
1983:Q3,0,0,0,0,0,0,0,0
1983:Q4,0,0,0,0,0,0,0,0
1984:Q1,0,0,0,0,0,0,0,0
1984:Q2,0,0,0,0,0,0,0,0
1984:Q3,0,0,0,0,0,0,0,0
1984:Q4,0,0,0,0,0,0,0,0
1985:Q1,0,0,0,0,0,0,0,0
1985:Q2,0,0,0,0,0,0,0,0
1985:Q3,0,0,0,0,0,0,0,0
1985:Q4,0,0,0,0,0,0,0,0
1986:Q1,0,0,0,0,0,0,0,0
1986:Q2,0,0,0,0,0,0,0,0
1986:Q3,0,0,0,0,0,0,0,0
1986:Q4,0,0,0,0,0,0,0,0
1987:Q1,0,0,0,0,0,0,0,0
1987:Q2,390,0,0,0,0,390,0,390
1987:Q3,727,0,0,0,0,727,0,727
1987:Q4,1086,0,0,0,0,1086,0,1086
1988:Q1,1435,1,1,0,0,1434,0,1435
1988:Q2,1846,2,2,0,0,1844,0,1846
1988:Q3,2273,4,4,0,0,2264,5,2273
1988:Q4,2739,7,5,0,2,2725,7,2739
1989:Q1,3241,12,7,0,5,3211,18,3241
1989:Q2,3788,17,9,0,8,3744,27,3788
1989:Q3,4321,22,11,0,11,4257,42,4321
1989:Q4,4926,30,14,0,16,4841,55,4926
1990:Q1,5541,43,18,0,25,5409,89,5541
1990:Q2,6254,58,23,0,35,6073,123,6254
1990:Q3,6928,76,33,0,43,6710,142,6928
1990:Q4,7911,134,44,0,90,7437,340,7911
1991:Q1,8630,186,69,0,117,7995,449,8630
1991:Q2,9400,223,93,0,130,8703,474,9400
1991:Q3,10204,287,120,20,147,9248,669,10204
1991:Q4,11398,364,152,45,167,9989,1045,11398
1992:Q1,12284,449,187,79,183,10450,1385,12284
1992:Q2,13425,533,222,107,204,11196,1696,13425
1992:Q3,14499,661,276,151,234,11837,2001,14499
1992:Q4,15813,744,311,183,250,12654,2415,15813
1993:Q1,17022,858,358,222,278,13235,2929,17022
1993:Q2,18260,1001,421,275,305,13966,3293,18260
1993:Q3,19602,1202,504,343,355,14621,3779,19602
1993:Q4,21020,1311,550,383,378,15311,4398,21020
1994:Q1,21954,1407,593,424,390,15755,4792,21954
1994:Q2,23082,1405,594,426,385,16498,5179,23082
1994:Q3,24860,1439,608,440,391,17589,5832,24860
1994:Q4,26106,1411,596,430,385,18516,6179,26106
1995:Q1,28490,1502,633,461,408,19817,7171,28490
1995:Q2,30782,1643,694,504,445,20631,8508,30782
1995:Q3,32886,1732,733,533,466,21208,9946,32886
1995:Q4,35060,1907,809,589,509,21694,11459,35060
1996:Q1,37268,1972,837,620,515,22175,13121,37268
1996:Q2,39766,1961,830,621,510,22841,14964,39766
