1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1591,0,0,0,673,0,17,231,261,0,0,0,164,194,17,177,239,-471,0,0,710,0,101,101,0,0,0,0,0,203,0,3,200,0,-71,-71,0,-78,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,211,23,0,0,0,0,0,0,0,0,0,0
1952:Q1,-231,0,0,0,172,0,-14,101,-45,0,0,0,130,42,5,37,99,0,0,0,99,0,-322,-322,0,0,0,0,0,35,0,1,34,0,1,1,0,-145,-145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,-73,-8,0,0,0,0,0,0,0,0,0,0
1952:Q2,808,0,0,0,269,0,-16,69,73,0,0,0,143,39,5,34,315,-71,0,0,386,0,64,64,0,0,0,0,0,35,0,1,34,0,32,32,0,-53,-53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,134,15,0,0,0,0,0,0,0,0,0,0
1952:Q3,974,0,0,0,362,0,15,34,136,0,0,0,177,36,0,36,441,16,0,0,425,0,62,62,0,0,0,0,0,-25,0,-0,-25,0,11,11,0,-18,-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,60,7,0,0,0,0,0,0,0,0,0,0
1952:Q4,947,0,0,0,198,0,36,23,158,0,0,0,-19,20,4,16,195,147,0,0,48,0,149,149,0,0,0,0,0,-23,0,-1,-22,0,37,37,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,266,30,0,0,0,0,0,0,0,0,0,0
1953:Q1,669,0,0,0,156,0,22,182,-225,0,0,0,177,51,6,45,408,348,0,0,60,0,-253,-253,0,0,0,0,0,-87,0,-2,-85,0,163,163,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,221,25,0,0,0,0,0,0,0,0,0,0
1953:Q2,733,0,0,0,344,4,14,6,-74,0,0,0,394,53,5,48,70,-263,0,0,333,0,107,107,0,0,0,0,0,39,0,2,37,0,189,189,0,-98,-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,50,6,0,0,0,0,0,0,0,0,0,0
1953:Q3,796,0,0,0,572,2,18,32,3,0,0,0,517,49,5,44,103,5,0,0,98,0,83,83,0,0,0,0,0,-25,0,-1,-24,0,-65,-65,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,-29,-3,0,0,0,0,0,0,0,0,0,0
1953:Q4,434,0,0,0,170,2,-51,66,-68,0,0,0,221,67,3,64,147,108,0,0,39,0,151,151,0,0,0,0,0,-137,0,-4,-133,0,77,77,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-144,-130,-14,0,0,0,0,0,0,0,0,0,0
1954:Q1,19,0,0,0,-22,3,-43,136,-104,0,0,0,-14,65,7,58,70,50,0,0,20,0,-322,-322,0,0,0,0,0,37,0,2,35,0,22,22,0,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,76,8,0,0,0,0,0,0,0,0,0,0
