date,FA156000105.A,FA146000105.A,FA316000105.A,FA216000105.A,FA386000105.A,FA796000105.A,FA266000105.A,FA896000105.A,FA156300005.A,FA146300005.A,FA316300001.A,FA216300001.A,FA386300005.A,FA796330005.A,FA886300005.A,FA156006305.A,FA146006305.A,FA316006305.A,FA216006305.A,FA386006305.A,FA796006305.A,FA266000105.A,FA896006305.A,FA155090005.A,FA145090005.A,FA315090005.A,FA215090005.A,FA385090005.A,FA795090005.A,FA265090005.A,FA895090005.A,FA907005005.A,FA155050005.A,FA145050005.A,FA315050005.A,FA215050005.A,FA385050005.A,FA795013005.A,FA265420005.A,FA895050005.A,FA906000105.A,FA155111003.A,FA155111003.A,FA155111003.A,FA155012005.A,FA145012005.A,FA315012065.A,FA215012063.A,FA385012005.A,FA885012005.A,FA165013005.A,FA145013005.A,FA315013005.A,FA215013005.A,FA385013005.A,FA795013005.A,FA885013005.A,FA145020005.A,FA145020005.A,FA145020005.A,FA155420003.A,FA105420005.A,FA315420003.A,FA215420003.A,FA385420005.A,FA265420005.A,FA155000005.A,FA145000005.A,FA315000005.A,FA215000005.A,FA385000005.A,FA795000005.A,FA265000005.A,FA895000005.A,FA905000005.A,FA154090005.A,FA144090005.A,FA314090005.A,FA214090005.A,FA384090005.A,FA794090005.A,FA264090005.A,FA894090005.A,FA154190005.A,FA144194005.A,FA314190005.A,FA214190005.A,FA384194005.A,FA794194005.A,FA264194005.A,FA894194005.A,FA313011005.A,FA313111303.A,FA313011005.A,FA313111303.A,FA713011005.A,FA263011005.A,FA263111005.A,FA893011005.A,FA893111005.A,FA713014003.A,FA713014003.A,FA713014003.A,FA713014003.A,FA713014003.A,FA313112003.A,FA313112003.A,FA713012003.A,FA713012003.A,FA313112003.A,FA903012005.A,FA153091003.A,FA103091003.A,FA383091005.A,FA793091005.A,FA263191005.A,FA893091005.A,FA263191005.A,FA903091005.A,FA794010005.A,FA794110005.A,FA264016005.A,FA894010005.A,FA794110005.A,FA904010005.A,FA153020005.A,FA143020005.A,FA313020005.A,FA213020005.A,FA383020005.A,FA793020005.A,FA793120005.A,FA263020005.A,FA893020005.A,FA793120005.A,FA903020005.A,FA153030005.A,FA143030005.A,FA313030003.A,FA213030000.A,FA383030005.A,FA793030005.A,FA703130005.A,FA263030005.A,FA703130005.A,FA703130005.A,FA153034005.A,FA143034005.A,FA213034003.A,FA383034005.A,FA793034005.A,FA634090005.A,FA263034003.A,FA634090005.A,FA634090005.A,FA102051003.A,FA212051003.A,FA382051005.A,FA792050005.A,FA792150005.A,FA262051005.A,FA262151003.A,FA892050005.A,FA892150005.A,FA902050005.A,FA154022005.A,FA163162003.A,FA144022005.A,FA104122005.A,FA314022005.A,FA314122005.A,FA214022005.A,FA213162005.A,FA384022005.A,FA384122005.A,FA794022005.A,FA794122005.A,FA264022005.A,FA264122005.A,FA894122005.A,FA894122005.A,FA103069100.A,FA103169100.A,FA213069103.A,FA383069105.A,FA103169100.A,FA793069175.A,FA793169175.A,FA263069103.A,FA263169105.A,FA893169175.A,FA893169175.A,FA153061105.A,FA143061105.A,FA313161105.A,FA213061103.A,FA383061105.A,FA313161105.A,FA793061105.A,FA263061105.A,FA313161105.A,FA313161105.A,FA153061705.A,FA103061703.A,FA313061703.A,FA313161705.A,FA213061703.A,FA383061705.A,FA313161705.A,FA793061705.A,FA423161705.A,FA263061705.A,FA893161705.A,FA893161705.A,FA153062005.A,FA163162003.A,FA143062005.A,FA103162000.A,FA213062003.A,FA213162005.A,FA383062005.A,FA383162005.A,FA793062005.A,FA263062003.A,FA383162005.A,FA383162005.A,FA153063005.A,FA123063003.A,FA103163005.A,FA313063763.A,FA213063003.A,FA383063005.A,FA103163005.A,FA793063005.A,FA793163005.A,FA263063005.A,FA263163005.A,FA893063005.A,FA893163005.A,FA154023005.A,FA154123005.A,FA144023005.A,FA144123005.A,FA314023005.A,FA314123005.A,FA214023005.A,FA213169203.A,FA384023005.A,FA384123005.A,FA794023005.A,FA794123005.A,FA263069005.A,FA264123005.A,FA894123005.A,FA894123005.A,FA153168005.A,FA143168005.A,FA383168005.A,FA793068005.A,FA793168005.A,FA263168005.A,FA793068005.A,FA793068005.A,FA153069005.A,FA153169005.A,FA143169005.A,FA313069005.A,FA313169005.A,FA213069200.A,FA213169203.A,FA383069005.A,FA383169005.A,FA793069005.A,FA793169005.A,FA263069005.A,FA263169005.A,FA893169005.A,FA893169005.A,FA153065005.A,FA153165005.A,FA143065005.A,FA143165005.A,FA313065005.A,FA313165403.A,FA213065005.A,FA383065005.A,FA383165005.A,FA793065005.A,FA893065005.A,FA893065005.A,FA163066223.A,FA153166000.A,FA143066005.A,FA313066220.A,FA383066005.A,FA153166000.A,FA793066005.A,FA153166000.A,FA153166000.A,FA103092305.A,FA103092305.A,FA793092305.A,FA263192305.A,FA263192305.A,FA263192305.A,FA143192305.A,FA143192305.A,FA793192305.A,FA263092305.A,FA263092305.A,FA263092305.A,FA153064105.A,FA103064103.A,FA103164105.A,FA313064105.A,FA213064103.A,FA383064105.A,FA103164105.A,FA793064105.A,FA793164105.A,FA263064105.A,FA263164100.A,FA893064105.A,FA893064105.A,FA103092105.A,FA103092105.A,FA793092105.A,FA263192101.A,FA263192101.A,FA263192101.A,FA143192105.A,FA143192105.A,FA793192105.A,FA263092101.A,FA263092101.A,FA263092101.A,FA153081115.A,FA143092405.A,FA112090205.A,FA313081115.A,FA383094905.A,FA112090205.A,FA793094905.A,FA793194905.A,FA313092803.A,FA893194905.A,FA893194905.A,FA153064205.A,FA103064203.A,FA213064203.A,FA383064205.A,FA793064205.A,FA653164205.A,FA263064203.A,FA653164205.A,FA653164205.A,FA153040005.A,FA313140003.A,FA153040005.A,FA313140003.A,FA793040005.A,FA543140005.A,FA543141905.A,FA263140005.A,FA893140005.A,FA893140005.A,FA153050005.A,FA153050005.A,FA543050005.A,FA583150005.A,FA543151905.A,FA263150005.A,FA893150005.A,FA893150005.A,FA163070005.A,FA163170005.A,FA143070005.A,FA143170005.A,FA313070000.A,FA313170005.A,FA213070003.A,FA213170003.A,FA383070005.A,FA383170005.A,FA793070005.A,FA793170005.A,FA263070005.A,FA263170005.A,FA893070005.A,FA893170005.A,FA903070005.A,FA143178005.A,FA313078000.A,FA213078005.A,FA383078005.A,FA143178005.A,FA793178005.A,FA893078005.A,FA893178005.A,FA903078005.A,FA153090005.A,FA543077073.A,FA143090005.A,FA143190005.A,FA313091105.A,FA313190005.A,FA213093003.A,FA223073045.A,FA383090005.A,FA383190005.A,FA793090005.A,FA793190005.A,FA263090005.A,FA263190005.A,FA893090005.A,FA893190005.A,FA903090005.A,FA157005005.A,FA107005005.A,FA317005005.A,FA217005005.A,FA387005005.A,FA797005005.A,FA267005005.A,FA897005005.A,FA907005005.A
1945,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946,38126,14016,1108,2612,55862,1526,-4917,52471,12997,11683,9952,1571,36203,294,36497,25129,2333,-8844,1041,19659,1232,-4917,15974,40078,8193,7485,1342,57098,1906,-4736,54269,-1798,23253,25125,3079,1699,53156,543,-0,53699,-1228,15862,15862,15862,6794,1161,258,119,8332,8332,597,18023,2821,1510,22951,543,23494,6011,6011,6011,0,-70,0,70,0,-0,16825,-16931,4406,-357,3943,1363,-4736,570,-570,23682,290,-15753,445,8664,2971,-2240,9395,6857,17221,-20159,802,4721,1608,2496,8825,-89,0,-89,0,464,-623,-248,-248,-248,0,0,0,0,0,126,126,223,223,126,-97,0,35,35,0,35,35,35,0,217,-706,-425,-208,-706,-498,5202,1147,-22723,875,-15499,436,-14577,-397,-15460,-14577,883,6338,0,16,179,6533,-2,6535,4,6535,6535,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,14,5,-9,-3570,0,-5636,995,0,-24665,-757,69,-9963,-23601,-12425,573,-732,-92,-23120,-23120,32,42,0,32,42,210,216,16,0,258,258,-2606,-5729,-24462,-352,-8687,-24462,-15301,-474,-24462,-24462,32,0,0,-203,-100,-68,-203,160,295,0,92,92,-52,0,61,0,-305,69,-296,69,365,0,69,69,-944,0,953,0,0,-944,953,2141,62,-274,-92,923,923,2777,6625,622,6171,1963,1586,25,-21,5387,14361,10349,-1020,0,2395,15736,15736,-116,4483,4367,3202,-1155,-10,3202,3202,1255,-728,1,2309,1586,0,-21,3564,838,-186,135,0,2405,3378,3378,1522,4492,5,1687,-346,0,25,1206,6179,4973,6179,6179,0,2977,617,0,617,2977,2360,2977,2977,16,16,-7,9,9,9,-4,-4,3,-1,-1,-1,900,0,1018,0,0,900,1018,303,29,-64,92,1139,1139,195,195,26,221,221,221,-8,-8,5,-3,-3,-3,542,-39,542,257,760,542,22,-77,317,782,782,185,0,0,185,0,185,0,185,185,3800,1165,3800,1165,0,2635,0,0,3800,3800,6705,6705,0,6705,0,0,6705,6705,0,167,3763,7842,-800,-2013,123,146,3086,6142,117,15,1,-43,3204,6114,2910,-1958,5813,0,5813,-1958,14,5813,-1944,-7757,803,65,187,2623,-190,3642,0,608,800,6938,3234,1284,0,-190,4034,8032,3999,-1952,5823,-6377,1270,-1236,-380,-181,-1798,-1798
1947,34525,20025,11535,2256,68341,1348,-9289,60400,15600,14431,9512,1875,41418,367,41785,18925,5594,2023,381,26923,981,-9289,18615,38978,15825,21204,2534,78541,1523,-8658,71406,-11006,31588,25276,2796,2980,62640,625,-0,63265,-2865,20447,20447,20447,10394,1815,34,183,12426,12426,747,24101,2762,2707,30317,625,30942,-550,-550,-550,0,-90,0,90,0,-0,7390,-9451,18408,-446,15901,898,-8658,8141,-8141,16417,9539,14778,1811,42546,19655,-2147,60054,9027,18991,-3630,2257,26645,18757,6511,51913,1401,0,1401,0,1946,-2162,1185,1185,1185,0,0,0,0,0,-28,-28,0,0,-28,-28,0,-17,-17,0,-17,-17,-17,0,1903,2130,102,2005,2130,125,-105,2082,-552,741,2166,315,1105,-562,1919,1105,-814,3479,0,-9,159,3629,-16,3595,-18,3595,3595,0,0,0,0,0,0,0,0,0,0,0,0,82,2,0,0,82,2,-80,-2259,0,-354,2848,0,-9316,675,1611,-1938,-4857,-3193,404,657,-21,-4474,-4474,97,35,0,97,35,89,157,6,0,192,192,-2147,-488,-9279,711,-1924,-9279,-7955,600,-9279,-9279,55,0,0,-37,3,58,-37,21,116,0,79,79,641,0,37,0,-39,1611,639,1611,972,0,1611,1611,-808,0,2813,0,0,-808,2813,3680,131,51,-21,2923,2923,3371,8846,916,5805,3966,2908,25,19,8278,17578,13013,-389,0,4102,21291,21291,-18,3720,3702,3530,-447,275,3530,3530,2012,84,178,4059,2908,0,19,6071,3189,1003,58,0,3827,7074,7074,1359,5259,6,1907,-93,0,25,1297,7166,5869,7166,7166,0,3521,910,0,910,3521,2611,3521,3521,16,16,13,29,29,29,-27,-27,29,2,2,2,991,0,1093,0,0,991,1093,559,300,-151,6,1399,1399,711,711,9,720,720,720,28,28,-20,8,8,8,32,-20,32,291,303,32,26,-21,318,329,329,163,0,0,163,0,163,0,163,163,3150,605,3150,605,0,2545,0,0,3150,3150,7057,7057,0,7057,0,0,7057,7057,0,100,5286,4367,-100,-666,211,-132,5397,3669,100,15,-23,77,5474,3761,-1713,2186,9669,0,9669,2186,-109,9669,2077,-7592,538,81,919,2658,112,2867,0,759,1569,6365,4898,1951,0,112,6467,8428,1960,-4453,4200,-9669,-278,-10201,-174,-631,-11006,-11006
1948,43102,27466,9318,2656,82542,1899,-2417,82024,18750,16998,8368,2137,46253,431,46684,24352,10468,950,519,36289,1468,-2417,35340,47046,21222,17420,3258,88945,1736,-3092,87590,-5566,37442,35028,4411,4185,81066,708,-0,81774,250,22947,22947,22947,13381,2427,58,116,15982,15982,1114,27059,4353,3953,36479,708,37187,5658,5658,5658,0,-116,0,116,0,-0,9604,-13806,13009,-927,7880,1028,-3092,5816,-5816,18245,5421,11283,1514,36463,18795,-978,54280,8641,19227,-1726,2441,28583,17767,2114,48464,399,0,399,0,1488,-1531,356,356,356,0,0,0,0,0,-5,-5,27,27,-5,-32,0,-41,-41,0,-41,-41,-41,0,2347,2315,116,2463,2315,-148,-2398,-43,1185,499,-757,20,-582,481,-256,-582,-326,2201,0,6,271,2478,44,2543,21,2543,2543,0,0,0,0,0,0,0,0,0,0,0,0,4,-6,0,0,4,-6,-10,-687,0,715,4294,0,-7310,604,1334,632,-1682,-1443,892,101,80,-710,-710,51,-6,0,51,-6,71,177,49,0,171,171,-849,562,-8157,387,100,-8157,-8357,100,-8157,-8157,-53,0,0,847,197,144,847,982,279,0,1126,1126,171,0,102,0,20,1334,293,1334,1041,0,1334,1334,44,0,4300,0,0,44,4300,4820,436,-48,80,4816,4816,2793,8510,921,3113,1363,2424,54,70,5131,14117,11267,1149,0,1132,16398,16398,5,697,702,1818,1078,38,1818,1818,1595,101,416,1317,2424,0,70,2912,3011,1264,71,0,1094,4176,4176,1198,5370,14,2000,46,0,54,1312,7370,6058,7370,7370,0,3034,907,0,907,3034,2127,3034,3034,10,10,18,28,28,28,-37,-37,44,7,7,7,833,0,1000,0,0,833,1000,346,100,-144,-65,1035,1035,685,685,8,693,693,693,66,66,-39,27,27,27,4759,2,4759,3,4764,4759,21,26,0,4785,4785,148,0,0,148,0,148,0,148,148,2843,213,2843,213,0,2630,0,0,2843,2843,7357,7357,0,7357,0,0,7357,7357,0,80,2116,2719,0,0,86,143,2202,2942,74,10,-56,19,2220,2971,751,775,8415,0,8415,775,147,8415,922,-7493,395,51,1057,2538,-88,2952,0,894,1364,6435,4574,1033,0,-88,5938,7380,1443,-3944,6245,-8102,-602,-6403,162,675,-5566,-5566
1949,42098,28318,-1176,3224,72464,2266,-879,73851,20262,18496,7518,2176,48452,471,48923,21836,9822,-8694,1048,24012,1795,-879,24928,45820,22672,6259,4354,79105,1764,-881,79989,-6138,38945,24382,5918,5596,74841,749,-0,75590,-1739,25176,25176,25176,12451,2390,37,306,15184,15184,1318,24883,5881,5091,37173,749,37922,-2692,-2692,-2692,0,-199,0,199,0,-0,6875,-1710,341,-1242,4265,1015,-881,4399,-4399,14827,4073,6993,823,26717,15165,462,42344,7952,5783,6652,2065,22452,14150,1343,37945,149,0,149,0,184,-164,169,169,169,0,0,0,0,0,-19,-19,9,9,-19,-28,0,0,0,0,0,0,0,0,-3911,-3370,475,-3436,-3370,66,-1779,914,339,246,-280,119,-4,-211,-372,-4,368,2594,0,65,152,2811,28,2981,142,2981,2981,0,0,0,0,0,0,0,0,0,0,0,0,-9,-6,0,0,-9,-6,3,-1402,0,1962,2899,0,1114,379,986,939,4999,4204,379,226,-9,5369,5369,85,-4,0,85,-4,61,181,31,0,177,177,-24,1844,1025,66,1886,1025,-961,100,1025,1025,-66,0,0,89,0,-66,89,46,-109,0,-20,-20,-905,0,33,0,313,986,-559,986,1545,0,986,986,-407,0,2903,0,0,-407,2903,3513,307,95,-9,3201,3201,2236,7850,630,66,857,2503,81,-85,3804,10334,7829,937,0,362,11633,11633,16,-2026,-2010,-1066,971,-27,-1066,-1066,1511,563,210,740,2503,0,-85,2251,3191,1295,-34,0,389,3546,3546,725,4229,-6,1882,117,0,81,917,6111,5194,6111,6111,0,3042,636,0,636,3042,2406,3042,3042,14,14,12,26,26,26,-17,-17,29,12,12,12,530,0,1212,0,0,530,1212,994,300,-21,-9,1503,1503,617,617,17,634,634,634,63,63,-19,44,44,44,1348,3,1348,-24,1327,1348,26,5,0,1353,1353,275,0,0,275,0,275,0,275,275,2751,84,2751,84,0,2667,0,0,2751,2751,7904,7904,0,7904,0,0,7904,7904,0,33,-899,-2,0,0,-35,161,-934,192,71,15,-41,-3,-904,204,1108,-2302,5434,0,5434,-2302,213,5434,-2089,-7523,370,69,833,2516,173,2970,0,1003,1376,6558,5592,1844,0,173,6968,8575,1608,-3722,5646,-7435,-1130,-6641,501,2,-6138,-6138
1950,54350,27755,8415,3118,93638,1933,1843,97414,22768,19884,6879,2181,51712,508,52220,31582,7871,1536,937,41926,1425,1843,45194,57604,21979,17235,2252,99070,2846,3177,105093,-7679,50053,36060,5531,6194,97838,839,-0,98677,-1263,30690,30690,30690,17692,3052,45,315,21104,21104,1671,27507,5486,5610,40274,839,41113,5770,5770,5770,0,-269,0,269,0,-0,7551,-14081,11704,-3942,1232,2007,3177,6416,-6416,21293,18412,16634,1775,58114,29079,3775,90968,13742,32493,4930,5717,56882,27072,598,84552,-284,0,-284,0,-1475,1743,-16,-16,-16,0,0,0,0,0,-10,-10,38,38,-10,-48,0,47,47,0,47,47,47,0,2170,2451,182,2352,2451,99,2561,1548,-238,469,4340,531,5292,47,4918,5292,374,2365,0,8,101,2474,42,2743,227,2743,2743,0,0,0,0,0,0,0,0,0,0,0,0,54,9,0,0,54,9,-45,554,0,3218,1669,0,-1431,693,4525,4465,4763,-118,781,1448,251,5795,5795,-122,45,0,-122,45,270,161,58,0,206,206,-1008,3173,-809,509,2674,-809,-4883,1400,-809,-809,92,0,0,-622,-100,-8,-622,-208,406,0,-216,-216,1741,0,167,0,284,4525,2192,4525,2333,0,4525,4525,-271,0,1624,0,0,-271,1624,2370,214,-10,251,2089,2089,1217,13572,1294,7485,955,1036,52,67,3518,22160,20470,1937,0,-109,23988,23988,142,4598,4740,5769,1285,-256,5769,5769,521,713,602,388,1036,0,67,909,2418,2308,652,0,147,3217,3217,696,8144,-1,2285,567,0,52,1314,10429,9115,10429,10429,0,4573,1295,0,1295,4573,3278,4573,4573,6,6,18,24,24,24,-69,-69,86,17,17,17,648,0,1288,0,0,648,1288,710,300,3,-227,1361,1361,579,579,18,597,597,597,149,149,-86,63,63,63,2027,3,2027,-40,1990,2027,58,21,0,2048,2048,211,0,0,211,0,211,0,211,211,2945,309,2945,309,0,2636,0,0,2945,2945,8430,8430,0,8430,0,0,8430,8430,0,67,11039,9231,400,1100,460,114,11899,10512,17,15,45,-4,11961,10523,-1438,7255,15798,0,15798,7255,160,15798,7415,-8383,335,103,678,3459,35,3926,0,1011,1048,8499,6546,2086,0,35,7594,10620,3025,-3254,5776,-8820,866,-5432,-912,-1334,-7679,-7679
1951,59702,31067,11859,4872,107500,2219,-877,108842,27249,22639,7358,2621,59867,578,60445,32453,8428,4501,2251,47633,1641,-877,48397,69212,9482,21187,5336,105217,1709,-785,106140,2702,47934,43529,12543,7310,111316,984,-0,112300,-3458,29961,29961,29961,16118,2543,108,546,19315,19315,1855,31348,12435,6492,52130,984,53114,9910,9910,9910,0,-272,0,272,0,-0,21278,-34048,8644,-1974,-6100,725,-785,-6160,6160,30042,8734,16370,1582,56728,34597,183,91508,8764,42781,7726,3556,62827,33872,968,97667,37,0,37,0,-5,-52,-20,-20,-20,0,0,0,0,0,24,24,73,73,24,-49,0,34,34,0,34,34,34,0,2666,2424,552,3218,2424,-794,4429,2143,119,414,7105,256,7228,-335,7026,7228,202,4970,0,88,152,5210,29,4951,-288,4951,4951,0,0,0,0,0,0,0,0,0,0,0,0,108,-6,0,0,108,-6,-114,-93,0,922,3356,5,33,709,2115,1543,5504,5234,1071,75,277,6852,6852,-53,62,0,-53,62,471,447,91,0,509,509,-603,783,170,480,660,170,-468,-22,170,170,-42,0,5,-137,200,163,-137,-62,238,0,101,101,275,0,192,0,29,2115,496,2115,1619,0,2115,2115,277,0,3294,0,0,277,3294,3674,386,6,277,3957,3957,385,8602,736,8366,1318,239,69,261,2508,17468,15027,-255,0,322,17535,17535,231,5023,5254,5076,-278,100,5076,5076,-549,123,723,690,239,0,261,141,1346,1450,23,0,222,1591,1591,934,6845,3,2620,628,0,69,1634,9465,7831,9465,9465,0,1403,733,0,733,1403,670,1403,1403,-2,-2,22,20,20,20,-22,-22,41,19,19,19,1354,0,2107,0,0,1354,2107,632,200,120,-201,2106,2106,467,467,21,488,488,488,105,105,-34,71,71,71,1616,5,1616,-56,1565,1616,106,55,0,1671,1671,266,0,0,266,0,266,0,266,266,2728,173,2728,173,0,2555,0,0,2728,2728,13803,13803,0,13803,0,0,13803,13803,0,83,3264,-53,900,1600,238,86,4402,1716,110,10,21,45,4533,1771,-2762,4476,13956,0,13956,4476,230,13956,4706,-9250,584,79,1165,22831,3,5657,0,1094,1752,29661,10318,1333,0,3,12070,30997,18927,-9510,21586,-9328,-464,2284,510,-92,2702,2702
1952,61444,33686,6107,5381,106617,2643,-590,108670,28323,23998,8267,2796,63384,625,64009,33121,9688,-2160,2584,43234,2018,-590,44662,74993,33781,15360,1537,125671,2538,-605,127603,-18933,47472,38049,17223,7650,110394,908,-0,111302,-2631,29407,29407,29407,16290,2568,75,601,19535,19535,1775,32219,17148,6797,57938,908,58846,3514,3514,3514,0,-252,0,252,0,-0,27521,-4268,-1863,-6114,15277,1630,-605,16302,-16302,39844,7515,10833,2625,60817,40511,866,102194,12323,11783,12696,8739,45540,38881,1471,85892,-74,0,-74,0,490,-380,36,36,36,0,0,0,0,0,37,37,103,103,37,-66,0,-16,-16,0,-16,-16,-16,0,-159,-81,187,28,-81,-109,2141,313,2371,323,5148,118,6529,250,5516,6529,1013,7474,0,73,85,7632,419,8192,141,8192,8192,0,0,0,0,0,0,0,0,0,0,247,247,575,34,0,0,822,34,-788,6718,0,-932,4767,-3,5273,1422,6887,7205,16927,9935,428,242,27,17382,17382,105,62,0,105,62,297,356,16,0,418,418,1871,-1006,4892,1206,2071,4892,2631,190,4892,4892,-80,0,-3,381,166,83,381,355,57,0,438,438,5217,0,-31,0,50,6887,5236,6887,1651,0,6887,6887,-290,0,4705,0,0,-290,4705,5001,15,36,27,4747,4747,579,12148,1254,3964,1575,1050,103,322,3511,17484,15946,1448,0,525,19457,19457,-133,1175,1042,2830,1674,114,2830,2830,-87,218,723,1015,1050,0,322,928,2313,1570,-226,0,411,2498,2498,666,6891,4,2066,560,0,103,1333,8957,7624,8957,8957,0,5172,1250,0,1250,5172,3922,5172,5172,31,31,2,33,33,33,24,24,3,27,27,27,615,0,2320,0,0,615,2320,1578,95,255,33,2448,2448,779,779,40,819,819,819,78,78,27,105,105,105,2455,5,2455,0,2460,2455,60,65,0,2520,2520,505,0,0,505,0,505,0,505,505,2888,43,2888,43,0,2845,0,0,2888,2888,15732,15732,0,15732,0,0,15732,15732,0,99,4766,1342,951,75,74,490,5791,2006,98,60,39,28,5928,2094,-3834,-3156,5954,10,5964,-3156,339,5964,-2817,-8781,737,76,1315,-12,-14,6218,361,1040,2399,7322,11306,2660,0,-14,13705,9968,-3737,-13549,-95,-9253,3844,-19054,106,15,-18933,-18933
1953,66698,34412,5112,6022,112244,2819,1321,116384,29530,25444,9250,2894,67117,666,67784,37168,8968,-4138,3128,45126,2153,1321,48600,77312,33808,14973,3528,129621,2977,121,132719,-16335,52023,40006,18671,8325,119023,1172,-0,120195,-3812,33115,33115,33115,16963,2736,233,508,20440,20440,1945,35650,18438,7488,63520,1172,64693,1948,1948,1948,0,-329,0,329,0,-0,25289,-6197,-3698,-4797,10598,1805,121,12524,-12524,38023,3628,10653,1644,53948,35803,1951,91702,12734,9825,14351,6441,43351,33998,1830,79179,-86,0,-86,0,-1170,1161,-95,-95,-95,0,0,0,0,0,34,34,82,82,34,-48,0,39,39,0,39,39,39,0,-177,-391,-80,-257,-391,-134,1284,-287,-1532,415,-120,199,32,-452,-373,32,405,8235,0,-9,329,8555,73,9229,601,9229,9229,0,0,0,0,0,0,0,0,0,0,-72,-72,-72,-9,0,0,-144,-9,135,3512,0,1794,3586,-2,6822,902,5355,6206,15763,10457,1686,674,-112,17337,17337,9,71,0,9,71,277,307,92,0,378,378,451,1593,5195,804,2848,5195,1780,567,5195,5195,155,0,-2,1627,-84,69,1627,1562,4,0,1631,1631,2916,0,192,0,182,5355,3290,5355,2065,0,5355,5355,-10,0,3515,0,0,-10,3515,4773,1375,15,-112,4778,4778,1188,12563,388,1185,1656,728,83,-364,3315,14112,12337,306,0,1234,15652,15652,61,-1072,-1011,-902,224,-115,-902,-902,192,592,245,1261,728,0,-364,1453,1201,1179,82,0,1349,2632,2632,996,7818,2,2012,395,0,83,1476,9830,8354,9830,9830,0,4092,386,0,386,4092,3706,4092,4092,26,26,3,29,29,29,32,32,1,33,33,33,371,0,1766,0,0,371,1766,1944,433,-55,61,2260,2260,652,652,54,706,706,706,80,80,45,125,125,125,2832,7,2832,0,2839,2832,65,72,0,2904,2904,383,0,0,383,0,383,0,383,383,2982,74,2982,74,0,2908,0,0,2982,2982,16591,16591,0,16591,0,0,16591,16591,0,79,-450,89,-37,-175,4,518,-483,511,58,30,-56,-19,-481,522,1003,605,10676,-53,10623,605,469,10623,1074,-9549,645,92,1459,-350,-13,6868,36,932,2127,7542,11950,2213,0,-13,14077,9742,-4336,-10614,603,-9861,2494,-17377,-158,1200,-16335,-16335
