1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2003:Q3,63607,64,-9608,0,836,57192,-868,-11560,44120,25500,124,-68380,-31104,114483,-8456,-5416,146059,-17704,63620
2003:Q4,65027,80,22412,0,1320,97388,7464,19216,42320,28388,528,-126712,-30280,100291,26032,5228,74419,-5388,65040
2004:Q1,58834,40,-8692,0,964,7420,-644,-12356,4116,16304,224,24700,17604,16574,-39892,-4648,54182,6932,58948
2004:Q2,57243,76,-34348,0,2060,-3796,120,1224,12944,-18084,-160,-67148,21636,138923,14692,13772,86527,23932,57360
2004:Q3,55654,72,7340,0,828,-28448,628,-13300,10688,-26464,-120,39604,-9528,45906,-43640,-15448,121766,-16772,55776
2004:Q4,54057,84,16564,0,-2104,-16736,-1312,-3332,3060,-15152,-320,-47680,15248,89001,7652,-1624,74873,8100,54184
2005:Q1,62076,96,-6576,0,3272,21460,2284,3588,8768,6820,-296,-47684,-5820,97624,88,-4120,105984,-4328,62160
2005:Q2,64308,116,14356,0,-248,25424,-40,3304,-1604,23764,-268,-53776,-5180,83884,-16308,-8016,112624,-4416,64396
2005:Q3,66543,172,13704,0,-388,27940,-76,1668,10108,16240,-220,-38728,-11268,75331,-9392,8300,81287,-4864,66632
2005:Q4,68772,172,988,0,148,61332,284,-2852,47048,16852,-96,-55624,-5664,67516,-8620,-3784,72304,7616,68868
2006:Q1,61634,792,-580,1172,-1584,34424,1992,5932,6996,19504,20748,-44036,9176,41522,-30956,4152,54954,13372,61668
2006:Q2,60095,792,-576,1168,-1580,34424,1992,5932,6996,19504,20748,-44036,9176,39979,-30960,4156,53407,13376,60132
2006:Q3,58557,792,-580,1172,-1584,34424,1992,5932,6996,19504,20748,-44036,9176,38445,-30956,4152,51877,13372,58596
2006:Q4,57016,792,-580,1172,-1580,34424,1992,5932,6996,19504,20748,-44036,9176,36900,-30956,4156,50328,13372,57056
2007:Q1,60797,764,3412,432,236,28936,3892,788,15348,8908,1712,15180,992,9133,1968,2464,-6771,11472,60860
2007:Q2,61392,764,3412,428,240,28936,3892,788,15348,8908,1712,15180,992,9728,1968,2468,-6180,11472,61460
