1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q3,2915,2300,584,0,0,0,1716,0,0,0,1716,0,0,0,615,492,123,2915,300,0,0,751,70,0,0,0,0,0,0,72,0,0,1372,350
1954:Q4,2904,2022,531,0,0,0,1491,0,0,0,1491,0,0,0,882,706,176,2904,291,0,0,707,95,0,0,0,0,0,0,78,0,0,1149,584
1955:Q1,3112,2297,500,0,0,0,1797,0,0,0,1797,0,0,0,815,652,163,3112,281,0,0,631,82,0,0,0,0,0,0,95,0,0,1456,567
1955:Q2,3047,2385,380,0,0,0,2005,0,0,0,2005,0,0,0,662,530,132,3047,352,0,16,502,80,0,0,0,0,0,0,92,0,0,1548,457
1955:Q3,3020,2342,371,0,0,0,1971,0,0,0,1971,0,0,0,678,542,136,3020,245,0,19,525,60,0,0,0,0,0,0,104,0,0,1607,460
1955:Q4,2749,2101,362,0,0,0,1739,0,0,0,1739,0,0,0,648,518,130,2749,217,0,24,457,75,0,0,0,0,0,0,92,0,0,1445,439
1956:Q1,3326,2659,362,0,0,0,2297,0,0,0,2297,0,0,0,667,534,133,3326,171,0,15,493,69,0,0,0,0,0,0,135,0,0,1967,476
1956:Q2,3221,2530,289,0,0,0,2241,0,0,0,2241,0,0,0,691,553,138,3221,325,0,18,442,71,0,0,0,0,0,0,99,0,0,1780,486
1956:Q3,3401,2588,401,0,0,0,2187,0,0,0,2187,0,0,0,813,650,163,3401,371,0,17,528,65,0,0,0,0,0,0,120,0,0,1721,579
1956:Q4,3227,2250,378,0,0,0,1872,0,0,0,1872,0,0,0,977,782,195,3227,305,0,34,500,81,0,0,0,0,0,0,108,0,0,1528,671
1957:Q1,3793,2764,353,0,0,0,2411,0,0,0,2411,0,0,0,1029,823,206,3793,355,0,23,482,69,0,0,0,0,0,0,121,0,0,1956,787
1957:Q2,3515,2526,320,0,0,0,2206,0,0,0,2206,0,0,0,989,791,198,3515,349,0,23,433,68,0,0,0,0,0,0,126,0,0,1743,773
1957:Q3,3845,2636,364,0,0,0,2272,0,0,0,2272,0,0,0,1209,967,242,3845,345,0,17,516,49,0,0,0,0,0,0,119,0,0,1832,967
1957:Q4,4066,2746,422,0,0,0,2324,0,0,0,2324,0,0,0,1320,1056,264,4066,435,0,43,610,63,0,0,0,0,0,0,123,0,0,1838,954
1958:Q1,5152,3608,716,0,0,0,2892,0,0,0,2892,0,0,0,1544,1235,309,5152,746,0,29,973,52,0,0,0,0,0,0,153,0,0,2132,1067
1958:Q2,4873,3507,791,0,0,0,2716,0,0,0,2716,0,0,0,1366,1093,273,4873,455,0,35,1013,59,0,0,0,0,0,0,183,0,0,2217,911
1958:Q3,4573,3279,795,0,0,0,2484,0,0,0,2484,0,0,0,1294,1035,259,4573,224,0,18,1013,43,0,0,0,0,0,0,172,0,0,2235,868
1958:Q4,4053,2847,658,0,0,0,2189,0,0,0,2189,0,0,0,1206,965,241,4053,210,0,43,818,72,0,0,17,0,0,0,117,0,0,1933,843
1959:Q1,4444,3379,652,0,0,0,2727,0,0,0,2727,0,0,0,1065,852,213,4444,502,0,12,822,67,0,0,124,0,0,0,149,0,0,2015,753
1959:Q2,4494,3501,458,0,0,0,3043,0,0,0,3043,0,0,0,993,794,199,4494,622,0,6,656,67,0,0,215,0,0,0,151,0,0,2033,744
1959:Q3,4412,3448,527,0,0,0,2921,0,0,0,2921,0,0,0,964,771,193,4412,240,0,0,752,54,0,0,200,0,0,0,187,0,0,2250,729
