1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,222183,32783,81477,82573,51792,10642,13488,6651,25350,222183,204542,83447,38807,24938,56534,816,6827,911,0,0,0,0,3235,0,2681,0,10814,222183,94470,68597,7241,1256,17070,306,127713,0,83189,757,142,712,118,21904,120,7453,105,0,3096,43,0,8653,0,1421,0,0,0
1952:Q1,222701,32445,81246,84413,53066,10820,13713,6814,24597,222701,205496,84061,38567,25464,56633,771,6198,589,0,0,0,0,3353,0,2256,0,11007,222701,94039,68481,5616,2098,17510,334,128662,0,83626,836,145,735,120,22516,126,7552,113,0,2827,45,0,8599,0,1422,0,0,0
1952:Q2,229135,33420,82054,86783,54798,11037,13927,7021,26878,229135,210722,88204,38123,26603,56948,844,7244,653,0,0,0,0,3499,0,3092,0,11169,229135,95254,68618,6172,2284,17821,359,133881,0,86843,907,146,823,121,23010,133,7938,122,0,2944,47,0,9393,0,1454,0,0,0
1952:Q3,233524,33321,83028,89210,56640,11275,14161,7134,27965,233524,215433,91189,38711,27164,57389,980,6773,715,0,0,0,0,3630,0,2428,0,11318,233524,96089,68829,6276,2349,18250,385,137435,0,88886,852,147,895,122,23509,141,8363,131,0,3003,50,0,9871,0,1465,0,0,0
1952:Q4,241640,35613,83975,91530,58416,11481,14397,7236,30522,241640,222026,95595,40270,27439,57584,1138,8275,864,0,0,0,0,4355,0,3056,0,11339,241640,97981,69176,7081,2670,18645,409,143659,0,93401,885,147,949,123,23964,149,8411,141,0,3152,53,0,10782,0,1502,0,0,0
1953:Q1,244125,34931,84644,93649,60006,11587,14660,7396,30901,244125,225253,97869,40877,27602,57992,913,7419,611,0,0,0,0,4168,0,2640,0,11453,244125,98162,69877,6411,2449,18995,430,145963,0,94680,865,148,1015,125,24499,159,8471,152,0,2835,55,0,11294,0,1665,0,0,0
1953:Q2,249978,35111,85678,96517,62225,11766,14939,7587,32672,249978,230461,102319,40787,28454,58062,839,7713,718,0,0,0,0,4258,0,2737,0,11804,249978,99364,69783,6777,2560,19793,451,150614,0,97268,892,150,1119,129,25059,170,8804,163,0,3003,56,0,11947,0,1854,0,0,0
1953:Q3,254443,35597,86474,99018,64205,11934,15212,7667,33354,254443,233992,104806,41191,28988,58165,842,8161,801,0,0,0,0,4353,0,3007,0,12290,254443,100125,69946,6697,2552,20459,471,154318,0,99669,918,151,1208,134,25586,181,8902,175,0,3083,58,0,12464,0,1789,0,0,0
1953:Q4,257593,34711,86908,101360,65938,12121,15564,7737,34614,257593,236439,108158,40838,28357,58312,774,8581,952,0,0,0,0,4184,0,3445,0,12573,257593,101597,70364,7341,2798,20602,492,155996,0,100386,958,151,1260,139,26236,192,8941,188,0,3119,60,0,12500,0,1866,0,0,0
1954:Q1,256763,33771,86927,103321,67351,12174,15880,7916,32744,256763,236695,107988,40852,28803,58382,670,7525,630,0,0,0,0,3877,0,3018,0,12543,256763,100674,70699,6453,2489,20519,514,156089,0,100240,970,151,1287,143,26789,203,8961,202,0,2865,61,0,12329,0,1888,0,0,0
