1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,81477,0,0,0,14592,0,638,2963,816,0,0,0,10175,2765,175,2590,56534,49081,0,0,7453,0,911,911,0,0,0,0,0,1175,0,17,1158,0,1421,1421,0,893,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2696,2426,270,0,0,0,0,0,0,0,0,0,0
1952:Q1,81246,0,0,0,14764,0,624,3064,771,0,0,0,10305,2807,180,2627,56633,49081,0,0,7552,0,589,589,0,0,0,0,0,1210,0,18,1192,0,1422,1422,0,748,748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2615,2354,262,0,0,0,0,0,0,0,0,0,0
1952:Q2,82054,0,0,0,15033,0,608,3133,844,0,0,0,10448,2846,185,2661,56948,49010,0,0,7938,0,653,653,0,0,0,0,0,1245,0,20,1225,0,1454,1454,0,695,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2764,2488,276,0,0,0,0,0,0,0,0,0,0
1952:Q3,83028,0,0,0,15395,0,624,3166,980,0,0,0,10625,2882,185,2697,57389,49026,0,0,8363,0,715,715,0,0,0,0,0,1220,0,19,1201,0,1465,1465,0,677,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2831,2548,283,0,0,0,0,0,0,0,0,0,0
1952:Q4,83975,0,0,0,15593,0,660,3189,1138,0,0,0,10606,2902,189,2713,57584,49173,0,0,8411,0,864,864,0,0,0,0,0,1197,0,18,1179,0,1502,1502,0,714,714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3127,2814,313,0,0,0,0,0,0,0,0,0,0
1953:Q1,84644,0,0,0,15749,0,681,3372,913,0,0,0,10783,2953,195,2758,57992,49521,0,0,8471,0,611,611,0,0,0,0,0,1110,0,17,1093,0,1665,1665,0,737,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3372,3035,337,0,0,0,0,0,0,0,0,0,0
1953:Q2,85678,0,0,0,16394,4,996,3378,839,0,0,0,11177,3006,200,2806,58062,49258,0,0,8804,0,718,718,0,0,0,0,0,1149,0,19,1130,0,1854,1854,0,639,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3428,3085,343,0,0,0,0,0,0,0,0,0,0
1953:Q3,86474,0,0,0,16966,6,1014,3410,842,0,0,0,11694,3055,205,2850,58165,49263,0,0,8902,0,801,801,0,0,0,0,0,1124,0,18,1106,0,1789,1789,0,663,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3396,3056,340,0,0,0,0,0,0,0,0,0,0
1953:Q4,86908,0,0,0,17136,8,963,3476,774,0,0,0,11915,3122,208,2914,58312,49371,0,0,8941,0,952,952,0,0,0,0,0,987,0,14,973,0,1866,1866,0,708,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3252,2927,325,0,0,0,0,0,0,0,0,0,0
1954:Q1,86927,0,0,0,17114,11,920,3612,670,0,0,0,11901,3187,215,2972,58382,49421,0,0,8961,0,630,630,0,0,0,0,0,1024,0,15,1009,0,1888,1888,0,786,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3336,3002,334,0,0,0,0,0,0,0,0,0,0
