1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q2,128286,0,0,0,26720,1281,1271,5519,2274,4,0,0,16371,7510,599,6911,66851,48672,0,0,18179,0,4769,4769,0,0,0,0,0,3261,0,104,3157,0,5927,5927,0,-1377,-1377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11476,10328,1148,0,0,0,0,0,0,0,0,0,0
1964:Q3,130116,0,0,0,27505,1348,1321,5546,2372,134,0,0,16784,7637,608,7029,67213,48865,0,0,18348,0,4837,4837,0,0,0,0,0,3325,0,104,3221,0,5764,5764,0,-573,-573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11233,10110,1123,0,0,0,0,0,0,0,0,0,0
1964:Q4,131663,0,0,0,28142,1397,1418,5635,2464,131,0,0,17097,7758,618,7140,67494,49085,0,0,18409,0,5325,5325,0,0,0,0,0,3205,0,93,3112,0,5610,5610,0,-823,-823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11567,10410,1157,0,0,0,0,0,0,0,0,0,0
1965:Q1,133340,0,0,0,28919,1461,1513,5800,2523,27,0,0,17595,7897,628,7269,67922,49442,0,0,18480,0,4747,4747,0,0,0,0,0,3387,0,100,3287,0,5572,5572,0,-756,-756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12327,11094,1233,0,0,0,0,0,0,0,0,0,0
1965:Q2,137213,0,0,0,29698,1507,1571,5842,2655,0,0,0,18123,8057,638,7419,69016,49466,0,0,19550,0,5586,5586,0,0,0,0,0,3617,0,115,3502,0,5592,5592,0,-678,-678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12970,11673,1297,0,0,0,0,0,0,0,0,0,0
1965:Q3,137857,0,0,0,30140,1585,1620,5853,2719,129,0,0,18234,8210,649,7561,69432,49704,0,0,19728,0,5802,5802,0,0,0,0,0,3665,0,117,3548,0,5420,5420,0,-548,-548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12422,11180,1242,0,0,0,0,0,0,0,0,0,0
1965:Q4,141244,0,0,0,31026,1632,1716,5879,2777,336,0,0,18686,8338,660,7678,69712,49988,0,0,19724,0,5997,5997,0,0,0,0,0,3571,0,108,3463,0,5986,5986,0,-310,-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13532,12179,1353,0,0,0,0,0,0,0,0,0,0
1966:Q1,143189,0,0,0,31988,1739,1883,6217,2823,238,0,0,19088,8533,672,7861,69904,50157,0,0,19747,0,5687,5687,0,0,0,0,0,3845,0,118,3727,0,6137,6137,0,-644,-644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14351,12916,1435,0,0,0,0,0,0,0,0,0,0
1966:Q2,148062,0,0,0,32411,1856,1932,6120,2910,0,0,0,19593,8857,684,8173,71700,50865,0,0,20835,0,6783,6783,0,0,0,0,0,4170,0,133,4037,0,6303,6303,0,-305,-305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14723,13251,1472,0,0,0,0,0,0,0,0,0,0
1966:Q3,148714,0,0,0,33571,2062,1986,6161,3207,401,0,0,19754,9354,697,8657,71627,50692,0,0,20935,0,7175,7175,0,0,0,0,0,4275,0,134,4141,0,5905,5905,0,-53,-53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13490,12141,1349,0,0,0,0,0,0,0,0,0,0
1966:Q4,151071,0,0,0,33847,2114,2083,6078,3404,103,0,0,20065,9827,710,9117,72155,51178,0,0,20977,0,6935,6935,0,0,0,0,0,4213,0,130,4083,0,5950,5950,0,-65,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14606,13145,1461,0,0,0,0,0,0,0,0,0,0
1967:Q1,152770,0,0,0,35241,2198,2172,6282,3414,56,0,0,21119,10119,723,9396,71714,50789,0,0,20925,0,5175,5175,0,0,0,0,0,4531,0,142,4389,0,6479,6479,0,762,762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15045,13541,1505,0,0,0,0,0,0,0,0,0,0
1967:Q2,155213,0,0,0,35953,2258,2245,6392,3464,0,0,0,21594,10406,736,9670,72776,50733,0,0,22043,0,4302,4302,0,0,0,0,0,4843,0,162,4681,0,6983,6983,0,1299,1299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14520,13068,1452,0,0,0,0,0,0,0,0,0,0
1967:Q3,157301,0,0,0,37069,2360,2207,6372,3570,497,0,0,22063,10609,749,9860,73061,50987,0,0,22074,0,4122,4122,0,0,0,0,0,4907,0,164,4743,0,7922,7922,0,1576,1576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13889,12500,1389,0,0,0,0,0,0,0,0,0,0
1967:Q4,161021,0,0,0,37439,2443,2283,6593,3579,36,0,0,22505,10819,760,10059,73563,51271,0,0,22292,0,4386,4386,0,0,0,0,0,4917,0,157,4760,0,9164,9164,0,2159,2159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14257,12831,1426,0,0,0,0,0,0,0,0,0,0
1968:Q1,162699,0,0,0,38583,2557,2370,6619,3636,62,0,0,23339,11107,771,10336,73731,51397,0,0,22334,0,4269,4269,0,0,0,0,0,5212,0,172,5040,0,8593,8593,0,1569,1569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15299,13769,1530,0,0,0,0,0,0,0,0,0,0
1968:Q2,170840,0,0,0,39102,2938,1678,6673,3835,56,0,0,23922,11478,781,10697,75232,51629,0,0,23603,0,4889,4889,0,0,0,0,0,5394,0,189,5205,0,10514,10514,0,3722,3722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16223,14601,1622,0,0,0,0,0,0,0,0,0,0
1968:Q3,173418,0,0,0,40107,3059,1683,6764,3878,294,0,0,24429,11836,794,11042,75270,51676,0,0,23594,0,5026,5026,0,0,0,0,0,5320,0,184,5136,0,10759,10759,0,5153,5153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15620,14058,1562,0,0,0,0,0,0,0,0,0,0
1968:Q4,176716,0,0,0,40770,3206,1706,6868,3993,283,0,0,24714,12109,803,11306,75546,51918,0,0,23628,0,5259,5259,0,0,0,0,0,5231,0,174,5057,0,12005,12005,0,4878,4878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16490,14841,1649,0,0,0,0,0,0,0,0,0,0
1969:Q1,174371,0,0,0,41644,3329,1747,7045,4130,0,0,0,25393,12542,817,11725,75642,51887,0,0,23755,0,5331,5331,0,0,0,0,0,5584,0,187,5397,0,10271,10271,0,1483,1483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17060,15354,1706,350,350,0,0,0,0,0,0,0,0
1969:Q2,183295,0,0,0,42380,3360,1777,7077,4205,0,0,0,25961,13199,838,12361,76730,51859,0,0,24871,0,6413,6413,0,0,0,0,0,5949,0,208,5741,0,9841,9841,0,3271,3271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18970,17073,1897,1662,1662,0,0,0,0,0,0,0,0
1969:Q3,185367,0,0,0,43248,3488,1790,7200,4271,0,0,0,26499,14050,868,13182,76987,51811,0,0,25176,0,7940,7940,0,0,0,0,0,5914,0,208,5706,0,8216,8216,0,213,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19709,17738,1971,3858,3858,0,0,0,0,0,0,0,0
1969:Q4,193391,0,0,0,44151,3586,1824,7182,4739,0,0,0,26820,14713,888,13825,77248,52101,0,0,25147,0,9289,9289,0,0,0,0,0,6007,0,210,5797,0,8476,8476,0,2651,2651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21459,19313,2146,3946,3946,0,0,0,0,0,0,0,0
1970:Q1,196597,0,0,0,44935,3704,1883,7391,4698,0,0,0,27259,15456,912,14544,76931,51746,0,0,25185,0,9745,9745,0,0,0,0,0,6484,0,227,6257,0,7298,7298,0,1482,1482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22077,19869,2208,6837,6837,0,0,0,0,0,0,0,0
1970:Q2,202365,0,0,0,45487,3778,1971,7554,4572,0,0,0,27612,16124,933,15191,78702,51792,0,0,26910,0,10236,10236,0,0,0,0,0,6846,0,251,6595,0,6532,6532,0,1354,1354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23028,20725,2303,8083,8083,0,0,0,0,0,0,0,0
1970:Q3,201176,0,0,0,46208,3840,2021,7621,4766,0,0,0,27960,16653,950,15703,78891,51845,0,0,27046,0,10525,10525,0,0,0,0,0,6855,0,250,6605,0,6795,6795,0,1762,1762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22411,20170,2241,5228,5228,0,0,0,0,0,0,0,0
1970:Q4,203673,0,0,0,46664,3879,2108,7701,4816,0,0,0,28160,17021,957,16064,79792,52264,0,0,27528,0,10615,10615,0,0,0,0,0,7004,0,252,6752,0,7188,7188,0,3564,3564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21813,19632,2181,2954,2954,0,0,0,0,0,0,0,0
1971:Q1,205658,0,0,0,47197,4076,1502,7842,4909,0,0,0,28868,17257,961,16296,80941,53215,0,0,27726,0,9690,9690,0,0,0,0,0,7533,0,275,7258,0,7302,7302,0,2478,2478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23229,20906,2323,2858,2858,0,0,0,0,0,0,0,0
1971:Q2,208627,0,0,0,48109,4141,1582,7991,4841,0,0,0,29554,17494,963,16531,82809,53226,0,0,29583,0,7241,7241,0,0,0,0,0,7950,0,304,7646,0,8159,8159,0,2279,2279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23883,21495,2388,3058,3058,0,0,0,0,0,0,0,0
1971:Q3,210048,0,0,0,48689,4173,1591,8056,5090,0,0,0,29779,17779,967,16812,83643,53829,0,0,29814,0,7637,7637,0,0,0,0,0,7720,0,301,7419,0,8785,8785,0,1507,1507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23180,20862,2318,2960,2960,0,0,0,0,0,0,0,0
1971:Q4,214955,0,0,0,49157,4239,1656,8103,5181,0,0,0,29978,18034,969,17065,84899,54528,0,0,30371,0,7936,7936,0,0,0,0,0,7682,0,291,7391,0,9764,9764,0,3597,3597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23157,20841,2316,2840,2840,0,0,0,0,0,0,0,0
1972:Q1,217091,0,0,0,49894,4413,1660,8029,5448,0,0,0,30344,18236,969,17267,85590,55301,0,0,30289,0,5992,5992,0,0,0,0,0,8160,0,306,7854,0,11646,11646,0,2096,2096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24720,22248,2472,2772,2772,0,0,0,0,0,0,0,0
1972:Q2,221770,0,0,0,50060,4456,1691,8139,5145,0,0,0,30629,18493,971,17522,88522,56099,0,0,32423,0,6075,6075,0,0,0,0,0,8441,0,325,8116,0,13000,13000,0,2326,2326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25488,22939,2549,2296,2296,0,0,0,0,0,0,0,0
1972:Q3,222275,0,0,0,51030,4666,1745,8297,5271,0,0,0,31051,18751,980,17771,89516,56823,0,0,32693,0,6736,6736,0,0,0,0,0,8371,0,317,8054,0,13394,13394,0,612,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24999,22499,2500,2264,2264,0,0,0,0,0,0,0,0
1972:Q4,231151,0,0,0,51687,4624,1900,8197,5526,0,0,0,31440,18984,981,18003,91055,57691,0,0,33364,0,7979,7979,0,0,0,0,0,8394,0,320,8074,0,13485,13485,0,2709,2709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27362,24626,2736,2598,2598,0,0,0,0,0,0,0,0
1973:Q1,233614,0,0,0,52832,4844,2000,9191,4797,0,0,0,32000,19267,983,18284,91741,58559,0,0,33182,0,8420,8420,0,0,0,0,0,9295,0,330,8965,0,12401,12401,0,309,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29140,26226,2914,3161,3161,0,0,0,0,0,0,189,189
1973:Q2,242826,0,0,0,53265,4858,2036,9434,4555,0,0,0,32382,19698,985,18713,94980,59483,0,0,35497,0,11145,11145,0,0,0,0,0,9683,0,363,9320,0,10845,10845,0,1416,1416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30871,27784,3087,3520,3520,0,0,0,0,0,0,166,166
1973:Q3,248400,0,0,0,54280,4858,2081,9527,4971,0,0,0,32843,20594,997,19597,95078,59885,0,0,35193,0,14298,14298,0,0,0,0,0,9907,0,381,9526,0,10181,10181,0,648,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30583,27525,3058,4637,4637,0,0,0,0,0,0,24,24
1973:Q4,255177,0,0,0,54927,4969,2205,9729,4916,0,0,0,33108,21205,1006,20199,95853,60354,0,0,35499,0,15147,15147,0,0,0,0,0,9775,0,388,9387,0,9149,9149,0,3573,3573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32324,29092,3232,4300,4300,0,0,0,0,0,0,32,32
1974:Q1,255649,0,0,0,53435,5063,2114,9666,4974,0,0,0,31618,21651,1008,20643,96234,61121,0,0,35113,0,14995,14995,0,0,0,0,0,10663,0,408,10255,0,8502,8502,0,1080,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33968,30571,3397,4904,4904,0,0,0,0,0,0,51,51
1974:Q2,270671,0,0,0,54082,5259,2168,10029,4781,0,0,0,31845,22322,1017,21305,100846,61934,0,0,38912,0,17642,17642,0,0,0,0,0,11287,0,458,10829,0,8033,8033,0,3135,3135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34660,31194,3466,5372,5372,0,0,0,0,0,0,118,118
1974:Q3,303549,0,0,0,55462,5491,2386,10179,5173,110,0,0,32123,23209,1034,22175,124622,87997,0,0,36625,0,20772,20772,0,0,0,0,0,12023,0,487,11536,0,7732,7732,0,3044,3044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35592,32033,3559,4914,4914,0,0,0,0,0,0,144,144
1974:Q4,313676,0,0,0,58544,5480,3741,10291,5592,695,0,0,32745,23904,1042,22862,125184,88447,0,0,36737,0,21804,21804,0,0,0,0,0,12423,0,502,11921,0,7583,7583,0,3433,3433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37163,33447,3716,4901,4901,0,0,0,0,0,0,253,253
1975:Q1,316059,0,0,0,60555,5671,3796,10737,5688,953,0,0,33710,24368,1042,23326,128562,90615,0,0,37947,0,18164,18164,0,0,0,0,0,12552,0,516,12036,0,7581,7581,0,2782,2782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37798,34018,3780,4677,4677,0,0,0,0,0,0,290,290
1975:Q2,324120,0,0,0,62541,5841,3787,11521,5678,1247,0,0,34467,24755,1047,23708,133983,90940,0,0,43043,0,16803,16803,0,0,0,0,0,13392,0,580,12812,0,7709,7709,0,3586,3586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38706,34835,3871,4667,4667,0,0,0,0,0,0,238,238
1975:Q3,322970,0,0,0,64211,5976,3877,12219,5793,1408,0,0,34938,25151,1052,24099,132119,90157,0,0,41962,0,17482,17482,0,0,0,0,0,13500,0,595,12905,0,8030,8030,0,1519,1519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39423,35481,3942,4496,4496,0,0,0,0,0,0,249,249
1975:Q4,332671,0,0,0,65444,6022,3999,12527,5781,1559,0,0,35556,25522,1055,24467,133227,91204,0,0,42023,0,17845,17845,0,0,0,0,0,13974,0,603,13371,0,8605,8605,0,4722,4722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40880,36792,4088,3400,3400,0,0,0,0,0,0,325,325
1976:Q1,340001,0,0,0,68200,6145,4354,12836,7040,1534,0,0,36291,25811,1048,24763,134652,92403,1000,0,41249,0,15757,15757,0,0,0,0,0,14600,0,646,13954,0,9959,9959,0,4797,4797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43534,39181,4353,3500,3500,0,0,0,0,0,0,290,290
1976:Q2,352277,0,0,0,67763,6260,4040,13170,5733,1534,0,0,37026,26189,1053,25136,142978,93393,2000,0,47585,0,15274,15274,0,0,0,0,0,15604,0,705,14899,0,11223,11223,0,3881,3881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45605,41045,4561,3600,3600,0,0,0,0,0,0,377,377
1976:Q3,358124,0,0,0,71334,6509,4137,14245,6970,1490,0,0,37983,26550,1056,25494,143196,94008,3000,0,46188,0,16062,16062,0,0,0,0,0,16050,0,734,15316,0,11645,11645,0,3165,3165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46330,41697,4633,3700,3700,0,0,0,0,0,0,493,493
1976:Q4,375925,0,0,0,73172,6496,4197,14478,7817,1172,0,0,39012,26890,1056,25834,147565,96590,4460,0,46515,0,15862,15862,0,0,0,0,0,16243,0,715,15528,0,12510,12510,0,7424,7424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49460,44514,4946,3781,3781,0,0,0,0,0,0,495,495
1977:Q1,378364,0,0,0,74367,6274,4330,15175,8159,410,0,0,40019,27304,1056,26248,149688,97550,6824,0,45314,0,14462,14462,0,0,0,0,0,18075,0,805,17270,0,12936,12936,0,1431,1431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53065,47759,5307,3700,3700,0,0,0,0,0,0,642,642
1977:Q2,391097,0,0,0,73923,6319,4357,16185,6118,430,0,0,40514,27760,1051,26709,154556,98449,9185,0,46922,0,15717,15717,0,0,0,0,0,18247,0,851,17396,0,14024,14024,0,2271,2271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56765,51089,5677,3800,3800,0,0,0,0,0,0,594,594
1977:Q3,404218,0,0,0,77186,6501,4476,17004,7334,510,0,0,41361,28198,1057,27141,164243,99634,11545,0,53064,0,17054,17054,0,0,0,0,0,18484,0,886,17598,0,13981,13981,0,-282,-282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57689,51920,5769,3800,3800,0,0,0,0,0,0,548,548
1977:Q4,427085,0,0,0,78749,6585,4255,17605,8022,515,0,0,41767,28616,1060,27556,168291,101204,13910,0,53177,0,20173,20173,0,0,0,0,0,18319,0,835,17484,0,14527,14527,0,5344,5344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62957,56661,6296,3810,3810,0,0,0,0,0,0,645,645
1978:Q1,436947,0,0,0,82445,6728,4955,19362,8307,590,0,0,42503,29064,1057,28007,172274,103865,16509,0,51900,0,21278,21278,0,0,0,0,0,18300,0,823,17477,0,16401,16401,0,1906,1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66305,59675,6631,4000,4000,0,0,0,0,0,0,793,793
1978:Q2,455204,0,0,0,84526,6851,5410,21539,6464,690,0,0,43572,29676,1060,28616,175286,102833,19112,0,53341,0,25274,25274,0,0,0,0,0,19382,0,885,18497,0,18950,18950,0,3598,3598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68980,62082,6898,4200,4200,0,0,0,0,0,0,1043,1043
1978:Q3,475911,0,0,0,88993,7181,6060,23713,6461,745,0,0,44833,30311,1061,29250,185132,103882,21714,0,59536,0,29158,29158,0,0,0,0,0,20159,0,942,19217,0,20731,20731,0,5066,5066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68597,61737,6860,4400,4400,0,0,0,0,0,0,1412,1412
1978:Q4,505814,0,0,0,91309,7397,6186,24942,6466,915,0,0,45403,31212,1066,30146,196986,112547,24320,0,60119,0,32670,32670,0,0,0,0,0,20467,0,957,19510,0,17145,17145,0,11147,11147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74411,66970,7441,4628,4628,0,0,0,0,0,0,901,901
1979:Q1,505916,0,0,0,93434,7467,6485,25615,6481,1030,0,0,46356,32242,1077,31165,196374,113589,24390,0,58395,0,31881,31881,0,0,0,0,0,21814,0,1025,20789,0,16326,16326,0,4274,4274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78516,70664,7852,4500,4500,0,0,0,0,0,0,1341,1341
1979:Q2,525883,0,0,0,98414,7893,7008,28580,6648,1140,0,0,47145,33224,1085,32139,193997,109674,24463,0,59860,0,35071,35071,0,0,0,0,0,23430,0,1123,22307,0,18958,18958,0,6651,6651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82702,74432,8270,4400,4400,0,0,0,0,0,0,1878,1878
1979:Q3,549002,0,0,0,101503,8209,7399,30214,6551,1275,0,0,47855,34156,1095,33061,202868,110952,24535,0,67381,0,38596,38596,0,0,0,0,0,24000,0,1163,22837,0,20249,20249,0,8476,8476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81488,73339,8149,4300,4300,0,0,0,0,0,0,2459,2459
1979:Q4,569724,0,0,0,105837,8469,7629,31064,6662,1505,0,0,50508,35944,1119,34825,204213,111349,24610,0,68254,0,41838,41838,0,0,0,0,0,25923,0,1218,24705,0,17458,17458,0,14399,14399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84529,76076,8453,4230,4230,0,0,0,0,0,0,2888,2888
1980:Q1,571790,0,0,0,110131,8671,7982,32993,6714,1785,0,0,51986,38042,1147,36895,195205,105161,23910,0,66134,0,44122,44122,0,0,0,0,0,27714,0,1327,26387,0,18735,18735,0,8741,8741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85660,77094,8566,4100,4100,0,0,0,0,0,0,3452,3452
1980:Q2,578887,0,0,0,114569,8720,8522,35373,6779,2180,0,0,52995,40564,1187,39377,189801,98869,23630,0,67302,0,42364,42364,0,0,0,0,0,27859,0,1437,26422,0,18620,18620,0,12065,12065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84510,76059,8451,4000,4000,0,0,0,0,0,0,5568,5568
1980:Q3,598718,0,0,0,118537,9422,8935,36586,7138,2345,0,0,54111,41398,1192,40206,198691,98215,23630,0,76846,0,44161,44161,0,0,0,0,0,28800,0,1446,27354,0,19972,19972,0,16096,16096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82391,74152,8239,3900,3900,0,0,0,0,0,0,5263,5263
1980:Q4,622491,0,0,0,122279,9483,9300,37655,7586,2720,0,0,55535,42612,1201,41411,197510,96581,23850,0,77079,0,48963,48963,0,0,0,0,0,29228,0,1376,27852,0,24737,24737,0,22221,22221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86946,78251,8695,3703,3703,0,0,0,0,0,0,4502,4502
1981:Q1,623331,0,0,0,128597,9896,9572,40944,7813,3395,0,0,56977,44358,1147,43211,192335,94544,23490,0,74301,0,49175,49175,0,0,0,0,0,30300,0,1455,28845,0,21807,21807,0,14626,14626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87543,78789,8754,2700,2700,0,0,0,0,0,0,7712,7712
1981:Q2,645752,0,0,0,134396,10292,10109,44066,8570,3400,0,0,57959,46099,1160,44939,191426,92774,23210,0,75442,0,56095,56095,0,0,0,0,0,31285,0,1613,29672,0,22179,22179,0,13063,13063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94310,84879,9431,3167,3167,0,0,0,0,0,0,8077,8077
1981:Q3,670406,0,0,0,138371,10530,10612,45525,8469,4300,0,0,58935,48304,1262,47042,198927,88822,23210,0,86895,0,64347,64347,0,0,0,0,0,32050,0,1673,30377,0,21068,21068,0,12289,12289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93060,83754,9306,3650,3650,0,0,0,0,0,0,10776,10776
1981:Q4,694357,0,0,0,141561,10998,10763,46394,8824,4600,0,0,59982,49966,1260,48706,197394,87235,22980,0,87179,0,65194,65194,0,0,0,0,0,30704,0,1541,29163,0,23023,23023,0,18359,18359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97580,87822,9758,4092,4092,0,0,0,0,0,0,15400,15400
1982:Q1,690057,0,0,0,144180,11193,10970,47344,9068,5000,0,0,60605,51265,1252,50013,194669,87196,23160,0,84313,0,66162,66162,0,0,0,0,0,30331,0,1506,28825,0,19250,19250,0,14104,14104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98108,88297,9811,3500,3500,0,0,0,0,0,0,16653,16653
1982:Q2,707356,0,0,0,148562,11717,11243,49177,9606,5000,0,0,61819,52615,1245,51370,194689,84964,23380,0,86345,0,69398,69398,0,0,0,0,0,31021,0,1628,29393,0,19099,19099,0,17173,17173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99445,89501,9945,2928,2928,0,0,0,0,0,0,17267,17267
1982:Q3,725751,0,0,0,153835,12374,12083,50666,9653,5000,0,0,64059,53661,1238,52423,204371,82275,23580,0,98516,0,67642,67642,0,0,0,0,0,30600,0,1649,28951,0,20798,20798,0,17554,17554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99097,89187,9910,3000,3000,0,0,0,0,0,0,20098,20098
1982:Q4,742147,0,0,0,155448,12638,12075,51184,9791,5000,0,0,64760,54187,1226,52961,208006,83081,25680,0,99245,0,66001,66001,0,0,0,0,0,29061,0,1498,27563,0,25791,25791,0,23313,23313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98324,88492,9832,3053,3053,0,0,0,0,0,0,20144,20144
1983:Q1,728409,0,0,0,157119,12778,12011,51804,10033,5000,0,0,65493,54641,1214,53427,204775,81261,27140,0,96374,0,60016,60016,0,0,0,0,0,29475,24,1424,27576,451,26743,26743,0,17947,17947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99629,89666,9963,2600,2600,0,0,0,0,0,0,21499,21499
1983:Q2,753840,0,0,0,160156,12900,12396,53034,10350,5000,0,0,66476,54911,1200,53711,212980,81135,33110,0,98735,0,58793,58793,0,0,0,0,0,30409,64,1488,27670,1187,32758,32758,0,18856,18856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101694,91525,10169,2240,2240,0,0,0,0,0,0,23439,23439
1983:Q3,778890,0,0,0,162056,13216,12117,53648,10703,5000,0,0,67372,55050,1190,53860,228656,82056,35100,0,111500,0,57862,57862,0,0,0,0,0,31201,106,1489,27661,1945,33781,33781,0,19773,19773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102607,92346,10261,2450,2450,0,0,0,0,0,0,23985,23985
1983:Q4,802263,0,0,0,163038,13400,11632,53968,10900,5000,0,0,68138,55243,1180,54063,232480,81963,36730,0,113787,0,58953,58953,0,0,0,0,0,31160,133,1404,27160,2463,34177,34177,0,22573,22573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110351,99316,11035,2726,2726,0,0,0,0,0,0,25890,25890
1984:Q1,808024,0,0,0,164963,13323,11573,54639,10713,5000,0,0,69715,55349,1165,54184,231882,82192,38050,0,111640,0,57608,57608,0,0,0,0,0,32123,149,1383,27817,2774,31723,31723,0,18812,18812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116703,105033,11670,2300,2300,0,0,0,0,0,0,31823,31823
