1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,5167,5167,0,0,5167,566,0,0,-41,25,3523,0,11,68,952,8,2,0,0,0,53,0,0,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,2263,2263,0,0,2263,58,0,0,-42,18,1648,0,0,95,445,5,8,0,0,0,28,0,0,ND,ND,ND,ND,ND,ND
1954:Q3,2722,2722,0,0,2722,104,0,0,65,17,1991,0,0,-40,488,5,10,0,0,0,82,0,0,ND,ND,ND,ND,ND,ND
1954:Q4,3020,3020,0,0,3020,71,0,0,81,14,2117,0,1,-9,670,7,9,0,0,0,59,0,0,ND,ND,ND,ND,ND,ND
1955:Q1,2881,2881,0,0,2881,49,0,0,90,11,1954,0,4,98,570,9,9,0,0,0,87,0,0,ND,ND,ND,ND,ND,ND
1955:Q2,3460,3460,0,0,3460,49,0,0,59,8,2592,0,7,38,530,9,10,9,0,0,149,0,0,ND,ND,ND,ND,ND,ND
1955:Q3,3335,3335,0,0,3335,-43,0,0,10,8,2577,0,7,-17,537,11,11,21,0,0,213,0,0,ND,ND,ND,ND,ND,ND
1955:Q4,2904,2904,0,0,2904,74,0,0,0,11,1854,0,6,-2,871,12,9,56,0,0,13,0,0,ND,ND,ND,ND,ND,ND
1956:Q1,2420,2420,0,0,2420,133,0,0,-15,13,1576,0,4,-2,690,13,10,70,0,0,-72,0,0,ND,ND,ND,ND,ND,ND
1956:Q2,2971,2971,0,0,2971,80,0,0,-12,12,2064,0,3,127,599,15,9,77,0,0,-3,0,0,ND,ND,ND,ND,ND,ND
1956:Q3,2847,2847,0,0,2847,-18,0,0,-13,17,2138,0,2,-53,560,16,11,119,0,0,68,0,0,ND,ND,ND,ND,ND,ND
1956:Q4,2571,2571,0,0,2571,84,0,0,-4,29,1592,0,2,-3,620,16,13,297,0,0,-75,0,0,ND,ND,ND,ND,ND,ND
1957:Q1,2106,2106,0,0,2106,235,0,0,9,39,1018,0,1,85,485,16,17,382,0,0,-181,0,0,ND,ND,ND,ND,ND,ND
1957:Q2,2188,2188,0,0,2188,170,0,0,29,51,1455,0,0,8,299,15,19,218,0,0,-76,0,0,ND,ND,ND,ND,ND,ND
1957:Q3,2358,2358,0,0,2358,95,0,0,51,55,1666,0,0,-35,289,16,22,196,0,0,3,0,0,ND,ND,ND,ND,ND,ND
1957:Q4,1977,1977,0,0,1977,59,0,0,77,50,1407,0,1,-59,238,16,22,191,0,0,-25,0,0,ND,ND,ND,ND,ND,ND
1958:Q1,1601,1601,0,0,1601,13,0,0,52,48,939,0,6,74,247,17,23,82,0,0,100,0,0,ND,ND,ND,ND,ND,ND
1958:Q2,2167,2167,0,0,2167,183,0,0,27,46,1950,0,9,-35,171,16,25,-324,0,0,99,0,0,ND,ND,ND,ND,ND,ND
1958:Q3,2893,2893,0,0,2893,75,0,0,27,48,2429,0,9,34,186,19,27,-61,0,0,100,0,0,ND,ND,ND,ND,ND,ND
1958:Q4,3142,3142,0,0,3142,128,0,0,124,52,2352,0,4,-46,329,21,30,48,0,0,100,0,0,ND,ND,ND,ND,ND,ND
1959:Q1,2788,2788,0,0,2788,20,-14,0,317,57,1834,0,1,104,233,25,30,83,0,0,98,0,0,ND,ND,ND,ND,ND,ND
1959:Q2,3439,3439,0,0,3439,0,-12,0,333,64,2736,0,-2,7,194,28,30,110,0,0,-49,0,0,ND,ND,ND,ND,ND,ND
