1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q1,238791,0,0,0,0,0,0,22334,0,216457,238791
1968:Q2,243833,0,0,0,0,0,0,23603,0,220230,243833
1968:Q3,248166,0,0,0,0,0,0,23594,0,224572,248166
1968:Q4,252576,0,0,0,0,0,0,23628,0,228948,252576
1969:Q1,257215,0,0,0,0,0,0,23755,0,233460,257215
1969:Q2,262443,0,0,0,0,0,0,24871,0,237572,262443
1969:Q3,267166,0,0,0,0,0,0,25176,0,241990,267166
1969:Q4,271729,0,0,0,0,0,0,25147,0,246582,271729
1970:Q1,279823,0,0,0,0,0,0,25185,0,254638,279823
1970:Q2,288618,0,0,0,0,0,0,26910,0,261708,288618
1970:Q3,296637,0,0,0,0,0,0,27046,0,269591,296637
1970:Q4,304665,0,0,0,0,0,0,27528,0,277137,304665
1971:Q1,311535,0,0,0,0,0,0,27726,0,283809,311535
1971:Q2,319084,0,0,0,0,0,0,29583,0,289501,319084
1971:Q3,325799,0,0,0,0,0,0,29814,0,295985,325799
1971:Q4,332668,0,0,0,0,0,0,30371,0,302297,332668
1972:Q1,339900,0,0,0,0,0,0,30289,0,309611,339900
1972:Q2,347994,0,0,0,0,0,0,32423,0,315571,347994
1972:Q3,355206,0,0,0,0,0,0,32693,0,322513,355206
1972:Q4,362458,0,0,0,0,0,0,33364,0,329094,362458
1973:Q1,369946,0,0,0,0,0,0,33182,0,336764,369946
1973:Q2,378319,0,0,0,0,0,0,35497,0,342822,378319
1973:Q3,385715,0,0,0,0,0,0,35193,0,350522,385715
1973:Q4,393275,0,0,0,0,0,0,35499,0,357776,393275
1974:Q1,400970,0,0,0,0,0,0,35113,0,365857,400970
1974:Q2,409655,0,0,0,0,0,0,38912,0,370743,409655
1974:Q3,417159,0,1501,1501,0,0,0,36625,0,379033,417159
1974:Q4,424817,0,1501,1501,0,0,0,36737,0,386579,424817
1975:Q1,432623,0,0,0,0,0,0,37947,0,394676,432623
1975:Q2,441366,0,0,0,0,0,0,43043,0,398323,441366
1975:Q3,448879,0,0,0,0,0,0,41962,0,406917,448879
1975:Q4,456596,0,38,38,0,0,0,42023,0,414535,456596
1976:Q1,464663,0,74,74,0,0,0,41249,0,423340,464663
1976:Q2,473805,0,96,96,0,0,0,47585,0,426124,473805
1976:Q3,481472,0,124,124,0,0,0,46188,0,435160,481472
1976:Q4,489612,0,142,142,0,0,0,46515,0,442955,489612
1977:Q1,497807,0,152,152,0,0,0,45314,0,452341,497807
1977:Q2,507281,0,6,6,0,0,0,46922,0,460353,507281
1977:Q3,515436,0,38,38,0,0,0,53064,0,462334,515436
1977:Q4,523804,0,55,55,0,0,0,53177,0,470572,523804
1978:Q1,533860,0,66,66,0,0,0,51900,0,481894,533860
1978:Q2,545218,0,84,84,0,0,0,53341,0,491793,545218
1978:Q3,554977,0,117,117,0,0,0,59536,0,495324,554977
1978:Q4,565310,0,140,140,0,0,0,60119,0,505051,565310
1979:Q1,575555,0,156,156,0,0,0,58395,0,517004,575555
1979:Q2,587168,0,186,186,0,0,0,59860,0,527122,587168
1979:Q3,597407,0,226,226,0,0,0,67381,0,529800,597407
1979:Q4,608163,0,5,5,0,0,0,68254,0,539904,608163
1980:Q1,618645,0,27,27,0,0,0,66134,0,552484,618645
1980:Q2,630342,0,56,56,0,0,0,67302,0,562984,630342
1980:Q3,640721,0,78,78,0,0,0,76846,0,563797,640721
1980:Q4,651536,0,104,104,0,0,0,77079,0,574353,651536
1981:Q1,662352,0,138,138,0,0,0,74301,0,587913,662352
1981:Q2,674536,0,211,211,0,0,0,75442,0,598883,674536
1981:Q3,685230,0,0,0,0,0,0,86895,0,598335,685230
1981:Q4,696095,0,0,0,0,0,0,87179,0,608916,696095
1982:Q1,707641,0,0,0,0,0,0,84313,0,623328,707641
