1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q4,11481,574,10907,0,11481,3175,0,0,74,0,4771,0,3288,45,48,0,0,0,80,0
1953:Q1,11587,579,11008,0,11587,3228,0,0,96,0,4795,0,3305,48,52,0,0,0,63,0
1953:Q2,11766,588,11178,0,11766,3280,0,0,120,0,4868,0,3320,51,56,0,0,0,71,0
1953:Q3,11934,597,11337,0,11934,3326,0,0,159,0,4919,0,3332,54,59,0,0,0,85,0
1953:Q4,12121,606,11515,0,12121,3403,0,0,184,0,4971,0,3363,57,64,0,0,0,79,0
1954:Q1,12174,609,11565,0,12174,3466,0,0,158,0,4972,0,3369,60,68,0,0,0,81,0
1954:Q2,12312,616,11696,0,12312,3535,0,0,183,0,4999,0,3376,62,73,0,0,0,84,0
1954:Q3,12452,623,11829,0,12452,3590,0,0,251,0,4990,0,3385,65,78,0,0,0,93,0
1954:Q4,12665,633,12032,0,12665,3688,0,0,268,0,5054,0,3404,69,83,0,0,0,99,0
1955:Q1,12782,639,12143,0,12782,3776,0,0,295,0,5005,0,3436,73,88,0,0,0,109,0
1955:Q2,12989,649,12340,0,12989,3859,0,0,325,0,5053,0,3456,78,93,0,0,0,125,0
1955:Q3,13179,659,12520,0,13179,3940,0,0,337,0,5091,0,3480,83,98,0,0,0,150,0
1955:Q4,13490,675,12816,0,13490,4055,0,0,383,0,5157,0,3552,90,103,0,0,0,150,0
1956:Q1,13657,683,12974,0,13657,4149,0,0,398,0,5184,0,3579,98,109,1,0,0,139,0
1956:Q2,13827,691,13136,0,13827,4261,0,0,413,0,5195,0,3603,106,113,1,0,0,135,0
1956:Q3,13972,699,13273,0,13972,4361,0,0,417,0,5209,0,3610,115,119,0,0,0,141,0
1956:Q4,14064,703,13361,0,14064,4443,0,0,426,0,5200,0,3615,124,126,0,0,0,130,0
1957:Q1,14085,704,13381,0,14085,4519,0,0,444,0,5171,0,3578,132,135,0,0,0,106,0
1957:Q2,14182,709,13473,0,14182,4616,0,0,450,0,5185,0,3549,140,146,0,0,0,96,0
1957:Q3,14379,717,13614,48,14379,4772,0,0,452,0,5206,0,3547,149,158,0,0,0,95,0
1957:Q4,14611,726,13789,96,14611,4915,0,0,469,0,5255,0,3551,158,171,0,0,0,92,0
1958:Q1,15025,740,14063,222,15025,5168,0,0,485,1,5365,0,3550,168,185,0,0,0,103,0
1958:Q2,15517,759,14412,347,15517,5469,0,0,500,3,5505,0,3549,178,199,0,0,0,114,0
1958:Q3,16020,779,14802,439,16020,5735,0,0,513,5,5690,0,3548,189,215,0,0,0,125,0
1958:Q4,16565,802,15231,532,16565,5984,0,0,603,6,5854,0,3547,202,233,0,0,0,136,0
1959:Q1,17132,828,15723,581,17132,6204,0,0,698,7,5996,0,3611,217,251,0,0,0,148,0
1959:Q2,17679,852,16195,632,17679,6457,0,0,777,8,6138,0,3656,233,268,0,0,0,142,0
1959:Q3,18212,874,16599,739,18212,6727,0,0,851,9,6287,0,3648,250,288,0,0,0,152,0
1959:Q4,18700,893,16960,847,18700,6985,0,0,904,12,6392,0,3666,268,313,0,0,0,160,0
1960:Q1,19199,913,17339,947,19199,7227,0,0,939,14,6480,0,3741,289,345,0,0,0,164,0
1960:Q2,19702,933,17720,1049,19702,7438,0,0,971,15,6647,0,3784,311,382,0,0,0,154,0
1960:Q3,20293,957,18186,1150,20293,7662,0,0,996,18,6859,0,3840,333,421,1,0,0,163,0
1960:Q4,20786,977,18557,1252,20786,7867,0,0,1024,26,7034,0,3865,353,458,2,0,0,157,0
1961:Q1,21424,1006,19112,1306,21424,8080,0,0,1039,37,7272,0,3968,373,495,2,0,0,158,0
1961:Q2,21943,1029,19554,1360,21943,8245,0,0,1059,52,7500,0,3999,389,532,2,0,0,165,0
1961:Q3,22790,1069,20304,1417,22790,8481,0,0,1087,70,7901,0,4079,407,569,2,0,0,194,0
1961:Q4,23622,1107,21041,1474,23622,8765,0,0,1107,91,8153,0,4250,427,603,2,0,0,224,0
1962:Q1,24218,1133,21531,1554,24218,8806,0,0,1109,115,8580,0,4306,448,633,3,0,0,218,0
1962:Q2,24937,1165,22137,1635,24937,8901,0,0,1146,142,8992,0,4376,469,660,8,0,0,243,0
