1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2007:Q1,-119600,-88860,3780,-20720,-5356,-5528,-5888,2972,0,6885,6136,749,-126486
2007:Q2,-70729,-31117,3784,-34644,-4008,-4104,-380,-260,0,-17561,-35656,18095,-53167
2007:Q3,-17445,-52893,3780,27792,1364,1396,1172,-56,0,-33087,-27660,-5427,15642
2007:Q4,-46406,-25502,3784,-23720,2424,2488,-748,-5132,0,-97917,-88432,-9485,51511
2008:Q1,-21882,37794,6684,-62152,-2116,-2156,636,-572,0,-33742,-36948,3206,11860
2008:Q2,-135011,-46159,6680,-81944,-7828,-8032,-24,2296,0,-80688,-85556,4868,-54323
2008:Q3,-10978,46666,6684,-45476,-9028,-9248,-260,-316,0,-39257,-42976,3719,28279
2008:Q4,-201753,-25797,6684,-187240,2724,2776,-688,-212,0,-81457,-87364,5907,-120296
2009:Q1,-50032,-48704,-6260,6740,-1164,-1160,-268,784,0,-24247,-17356,-6891,-25786
2009:Q2,12204,31816,-6260,-20580,1536,1592,-3176,7276,0,79104,86224,-7120,-66900
2009:Q3,78869,15037,-6260,65552,332,352,-3136,6992,0,30946,39384,-8438,47923
2009:Q4,-41481,-11165,-6264,-28928,5656,5816,-4480,-2116,0,25289,31436,-6147,-66769
2010:Q1,-45377,-7078,-732,-28035,-1860,-1916,-416,-5340,0,14624,15560,-936,-60002
2010:Q2,105084,37476,-732,67777,176,184,300,-96,0,27319,29120,-1801,77766
2010:Q3,38782,5982,-732,14940,4904,5040,616,8032,0,-8151,-6648,-1503,46933
2010:Q4,144179,134412,-732,22339,-744,-752,536,-10880,0,66076,66216,-140,78103
2011:Q1,53758,35664,584,15671,36,40,-556,2320,0,40653,39348,1305,13105
2011:Q2,46971,-4848,584,53496,-628,-644,-1436,448,0,41263,40868,395,5708
2011:Q3,64926,45060,584,27914,-4584,-4716,3272,-2604,0,16461,17040,-579,48465
2011:Q4,-11816,-22488,584,10332,1884,1940,556,-4624,0,-1322,-1996,674,-10494
2012:Q1,70969,14468,7608,39133,3324,3428,1184,1824,0,37943,30120,7823,33026
2012:Q2,26524,13897,7608,4872,680,728,-688,-572,0,35091,28064,7027,-8567
2012:Q3,24592,-8469,7608,19121,1764,1828,-580,3320,0,5861,-1176,7037,18731
2012:Q4,4535,-14468,7608,15122,-1140,-1148,944,-2384,0,34229,26208,8021,-29694
2013:Q1,-22898,-8785,3172,-21990,-704,-760,804,5364,0,24196,21544,2652,-47094
2013:Q2,-99010,-34022,3176,-52584,-7392,-7604,-648,64,0,7302,3996,3306,-106312
2013:Q3,9081,-17242,3172,16611,2444,2508,940,648,0,47231,44128,3103,-38150
2013:Q4,3027,20404,3176,-17297,552,564,-868,-3504,0,32363,28984,3379,-29336
2014:Q1,34381,-744,6848,21321,532,536,2696,3192,0,27102,20740,6362,7279
2014:Q2,44688,3020,6848,34523,-1136,-1164,116,2480,0,41580,34516,7064,3107
2014:Q3,78070,73693,6848,-1274,-1532,-1572,824,1084,0,-19213,-26232,7019,97283
2014:Q4,2625,-27097,6844,27658,168,172,332,-5452,0,-36707,-44008,7301,39332
2015:Q1,31797,-278,5164,12404,4284,4412,2516,3296,0,79111,73636,5475,-47313
2015:Q2,-19214,20687,5160,-44097,332,348,860,-2504,0,8301,3044,5257,-27516
2015:Q3,-38442,-37238,5160,4276,-5100,-5252,388,-676,0,-35778,-41224,5446,-2664
2015:Q4,-68997,-67983,5164,-9375,3572,3676,-632,-3420,0,-22199,-27584,5385,-46798
2016:Q1,8185,-39369,10008,21599,4288,4420,3840,3400,0,32293,22660,9633,-24107
2016:Q2,10014,-12875,10012,20954,-1252,-1300,-3260,-2264,0,62876,53044,9832,-52862
2016:Q3,2534,2036,10012,-2458,-4972,-5108,888,2136,0,16841,5252,11589,-14307
