1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,12890,1238,0,0,7687,0,5417,0,1448,822,118,3,2911,83,0,0,850,0,0,0,0,8635,8372,0,0,69,0,128,8175,0,7912,263,263,0,263,0,0,ND,ND,7912,0,0,0
1952:Q1,13203,1251,0,0,7929,0,5445,0,1582,902,120,3,2941,83,0,0,876,0,0,0,0,8943,8680,0,0,69,0,192,8419,0,8156,263,263,0,263,0,0,ND,ND,8156,0,0,0
1952:Q2,13483,1270,0,0,8063,0,5348,0,1728,987,121,3,3040,85,0,0,901,0,0,0,0,9190,8926,0,0,69,0,176,8681,0,8417,264,264,0,264,0,0,ND,ND,8417,0,0,0
1952:Q3,13765,1293,0,0,8358,0,5693,0,1739,926,122,4,2977,86,0,0,925,0,0,0,0,9465,9200,0,0,69,0,189,8942,0,8677,265,265,0,265,0,0,ND,ND,8677,0,0,0
1952:Q4,14336,1320,0,0,8610,0,5774,0,1869,967,123,4,3245,86,0,0,948,0,0,0,0,9764,9485,0,0,72,0,218,9195,0,8916,279,279,0,279,0,0,ND,ND,8916,0,0,0
1953:Q1,14598,1343,0,0,8906,0,5877,0,2023,1006,125,4,3165,88,0,0,967,0,0,0,0,9960,9681,0,0,73,0,189,9419,0,9140,279,279,0,279,0,0,ND,ND,9140,0,0,0
1953:Q2,14828,1361,0,0,9127,0,5884,0,2202,1041,129,4,3134,90,0,0,983,0,0,0,0,10183,9903,0,0,73,0,195,9635,0,9355,280,280,0,280,0,0,ND,ND,9355,0,0,0
1953:Q3,15160,1372,0,0,9429,0,5957,0,2402,1070,134,4,3133,92,0,0,996,0,0,0,0,10440,10159,0,0,73,0,248,9838,0,9557,281,281,0,281,0,0,ND,ND,9557,0,0,0
1953:Q4,15694,1375,0,0,9734,0,6025,0,2617,1092,139,4,3344,92,0,0,1006,0,0,0,0,10752,10462,0,0,76,0,355,10031,0,9741,290,290,0,290,0,0,ND,ND,9741,0,0,0
1954:Q1,16191,1371,0,0,9925,0,5986,0,2829,1110,143,4,3637,94,0,0,1017,0,0,0,0,10882,10591,0,0,76,0,323,10192,0,9901,291,291,0,291,0,0,ND,ND,9901,0,0,0
1954:Q2,16681,1360,0,0,10149,0,5993,0,3032,1124,145,4,3897,96,0,0,1030,0,0,0,0,10931,10639,0,0,76,0,239,10324,0,10032,292,292,0,292,0,0,ND,ND,10032,0,0,0
1954:Q3,17267,1344,0,0,10415,0,6057,0,3222,1136,145,4,4216,98,0,0,1045,0,0,0,0,11088,10795,0,0,76,0,266,10453,0,10160,293,293,0,293,0,0,ND,ND,10160,0,0,0
1954:Q4,17867,1323,0,0,10685,0,6137,0,3402,1146,143,4,4539,109,0,0,1064,0,0,0,0,11293,10967,0,0,85,0,246,10636,0,10310,326,326,0,326,0,0,ND,ND,10310,0,0,0
1955:Q1,18032,1316,0,0,10764,0,6022,0,3587,1155,144,4,4609,111,0,0,1084,0,0,0,0,11438,11111,0,0,85,0,220,10806,0,10479,327,327,0,327,0,0,ND,ND,10479,0,0,0
1955:Q2,18627,1319,0,0,10909,0,5964,0,3781,1164,146,5,5030,112,0,0,1106,0,0,0,0,11563,11234,0,0,85,0,159,10990,0,10661,329,329,0,329,0,0,ND,ND,10661,0,0,0
1955:Q3,19206,1331,0,0,11202,0,6045,0,3984,1173,149,5,5275,114,0,0,1130,0,0,0,0,11777,11447,0,0,86,0,182,11179,0,10849,330,330,0,330,0,0,ND,ND,10849,0,0,0
1955:Q4,19564,1348,0,0,11377,0,6000,0,4194,1183,152,5,5408,118,0,0,1156,0,0,0,0,12006,11649,0,0,93,0,165,11391,0,11034,357,357,0,357,0,0,ND,ND,11034,0,0,0
1956:Q1,20006,1354,0,0,11419,0,5834,0,4395,1190,156,5,5767,120,0,0,1185,0,0,0,0,12193,11834,0,0,93,0,167,11574,0,11215,359,359,0,359,0,0,ND,ND,11215,0,0,0
1956:Q2,19887,1345,0,0,11461,0,5683,0,4583,1195,159,5,5577,123,0,0,1217,0,0,0,0,12311,11951,0,0,93,0,108,11750,0,11390,360,360,0,360,0,0,ND,ND,11390,0,0,0
1956:Q3,19946,1320,0,0,11612,0,5655,0,4756,1201,161,5,5470,126,0,0,1252,0,0,0,0,12448,12088,0,0,94,0,60,11934,0,11574,360,360,0,360,0,0,ND,ND,11574,0,0,0
1956:Q4,20246,1280,0,0,11782,0,5657,0,4915,1210,161,5,5599,128,0,0,1291,0,0,0,0,12626,12261,0,0,95,0,18,12148,0,11783,365,365,0,365,0,0,ND,ND,11783,0,0,0
1957:Q1,20086,1253,0,0,11835,0,5530,0,5072,1233,161,5,5372,130,0,0,1330,0,0,0,0,12871,12505,0,0,95,0,25,12385,0,12019,366,366,0,366,0,0,ND,ND,12019,0,0,0
1957:Q2,20717,1242,0,0,11927,0,5423,0,5232,1272,161,5,5879,133,0,0,1370,0,0,0,0,13172,12805,0,0,95,0,58,12652,0,12285,367,367,0,367,0,0,ND,ND,12285,0,0,0
1957:Q3,20577,1249,0,0,12160,0,5437,0,5397,1326,161,5,5456,136,0,0,1410,0,0,0,0,13466,13099,0,0,96,0,82,12921,0,12554,367,367,0,367,0,0,ND,ND,12554,0,0,0
1957:Q4,20625,1272,0,0,12438,0,5480,0,5568,1390,161,6,5159,138,0,0,1451,0,0,0,0,13706,13350,0,0,93,0,101,13156,0,12800,356,356,0,356,0,0,ND,ND,12800,0,0,0
1958:Q1,20870,1298,0,0,12432,0,5248,0,5737,1447,161,6,5342,141,0,0,1490,0,0,0,0,13844,13487,0,0,93,0,15,13379,0,13022,357,357,0,357,0,0,ND,ND,13022,0,0,0
1958:Q2,21416,1321,0,0,12555,0,5160,0,5904,1491,161,6,5703,143,0,0,1527,0,0,0,0,14100,13743,0,0,93,0,73,13577,0,13220,357,357,0,357,0,0,ND,ND,13220,0,0,0
1958:Q3,22255,1337,0,0,12858,0,5265,0,6073,1520,161,6,6184,146,0,0,1563,0,0,0,0,14334,13977,0,0,93,0,105,13779,0,13422,357,357,0,357,0,0,ND,ND,13422,0,0,0
1958:Q4,23201,1345,0,0,13222,0,5439,0,6249,1534,160,6,6721,148,0,0,1599,0,0,0,0,14715,14320,0,0,103,0,166,14051,0,13656,395,395,0,395,0,0,ND,ND,13656,0,0,0
1959:Q1,23425,1348,0,0,13358,0,5360,0,6453,1545,160,6,6763,151,0,0,1639,0,0,0,0,14920,14525,0,0,103,0,104,14318,0,13923,395,395,0,395,0,0,ND,ND,13923,0,0,0
1959:Q2,24044,1348,0,0,13603,0,5356,0,6690,1557,158,6,7092,154,0,0,1683,0,0,0,0,15217,14821,0,0,103,0,98,14620,0,14224,396,396,0,396,0,0,ND,ND,14224,0,0,0
1959:Q3,24288,1345,0,0,14004,0,5476,0,6955,1573,155,6,6890,157,0,0,1731,0,0,0,0,15551,15154,0,0,103,0,127,14924,0,14527,397,397,0,397,0,0,ND,ND,14527,0,0,0
1959:Q4,25095,1337,0,0,14460,0,5626,0,7239,1595,146,6,7204,160,0,0,1782,0,0,0,0,15878,15465,0,0,107,0,145,15213,0,14800,413,413,0,413,0,0,ND,ND,14800,0,0,0
1960:Q1,25050,1334,0,0,14764,0,5532,114,7500,1618,145,7,6808,162,0,0,1830,0,0,0,0,16101,15688,0,0,108,0,118,15462,0,15049,413,413,0,413,0,0,ND,ND,15049,0,0,0
1960:Q2,25635,1333,0,0,14995,0,5437,190,7727,1641,145,7,7119,164,0,0,1872,0,0,0,0,16329,15914,0,0,108,0,111,15695,0,15280,415,415,0,415,0,0,ND,ND,15280,0,0,0
1960:Q3,25479,1333,0,0,15184,0,5439,163,7919,1663,147,7,6734,167,0,0,1907,0,0,0,0,16567,16150,0,0,108,0,124,15918,0,15501,417,417,0,417,0,0,ND,ND,15501,0,0,0
1960:Q4,26401,1332,0,0,15352,0,5446,140,8084,1682,149,7,7456,171,0,0,1934,0,0,0,0,16834,16403,0,0,112,0,139,16152,0,15721,431,431,0,431,0,0,ND,ND,15721,0,0,0
1961:Q1,27559,1337,0,0,15550,0,5239,340,8274,1697,153,7,8384,174,0,0,1954,0,0,0,0,17047,16614,0,0,112,0,133,16369,0,15936,433,433,0,433,0,0,ND,ND,15936,0,0,0
1961:Q2,27798,1344,0,0,15777,0,5118,452,8501,1706,156,7,8368,177,0,0,1969,0,0,0,0,17230,16797,0,0,113,0,105,16579,0,16146,433,433,0,433,0,0,ND,ND,16146,0,0,0
1961:Q3,28313,1354,0,0,16046,0,5206,364,8766,1710,157,7,8588,180,0,0,1981,0,0,0,0,17439,17005,0,0,113,0,109,16783,0,16349,434,434,0,434,0,0,ND,ND,16349,0,0,0
1961:Q4,29373,1365,0,0,16361,0,5358,234,9057,1712,155,7,9309,183,0,0,1993,0,0,0,0,17742,17259,0,0,125,0,106,17028,0,16545,483,483,0,483,0,0,ND,ND,16545,0,0,0
1962:Q1,29672,1388,0,0,16704,0,5275,368,9281,1780,154,8,9197,186,0,0,2035,0,0,0,0,17947,17464,0,0,126,0,130,17208,0,16725,483,483,0,483,0,0,ND,ND,16725,0,0,0
1962:Q2,28120,1422,0,0,17113,0,5214,511,9498,1890,150,8,7145,189,0,0,2093,0,0,0,0,18090,17606,0,0,126,0,114,17366,0,16882,484,484,0,484,0,0,ND,ND,16882,0,0,0
1962:Q3,29139,1454,0,0,17514,0,5276,534,9706,1998,144,8,7673,193,0,0,2153,0,0,0,0,23844,17780,0,0,126,0,122,17532,0,17047,485,6064,5579,485,0,0,ND,ND,17047,0,0,0
1962:Q4,30467,1471,0,0,17837,0,5439,433,9905,2060,134,8,8620,196,0,0,2201,0,0,0,0,25008,17946,0,0,120,0,114,17712,0,17249,463,7062,6599,463,0,0,ND,ND,17249,0,0,0
1963:Q1,31230,1473,0,0,18087,0,5329,586,10098,2074,131,8,9092,200,0,0,2239,0,0,0,0,25451,18179,0,0,121,0,92,17966,0,17503,463,7272,6809,463,0,0,ND,ND,17503,0,0,0
