1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1975:Q2,77345,1455,0,0,49392,0,3509,2914,31835,11134,172,103,16322,2542,0,0,7359,0,0,0,0,60945,56149,0,0,163,0,297,55689,0,55061,628,4796,4168,628,0,0,ND,ND,55061,0,0,0
1975:Q3,76977,1527,0,0,51145,0,3995,2829,32480,11841,191,110,13760,2718,0,0,7526,0,0,0,0,61638,57759,0,0,172,0,312,57275,0,56611,664,3879,3215,664,0,0,ND,ND,56611,0,0,0
1975:Q4,80281,1681,0,0,53487,0,4720,3302,33273,12192,221,118,14200,2906,0,0,7668,0,0,0,0,63937,59693,0,0,182,0,308,59203,0,58502,701,4244,3543,701,0,0,ND,ND,58502,0,0,0
1976:Q1,86109,1486,0,0,57269,0,5460,3574,34636,13599,221,126,15974,3108,0,0,7925,0,0,0,0,66747,62012,0,0,192,0,340,61480,0,60744,736,4735,3999,736,0,0,ND,ND,60744,0,0,0
1976:Q2,89171,1615,0,0,59493,0,5750,3887,35250,14606,245,135,16127,3324,0,0,8232,0,0,0,0,69088,64656,0,0,205,0,316,64135,0,63347,788,4432,3644,788,0,0,ND,ND,63347,0,0,0
1976:Q3,93481,1739,0,0,62789,0,6585,4021,36459,15724,244,144,16451,3555,0,0,8559,0,0,0,0,72614,67507,0,0,218,0,349,66940,0,66100,840,5107,4267,840,0,0,ND,ND,66100,0,0,0
1976:Q4,97861,1910,0,0,65944,0,7300,3859,38679,16106,273,154,16900,3802,0,0,8878,0,0,0,0,75564,70296,0,0,236,0,362,69698,0,68792,906,5268,4362,906,0,0,ND,ND,68792,0,0,0
1977:Q1,101874,1765,0,0,70252,0,8486,4311,41791,15664,327,165,16107,4065,0,0,9193,0,0,0,0,78146,73330,0,0,249,0,386,72695,0,71737,958,4816,3858,958,0,0,ND,ND,71737,0,0,0
1977:Q2,107627,1895,0,0,74458,0,7633,4326,43509,18990,368,176,16872,4348,0,0,9510,0,0,0,0,81950,76503,0,0,255,0,416,75832,0,74852,980,5447,4467,980,0,0,ND,ND,74852,0,0,0
1977:Q3,112568,1828,0,0,79044,0,8770,4225,46227,19822,395,188,16627,4650,0,0,9836,0,0,0,0,84911,79796,0,0,261,0,448,79087,0,78085,1002,5115,4113,1002,0,0,ND,ND,78085,0,0,0
1977:Q4,118341,2183,0,0,83324,0,9760,4386,49390,19788,384,201,17100,4973,0,0,10176,0,0,0,0,88597,83117,0,0,258,0,480,82379,0,81385,994,5480,4486,994,0,0,ND,ND,81385,0,0,0
1978:Q1,122291,1678,0,0,87659,0,9754,4362,53070,20473,375,208,16698,5143,0,0,10530,0,0,0,0,91976,86568,0,0,264,0,513,85791,0,84775,1016,5408,4392,1016,0,0,ND,ND,84775,0,0,0
1978:Q2,127802,1821,0,0,90860,0,9222,4525,56471,20642,365,215,18325,5319,0,0,10897,0,0,0,0,97748,90185,0,0,279,0,550,89356,0,88282,1074,7563,6489,1074,0,0,ND,ND,88282,0,0,0
1978:Q3,135206,2219,0,0,95438,0,9895,4313,60132,21098,366,223,20185,5501,0,0,11274,0,0,0,0,102284,93865,0,0,294,0,583,92988,0,91856,1132,8419,7287,1132,0,0,ND,ND,91856,0,0,0
1978:Q4,139800,2602,0,0,99831,0,10450,4887,62931,21563,391,230,19400,5690,0,0,11656,0,0,0,0,105777,97548,0,0,309,0,604,96635,0,95447,1188,8229,7041,1188,0,0,ND,ND,95447,0,0,0
1979:Q1,145673,2125,0,0,103644,0,10896,5124,65766,21858,448,238,21227,5884,0,0,12107,0,0,0,0,110382,101368,0,0,348,0,615,100405,0,99066,1339,9014,7675,1339,0,0,ND,ND,99066,0,0,0
1979:Q2,149832,2453,0,0,105697,0,10741,5355,67217,22384,428,246,22317,6086,0,0,12605,0,0,0,0,114890,105220,0,0,387,0,619,104214,0,102724,1490,9670,8180,1490,0,0,ND,ND,102724,0,0,0
1979:Q3,157031,2581,0,0,109524,0,10694,5674,70053,23103,458,255,24806,6294,0,0,13113,0,0,0,0,119567,109109,0,0,427,0,615,108067,0,106427,1640,10458,8818,1640,0,0,ND,ND,106427,0,0,0
1979:Q4,161672,2852,0,0,113006,0,10665,5971,72811,23559,650,263,24800,6510,0,0,13591,0,0,0,0,123598,113022,0,0,462,0,600,111960,0,110182,1778,10576,8798,1778,0,0,ND,ND,110182,0,0,0
1980:Q1,164353,3105,0,0,115578,0,11158,5909,75353,23158,774,272,23810,6733,0,0,14081,0,0,0,0,126514,117069,0,0,501,0,627,115941,0,114012,1929,9445,7516,1929,0,0,ND,ND,114012,0,0,0
1980:Q2,169909,3026,0,0,117057,0,10161,5836,77080,23980,821,282,27179,6963,0,0,14581,0,0,0,0,131820,120552,0,0,522,0,674,119356,0,117350,2006,11268,9262,2006,0,0,ND,ND,117350,0,0,0
1980:Q3,176234,2985,0,0,119732,0,11082,5775,78962,23913,865,291,30079,7202,0,0,15080,0,0,0,0,135641,123905,0,0,539,0,720,122646,0,120571,2075,11736,9661,2075,0,0,ND,ND,120571,0,0,0
1980:Q4,182096,2947,0,0,122530,0,12248,6178,80533,23571,994,301,32300,7449,0,0,15575,0,0,0,0,140096,127768,0,0,680,0,744,126344,0,123727,2617,12328,9711,2617,0,0,ND,ND,123727,0,0,0
1981:Q1,186561,2976,0,0,125229,0,13203,6296,81607,24123,1055,312,33097,7703,0,0,16189,0,0,0,0,144695,130936,0,0,697,0,746,129493,0,126814,2679,13759,11080,2679,0,0,ND,ND,126814,0,0,0
1981:Q2,189067,3003,5,0,126784,5,12959,6505,82699,24616,1147,322,32959,7968,0,0,16879,0,0,0,0,149199,133994,0,0,716,0,727,132551,0,129799,2752,15205,12453,2752,0,0,ND,ND,129799,0,0,0
1981:Q3,189835,3019,20,0,129241,25,13614,6797,83862,24943,1249,333,30150,8240,0,0,17583,0,0,0,0,150937,136924,0,0,748,0,706,135470,0,132592,2878,14013,11135,2878,0,0,ND,ND,132592,0,0,0
1981:Q4,194449,2982,42,0,130707,50,13491,6982,83923,26261,1341,345,32393,8522,0,0,18117,0,0,0,0,154290,139474,0,0,723,0,699,138052,0,135270,2782,14816,12034,2782,0,0,ND,ND,135270,0,0,0
1982:Q1,194927,3097,84,0,132201,102,13665,7298,84687,26449,1406,352,30158,5355,0,0,18674,3600,0,0,3600,156431,141728,0,0,740,0,711,140277,0,137461,2816,14703,13017,1686,0,0,ND,ND,137461,0,0,0
1982:Q2,196461,3057,216,0,133746,246,13495,7662,85885,26458,1448,215,29310,5663,0,0,19206,3600,0,0,3600,156377,143892,0,0,747,0,738,142407,0,139615,2792,12485,10823,1662,0,0,ND,ND,139615,0,0,0
1982:Q3,202856,2964,489,0,135575,540,14125,8069,86588,26253,1501,92,32921,5989,0,0,19725,3600,0,0,3600,160178,146049,0,0,728,0,765,144556,0,141792,2764,14129,12495,1634,0,0,ND,ND,141792,0,0,0
1982:Q4,212342,2774,1678,0,138027,2038,14712,8515,86968,25794,1600,-20,38500,6089,0,0,20242,3452,0,0,3452,166780,150859,0,0,673,0,778,149408,0,146102,3306,15921,13786,2135,0,0,ND,ND,146102,0,0,0
1983:Q1,219332,2402,2517,0,140018,2822,16069,9010,87144,24973,1749,-145,42304,6282,0,0,20753,3452,0,0,3452,171280,153293,0,0,651,0,778,151864,0,148572,3292,17987,15866,2121,0,0,ND,ND,148572,0,0,0
1983:Q2,227280,2204,3219,0,140729,3720,16781,9566,86988,23674,1954,-227,47958,6737,0,0,21254,3452,0,0,3452,172931,155435,0,0,683,0,766,153986,0,150698,3288,17496,15379,2117,0,0,ND,ND,150698,0,0,0
1983:Q3,231925,1744,4530,0,142558,5108,18173,10143,86747,22387,2160,-264,48930,7064,0,0,21751,3452,0,0,3452,176047,158855,0,0,792,0,752,157311,0,153812,3499,17192,14864,2328,0,0,ND,ND,153812,0,0,0
1983:Q4,235197,1183,6246,0,145247,6859,19424,10700,86667,21597,2311,-327,48112,8147,0,0,22239,2039,0,0,2039,182643,163721,0,0,827,0,742,162152,0,158322,3830,18922,16063,2859,0,0,ND,ND,158322,0,0,0
1984:Q1,236733,1087,6904,0,147842,7552,20686,11473,86081,22050,2414,-444,45769,8251,0,0,22871,2039,0,0,2039,183911,167289,0,0,828,0,742,165719,0,161848,3871,16622,13722,2900,0,0,ND,ND,161848,0,0,0
1984:Q2,239902,1898,6987,0,151675,8563,22002,12266,85528,23316,2490,-581,43229,8562,0,0,23603,2039,0,0,2039,185237,170901,0,0,886,0,744,169271,0,165451,3820,14336,11487,2849,0,0,ND,ND,165451,0,0,0
1984:Q3,247836,1649,7574,0,155807,8807,24137,13158,85108,24597,2580,-658,45688,8836,0,0,24321,2039,0,0,2039,190248,174320,0,0,849,0,750,172721,0,169030,3691,15928,13208,2720,0,0,ND,ND,169030,0,0,0
1984:Q4,250927,1713,7675,0,159311,8957,25955,13912,84742,25745,2664,-540,44658,8468,0,0,25000,1978,0,0,1978,194133,177944,0,0,756,0,762,176426,0,173138,3288,16189,13827,2362,0,0,ND,ND,173138,0,0,0
1985:Q1,260506,2319,7717,0,163689,9434,26749,15462,84943,27101,2869,-518,48796,8012,0,0,25644,1978,0,0,1978,200161,182258,0,0,743,0,779,180736,0,177502,3234,17903,15595,2308,0,0,ND,ND,177502,0,0,0
1985:Q2,271709,2338,8405,0,169628,9830,27024,17656,85523,29595,3047,-601,52313,8348,0,0,26253,1978,0,0,1978,212132,191280,0,0,735,0,799,189746,0,186584,3162,20852,18616,2236,0,0,ND,ND,186584,0,0,0
1985:Q3,280837,2949,8700,0,179107,10603,30004,19627,87176,31697,3197,-545,50047,8645,0,0,26759,1978,0,0,1978,223803,204058,0,0,808,0,826,202424,0,199049,3375,19745,17296,2449,0,0,ND,ND,199049,0,0,0
1985:Q4,298590,6519,6059,0,188482,11809,32338,22157,88248,33930,3339,-472,56969,10881,0,0,27190,-377,0,0,-377,242580,215584,0,0,864,0,864,213856,0,210175,3681,26996,23816,3180,0,0,ND,ND,210175,0,0,0
1986:Q1,312332,6872,6067,0,198257,11836,35771,22820,90732,37098,3623,-332,58656,11109,0,0,28457,-377,0,0,-377,259110,224971,0,0,864,0,910,223197,0,219607,3590,34139,31050,3089,0,0,ND,ND,219607,0,0,0
1986:Q2,325018,7416,5871,0,207983,11764,38585,22721,93885,41028,3843,-282,59592,11423,0,0,29549,-377,0,0,-377,266467,234965,0,0,878,0,962,233125,0,229527,3598,31502,28405,3097,0,0,ND,ND,229527,0,0,0
1986:Q3,339137,7915,5705,0,218916,11731,42240,22367,97642,44936,4075,-240,60265,11873,0,0,31005,-377,0,0,-377,276108,246674,0,0,884,0,1027,244763,0,241131,3632,29434,26303,3131,0,0,ND,ND,241131,0,0,0
1986:Q4,353597,8751,5188,0,230237,11872,46127,22262,101937,48039,4348,-243,61163,15483,0,0,32062,-3392,0,0,-3392,294518,259475,0,0,1224,0,1111,257140,0,252382,4758,35043,30532,4511,0,0,ND,ND,252382,0,0,0
1987:Q1,366788,8802,5262,0,240407,11933,48663,22281,107141,50389,4444,-218,62121,16265,0,0,33097,-3392,0,0,-3392,308651,270099,0,0,1289,0,1215,267595,0,262972,4623,38552,34176,4376,0,0,ND,ND,262972,0,0,0
1987:Q2,379330,9421,4629,0,250627,11992,50679,22293,113625,52038,4750,-159,62974,16638,0,0,33842,-3392,0,0,-3392,317805,281618,0,0,1418,0,1340,278860,0,273839,5021,36187,31413,4774,0,0,ND,ND,273839,0,0,0
1987:Q3,391248,9906,4126,0,260504,12100,52561,22309,119972,53562,4868,-114,63894,16849,0,0,34607,-3392,0,0,-3392,329268,292502,0,0,1625,0,1477,289400,0,284329,5071,36766,31942,4824,0,0,ND,ND,284329,0,0,0
1987:Q4,405003,10231,3912,0,269647,12310,54693,22340,124765,55539,4994,-51,65056,18998,0,0,35651,-3435,0,0,-3435,339931,305913,0,0,2377,0,1617,301919,0,293788,8131,34018,26463,7555,0,0,ND,ND,293788,0,0,0
1988:Q1,417503,8910,5432,0,278031,12654,56939,22365,128262,57811,5139,64,66358,19867,0,0,37137,-3435,0,0,-3435,347495,314545,0,0,2265,0,1696,310584,0,302176,8408,32950,25118,7832,0,0,ND,ND,302176,0,0,0
1988:Q2,429263,8560,6072,0,285635,13164,59163,22366,130723,60219,5269,109,67697,20288,0,0,39068,-3435,0,0,-3435,356661,322047,0,0,2282,0,1775,317990,0,309455,8535,34614,26655,7959,0,0,ND,ND,309455,0,0,0
1988:Q3,441124,7825,7110,0,292942,13659,61526,22409,132529,62819,5406,115,69308,20857,0,0,40996,-3435,0,0,-3435,366201,329295,0,0,2372,0,1854,325069,0,316433,8636,36906,28846,8060,0,0,ND,ND,316433,0,0,0
1988:Q4,453924,6547,8621,0,300435,13958,64187,22563,134060,65667,5574,348,71424,24805,0,0,42460,-6290,0,0,-6290,379332,337578,0,0,2547,0,1933,333098,0,323916,9182,41754,32871,8883,0,0,ND,ND,323916,0,0,0
1989:Q1,466001,7503,7831,0,307659,14055,66858,23133,134751,68862,5779,497,74344,25189,0,0,43489,-6290,0,0,-6290,391090,345624,0,0,2927,0,1761,340936,0,331848,9088,45466,36677,8789,0,0,ND,ND,331848,0,0,0
1989:Q2,478726,8539,6890,0,314893,13944,69746,23925,134774,72504,6027,568,78367,25561,0,0,44171,-6290,0,0,-6290,404593,354141,0,0,3048,0,1589,349504,0,340175,9329,50452,41422,9030,0,0,ND,ND,340175,0,0,0
1989:Q3,491029,9700,5841,0,322050,13831,72603,24897,134580,76139,6270,651,82064,26042,0,0,44701,-6290,0,0,-6290,419927,362827,0,0,3121,0,1417,358289,0,348311,9978,57100,47421,9679,0,0,ND,ND,348311,0,0,0
1989:Q4,503049,14413,1343,0,329181,13921,75176,26007,134766,79311,6460,1127,84005,32196,0,0,45276,-10952,0,0,-10952,429989,371104,0,0,3392,0,1246,366466,0,355670,10796,58885,46062,12823,0,0,ND,ND,355670,0,0,0
1990:Q1,511852,13084,3055,0,336211,14253,77401,27244,135208,82105,6615,1199,84005,32800,0,0,45835,-10952,0,0,-10952,434217,378197,0,0,3439,0,1409,373349,0,362296,11053,56020,42940,13080,0,0,ND,ND,362296,0,0,0
1990:Q2,517603,12063,4688,0,343050,14865,79209,28594,135776,84606,6752,1162,81878,32645,0,0,46317,-10952,0,0,-10952,442846,384525,0,0,3491,0,1571,379463,0,368235,11228,58321,45066,13255,0,0,ND,ND,368235,0,0,0
1990:Q3,524015,10091,7164,0,349980,15399,81120,30149,136382,86930,6849,1363,79798,32953,0,0,46769,-10952,0,0,-10952,440610,390644,0,0,3505,0,1734,385405,0,373891,11514,49966,36425,13541,0,0,ND,ND,373891,0,0,0
1990:Q4,533470,7470,9841,0,357274,15497,83649,32000,136936,89192,6885,1109,79940,28250,0,0,47238,-4537,0,0,-4537,453329,398817,0,0,4035,0,1897,392885,0,379667,13218,54512,40125,14387,0,0,ND,ND,379667,0,0,0
1991:Q1,544102,6284,10638,0,365315,15197,88802,34361,135084,91871,6859,1185,82218,28406,0,0,47734,-4537,0,0,-4537,470054,405096,0,0,4298,0,2063,398735,0,383448,15287,64958,48502,16456,0,0,ND,ND,383448,0,0,0
1991:Q2,556159,5914,10085,0,373473,14407,96038,37412,131523,94093,6766,975,86539,28654,0,0,48290,-4537,0,0,-4537,472390,407796,0,0,4573,0,2229,400994,0,385780,15214,64594,48211,16383,0,0,ND,ND,385780,0,0,0
1991:Q3,567517,5537,9559,0,381120,13656,103184,40291,128130,95859,6640,938,91089,28385,0,0,48786,-4537,0,0,-4537,476175,410847,0,0,4491,0,2395,403961,0,388067,15894,65328,48265,17063,0,0,ND,ND,388067,0,0,0
1991:Q4,575773,5334,9428,0,387614,13469,108064,42135,126778,97168,6511,884,94054,29491,0,0,49102,-6645,0,0,-6645,500949,418982,0,0,5275,0,2561,411146,0,391713,19433,81967,56247,25720,0,0,ND,ND,391713,0,0,0
1992:Q1,584637,5298,9690,0,394153,13843,112270,42989,127215,97836,6388,1182,95673,29688,0,0,49210,-6645,0,0,-6645,504003,423591,0,0,5193,0,2136,416262,0,396645,19617,80412,54508,25904,0,0,ND,ND,396645,0,0,0
1992:Q2,591213,5409,10340,0,399421,14772,114895,42897,129179,97678,6267,1230,96186,29920,0,0,49085,-6645,0,0,-6645,511525,429494,0,0,5302,0,1710,422482,0,402793,19689,82031,56055,25976,0,0,ND,ND,402793,0,0,0
1992:Q3,589602,5544,11026,0,400805,15751,113244,42546,131829,97435,6113,1057,96448,26301,0,0,48953,-6645,0,0,-6645,523515,435254,0,0,5189,0,1285,428780,0,409039,19741,88261,62233,26028,0,0,ND,ND,409039,0,0,0
1992:Q4,597905,5576,11393,0,404695,16276,113628,42621,134324,97846,5889,1313,97312,27484,0,0,49040,-4797,0,0,-4797,542054,440787,0,0,5471,0,860,434456,0,414265,20191,101267,73671,27596,0,0,ND,ND,414265,0,0,0
1993:Q1,607315,5525,11476,0,411987,16395,116805,42985,136948,98854,5588,1452,98628,28129,0,0,49327,-4797,0,0,-4797,554886,445864,0,0,5654,0,1390,438820,0,418557,20263,109022,81354,27668,0,0,ND,ND,418557,0,0,0
1993:Q2,618311,5405,11309,0,421065,16155,121038,43496,139982,100394,5192,1730,100242,28375,0,0,49790,-4797,0,0,-4797,571727,449886,0,0,5925,0,1921,442040,0,422000,20040,121841,94396,27445,0,0,ND,ND,422000,0,0,0
1993:Q3,629786,5275,11109,0,430487,15870,125475,44030,143137,101975,4792,1624,101911,29094,0,0,50291,-4797,0,0,-4797,586605,453941,0,0,6141,0,2452,445348,0,425370,19978,132664,105281,27383,0,0,ND,ND,425370,0,0,0
1993:Q4,642476,5189,11095,0,438809,15850,129266,44463,146124,103106,4472,2350,103392,39933,0,0,50693,-13457,0,0,-13457,588563,459102,0,0,6472,0,2983,449647,0,429441,20206,129461,101382,28079,0,0,ND,ND,429441,0,0,0
1994:Q1,648919,5145,10850,0,443678,15500,131274,44791,147250,104863,4303,2820,105477,38765,0,85,51253,-13457,0,0,-13457,581382,463076,0,0,6484,0,2879,453713,0,433000,20713,118306,89720,28586,0,0,ND,ND,433000,0,0,0
1994:Q2,656460,5101,10675,0,448801,15250,133312,45119,148500,106620,4134,2804,107566,38858,0,166,51812,-13457,0,0,-13457,584057,466814,0,0,6535,0,2775,457504,0,436500,21004,117243,88366,28877,0,0,ND,ND,436500,0,0,0
1994:Q3,665021,5057,10500,0,454672,15000,135349,45447,150500,108376,3964,2867,109646,39145,0,255,52372,-13457,0,0,-13457,590875,470703,0,0,6626,0,2672,461405,0,440000,21405,120172,90894,29278,0,0,ND,ND,440000,0,0,0
1994:Q4,678080,5013,10297,0,461774,14710,137375,45774,153782,110133,3795,2478,111735,43149,0,336,52931,-13428,0,0,-13428,606094,474448,0,0,6047,0,2568,465833,0,443988,21845,131646,103488,28158,0,0,ND,ND,443988,0,0,0
1995:Q1,694794,4973,11007,0,468741,15724,137717,46400,155400,113500,3550,2509,119313,43690,0,416,54023,-13428,0,0,-13428,627416,483771,0,0,5853,0,2745,475173,0,453000,22173,143645,115159,28486,0,0,ND,ND,453000,0,0,0
1995:Q2,709664,4932,11717,0,475723,16739,138222,46962,157100,116700,3306,2501,125623,43672,0,503,55115,-13428,0,0,-13428,647353,494221,0,0,6103,0,2922,485196,0,461890,23306,153132,123513,29619,0,0,ND,ND,461890,0,0,0
1995:Q3,725313,4892,12427,0,482980,17753,138676,47500,159050,120001,3050,2551,131418,44623,0,594,56206,-13428,0,0,-13428,664313,492446,0,0,6119,0,3100,483227,0,459591,23636,171867,141918,29949,0,0,ND,ND,459591,0,0,0
1995:Q4,740320,4851,13137,0,490309,18767,139066,48150,161036,123290,2816,2480,133479,55674,0,671,57298,-20395,0,0,-20395,705631,504906,0,0,7337,0,3277,494292,0,464792,29500,200725,153585,47140,0,0,ND,ND,464792,0,0,0
1996:Q1,750142,4811,13847,0,496220,19782,139488,48262,163004,125684,2571,2369,135245,56329,0,755,58390,-20395,0,0,-20395,711600,508817,0,0,7749,0,3437,497631,0,467493,30138,202783,155005,47778,0,0,ND,ND,467493,0,0,0
1996:Q2,757005,3756,11832,0,500114,16903,133899,47714,166999,134599,2567,2379,139484,56953,0,841,59474,-20395,0,0,-20395,718554,511209,0,0,7917,0,3598,499694,0,468940,30754,207345,158951,48394,0,0,ND,ND,468940,0,0,0
1996:Q3,767739,4089,12881,0,505628,18401,130504,48071,168247,140405,2539,2549,142296,57616,0,927,59609,-20395,0,0,-20395,735009,517033,0,0,7892,0,3759,505382,0,474150,31232,217976,169104,48872,0,0,ND,ND,474150,0,0,0
1996:Q4,774164,3938,12404,0,511823,17722,126166,50986,175366,141583,2431,2305,147528,52366,0,1040,59338,-19009,0,0,-19009,753269,513770,0,0,7730,0,7761,498279,0,471354,26925,239499,183770,55729,0,0,12310,8722,471354,0,0,0
1997:Q1,785708,4233,13334,0,513436,19050,94300,68827,187643,143616,2509,2372,150124,54057,0,1140,63455,-18952,0,0,-18952,763523,516510,0,0,8162,0,7725,500623,0,473775,26848,247013,191515,55498,0,0,12638,9058,473775,0,0,0
1997:Q2,808586,4062,12792,0,519524,18274,94749,69362,188632,148507,2392,2444,165233,55624,0,1365,64036,-18886,0,0,-18886,826372,518865,0,0,8541,0,7688,502636,0,475131,27505,307507,251507,56000,0,0,12973,9407,475131,0,0,0
1997:Q3,827002,4168,13125,0,528244,18751,95735,70022,189950,153786,2384,2495,172431,57279,0,1573,64117,-18814,0,0,-18814,847836,527509,0,0,8841,0,7652,511016,0,480640,30376,320327,261610,58717,0,0,13318,9770,480640,0,0,0
1997:Q4,848076,4235,12328,0,535969,17610,96414,70820,191625,159500,2246,2955,184332,72298,0,1674,62229,-30190,0,0,-30190,883667,526702,0,0,10052,0,7615,509035,0,476153,32882,356965,275311,81654,0,0,13672,10146,476153,0,0,0
1998:Q1,870559,3709,12666,0,542469,18095,92355,71581,196617,163821,2219,3122,198022,71753,0,1902,64934,-30237,0,0,-30237,938198,530984,0,0,10233,0,7914,512837,0,480131,32706,407214,325166,82048,0,0,14205,10578,480131,0,0,0
1998:Q2,876600,3594,12989,0,542746,18557,87195,71487,199293,166214,2176,3718,200628,73296,0,1989,65738,-30274,0,0,-30274,974167,532239,0,0,10478,0,8213,513548,0,481274,32274,441928,359742,82186,0,0,14759,11028,481274,0,0,0
1998:Q3,859344,3801,14752,0,544341,21073,82459,71206,201438,168165,1919,3623,178310,74616,0,1873,66416,-30307,0,0,-30307,950812,535683,0,0,10713,0,8512,516458,0,484650,31808,415129,332838,82291,0,0,15335,11497,484650,0,0,0
1998:Q4,881012,4014,14936,0,546927,21339,76766,69668,208089,171065,1970,3918,197908,85576,0,2201,63954,-40392,0,0,-40392,998904,531034,0,0,10726,0,8811,511497,0,480414,31083,467870,366540,101330,0,0,15933,11987,480414,0,0,0
1999:Q1,881155,3219,15033,0,542543,21475,73680,70677,204214,172497,1922,5030,198219,87033,0,2268,66193,-40305,0,0,-40305,1054714,532492,0,0,11614,0,9010,511868,0,480882,30986,522222,420803,101419,0,0,16319,12373,480882,0,0,0
1999:Q2,887758,3661,11440,0,542830,16343,70529,73313,204839,177806,1949,5594,204532,87483,0,2423,68053,-40207,0,0,-40207,1062409,539311,0,0,11838,0,9209,518264,0,483829,34435,523098,418044,105054,0,0,16714,12771,483829,0,0,0
1999:Q3,875233,3145,12104,0,540702,17291,67873,74474,201454,179610,2001,6124,190371,89718,0,2350,68819,-40101,0,0,-40101,1010218,549611,0,0,13098,0,9408,527105,0,487850,39255,460607,350547,110060,0,0,17119,13183,487850,0,0,0
1999:Q4,1040280,4652,10096,32,546379,14317,66509,77305,203264,184984,1969,5391,208169,89795,0,2806,98392,72599,148919,0,-76320,1212718,703846,0,0,12501,36241,9607,645497,0,647920,-2423,508872,392921,115951,0,0,17533,13608,539190,103630,45289,5100
2000:Q1,1051417,3553,12393,35,547906,17592,65276,79386,199268,186384,2601,5039,205680,90877,0,3045,103445,76843,155461,0,-78618,1218413,713581,0,0,12692,39540,9621,651728,0,656391,-4663,504832,387896,116936,0,0,17672,14069,543637,107179,48282,5575
2000:Q2,1056965,3154,12573,37,545099,17845,63116,81371,195160,187607,1905,5038,204542,93309,0,3057,107151,81100,162005,0,-80905,1238759,726499,0,0,12930,42845,9635,661089,0,667490,-6401,512260,393831,118429,0,0,17812,14545,550709,110730,51275,6051
2000:Q3,1065369,3530,12759,39,547847,18103,61578,84210,193139,190817,1737,5274,200100,94263,0,3174,111271,85375,168547,0,-83172,1345523,738272,0,0,14738,46143,9649,667742,0,676858,-9116,607251,488312,118939,0,0,17953,15038,556054,114279,54268,6525
2000:Q4,1059324,4170,13646,41,547303,19364,59856,86305,189432,192346,1699,4582,195106,78602,0,3044,109764,101367,175089,0,-73722,1370611,742857,0,0,13945,49442,9663,669807,0,677180,-7373,627754,525579,102175,0,0,18096,15548,552352,117828,57261,7000
2001:Q1,1053383,11089,9992,2121,539969,12057,58252,88670,186710,194280,1709,4698,173257,79228,0,2811,115275,113234,187143,0,-73909,1316489,763566,765,0,15395,53558,12919,680929,0,692829,-11900,552923,448033,104890,0,0,18678,16440,561511,123768,63375,7550
2001:Q2,1077059,12333,9610,2409,539991,11216,58227,88813,187115,194621,1742,4532,181252,79108,0,3038,119580,123464,199199,0,-75735,1372428,781699,707,0,15233,57678,11948,696133,0,713123,-16990,590729,487911,102818,0,0,19367,17126,575314,129708,69491,8101
2001:Q3,1086646,14239,11382,1495,546467,14653,58797,93453,181324,198241,1786,4631,166181,79004,0,2750,124845,133866,211251,0,-77385,1375744,813060,350,0,15721,61792,11912,723285,0,743436,-20151,562684,459078,103606,0,0,19955,17728,599140,135646,75605,8650
2001:Q4,1239604,13733,10613,1795,562571,13035,61234,98657,184537,205108,1954,4450,176575,61571,0,3974,124082,278286,223305,0,54981,1488690,922261,1655,0,16647,65910,11279,826770,0,757589,69181,566429,474955,91474,0,0,20497,18286,606803,141586,81719,9200
2002:Q1,1267385,17635,9982,2707,573041,10741,63953,103536,188065,206746,1956,4938,179378,66045,0,3984,130771,276948,227874,0,49074,1486001,941461,1195,0,16775,70044,10727,842720,0,770655,72065,544540,452895,91645,0,0,20580,19084,617420,143535,84339,9700
2002:Q2,1282350,17910,10161,2697,585844,10490,67176,108494,191465,208219,1979,5252,167061,67303,0,3623,138244,282276,232442,0,49834,1490219,961959,1350,0,16155,74183,9332,860939,0,789694,71245,528260,433102,95158,0,0,21514,19691,634010,145483,86959,10201
2002:Q3,1297136,26319,13441,2853,600948,13945,72155,112823,193719,208306,1982,5153,149007,67180,0,3182,141716,285355,237009,0,48346,1467623,981771,1784,0,15443,78316,9216,877012,0,810482,66530,485852,389851,96001,0,0,22288,20205,652351,147431,89578,10700
2002:Q4,1347919,26671,15633,2740,625823,16026,77966,119598,199644,212589,2066,7475,155573,75383,0,3326,141918,291311,241577,0,49734,1474753,1007139,941,0,14573,82451,10098,899076,0,823570,75506,467614,401078,66536,0,0,22904,20292,662991,149379,92198,11200
2003:Q1,1372269,30958,14076,3446,637952,13383,79434,119843,208331,216961,2072,7055,150011,76765,0,3543,145716,300675,243904,0,56771,1458632,1034640,3458,0,13558,82790,8160,926674,0,841746,84928,423992,358570,65422,0,0,23446,20803,680553,149417,94487,11776
2003:Q2,1415627,37113,15343,3689,654812,14587,83421,119577,216562,220665,2015,7517,165631,78788,0,4282,147504,298933,246232,0,52701,1531065,1056133,6309,0,13597,83133,8295,944799,0,855754,89045,474932,408378,66554,0,0,24403,20938,693949,149455,96777,12350
