1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,107504,105221,111321,29961,19315,52135,9910,0,-6100,56729,37,34,7105,5210,0,0,1543,-53,660,163,496,277,2508,141,1634,733,-2,1354,467,1566,266,2728,13803,4402,13956,1752,62828,58999,0,0,24,5504,62,170,-137,2115,3294,17468,5254,1346,9465,1403,-22,173,1716,4476,29661,3829,2107,105,1617,2283
1952:Q1,108463,102250,110253,28967,18949,57605,4732,0,-8003,64483,12,-28,15340,6076,0,320,7796,8,2056,-268,6612,-612,2914,128,2068,718,60,1008,1452,5500,524,2672,16036,8114,4712,-8025,72487,64699,0,0,60,23384,80,10780,-308,8508,4324,11634,772,-40,8516,2386,48,60,5114,384,24015,7788,2292,0,5496,6213
1952:Q2,102552,94965,105519,29185,19449,58408,-1523,0,-10554,51797,116,72,-1068,7892,0,348,17112,1508,2896,3136,8688,884,3086,600,944,1542,92,572,2244,-79,512,2832,15460,-1646,2532,1720,62351,59830,0,0,28,20952,156,2188,2228,10500,5880,17142,168,1652,8940,6382,60,80,-9024,-2552,33144,2521,2656,-48,-87,7587
1952:Q3,104303,145764,108950,27735,19432,56209,5574,0,36814,80143,32,-16,12084,6956,0,2048,4128,-88,820,1460,2836,-900,3750,1440,772,1538,44,412,1148,1627,524,2956,15556,9826,7836,11232,43329,40302,0,0,36,13220,28,1864,2600,4220,4508,19066,1520,3988,9016,4542,36,32,8664,-5772,5020,3027,1560,-156,1623,-41461
1952:Q4,111151,159705,116854,31741,20308,59531,5274,0,42851,46845,-456,-92,-5764,9604,0,-1728,-216,-1008,2512,-3996,2808,-532,4294,1544,1548,1202,-72,468,-1728,2793,460,3092,15876,6874,8776,4664,3994,-2083,0,0,24,10152,-16,4736,-2996,4320,4108,22094,1708,3652,9356,7378,-48,0,3272,-4684,-32893,6077,2772,516,2789,-48554
1953:Q1,114835,133596,120724,33660,20783,62391,3890,0,12872,55022,84,108,4484,8132,0,36,3372,-72,624,12,3412,-604,6301,2132,2932,1237,60,696,1436,1502,492,3096,16220,6819,10284,-8100,42150,38616,0,0,12,11280,12,2204,248,5776,3040,21681,1612,2536,9636,7897,72,32,8196,1924,-4581,3534,2072,-32,1494,-18761
1953:Q2,114947,166056,121612,33500,20834,63701,3577,0,44444,53300,-288,-112,-11464,9488,0,-1024,20104,184,11544,2792,4516,1068,1069,-48,1424,-307,64,1180,1628,-536,332,3040,16436,-501,12428,1456,8855,7468,0,0,52,15676,-40,5392,988,5284,4052,14865,224,164,10948,3529,24,72,512,3220,-26953,1388,2180,-256,-536,-51109
1953:Q3,113906,165838,120345,33077,20217,64720,2331,0,45493,81889,220,44,19796,6916,0,3260,4436,92,1284,1384,3136,-1460,3617,2424,484,709,56,-88,1408,645,336,2952,16668,-1833,12152,11304,36397,34575,0,0,28,25328,40,16412,1740,5016,2120,14761,744,1644,9276,3097,68,100,1884,472,-8066,1821,1260,-72,633,-51932
1953:Q4,105286,52996,113411,32222,19926,63269,-2006,0,-60415,25581,-360,116,-13296,9684,0,-2560,-3088,-168,-2060,-3912,2096,956,2273,1304,1064,-95,-76,-304,-1864,9745,372,2840,17040,-6417,7628,3848,85996,74027,0,0,44,10768,272,-3228,3532,5344,4848,5141,-6624,460,9460,1845,-36,92,-8548,-3196,69762,11969,1552,680,9737,52290
1954:Q1,107821,63362,112770,31830,19802,63104,-1966,0,-49408,26802,-168,4,2888,9860,0,-1564,-3408,352,-4360,-88,1760,-1072,2145,452,1408,285,48,-104,1136,-1850,340,2768,16208,3011,3836,-8348,76210,75124,0,0,88,8420,372,-2992,2404,5528,3108,10057,1060,708,9028,-739,56,-52,6168,-6844,57231,1086,2948,-40,-1822,44459
1954:Q2,108783,60713,112750,32542,21043,62543,-3378,0,-52037,39485,40,52,5188,10860,0,864,-2564,196,-6948,2672,1904,-388,-139,-784,1072,-427,64,472,1572,-3211,200,2716,16044,1359,5468,500,91522,92489,0,0,40,11796,88,2904,-1008,6072,3740,11765,-1592,420,11688,1249,80,-236,344,-5412,74112,-967,2088,76,-3131,48070
1954:Q3,109342,54458,114639,32143,22517,62070,-2091,0,-60181,56857,-700,88,10172,7808,0,4024,-2940,-96,-5572,1312,2012,-596,2557,680,1272,605,36,-496,800,-3135,496,2676,15676,2651,6456,10688,117038,119209,0,0,8,9108,228,3124,-4716,5372,5100,17517,652,2776,12784,1305,68,-400,5720,-1016,88204,-2171,912,60,-3143,54884
1954:Q4,115447,102640,119344,33913,23888,61859,-316,0,-16704,50642,152,32,-984,11416,0,-3336,-1068,-104,1616,-3348,3252,-2484,4457,1704,1832,921,-52,-1224,-1208,3818,648,2648,16100,7907,8296,3040,67346,63340,0,0,8,15148,-172,3836,3660,5632,2192,22493,-1048,4580,15380,3581,-168,-508,4576,396,21395,4006,384,184,3438,12807
1955:Q1,123077,111666,128049,36601,25463,62181,3804,0,-16383,66181,-324,-44,5496,8508,0,920,7688,-164,6160,188,1912,-408,4969,1636,2484,849,48,1328,1132,-611,508,2728,16528,9987,14388,-7068,82564,81123,0,0,12,3888,-192,-4156,732,5472,2032,27285,3520,1660,15952,6153,76,-396,10016,692,39550,1441,2124,-64,-619,11411
1955:Q2,130697,49368,134724,38765,26044,65295,4620,0,-85356,68968,56,-80,1832,9284,0,-1608,16692,292,9344,3080,4768,-792,1749,228,1360,161,72,-1100,1952,-4692,464,2836,16920,7003,15916,1672,154324,158520,0,0,-4,7160,-268,1132,-1744,5144,2896,35173,7944,1944,17116,8169,96,-208,8776,3088,104439,-4196,640,-136,-4700,81329
1955:Q3,134751,90811,137827,40395,25659,67478,4295,0,-47016,79572,-148,-16,6472,5760,0,4544,10904,-312,5792,1568,3340,516,2489,528,484,1477,56,-328,1396,-2668,728,3032,17028,10275,9892,10156,126588,128332,0,0,0,4840,-224,-164,-1576,4908,1896,32369,5640,3048,16104,7577,72,4,15728,4560,70759,-1744,1112,-172,-2684,43940
1955:Q4,138187,120969,140931,39435,24595,69668,7233,0,-19962,66293,-120,24,-5180,10148,0,-1660,11556,-112,8296,-1660,3856,1176,2673,40,1960,673,-60,-228,-1624,3417,588,3024,17236,11335,9824,5340,86255,79030,0,0,0,11360,8,1816,-320,4612,5244,31661,7300,2516,15800,6045,-124,-60,9940,6312,19941,7225,3000,832,3393,17218
1956:Q1,139588,80001,139845,37570,24325,71552,6398,0,-59844,55021,-164,-136,9200,9688,0,-632,-572,-392,-3196,0,2248,768,5341,776,2824,1741,88,-100,2176,669,1204,3400,18016,4635,7944,-5736,114865,111904,0,0,8,816,-40,-5000,-276,4444,1688,28353,6140,1720,15096,5397,92,232,5580,-5284,82107,2961,2088,224,649,59587
1956:Q2,141465,198328,139672,37708,24573,73806,3585,0,58656,55238,-204,184,-2732,10632,0,-2252,6708,580,-2488,3232,3592,1792,729,84,1748,-1103,100,-2188,2600,-2522,108,3636,18236,9183,11848,1172,-3418,-2148,0,0,12,-6644,-116,-15060,272,4420,3840,26873,7436,220,15772,3445,80,360,9772,-5192,-27409,-1270,936,328,-2534,-56863
1956:Q3,145341,186700,141912,37581,24176,76586,3569,0,44788,65482,620,-88,-1424,6100,0,7512,1132,368,-4156,1704,2536,680,1785,-72,600,1257,132,-272,3220,-1318,1364,3564,18656,9351,5912,9236,20694,19548,0,0,20,3660,240,-4648,-156,3956,4268,22865,2496,3284,14132,2953,64,344,6728,304,-14437,1146,2292,340,-1486,-41359
1956:Q4,148859,66504,143393,39297,23767,78085,2244,0,-76889,62025,2180,76,-1440,11436,0,-2344,2988,-204,1700,-2836,3024,1304,3397,1288,1672,437,-32,560,-844,3097,468,3280,19348,5495,7940,6420,138914,132485,0,0,36,9568,-20,2500,-860,3840,4108,21985,3964,1796,13496,2729,-36,276,2748,3468,94440,6429,3684,-328,3073,82355
1957:Q1,150649,223967,145817,40009,23556,80090,2162,0,78150,73041,-232,240,13936,14396,0,-696,7116,-124,1668,316,2284,2972,1995,-2524,3516,1003,96,-596,2352,1353,892,2976,21260,4661,9028,-5736,-5110,-9306,0,0,28,16192,-136,6872,-164,3740,5880,19451,3448,-76,12884,3195,32,184,5056,-2796,-47453,4197,3040,140,1017,-73318
1957:Q2,150413,90141,145569,39608,23118,80186,2657,0,-55428,51290,292,-88,-9240,13296,0,-4472,9568,-20,3892,3100,1848,748,-1557,-2840,1948,-665,188,328,4792,-110,860,2668,22028,801,10156,1780,106718,103048,0,0,44,-4536,-4,-14772,-40,4420,5860,21715,7852,-416,11252,3027,44,88,688,-2860,87865,3670,3612,188,-130,60272
1957:Q3,149879,276637,147547,39332,23038,82369,2808,0,129090,69924,1016,-92,2440,7820,0,8968,5152,248,608,500,2552,1244,967,-1276,1844,399,72,-2576,1708,8,860,2596,23192,1173,8576,8044,-59166,-60382,0,0,32,20504,-76,10408,-412,4532,6052,15467,-1288,1448,12336,2971,8,48,2524,-1036,-97929,1216,1196,36,-16,-126758
1957:Q4,139628,140805,139125,38948,22992,81703,-4518,0,1680,41470,140,-88,-9828,13652,0,-1688,2028,416,568,-360,2108,-704,2535,496,2520,-481,8,-2212,132,342,728,2712,23972,-2731,7112,4656,39790,37540,0,0,40,8288,392,-5684,1908,5336,6336,11531,-1756,-372,12304,1355,76,28,3428,-1840,15989,2250,1916,24,310,-1177
1958:Q1,133147,93047,132900,36568,22127,78214,-4009,0,-39853,58551,376,116,11116,19600,0,-248,-6792,900,-10048,-1676,804,3228,4589,1336,3452,-199,40,-2164,1236,2919,1304,2884,21956,4915,4076,-7372,98404,94349,0,0,64,19732,1060,3812,2136,5264,7460,9589,-6188,4572,12468,-1263,72,28,-3656,-5996,74516,4055,884,276,2895,40100
1958:Q2,129117,66070,131303,35863,22304,77371,-4235,0,-65233,63767,52,-112,11160,20192,0,-7032,-2576,-1236,3908,-1132,-1388,-2728,2349,100,3188,-939,100,-1724,2404,1775,1812,3100,21044,1843,6540,2840,129000,123469,0,0,48,27552,452,20144,-2792,5428,4320,12109,-872,520,13568,-1107,80,44,8024,-4640,80252,5531,3432,308,1791,63047
1958:Q3,137938,24736,139907,36568,23951,77841,1547,0,-115171,66767,-36,160,-9192,10160,0,8372,-9284,-700,-12788,240,2128,1836,4329,1024,2136,1169,60,-960,1412,3143,1488,3176,22112,15259,9628,6940,181938,176587,0,0,12,5388,-272,-5860,612,5124,5784,19953,960,2152,16060,781,76,64,12708,-784,139170,5351,1940,288,3123,113202
1958:Q4,147016,96734,150447,37772,26457,80983,5235,0,-53713,87951,-548,-92,8744,13372,0,-2704,14416,136,10964,-1360,4020,656,5853,1092,4188,573,-40,-3640,-872,3355,1028,3132,21776,6487,11708,5976,141664,137249,0,0,28,29332,-296,18916,-280,5984,5008,31125,5724,3088,19632,2681,-188,88,8388,1040,67436,4415,1616,-536,3335,50282
1959:Q1,154058,123231,158264,40618,29372,84398,3876,0,-35033,66247,-680,-24,9072,9492,0,-4852,14848,688,9724,288,2776,1372,7607,676,4992,1939,84,-1920,2060,-2927,1724,3184,23676,6781,2548,-4426,101279,101791,0,0,24,16660,-212,10268,-1440,5676,2368,27983,120,2860,18444,6559,108,108,10948,4280,41680,-511,2044,408,-2963,30827
1959:Q2,162734,104672,166052,42308,30402,86054,7288,0,-61380,79168,1260,-24,696,13188,0,-816,22080,392,14064,4504,3552,-432,3263,-864,4024,103,124,-2668,2960,-7737,1224,3208,23844,8281,6148,4137,140548,144869,0,0,60,19308,-596,10448,68,5940,3448,38463,10172,1676,19836,6779,128,124,9260,7936,69590,-4321,2952,496,-7769,58062
1959:Q3,155727,188980,160999,43118,29766,87731,384,0,27981,63683,640,32,6056,6592,0,3992,15456,-1280,9220,2744,4632,140,743,-1892,2368,267,76,-4772,1920,-6836,1484,3444,26072,3449,-88,5423,35702,41158,0,0,20,19332,-88,10480,-12,6680,2272,34855,5932,1056,19728,8139,96,112,1936,-2100,-13093,-5456,1040,376,-6872,-33253
