date,FL893150005.Q,FL543150005.Q,FL574190005.Q,FL344090005.Q,FL224190005.Q,FL263150005.Q,FL893150005.Q,FL153050005.Q,FL543050005.Q,FL543151905.Q,LM893131573.Q,FL763131573.Q,FL473131573.Q,LM543131503.Q,FL633131573.Q,LM653131573.Q,LM153131575.Q
2003:Q4,12495164,1583813,4610727,2288927,4002320,9377,12495164,12456243,38824,97,2993000,220905,46804,338433,150000,1180000,1056858
2004:Q1,12753637,1635516,4679889,2314204,4114000,10028,12753637,12712457,41076,104,3069500,221171,46721,340429,146750,1228492,1085937
2004:Q2,12975111,1665347,4737373,2338091,4223621,10679,12975111,12931685,43316,110,3146000,222955,47604,340543,143500,1248481,1142917
2004:Q3,13168784,1707164,4757846,2362078,4330367,11329,13168784,13123118,45549,117,3222500,222520,47167,337449,140250,1264548,1210566
2004:Q4,13659634,1777609,5023527,2396101,4450418,11979,13659634,13611672,47839,123,3299000,221650,47677,348054,137000,1385000,1159619
2005:Q1,13767602,1797273,5023754,2420247,4513373,12955,13767602,13718574,48889,139,3330500,222160,47692,350332,138500,1382784,1189032
2005:Q2,14027712,1848746,5136726,2447646,4580665,13929,14027712,13977590,49967,155,3362000,223026,48814,360102,140000,1430945,1159113
2005:Q3,14321012,1882730,5294185,2477335,4651858,14904,14321012,14269792,51050,170,3393500,224606,48791,371981,141500,1510849,1095773
2005:Q4,14596882,1926029,5430482,2504192,4720301,15878,14596882,14544576,52120,186,3425000,229054,49309,381024,143000,1557000,1065613
2006:Q1,14883706,1977057,5525708,2534647,4828747,17547,14883706,14826564,56924,218,3620500,232303,49796,388708,151500,1654909,1143284
2006:Q2,14987471,1987074,5525461,2556749,4898979,19208,14987471,14925526,61694,251,3816000,236797,51033,387043,160000,1652766,1328361
2006:Q3,15270894,2035855,5650187,2586358,4977591,20903,15270894,15204059,66552,283,4011500,244500,52218,393668,168500,1734522,1418092
2006:Q4,15642227,2099284,5839115,2620758,5060428,22642,15642227,15570400,71512,315,4207000,259609,53231,406002,177000,1858000,1453158
2007:Q1,15857325,2118636,5929132,2648136,5137169,24252,15857325,15783216,73780,329,4340000,264920,54844,426000,184000,1922000,1488236
2007:Q2,16244113,2185354,6120677,2680716,5231432,25934,16244113,16167585,76185,343,4605000,271255,56332,422000,193000,2052000,1610413
2007:Q3,16488976,2217583,6227171,2707485,5309149,27588,16488976,16410101,78518,357,4775000,275224,57372,427000,207000,2119000,1689404
2007:Q4,16530161,2207899,6191356,2727990,5373818,29098,16530161,16449172,80619,370,4748000,281844,58244,425000,221000,2090000,1671912
2008:Q1,16325769,2151855,5995106,2738261,5407524,33023,16325769,16241726,83558,485,4555000,291031,60146,412000,244000,1939000,1608823
2008:Q2,16420457,2143703,6001034,2759943,5478622,37155,16420457,16333066,86790,601,4580000,297737,61717,410000,235000,1940000,1635546
2008:Q3,16173305,2104004,5755621,2768902,5503817,40961,16173305,16083025,89565,715,4225000,307879,62515,402000,253000,1693000,1506606
2008:Q4,15625503,1972909,5331573,2769383,5507116,44522,15625503,15532676,91997,830,3681000,326000,65457,377000,267000,1337000,1308543
2009:Q1,15501619,1912631,5219804,2787697,5538134,43353,15501619,15410586,90168,865,3536000,340774,69653,366000,272000,1235000,1252573
2009:Q2,16016548,1988201,5524413,2830621,5630626,42687,16016548,15926595,89054,899,3925000,351551,72010,380000,253000,1452000,1416439
2009:Q3,16573245,2074332,5859955,2874542,5722349,42067,16573245,16484296,88015,934,4325000,355435,73263,396000,237000,1677000,1586302
2009:Q4,16838795,2109872,5988223,2911191,5788329,41180,16838795,16751236,86591,968,4488000,356711,74203,404000,225000,1772000,1656086
2010:Q1,17263025,2161605,6177962,2970010,5914334,39114,17263025,17177489,84497,1039,4644000,360880,75316,412000,215000,1866000,1714804
2010:Q2,17213107,2126295,6048760,3008812,5992518,36722,17213107,17130093,81904,1110,4405000,369572,76344,407000,213000,1743000,1596084
2010:Q3,17854435,2235547,6370977,3076557,6136563,34791,17854435,17773236,80018,1181,4757000,374761,77171,428000,207000,1935000,1735068
2010:Q4,18418279,2326121,6640673,3143687,6274984,32814,18418279,18338966,78062,1251,5029000,383298,77212,445000,201000,2081000,1841490
2011:Q1,18722462,2341361,6824212,3177362,6347415,32112,18722462,18642765,78305,1392,5255000,385560,77492,457000,196000,2190000,1948948
2011:Q2,18849599,2357483,6869983,3203941,6386904,31288,18849599,18769706,78360,1533,5315000,392565,77858,460000,201000,2213000,1970577
2011:Q3,18424846,2258187,6549662,3204455,6382262,30280,18424846,18345105,78067,1674,4910000,404346,78275,444000,211000,1939000,1833379
2011:Q4,18816960,2326682,6774076,3243573,6443137,29492,18816960,18736920,78225,1815,5153000,403637,78442,456000,210000,2058000,1946921
2012:Q1,19389371,2468034,7092578,3283854,6515547,29358,19389371,19307863,79450,2058,5550000,406705,79251,484000,202000,2271000,2107044
2012:Q2,19347272,2420100,7047824,3304722,6545404,29222,19347272,19264426,80543,2303,5450000,413456,79839,474000,204000,2218000,2060705
2012:Q3,19702331,2491266,7239748,3339209,6603021,29087,19702331,19618089,81696,2546,5700000,420034,80295,487000,208000,2341000,2163671
2012:Q4,19860490,2522135,7295769,3366753,6646882,28951,19860490,19774879,82822,2789,5785000,428019,79852,492000,215000,2375000,2195129
2013:Q1,20575441,2608743,7642872,3404004,6891184,28638,20575441,20488576,84285,2580,6123000,424160,79886,512000,210000,2556000,2340954
2013:Q2,20978806,2621024,7781947,3431840,7115671,28324,20978806,20890695,85740,2371,6189000,433769,79912,514000,225000,2573000,2363319
2013:Q3,21652878,2704842,8092188,3470549,7357290,28009,21652878,21563518,87198,2162,6487000,434354,79887,528000,232000,2722000,2490759
2013:Q4,22413162,2800929,8457096,3524875,7602567,27695,22413162,22322553,88657,1952,6819000,428524,79192,546000,228000,2904000,2633284
2014:Q1,22624222,2835381,8533967,3544256,7684624,25994,22624222,22534706,86872,2644,6961000,420894,78884,555000,224000,2972000,2710222
2014:Q2,22949102,2891162,8693339,3568746,7771562,24293,22949102,22860680,85088,3334,7215000,419159,78496,565000,220000,3102000,2830345
2014:Q3,22988910,2876188,8656324,3587817,7845990,22591,22988910,22901584,83300,4026,7182000,423016,78136,562000,222000,3061000,2835848
2014:Q4,23239803,2920139,8756424,3612416,7929934,20890,23239803,23153571,81516,4716,7292000,428164,77619,570000,218000,3111000,2887217
2015:Q1,23457425,2949440,8840986,3642451,8003561,20987,23457425,23370401,82810,4214,7400000,422865,77408,575000,211000,3207000,2906727
2015:Q2,23545569,2963305,8825925,3665216,8070038,21085,23545569,23457757,84100,3712,7380000,428027,77342,578000,213000,3220000,2863631
2015:Q3,23244999,2890850,8548907,3669166,8114894,21182,23244999,23156409,85380,3210,7165000,442311,77354,566000,221000,3002000,2856335
2015:Q4,23573822,2962504,8686001,3709220,8194819,21278,23573822,23484442,86673,2707,7477000,445825,77293,578000,214000,3091000,3070882
2016:Q1,23768792,2981730,8777401,3729239,8260631,19791,23768792,23679887,85891,3014,7610000,453936,77803,586000,227000,3103000,3162261
2016:Q2,24011769,3030534,8883289,3751440,8328202,18304,24011769,23923336,85112,3321,7770000,459250,78456,596000,227000,3163000,3246294
2016:Q3,24350887,3091693,9060035,3782624,8399718,16817,24350887,24262928,84331,3628,7950000,474913,79160,606000,235000,3271000,3283927
2016:Q4,24459205,3057504,9110055,3808322,8467994,15330,24459205,24371723,83548,3934,8015000,482313,78866,603000,244000,3271000,3335821
2017:Q1,24919802,3132530,9382554,3840653,8547845,16220,24919802,24830260,85505,4037,8415000,477144,78932,620000,243000,3440000,3555924
2017:Q2,25255183,3176755,9569997,3867027,8624295,17109,25255183,25163582,87461,4140,8680000,470262,79083,628000,236000,3546000,3720655
2017:Q3,25638794,3222444,9799448,3897303,8701601,17998,25638794,25545135,89416,4243,8980000,469535,79040,637000,240000,3666000,3888425
2017:Q4,26069249,3279863,10056669,3925420,8788410,18887,26069249,25973532,91372,4345,9439000,469227,78424,647000,240000,3824000,4180349
2018:Q1,26130302,3280230,10023593,3950836,8842087,33556,26130302,26006797,116406,7099,9395000,468510,78108,635000,232000,3821000,4160382
2018:Q2,26392674,3318407,10127916,3991969,8906151,48231,26392674,26241366,141455,9853,9540000,466156,78227,642000,234000,3869000,4250617
2018:Q3,26809661,3372682,10354110,4040332,8979621,62916,26809661,26630521,166534,12606,9910000,469639,78406,652000,240000,4009000,4460955
2018:Q4,26056797,3234710,9732360,4013290,8998922,77515,26056797,25850061,191376,15360,9135000,490190,78264,626000,265000,3535000,4140546
2019:Q1,26976423,3380019,10335963,4081293,9100765,78383,26976423,26767370,193535,15518,9948000,464487,79401,654000,266000,3908000,4576112
2019:Q2,27414067,3449114,10583125,4123542,9179092,79194,27414067,27202850,195541,15676,10267000,464508,80212,667000,279000,4032000,4744280
2019:Q3,27646148,3487618,10675515,4154330,9248705,79980,27646148,27432835,197479,15834,10396000,437517,81253,675000,300000,4034000,4868230
2019:Q4,28277916,3566926,11097390,4195693,9337097,80810,28277916,28062387,199537,15992,10949000,476457,81737,690000,314000,4286000,5100806
2020:Q1,27025865,3339213,10099402,4140668,9354171,92411,27025865,26791244,222036,12585,9700000,524108,82716,646000,369000,3521000,4557176
2020:Q2,28309234,3544474,10968617,4241970,9449920,104253,28309234,28054829,245225,9180,11050000,559587,83576,685000,378000,4093000,5250837
2020:Q3,28962222,3654154,11366371,4299138,9526533,116026,28962222,28688226,268223,5773,11700000,548952,84391,707000,392000,4343000,5624657
2020:Q4,30082197,3876588,12079061,4383258,9615488,127802,30082197,29788554,291277,2366,12661000,600654,84625,750000,391000,4840000,5994721
2021:Q1,30485769,3888484,12342070,4431850,9684969,138396,30485769,30170378,313432,1959,12900000,558808,85074,752000,380000,5046000,6078118
2021:Q2,31230331,4010992,12814641,4493245,9762459,148994,31230331,30893120,335658,1553,13650000,581877,85032,775000,366000,5378000,6464091
2021:Q3,31302032,4025621,12784585,4509644,9822595,159587,31302032,30943108,357778,1146,13725000,553387,84745,779000,366000,5366000,6575868
2021:Q4,31940714,4109878,13203123,4559530,9898003,170180,31940714,31560021,379954,739,14460000,592229,83939,795000,368000,5614000,7006832
2022:Q1,31138513,3980204,12712348,4564807,9689395,191759,31138513,30731655,405989,869,13630000,578379,84061,770000,384000,5240000,6573560
2022:Q2,29610613,3756139,11670932,4509502,9460704,213336,29610613,29177651,431963,999,12050000,635945,83968,727000,407000,4500000,5696087
2022:Q3,29036846,3714142,11336237,4497929,9253623,234915,29036846,28577688,458029,1129,11375000,572649,83787,719000,420000,4232000,5347564
2022:Q4,29405693,3822848,11728971,4529612,9067764,256498,29405693,28920234,484200,1259,11950000,560093,83009,740000,440000,4437000,5689898
2023:Q1,30094839,3963812,12119556,4582854,9156159,272458,30094839,29586648,506923,1268,12465000,470962,83478,763000,466000,4650000,6031560
2023:Q2,30726204,4078647,12477956,4637636,9243548,288417,30726204,30195297,529628,1279,12955000,482605,84300,781000,499000,4836000,6272095
2023:Q3,30517446,4018428,12239736,4642354,9312557,304371,30517446,29963894,552264,1288,12566000,427926,84942,766000,530000,4673000,6084132
2023:Q4,31555552,4162006,12941625,4724431,9407158,320332,31555552,30979251,575004,1297,13556000,458246,85392,801000,559000,5071000,6581362
2024:Q1,32373737,4273037,13483424,4793417,9498664,325195,32373737,31788664,583757,1316,ND,ND,ND,ND,ND,ND,ND
