1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q4,761,750,3,0,0,0,3,0,0,0,0,0,0,8,761,-50,0,0,0,0,17,0,41,6,404,0,7,127,-17,0,252,0,-26
1956:Q1,354,522,-102,0,0,0,-102,0,0,0,0,0,0,-66,354,-38,0,0,0,0,15,0,39,0,446,0,8,175,-122,0,-206,0,37
1956:Q2,396,234,191,0,0,0,191,0,0,0,0,0,0,-29,396,-555,0,0,0,0,11,0,35,0,453,0,8,161,172,0,38,0,73
1956:Q3,714,573,167,0,0,0,167,0,0,0,0,0,0,-26,714,-50,0,0,0,0,11,0,32,0,462,0,9,103,148,0,-71,0,70
1956:Q4,903,921,60,0,0,0,60,0,0,0,0,0,0,-78,903,143,0,0,0,0,13,0,30,-2,486,0,9,100,38,0,10,0,76
1957:Q1,820,760,283,0,0,0,283,0,0,0,0,0,0,-223,820,-157,0,0,0,0,14,1,31,13,493,0,11,175,260,0,-128,0,107
1957:Q2,717,903,-102,0,0,0,-102,0,0,0,0,0,0,-84,717,73,0,0,0,0,14,0,33,0,538,0,13,122,-127,0,-21,0,72
1957:Q3,708,299,429,0,0,0,429,0,0,0,0,0,0,-20,708,-622,0,0,0,0,16,1,32,22,537,0,13,225,404,0,74,0,6
1957:Q4,751,479,345,0,0,0,345,0,0,0,0,0,0,-73,751,-558,0,0,0,0,18,1,29,8,545,0,14,169,318,0,245,0,-38
1958:Q1,71,221,0,0,0,0,0,0,0,0,0,0,0,-150,71,-540,0,0,0,0,23,0,31,19,578,0,14,177,-28,0,-173,0,-30
1958:Q2,407,858,-161,0,0,0,-161,0,0,0,0,0,0,-290,407,-445,0,0,0,0,31,0,27,19,625,0,14,257,-190,0,87,0,-18
1958:Q3,222,485,-245,0,0,0,-245,0,0,0,0,0,0,-18,222,-207,0,0,0,0,28,1,32,20,688,0,15,351,-275,0,-423,0,-8
1958:Q4,36,404,-240,0,0,0,-240,0,0,0,0,0,0,-128,36,-930,0,0,0,0,13,0,44,20,764,0,15,356,-269,0,21,0,2
1959:Q1,547,511,88,0,0,0,88,0,0,0,0,0,0,-52,547,-477,0,0,0,0,4,0,56,44,825,0,17,321,9,0,-287,0,35
1959:Q2,654,738,-86,0,0,0,-86,0,0,0,0,0,0,2,654,-662,0,0,0,0,-17,1,69,36,919,0,19,265,-113,0,40,0,97
1959:Q3,393,260,252,0,0,0,252,0,0,0,0,0,0,-119,393,-1177,0,0,0,0,-19,0,73,50,841,0,19,182,223,0,114,0,87
1959:Q4,446,569,-14,0,0,0,-14,0,0,0,0,0,0,-109,446,-1172,0,0,0,0,-17,0,69,62,943,0,20,270,-48,0,187,0,132
1960:Q1,627,351,289,0,0,0,289,0,0,0,0,0,0,-13,627,-720,0,0,0,0,-21,1,66,42,942,0,20,234,189,0,-263,0,137
1960:Q2,654,369,244,0,0,0,244,0,0,0,0,0,0,41,654,-1049,0,0,0,0,3,1,66,64,997,0,19,253,187,0,27,0,86
1960:Q3,708,400,273,0,0,0,273,0,0,0,0,0,0,35,708,-1010,0,0,0,0,15,1,66,131,953,0,21,161,222,0,163,0,-15
1960:Q4,336,245,68,0,0,0,68,0,0,0,0,0,0,23,336,-1195,0,0,0,0,19,1,66,115,1081,0,26,132,41,0,55,0,-5
1961:Q1,254,670,-466,0,0,0,-466,0,0,0,0,0,0,50,254,-442,0,0,0,0,11,0,63,111,1198,0,32,307,-534,0,-588,0,96
1961:Q2,1068,1168,-173,0,0,0,-173,0,0,0,0,0,0,73,1068,-828,0,0,0,0,13,1,58,51,1222,0,37,380,-154,0,141,0,147
1961:Q3,191,383,-249,0,0,0,-249,0,0,0,0,0,0,57,191,-1265,0,0,0,0,17,0,63,107,1283,0,40,234,-221,0,-79,0,12
1961:Q4,-424,-100,-469,0,0,0,-469,0,0,0,0,0,0,145,-424,-2233,0,0,0,0,24,0,76,196,1391,0,43,347,-447,0,111,0,68
1962:Q1,154,61,98,0,0,0,98,0,0,0,0,0,0,-5,154,-1559,0,0,0,0,31,0,62,91,1286,0,46,276,63,0,-170,0,28
1962:Q2,237,144,100,0,0,0,100,0,0,0,0,0,0,-7,237,-2206,0,0,0,0,40,1,62,187,1282,0,49,570,142,0,83,0,27
1962:Q3,-12,64,-69,0,0,0,-69,0,0,0,0,0,0,-7,-12,-1366,0,0,0,0,42,0,62,39,1141,0,51,-98,-40,0,130,0,27
1962:Q4,98,100,4,0,46,0,-42,0,0,0,0,0,0,-6,98,-1625,0,0,0,0,36,-1,62,91,1323,0,51,193,-56,0,-3,0,27
1963:Q1,243,-5,220,0,63,0,157,0,0,0,0,0,0,28,243,-1089,-151,0,0,0,32,1,39,107,1214,0,50,189,35,0,-240,0,56
1963:Q2,299,-11,281,0,81,0,200,0,0,0,0,0,0,29,299,-1797,-157,0,0,0,29,0,39,63,1500,0,49,305,85,0,127,0,56
1963:Q3,406,96,281,0,81,0,200,0,0,0,0,0,0,29,406,-1303,-162,0,0,0,27,0,39,64,1487,0,52,127,77,0,-58,0,56
1963:Q4,-188,-421,207,0,61,0,146,0,0,0,0,0,0,26,-188,-2427,-170,0,0,0,27,0,39,17,1631,0,58,148,60,0,372,0,57
1964:Q1,699,637,-29,0,44,0,-73,0,0,0,0,0,0,91,699,-517,-109,0,0,0,25,0,107,97,1638,0,62,1,-207,0,-325,0,-73
1964:Q2,851,782,15,0,30,0,-15,0,0,0,0,0,0,54,851,-1261,-112,0,0,0,22,1,30,96,1699,0,66,148,-61,0,243,0,-20
1964:Q3,188,187,-41,0,24,0,-65,0,0,0,0,0,0,42,188,-1448,-116,0,0,0,24,1,-2,132,1728,0,70,306,-96,0,-298,0,-113
1964:Q4,-418,-461,19,0,25,0,-6,0,0,0,0,0,0,24,-418,-3333,-116,0,0,0,30,1,-32,134,1793,0,75,387,-23,0,752,0,-86
1965:Q1,9,-56,-43,0,24,0,-67,0,0,0,0,0,0,108,9,-2017,11,0,0,0,39,4,27,70,2008,0,80,114,-147,0,-219,0,39
1965:Q2,284,330,-123,0,21,0,-144,0,0,0,0,0,0,77,284,-2619,11,0,0,0,49,3,112,131,1985,0,83,377,-125,0,417,0,-140
1965:Q3,-178,13,-258,0,20,0,-278,0,0,0,0,0,0,67,-178,-2108,12,0,0,0,47,1,20,209,2201,0,90,317,-250,0,-505,0,-212
1965:Q4,-488,-315,-220,0,20,0,-240,0,0,0,0,0,0,47,-488,-3794,12,0,0,0,32,2,-72,290,2260,0,99,463,-217,0,524,0,-87
1966:Q1,18,-132,72,0,20,0,52,0,0,0,0,0,0,78,18,-3326,1023,0,0,0,17,3,-82,39,2185,0,110,604,0,0,-522,0,-33
1966:Q2,1645,1508,157,0,19,0,138,0,0,0,0,0,0,-20,1645,-2930,971,0,0,0,-1,3,131,44,2382,0,119,284,169,0,534,0,-61
1966:Q3,136,267,-139,0,20,0,-159,0,0,0,0,0,0,8,136,-2384,878,0,0,0,1,2,160,56,2152,0,127,-299,-133,0,-373,0,-51
1966:Q4,-168,-384,297,0,22,0,275,0,0,0,0,0,0,-81,-168,-4969,921,0,0,0,24,3,182,95,2337,0,132,364,287,0,616,0,-160
1967:Q1,251,252,23,0,23,0,0,0,0,0,0,0,0,-24,251,-2493,-309,0,0,0,41,3,47,149,2682,0,145,836,-73,0,-747,0,-30
1967:Q2,264,480,-240,0,22,0,-262,0,0,0,0,0,0,24,264,-3904,-310,0,0,0,58,2,118,261,2875,0,144,695,-268,0,525,0,68
1967:Q3,528,736,-238,0,27,0,-265,0,0,0,0,0,0,30,528,-3290,-331,0,0,0,63,3,67,241,2895,0,190,593,-285,0,103,0,279
1967:Q4,716,929,-275,0,38,0,-313,0,0,0,0,0,0,62,716,-2584,-330,0,0,0,57,3,103,343,2956,0,191,-275,-359,0,230,0,381
1968:Q1,633,365,122,0,46,0,76,0,0,0,0,0,0,146,633,-3653,815,0,0,0,58,3,110,288,2726,0,270,-98,-6,0,-189,0,309
1968:Q2,1087,530,334,0,50,0,284,0,0,0,0,0,0,223,1087,-5260,899,0,0,0,57,4,110,398,3157,0,293,1281,156,0,-544,0,536
1968:Q3,-172,-476,220,0,63,0,157,0,0,0,0,0,0,84,-172,-6294,927,0,0,0,68,3,255,241,3362,0,321,207,34,0,245,0,459
1968:Q4,-234,-578,312,0,88,0,224,0,0,0,0,0,0,32,-234,-8184,938,0,0,0,68,2,280,384,3595,0,433,1104,158,0,195,0,793
1969:Q1,1714,337,1328,0,116,0,41,0,16,0,0,1155,0,49,1714,-4867,1987,0,0,0,60,0,278,388,3602,0,302,-302,-73,0,-413,0,752
1969:Q2,2408,421,1694,0,149,0,199,0,16,0,0,1330,0,293,2408,-6272,1913,0,0,0,58,0,294,349,3391,0,530,1105,202,0,686,0,152
1969:Q3,2744,990,1623,0,154,0,207,0,16,0,0,1246,0,131,2744,-3214,1823,0,0,0,58,4,75,170,3283,0,430,134,246,0,-434,0,169
1969:Q4,2196,1658,490,0,130,0,53,0,16,0,0,291,0,48,2196,-6852,1802,0,0,0,62,4,332,417,3747,0,526,813,137,0,716,0,492
1970:Q1,2688,1317,1347,0,107,0,-328,0,28,0,0,1540,0,24,2688,429,989,0,0,0,75,4,339,472,1137,0,474,-172,-175,0,-798,0,-86
1970:Q2,3117,1195,1944,0,86,0,-282,0,28,0,0,2112,0,-22,3117,-518,802,0,0,0,82,5,287,291,925,0,561,-17,-32,0,825,0,-94
1970:Q3,-272,1114,-1507,0,88,0,-2201,0,28,0,0,578,0,121,-272,-1205,929,0,0,0,87,4,17,132,1035,0,380,309,-1969,0,-377,0,386
1970:Q4,4291,2083,2129,0,112,0,493,0,28,0,0,1496,0,79,4291,-2551,1016,0,0,0,89,4,341,728,1469,0,722,1057,592,0,333,0,491
1971:Q1,2338,1990,222,0,136,0,169,0,6,0,0,-89,0,126,2338,-2485,60,0,0,0,96,2,271,1227,1911,0,692,595,75,0,-184,0,78
1971:Q2,4965,3321,1544,0,160,0,503,0,6,0,0,875,0,100,4965,-372,59,0,0,0,108,3,749,919,2360,0,763,276,342,0,-239,0,-3
1971:Q3,4748,3839,875,0,162,0,572,0,6,0,0,135,0,34,4748,-481,58,0,0,0,104,-5,737,876,2455,0,961,127,382,0,-696,0,230
1971:Q4,2771,2296,562,0,141,0,-152,0,6,0,0,567,0,-87,2771,-2820,61,0,0,0,167,-4,714,977,2191,0,769,-577,-275,0,1037,0,531
1972:Q1,3880,2259,1628,0,124,0,108,0,4,0,65,1327,0,-7,3880,-97,-548,0,0,0,182,16,588,1147,2897,0,513,-480,-44,0,-988,0,694
1972:Q2,4191,3422,873,0,108,0,49,0,4,0,65,647,0,-104,4191,-1451,-548,0,0,0,202,7,685,1136,3443,0,904,-347,10,0,-20,0,170
1972:Q3,4738,2604,2209,0,106,0,-150,0,4,0,55,2194,0,-75,4738,214,-565,0,0,0,164,0,888,600,3292,0,1110,-723,-185,0,-538,0,481
1972:Q4,5542,2739,3028,0,118,0,-63,0,4,0,65,2904,0,-225,5542,-1571,-603,0,0,0,55,0,796,927,2443,0,1150,-284,-131,0,1671,0,1089
1973:Q1,6258,1727,4719,500,123,0,733,0,4,0,65,3294,0,-188,6258,-1726,4013,0,0,0,149,15,582,828,1679,0,1347,-1287,540,0,-1155,0,1273
1973:Q2,5880,2143,3801,460,120,0,766,0,4,0,65,2386,0,-64,5880,-2080,3752,0,0,0,162,-20,604,1057,1000,0,840,-526,610,0,353,0,128
1973:Q3,7080,1314,5791,706,133,0,174,0,4,0,65,4709,0,-25,7080,722,3902,0,0,0,-73,18,684,739,679,0,561,-530,35,0,-528,0,871
1973:Q4,3213,2643,579,-450,162,0,1013,0,4,0,55,-205,0,-9,3213,-6540,3510,0,0,0,137,36,502,684,712,0,663,99,953,0,1966,0,491
1974:Q1,4461,1551,2987,250,189,0,-115,0,11,0,65,2587,0,-77,4461,-3321,7041,0,0,0,167,11,244,515,504,0,735,-681,-194,0,-936,0,376
1974:Q2,3604,1208,2597,250,216,0,418,0,11,0,65,1637,0,-201,3604,-5256,6443,0,0,0,-9,1,-77,587,47,0,538,-74,521,0,908,0,-25
1974:Q3,-258,-32,-93,250,229,0,563,0,11,0,65,-1211,0,-133,-258,-6624,4761,0,0,0,9,-1,-228,327,217,0,264,-17,680,0,263,0,91
1974:Q4,2911,1289,1730,250,229,0,13,0,11,0,55,1172,0,-108,2911,-4432,5137,0,0,0,29,1,-433,518,1013,0,1032,332,80,0,-163,0,-203
1975:Q1,3495,1949,1723,250,232,0,-31,0,3,0,65,1204,0,-177,3495,3457,-2200,0,0,0,61,14,-143,562,1842,0,407,20,-94,0,-1083,0,652
1975:Q2,5678,3229,2685,250,242,0,-324,0,3,0,65,2449,0,-236,5678,4787,-2512,0,0,0,82,-17,-445,731,1942,0,499,-98,-323,0,440,0,592
1975:Q3,3934,1693,2569,250,244,0,-494,0,3,0,65,2501,0,-328,3934,3556,-2213,0,0,0,6,-1,-156,381,1812,0,727,-379,-507,0,-283,0,991
1975:Q4,3641,3045,776,250,241,0,-942,0,3,0,55,1169,0,-180,3641,1908,-2380,0,0,0,12,14,-5,377,1952,0,755,-466,-956,0,1612,0,818
1976:Q1,5397,3164,2121,400,224,0,252,0,9,0,236,1000,0,112,5397,4074,-1263,0,0,0,5,63,82,1019,2202,0,532,163,127,0,-2556,0,949
1976:Q2,4796,3507,1231,400,205,0,-386,0,9,0,3,1000,0,58,4796,4130,-1281,0,0,0,21,-8,118,602,1674,0,829,-936,-461,0,6,0,102
1976:Q3,3380,1836,1372,400,218,0,-257,0,9,0,2,1000,0,172,3380,2689,-1293,0,0,0,-33,-12,352,709,1226,0,824,-697,-309,0,-58,0,-18
1976:Q4,4089,2048,2028,400,261,0,-393,0,9,0,27,1724,0,13,4089,3333,-1320,0,0,0,70,-8,376,744,1183,0,931,-910,-363,0,227,0,-174
1977:Q1,1499,-157,1462,75,311,0,-268,0,19,0,49,1276,0,194,1499,-3460,3250,0,0,0,70,26,192,451,1542,0,808,-1528,-143,0,-39,0,330
1977:Q2,1666,434,1115,75,368,0,-349,0,19,0,2,1000,0,117,1666,-4594,3318,0,0,0,125,-1,207,199,1931,0,808,-634,-117,0,149,0,275
1977:Q3,2889,1107,1485,225,366,0,-494,0,19,0,69,1300,0,297,2889,-3127,3187,0,0,0,122,-3,349,150,2335,0,1022,-1093,-266,0,74,0,139
1977:Q4,2900,1355,1745,197,305,0,-321,0,19,0,14,1531,0,-200,2900,-4511,3140,0,0,0,53,9,425,337,2253,0,1040,-480,-205,0,259,0,580
1978:Q1,-1275,-1610,558,300,250,0,-99,0,11,0,27,69,0,-223,-1275,-3909,-106,0,0,0,103,29,359,-24,2483,0,641,-948,-165,0,-79,0,341
1978:Q2,1212,695,600,351,200,0,-87,0,11,0,25,100,0,-83,1212,-2812,-113,0,0,0,-9,-3,450,65,2385,0,632,-400,-178,0,231,0,964
1978:Q3,751,208,515,243,187,0,-61,0,11,0,35,100,0,28,751,-2933,-122,0,0,0,-64,8,452,119,2358,0,716,311,-173,0,105,0,-26
1978:Q4,1877,602,1348,249,208,0,757,0,11,0,38,85,0,-73,1877,-1568,-114,0,0,0,38,6,723,-304,2531,0,640,-604,706,0,-218,0,41
1979:Q1,-1239,-1670,402,249,218,0,-295,0,12,0,3,215,0,29,-1239,-4868,484,0,0,0,30,2,980,-123,2704,0,268,-814,-382,0,56,0,424
1979:Q2,-1468,-3102,1679,314,216,0,-143,0,12,0,-20,1300,0,-45,-1468,-5599,490,0,0,0,28,-1,932,-166,2776,0,747,-949,-117,0,115,0,276
1979:Q3,-1005,-1881,268,371,226,0,-463,0,12,0,22,100,0,608,-1005,-7218,521,0,0,0,-58,1,533,499,3746,0,2015,-833,-429,0,81,0,137
1979:Q4,-148,-1145,564,394,248,0,69,0,12,0,-62,-97,0,433,-148,-7032,514,0,0,0,-59,9,745,221,4121,0,1118,-199,85,0,136,0,193
1980:Q1,2732,1368,682,83,270,0,-239,0,2,0,69,497,0,682,2732,-4008,1710,0,0,0,-337,2,518,537,3903,0,896,-1874,-243,0,-368,0,1996
1980:Q2,1675,884,313,84,295,0,-624,0,2,0,56,500,0,478,1675,-6173,1914,0,0,0,-16,-10,1233,-788,3990,0,879,1085,-648,0,-74,0,283
1980:Q3,3897,2542,496,100,301,0,-484,0,2,0,77,500,0,859,3897,-3329,2102,0,0,0,-34,4,567,449,4378,0,1303,-1309,-500,0,218,0,48
1980:Q4,7477,5634,1496,100,288,0,135,0,2,0,162,809,0,347,7477,-4875,2275,0,0,0,-149,-8,776,190,4150,0,2254,456,154,0,349,0,1905
1981:Q1,2547,821,1568,112,254,0,215,0,0,0,16,971,0,158,2547,-7196,1721,0,0,0,-135,-25,656,473,4298,0,1108,187,43,0,-231,0,1648
1981:Q2,-1396,-1335,-286,117,196,0,-140,0,0,0,75,-534,0,225,-1396,-11725,1660,0,0,0,-240,-12,436,-71,4245,0,2132,-1130,-22,0,428,0,2903
1981:Q3,-7372,-6698,-390,125,248,0,-186,0,0,0,112,-689,0,-284,-7372,-15903,1470,0,0,0,-109,2,391,1006,4477,0,2675,-1160,-74,0,-241,0,94
1981:Q4,2743,-6240,8869,132,408,0,-354,0,0,0,594,8089,0,114,2743,-7025,1551,0,0,0,-110,-16,521,959,4323,0,1155,939,-300,0,562,0,184
1982:Q1,-1976,-1881,102,139,591,0,254,0,26,0,161,-1069,0,-197,-1976,-7517,713,0,0,0,-155,7,681,444,1000,0,1488,948,-35,0,-442,0,892
1982:Q2,1022,678,231,146,793,0,-14,0,26,0,39,-759,0,113,1022,-4897,698,0,0,0,-93,-3,700,303,2000,0,553,276,-81,0,621,0,945
1982:Q3,3997,-1877,5730,153,805,0,-188,0,26,0,139,4795,0,144,3997,-4723,767,0,0,0,-116,2,682,1465,3000,0,-761,3919,-266,0,-370,0,398
1982:Q4,13624,5018,7299,160,629,0,-255,0,26,0,360,6379,0,1307,13624,-14468,896,0,0,0,-111,4,623,186,15929,0,4746,3570,-293,0,1123,0,1419
1983:Q1,5310,5746,-1398,167,461,0,-477,0,91,0,145,-1785,0,962,5310,-11766,1942,0,0,0,79,9,651,1455,3102,0,4911,2729,-189,0,-220,0,2607
1983:Q2,10695,9293,-359,174,301,0,-145,0,91,0,14,-794,0,1761,10695,-6508,2135,0,0,0,60,1,754,1598,2346,0,3315,4248,-163,0,1774,0,1135
1983:Q3,8881,2139,5987,200,298,0,-80,0,91,0,103,5375,0,755,8881,-7143,2109,0,0,0,72,-3,577,277,1636,0,6421,4143,-122,0,41,0,873
1983:Q4,11817,2936,8677,240,451,0,-117,0,91,0,692,7320,0,204,11817,-1459,2094,0,0,0,106,-6,118,103,2,0,5341,2561,-124,0,2701,0,380
1984:Q1,-19839,-15743,-3651,260,791,0,30,0,0,0,404,-5136,0,-445,-19839,-21268,3213,0,0,0,110,2,-453,229,-3657,0,1780,1298,53,0,-1471,0,325
1984:Q2,-29503,-26232,-3243,270,765,0,-114,0,0,0,222,-4386,0,-28,-29503,-25146,3092,0,0,0,-26,0,-1615,-225,-4918,0,458,-122,-121,0,-206,0,-674
1984:Q3,-8301,-17893,8896,280,1022,0,-472,0,0,0,118,7948,0,696,-8301,-19732,3353,0,0,0,-77,-4,-1537,497,3700,0,2769,3755,-154,0,808,0,-1679
1984:Q4,-9016,-18985,9249,290,1366,0,-443,0,0,0,370,7666,0,720,-9016,-15289,3376,0,0,0,-163,-71,-730,-242,76,0,2266,3523,-300,0,-130,0,-1332
1985:Q1,-20520,-21702,-698,300,-172,101,156,0,27,0,-61,-1049,0,1880,-20520,-28843,-1487,0,0,0,101,65,-700,1588,3543,0,5267,168,-115,0,1224,0,-1331
1985:Q2,-14669,-17492,2675,350,502,115,1,0,27,0,1009,671,0,148,-14669,-35264,-1579,0,0,0,140,5,-528,1282,4622,0,9868,5979,-127,0,391,0,542
