1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q1,921112,614953,545098,69855,77071,20428,84663,77607,86399,64983,14216,7200,31076,27492,3584,55323,27900,18272,5180,4448,27423,19219,5452,2752,-8792,7056,7229,-173,36167,88466,4736,4617,3124,1493,0,-517,921112,94886,37352,4135,6287,1051199
1970:Q2,933222,620233,549066,71167,76711,20214,88471,81770,86350,64479,14490,7381,31156,27512,3644,55194,27756,18484,5540,3732,27438,18483,5306,3649,-4580,6701,6901,-200,38543,90535,4820,4463,2968,1495,0,-1128,933222,97089,38183,5518,6637,1067375
1970:Q3,947735,628194,555722,72472,78483,20854,88383,82028,88276,64977,16012,7287,32144,28024,4120,56132,27820,18044,5752,4024,28312,18909,6140,3263,-6248,6355,6579,-224,40933,92512,4740,4225,2848,1377,0,-1109,947735,99360,38968,6580,6584,1086058
1970:Q4,948016,630007,556354,73653,78944,21160,83458,77438,84026,60250,17244,6532,30676,26116,4560,53350,27728,18380,5808,3540,25622,15754,6876,2992,-6588,6020,6263,-243,42379,94139,4812,4123,2764,1359,0,-1382,948016,101698,39814,5144,6064,1088607
1971:Q1,984614,647901,570513,77388,80316,21089,96622,90928,94536,70180,16880,7476,34384,29812,4572,60152,28488,18912,5776,3800,31664,21456,6532,3676,-3608,5694,5951,-257,43439,97652,4764,4131,2676,1455,0,-1772,984614,104104,40542,13311,7414,1135157
1971:Q2,1004371,659794,580449,79345,82848,21674,98738,93068,97736,72416,17361,7959,35316,30560,4756,62420,28208,17584,5396,5228,34212,24272,7209,2731,-4668,5670,5927,-257,44324,98947,4812,4104,2656,1448,0,-1246,1004371,106479,41118,12280,7975,1156271
1971:Q3,1022350,670109,588790,81319,84595,22049,101436,95488,101096,74659,18685,7752,34552,29544,5008,66544,28532,19008,5640,3884,38012,26107,8037,3868,-5608,5948,6191,-243,44410,101674,4512,4153,2696,1457,0,-1564,1022350,108823,41538,12221,7260,1177675
1971:Q4,1044662,682175,598442,83733,87858,22498,105790,99263,103715,76877,18606,8232,34980,30064,4916,68735,28308,17076,5384,5848,40427,29737,8306,2384,-4452,6527,6742,-215,44494,103699,4612,4240,2756,1484,0,-1480,1044662,111134,41965,263,7728,1190297
1972:Q1,1077864,708353,618471,89882,87905,23101,111517,104109,109925,81789,19272,8864,37140,31936,5204,72785,29332,19900,5552,3880,43453,29953,8516,4984,-5816,7408,7581,-173,45379,104560,6103,4540,2916,1624,0,-1388,1077864,113414,42528,4977,8175,1230610
1972:Q2,1098237,722472,630373,92099,91327,20152,113409,105437,111285,82518,19680,9087,37460,32040,5420,73825,29628,19788,5492,4348,44197,30690,8768,4739,-5848,7972,8093,-121,46639,106786,6203,4695,3036,1659,0,-1040,1098237,115956,42996,17296,8116,1266369
1972:Q3,1127894,735743,642325,93418,95535,23875,118171,109952,115772,86752,19092,9928,38768,33504,5264,77004,30288,19712,5448,5128,46716,33536,8380,4800,-5820,8219,8278,-59,48906,108862,7175,4874,3188,1686,0,-897,1127894,118762,43943,8893,8919,1290568
1972:Q4,1174014,758765,663970,94795,105614,23750,125748,117600,126556,96537,19764,10255,43072,37700,5372,83484,31020,19288,5512,6220,52464,39549,8880,4035,-8956,8148,8137,11,51109,111504,7063,5007,3308,1699,0,-420,1174014,121831,44603,-2524,9023,1328904
1973:Q1,1211002,785410,683351,102059,104145,23491,133496,125735,141563,108423,20656,12484,46016,40656,5360,95547,32116,19688,6012,6416,63431,48079,9284,6068,-15828,7761,7669,92,51583,114600,5944,5576,3628,1948,0,-1355,1211002,125164,45326,6670,10670,1377491
1973:Q2,1235743,803214,700188,103026,109942,23343,131250,124017,145069,109739,21285,14045,46036,40584,5452,99033,33480,20580,6588,6312,65553,48575,9245,7733,-21052,7233,7086,147,53380,116185,5704,5889,3864,2025,0,-1756,1235743,129026,46367,14375,11626,1413887
1973:Q3,1263995,820407,716164,104243,113789,22340,133029,126465,145145,107695,21046,16404,43984,38908,5076,101161,35012,21424,7044,6544,66149,47363,8926,9860,-18680,6564,6387,177,57278,118397,4717,5647,4064,1583,0,-2175,1263995,133421,47820,2483,13877,1433838
1973:Q4,1301927,841697,735343,106354,122206,23291,135783,130029,152745,114688,21398,16659,46492,41488,5004,106253,36384,21308,7148,7928,69869,51892,9246,8731,-22716,5754,5574,180,60503,119698,4555,5848,4204,1644,0,-2544,1301927,138346,49262,1054,14302,1476288
1974:Q1,1313906,858334,748181,110153,115734,23517,130296,125492,157260,117396,20653,19211,44604,40280,4324,112656,37684,20276,7168,10240,74972,56840,9161,8971,-31768,4804,4645,159,64936,120806,3556,6298,4332,1966,0,-2459,1313906,143803,50506,61,17067,1491209
1974:Q2,1334637,878489,765297,113192,108637,22920,128925,125463,162207,123489,20554,18164,46664,42384,4280,115543,38800,23048,7624,8128,76743,58057,8650,10036,-36744,3462,3359,103,69813,124068,2892,6570,4512,2058,0,-1893,1334637,149727,52398,9689,16397,1530056
1974:Q3,1360551,900196,783131,117065,110999,23273,124284,122556,172572,134134,21414,17024,51512,46968,4544,121060,39380,22144,7700,9536,81680,65022,9170,7488,-50016,1728,1716,12,73406,127054,3172,6972,4880,2092,0,-2461,1360551,156121,55061,3570,15277,1560026
1974:Q4,1376537,913838,792519,121319,113481,23011,119313,119712,154068,118080,20512,15476,46160,41764,4396,107908,39212,20660,7396,11156,68696,55656,8720,4320,-34356,-399,-284,-115,78481,127680,3608,7312,5228,2084,0,-2971,1376537,162982,56975,16525,13339,1599680
1975:Q1,1383376,918380,791920,126460,112735,22662,117750,120667,133019,98563,20596,13860,38312,33848,4464,94707,38412,24840,7376,6196,56295,39875,8756,7664,-12352,-2917,-2642,-275,82586,128821,4220,8356,6148,2208,0,-3694,1383376,170311,58433,15390,11396,1616115
1975:Q2,1413849,931175,800367,130808,114318,22405,128940,133846,140826,107566,19908,13352,41420,37316,4104,99406,38048,24220,7156,6672,61358,46030,8648,6680,-6980,-4906,-4489,-417,83052,133011,4264,9097,6900,2197,0,-3885,1413849,176635,59142,13882,11656,1651853
1975:Q3,1471682,955990,821293,134697,120708,22247,149763,156127,167855,133790,19697,14368,52024,47720,4304,115831,38036,24092,6952,6992,77795,61978,8441,7376,-11728,-6364,-5826,-538,84335,138199,4564,9276,7096,2180,0,-4272,1471682,181952,60179,9009,12998,1709820
1975:Q4,1515281,983379,845772,137607,125195,21856,158982,166275,177391,138944,21503,16944,53300,48748,4552,124091,38872,25132,7376,6364,85219,65064,9575,10580,-11116,-7293,-6651,-642,84668,141137,4928,9415,7232,2183,0,-4423,1515281,186265,61126,15124,15966,1761831
1976:Q1,1565620,1014715,871218,143497,126394,21636,175111,182802,193546,153823,23711,16012,60844,55396,5448,132702,41936,24140,7640,10156,90766,74287,10623,5856,-10744,-7691,-6966,-725,84099,141674,5136,9549,7048,2501,0,-2422,1565620,189570,62356,18686,15746,1820488
1976:Q2,1591349,1035504,889382,146122,128628,20455,173152,181031,195931,154477,24869,16585,59380,53688,5692,136551,43912,27876,8036,8000,92639,72913,11141,8585,-14900,-7879,-7069,-810,86616,144856,4836,9394,6980,2414,0,-2420,1591349,193669,63030,20932,16645,1852333
1976:Q3,1623621,1058375,908452,149923,132685,20023,174747,182604,197820,155241,26183,16396,58980,52940,6040,138840,45836,28972,8332,8532,93004,73329,11811,7864,-15216,-7857,-6959,-898,88426,147693,5068,9050,6656,2394,0,-2310,1623621,198562,64131,17365,17119,1886557
1976:Q4,1656930,1084794,929928,154866,136191,19122,174343,181967,197559,152723,27636,17200,58468,51956,6512,139091,47852,30112,8592,9148,91239,70655,12532,8052,-15592,-7624,-6638,-986,90449,151329,5460,8551,6092,2459,0,-2389,1656930,204247,65342,25631,17877,1934273
1977:Q1,1704135,1113279,950043,163236,138592,16446,184121,191303,212751,164065,29539,19147,62920,55852,7068,149831,48560,29220,8416,10924,101271,78993,14055,8223,-21448,-7182,-6105,-1077,97134,154836,5820,8160,5468,2692,0,-2613,1704135,210724,66812,27741,20765,1988649
1977:Q2,1770297,1150291,980908,169383,140511,16315,204910,211847,227171,176226,31766,19179,68420,60712,7708,158751,49904,29856,8584,11464,108847,85658,15474,7715,-15324,-6937,-5828,-1109,100997,158028,5856,7823,5004,2819,0,-2722,1770297,217476,68185,20700,20749,2055909
1977:Q3,1824998,1182109,1007506,174603,142367,15605,219641,226531,235983,182670,33554,19759,70840,62632,8208,165143,51540,31232,8736,11572,113603,88806,16610,8187,-9452,-6890,-5806,-1084,105347,161532,6416,8029,4860,3169,0,-3216,1824998,224500,69256,20608,20885,2118474
1977:Q4,1871938,1217622,1038175,179447,156496,15097,214459,221499,238067,184160,35543,18364,71836,63116,8720,166231,52820,33336,9128,10356,113411,87708,17695,8008,-16568,-7040,-6041,-999,109280,164260,10308,8312,5028,3284,0,-3280,1871938,231796,70568,8735,18769,2164270
1978:Q1,1910466,1250911,1063845,187066,158524,15891,209938,217327,238131,178468,37227,22436,66192,56724,9468,171939,54572,33932,9628,11012,117367,87812,18131,11424,-20804,-7389,-6531,-858,110821,166912,8680,9352,5644,3708,0,-3203,1910466,239366,72232,2800,22093,2202759
1978:Q2,2006334,1299127,1106042,193085,166114,15625,239724,247550,270750,210792,40278,19680,80008,69724,10284,190742,56064,33088,9976,13000,134678,107980,20018,6680,-23200,-7826,-7043,-783,113737,173059,8368,10034,6176,3858,0,-2718,2006334,247493,74506,22056,18749,2331632
1978:Q3,2054767,1336858,1137996,198862,168343,17124,246225,254575,277887,213089,42330,22468,80228,69528,10700,197659,58976,37468,11116,10392,138683,106093,20514,12076,-23312,-8350,-7575,-775,115444,169711,8288,10731,6748,3983,0,-1381,2054767,256178,75802,29188,20890,2395054
1978:Q4,2119073,1380158,1174396,205762,170915,17545,258389,267351,294871,224773,43206,26892,84980,74248,10732,209891,61584,39216,12036,10332,148307,111309,20438,16560,-27520,-8962,-8127,-835,119393,173910,10408,11379,7284,4095,0,-2208,2119073,265420,77783,39258,24591,2476948
1979:Q1,2172731,1422516,1208565,213951,180057,17267,250028,259690,294758,224504,42486,27768,81924,71276,10648,212834,63614,38200,12310,13104,149220,115028,19528,14664,-35068,-9662,-8701,-961,124782,176441,8352,12282,7852,4430,0,-2290,2172731,275219,79561,24781,25680,2526610
1979:Q2,2212453,1454750,1234381,220369,179181,15625,252438,263325,303309,227310,43219,32780,82112,71552,10560,221197,65853,38176,13053,14624,155344,117582,19606,18156,-39984,-10887,-9689,-1198,130482,178493,8776,12699,8192,4507,0,-2439,2212453,285343,81882,41015,29451,2591248
1979:Q3,2264919,1496720,1269386,227334,180733,15366,250289,262925,307045,226335,41726,38984,81036,71064,9972,226009,67852,35940,13464,18448,158157,119331,18290,20536,-44120,-12636,-11091,-1545,138680,180902,8132,12958,8396,4562,0,-2597,2264919,295793,84515,58437,36094,2667566
1979:Q4,2311412,1534939,1300925,234014,177778,16112,244108,259019,300399,220920,40567,38912,77876,68584,9292,222523,70757,38240,14529,17988,151766,114096,16746,20924,-41380,-14911,-12907,-2004,153171,184568,8864,13069,8460,4609,0,-3469,2311412,306569,86640,55761,36498,2723883
1980:Q1,2353288,1573594,1333777,239817,167565,15792,237401,255111,308567,230570,37749,40248,85388,76712,8676,223179,74282,38272,15162,20848,148897,115586,13911,19400,-53456,-17710,-15137,-2573,169018,189513,9200,13159,8176,4983,0,-3554,2353288,317670,89079,67797,37989,2789843
1980:Q2,2356529,1599170,1353879,245291,160310,17096,206769,225341,259369,187910,34607,36852,64932,57912,7020,194437,77325,51604,15817,9904,117112,78394,11770,26948,-34028,-18572,-15673,-2899,176706,196896,9624,13392,8328,5064,0,-4186,2356529,329032,91936,55665,35811,2797353
1980:Q3,2422801,1628600,1377302,251298,173401,19867,214074,231570,273866,206632,32342,34892,72144,65544,6600,201722,75843,43044,13511,19288,125879,98044,12231,15604,-42296,-17496,-14514,-2982,183446,204294,10072,13709,8712,4997,0,-4518,2422801,340657,94706,32742,34414,2856482
1980:Q4,2542551,1687627,1428729,258898,185004,23160,234259,248741,287493,223037,34565,29891,79472,72644,6828,208021,76547,45684,13911,16952,131474,104709,13826,12939,-38752,-14482,-11660,-2822,202128,210617,10304,15728,9304,6424,0,-5668,2542551,352541,98096,20887,28526,2985556
1981:Q1,2630761,1739611,1467662,271949,188214,23963,243133,252663,290091,227527,32425,30139,78140,71908,6232,211951,79238,49508,14590,15140,132713,106111,11603,14999,-37428,-9530,-7111,-2419,205256,230842,10556,16441,10356,6085,0,-6143,2630761,364687,100855,59314,31403,3124206
1981:Q2,2676697,1774750,1496683,278067,176368,23335,239326,244865,269173,212320,29350,27503,69076,64588,4488,200097,82634,51788,15274,15572,117463,95944,9588,11931,-24308,-5539,-3291,-2248,225703,235496,10704,16559,10972,5587,0,-4136,2676697,376442,103989,35426,30013,3162531
1981:Q3,2770023,1815086,1530569,284517,182287,23085,256093,258603,276767,221965,27318,27484,71648,68016,3632,205119,85907,54016,16579,15312,119212,99933,7107,12172,-18164,-2510,-199,-2311,254660,237466,11120,17105,11484,5621,0,-4639,2770023,387807,106710,28758,32694,3260609
1981:Q4,2782683,1840652,1550577,290075,171849,24740,245026,245467,264071,204766,25715,33590,62396,59464,2932,201675,87754,54696,17302,15756,113921,90606,5481,17834,-18604,-441,2165,-2606,261561,238772,13512,17547,11888,5659,0,-3952,2782683,398783,109643,27331,37629,3280820
1982:Q1,2786194,1864663,1567538,297125,165195,23548,219838,219171,232071,179803,20654,31614,50612,49792,820,181459,87563,58396,17731,11436,93896,71615,2103,20178,-12900,667,3801,-3134,274343,237401,13996,18640,12032,6608,0,-3438,2786194,409367,112559,2174,35992,3274303
1982:Q2,2833776,1884363,1581739,302624,169412,21080,234129,231272,236016,178849,23560,33607,52736,51220,1516,183280,87220,47414,17078,22728,96060,80215,4966,10879,-4744,2857,6230,-3373,284333,238262,13604,19151,12296,6855,0,-3350,2833776,418011,115867,5249,40928,3331971
1982:Q3,2853112,1904757,1596438,308319,170698,24379,231535,225405,231801,174945,25718,31138,53212,50288,2924,178589,88213,52386,18123,17704,90376,72271,4671,13434,-6396,6130,9453,-3323,276983,241777,13040,19520,12480,7040,0,-3497,2853112,424714,118035,5487,35027,3366321
1982:Q4,2865662,1918147,1604354,313793,179459,26324,225521,215036,221016,156562,30464,33990,48616,43752,4864,172400,90936,58033,19231,13672,81464,54777,6369,20318,-5980,10485,13468,-2983,272778,246292,19428,19953,12736,7217,0,-3384,2865662,429476,119825,21687,34093,3402558
1983:Q1,2924566,1947207,1622449,324758,183262,25780,242393,226470,224222,157490,33823,32909,50240,45472,4768,173982,93398,62963,20383,10052,80584,49055,8672,22857,2248,15923,18277,-2354,277448,250664,19900,20300,12780,7520,0,-2588,2924566,432297,120010,30587,34051,3473412
1983:Q2,3004297,1986295,1654672,331623,182636,24745,272625,251566,258630,187864,36421,34345,65332,60000,5332,193298,95174,60834,20836,13504,98124,67030,10253,20841,-7064,21059,23034,-1975,279512,261239,21584,20905,13172,7733,0,-2076,3004297,436021,123060,52203,36741,3578847
1983:Q3,3085286,2029635,1691405,338230,183805,23742,289442,263549,278701,210082,33621,34998,73984,69452,4532,204717,97700,63381,21443,12876,107017,77249,7646,22122,-15152,25893,27738,-1845,293186,267494,22196,21883,13980,7903,0,-1705,3085286,440648,125520,75590,37867,3689179
1983:Q4,3192438,2086815,1741526,345289,195301,23478,307152,276727,286539,215091,33475,37973,76120,71960,4160,210419,99292,65818,21326,12148,111127,77313,7989,25825,-9812,30425,32390,-1965,305035,273727,21536,23636,15252,8384,0,-1170,3192438,446178,126754,69024,39680,3794706
1984:Q1,3320931,2143849,1784009,359840,221918,23192,335741,301085,307677,238708,34346,34623,88436,82220,6216,219241,100381,66764,23021,10596,118860,89724,5109,24027,-6592,34656,36990,-2334,310766,281644,21224,26684,17608,9076,0,-1639,3320931,452610,129636,41923,37040,3908055
1984:Q2,3408892,2195159,1828142,367017,231775,21715,337676,297742,307550,237067,34039,36444,87144,81080,6064,220406,101749,67189,22204,12356,118657,88798,5771,24088,-9808,39934,42402,-2468,328278,287748,20996,28647,19248,9399,0,-1110,3408892,459546,131947,46757,37539,4009600
1984:Q3,3474576,2241610,1867050,374560,232366,24449,333129,286870,286582,216396,32348,37838,74744,70544,4200,211838,101955,68006,22349,11600,109883,77846,5799,26238,288,46259,48626,-2367,342361,292172,20880,30140,20568,9572,0,-771,3474576,466985,136191,43852,37356,4084248
1984:Q4,3531948,2282868,1900457,382411,226936,29257,342525,288894,288698,215717,35612,37369,75584,69916,5668,213114,104027,66857,22554,14616,109087,78944,7390,22753,196,53631,55663,-2032,342779,297528,21160,31161,21484,9677,0,54,3531948,474928,141741,33144,33224,4148552
1985:Q1,3593063,2323512,1932147,391365,240667,26878,346957,284906,284354,206675,42135,35544,80512,71352,9160,203842,108834,68187,26395,14252,95008,67136,6580,21292,552,62051,63511,-1460,342140,301047,21119,32203,21948,10255,0,778,3593063,483374,140275,39165,25691,4230168
1985:Q2,3641458,2363644,1963626,400018,238477,25327,350274,283748,283404,199336,44143,39925,78812,67928,10884,204592,111120,76025,28591,6504,93472,55383,4668,33421,344,66526,67647,-1121,338776,305701,20994,38146,22148,15998,0,2107,3641458,491968,142594,46534,27669,4294886
1985:Q3,3703138,2406421,1997416,409005,240737,27054,367277,300222,293054,210977,46310,35767,84740,73844,10896,208314,112597,70696,27741,14160,95717,66437,7673,21607,7168,67055,68069,-1014,335935,311851,21333,32787,22332,10455,0,2409,3703138,500708,144457,60951,22494,4386772
1985:Q4,3742873,2455721,2037011,418710,244324,25553,347804,284164,292144,203194,47795,41155,82376,71208,11168,209768,114433,73116,28885,12432,95335,58870,7742,28723,-7980,63640,64777,-1137,342238,313933,21994,33104,22612,10492,0,2190,3742873,509595,147584,69649,25604,4444095
1986:Q1,3793561,2491109,2063537,427572,245628,22012,338525,282245,262509,166407,54244,41858,87840,73200,14640,174669,120592,70746,32346,17500,54077,22461,7258,24358,19736,56280,57772,-1492,357385,317495,23105,42051,23340,18711,0,2461,3793561,518627,149562,68310,22159,4507892
1986:Q2,3804355,2517187,2081804,435383,251631,21078,324827,273555,259631,163917,57261,38453,88404,71864,16540,171227,122689,75956,32421,14312,48538,16097,8300,24141,13924,51272,52973,-1701,357309,319475,24187,34517,23457,11060,0,2518,3804355,527418,152498,76563,15494,4545342
1986:Q3,3842462,2555232,2111468,443764,264415,16592,314959,266344,260908,166461,55098,39349,90004,74456,15548,170904,121769,70911,29310,21548,49135,21094,10240,17801,5436,48615,50379,-1764,354777,326155,25451,33249,23008,10241,0,2534,3842462,535967,154985,92427,18178,4607669
1986:Q4,3885408,2604724,2152531,452193,264240,13391,315948,267639,278491,184673,55581,38237,101236,85432,15804,177255,119250,73805,27273,18172,58005,25436,12504,20065,-10852,48309,49992,-1683,346895,330367,26837,34028,21988,12040,0,2652,3885408,544275,157847,82083,11996,4657625
1987:Q1,3954229,2647757,2192652,455105,275439,14487,329706,279352,293228,196056,55878,41294,101542,85636,15906,191686,116615,74886,26777,14952,75071,35534,13195,26342,-13876,50354,51810,-1456,342006,336035,28281,34013,21274,12739,0,3067,3954229,552340,160260,69696,14368,4722156
1987:Q2,4053755,2692023,2229890,462133,282308,14133,368167,316564,335736,221673,65596,48467,115122,96356,18766,220614,116296,73657,25147,17492,104318,51660,21683,30975,-19172,51603,53060,-1457,346001,344369,30443,34352,20560,13792,0,2845,4053755,561153,162617,46767,18133,4806160
1987:Q3,4146841,2740263,2270785,469478,289495,17477,391926,339871,355595,237525,70315,47755,119884,99482,20402,235711,120243,74778,25909,19556,115468,63265,24004,28199,-15724,52055,53742,-1687,351554,352378,31306,32482,19729,12753,0,2572,4146841,570713,165363,19397,17765,4884555
1987:Q4,4240030,2809576,2331739,477837,298630,20287,393448,341737,357921,234658,68743,54520,114260,95445,18815,243661,126318,81682,29816,14820,117343,57531,20112,39700,-16184,51711,53855,-2144,356950,357398,31098,32328,19348,12980,0,2511,4240030,581022,168064,38566,19684,5007996
1988:Q1,4329402,2857560,2366183,491377,319160,21050,396781,346511,364815,250669,61443,52703,112591,97980,14611,252224,133484,71908,25640,35936,118740,80781,21192,16767,-18304,50270,53057,-2787,366664,365220,30364,31116,19600,11516,0,2215,4329402,591862,171940,5176,24989,5073372
1988:Q2,4421564,2923125,2421533,501592,322500,20281,410037,361143,386623,260800,68093,57730,120002,102652,17350,266621,140969,78285,29656,33028,125652,79863,21087,24702,-25480,48894,52179,-3285,365134,372500,29842,31674,20110,11564,0,6155,4421564,602619,175060,13610,22816,5190035
1988:Q3,4514325,2975841,2462854,512987,333597,21203,416436,368851,394999,265230,72619,57150,129120,104602,24518,265879,150009,93946,35343,20720,115870,66682,12758,36430,-26148,47585,51222,-3637,379210,377526,29237,33165,20762,12403,0,6584,4514325,613293,178079,-2712,20162,5282835
1988:Q4,4621800,3035418,2508558,526860,326841,27429,441717,395374,414138,281178,72604,60356,135351,110577,24774,278787,157582,84522,35168,37892,121205,86079,12662,22464,-18764,46343,50186,-3843,394011,382612,28565,35064,21911,13153,0,7273,4621800,623882,181252,-4781,22663,5399509
1989:Q1,4697878,3079060,2540806,538254,348099,23078,427211,382045,415785,270909,80867,64009,137171,112683,24488,278614,168978,105165,41937,21876,109636,53061,14442,42133,-33740,45166,49069,-3903,413029,391008,27954,37232,23271,13961,0,7115,4697878,634388,184041,17363,22396,5511252
1989:Q2,4732517,3114552,2563467,551085,339519,21171,420362,377237,396129,249493,82652,63984,122964,101884,21080,273165,177295,105349,42610,29336,95870,42260,18962,34648,-18892,43125,47554,-4429,422105,397485,27389,37664,23131,14533,0,7048,4732517,644682,187000,69940,21666,5612463
1989:Q3,4785611,3155045,2592251,562794,337157,20009,421556,381335,381767,229645,85570,66552,118934,94440,24494,262833,182111,109028,42799,30284,80722,26177,18277,36268,-432,40221,45639,-5418,428613,403939,27095,39129,23193,15936,0,7258,4785611,654767,190122,89144,24296,5695365
1989:Q4,4825125,3209749,2635680,574069,339742,21833,405743,369291,381619,225882,81758,73979,118619,95825,22794,263000,188852,101904,42044,44904,74148,28153,16920,29075,-12328,36452,43325,-6873,425647,403033,27274,39038,23088,15950,0,7614,4825125,664640,193393,94865,30799,5747238
1990:Q1,4927329,3272763,2684433,588330,345605,23137,417800,385981,389553,228110,88024,73419,116753,94538,22215,272800,193183,119708,49123,24352,79617,13864,16686,49067,-3572,31819,40612,-8793,431047,419548,27124,39374,23280,16094,0,5179,4927329,674303,195719,104879,29519,5872701
1990:Q2,5014295,3334711,2738832,595879,351118,26654,436576,408710,406690,238672,92892,75126,121667,99308,22359,285023,194001,115947,49346,28708,91022,23417,21187,46418,2020,27866,38090,-10224,430251,419450,26949,38969,22943,16026,0,3515,5014295,683805,198424,95138,31624,5960028
1990:Q3,5043112,3372521,2769310,603211,358939,31600,408711,384119,414315,249782,93585,70948,125139,102020,23119,289176,195784,117565,51415,26804,93392,30197,19051,44144,-30196,24592,35760,-11168,429273,426751,26931,38872,21872,17000,0,3376,5043112,693148,201865,104121,27137,6015117
1990:Q4,5071057,3381496,2772219,609277,356952,31273,414230,392232,412052,236825,90374,84853,123705,97946,25759,288347,191287,119976,51279,20032,97060,18903,13336,64821,-19820,21998,33622,-11624,437521,434210,26968,39501,20677,18824,0,2842,5071057,702332,204533,77283,50487,6004732
1991:Q1,5093563,3387533,2771729,615804,347459,32969,451174,431091,419655,225549,109945,84161,120157,95428,24729,299498,197737,120257,51944,25536,101761,9864,33272,58625,11436,20083,31675,-11592,411934,444008,27137,39752,19154,20598,0,5871,5093563,711355,207615,62106,39457,6035178
1991:Q2,5134103,3427613,2800145,627468,353015,35492,447811,429189,420589,231166,114725,74698,115996,87416,28580,304593,201862,126333,52605,22924,102731,17417,33540,51774,8600,18622,30511,-11889,399091,451552,27213,38654,17932,20722,0,8088,5134103,719005,209940,92374,28558,6126862
1991:Q3,5185511,3469924,2828083,641841,353620,39437,446341,428727,427351,237625,119720,70006,116916,85423,31493,310435,204422,125889,52085,26448,106013,26313,36142,43558,1376,17614,30131,-12517,395278,461270,27504,38482,17026,21456,0,8663,5185511,725281,212500,107748,25110,6205936
1991:Q4,5245266,3516989,2857955,659034,362555,46412,449640,432579,434283,235311,121951,77021,118183,86125,32058,316100,204498,129491,52607,22400,111602,19695,37286,54621,-1704,17061,30535,-13474,377322,471532,28098,38666,16430,22236,0,10248,5245266,730182,213691,108619,33221,6264541
1992:Q1,5369265,3595670,2912856,682814,378712,50002,479413,462451,460235,240671,141039,78525,130432,88687,41745,329803,203352,127754,44090,31508,126451,24230,55204,47017,2216,16962,31723,-14761,369233,476407,28575,38624,16501,22371,-248,9779,5369265,733710,214459,78393,32733,6363103
1992:Q2,5452210,3651900,2951982,699918,395206,57266,483441,466331,476927,262419,138904,75604,132371,94986,37385,344556,205812,132112,44424,29276,138744,35321,57095,46328,-10596,17110,32637,-15527,363582,481222,29224,38362,16460,22030,-128,10455,5452210,738790,216390,95426,32056,6470765
1992:Q3,5492862,3688514,2976554,711960,407857,64317,470601,453096,456448,250892,134299,71257,127797,94451,33346,328651,207389,133777,43488,30124,121262,22664,57465,41133,-3352,17505,33279,-15774,355727,485977,30392,38879,16271,22672,-64,11382,5492862,745424,217927,139638,29210,6566640
1992:Q4,5588251,3736905,3020771,716134,418846,70705,491707,473559,473111,274245,131889,66977,137057,99593,37464,336054,209476,143422,44826,21228,126578,31230,49599,45749,448,18148,33649,-15501,359180,489898,32161,43011,15916,27139,-44,10160,5588251,753611,220665,148598,30309,6680802
1993:Q1,5597050,3745569,3015937,729632,418929,80719,489317,470279,476367,274817,118744,82806,141728,97405,44323,334639,212948,144926,50930,17092,121691,32486,23491,65714,-6088,19038,33745,-14707,358423,489748,35468,40205,15120,25149,-64,9608,5597050,763351,222815,183453,37207,6729458
1993:Q2,5697378,3800220,3066450,733770,429555,86850,517639,496803,503127,307554,122610,72963,154122,110957,43165,349005,217188,145600,50784,20804,131817,50997,28661,52159,-6324,20836,34934,-14098,352074,497550,37558,39303,14361,25146,-204,11745,5697378,773191,224345,144670,30651,6808939
1993:Q3,5744585,3834110,3093619,740491,423449,92528,532434,508892,508488,304733,123682,80073,146383,100948,45435,362105,223799,148754,51649,23396,138306,55031,26598,56677,404,23542,37213,-13671,344293,504891,37688,38701,13671,25406,-376,11867,5744585,783131,225564,164976,36156,6882098
1993:Q4,5884156,3889258,3141356,747902,440004,100221,583479,556323,560399,349287,139229,71883,177955,122854,55101,382444,232836,157446,54354,21036,149608,68987,29774,50847,-4076,27156,40584,-13428,335043,520313,36010,39347,13064,26855,-572,12501,5884156,793171,228429,128602,20618,7013739
1994:Q1,5950300,3913385,3152713,760672,450229,108977,592611,560933,569189,361027,133089,75073,155921,117070,38851,413268,245982,151882,58660,35440,167286,92075,35578,39633,-8256,31678,45046,-13368,333661,531463,33567,40709,12808,28697,-796,12832,5950300,803311,229974,159426,27358,7115653
