1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q2,560856,347560,312356,35204,55800,18687,70229,64280,64064,51843,8265,3956,25412,22672,2740,38652,16944,12424,1980,2540,21708,16747,3545,1416,216,5949,6123,-174,14542,52938,2176,2520,1836,684,0,756,560856,53801,23726,-4296,4337,629752
1963:Q3,569386,352644,316845,35799,56229,18842,71657,65537,65769,53512,8245,4012,26116,23404,2712,39653,17220,12544,2088,2588,22433,17564,3445,1424,-232,6120,6286,-166,15010,53919,2296,2537,1884,653,0,844,569386,54467,24035,996,4438,644444
1963:Q4,579413,358774,322240,36534,57589,18836,72951,66652,67404,54927,8265,4212,26716,24016,2700,40688,17704,12752,2136,2816,22984,18159,3429,1396,-752,6299,6440,-141,15454,54682,2432,2621,1956,665,0,938,579413,55182,24341,-374,4625,653937
1964:Q1,591742,365175,328222,36953,57915,18840,77053,70569,70805,57599,8646,4560,26396,23732,2664,44409,18964,13080,2636,3248,25445,20787,3346,1312,-236,6484,6585,-101,16156,55671,2728,2720,2072,648,0,940,591742,55946,24670,2525,5058,669823
1964:Q2,601847,372622,334833,37789,58821,18779,77320,70653,70797,57655,8734,4408,26400,23712,2688,44397,19584,13808,2636,3140,24813,20135,3410,1268,-144,6667,6744,-77,16712,56746,2880,2784,2172,612,0,943,601847,56784,24972,-54,4875,678673
1964:Q3,613200,380011,341409,38602,59286,18863,78439,71592,72492,59218,8802,4472,26980,24284,2696,45512,20016,14244,2548,3224,25496,20690,3558,1248,-900,6847,6918,-71,17458,57881,2648,3206,2240,966,0,704,613200,57694,25251,935,5048,692031
1964:Q4,621366,386093,346687,39406,60503,18841,78019,70994,71690,58417,8837,4436,26516,23824,2692,45174,20540,14852,2488,3200,24634,19741,3657,1236,-696,7025,7105,-80,17611,58778,2660,3306,2264,1042,0,875,621366,58676,25562,-3591,4698,697318
1965:Q1,639972,392930,352814,40116,61947,19083,85843,78643,79043,65591,8680,4772,28344,25888,2456,50699,20420,14960,1916,3544,30279,24743,4308,1228,-400,7200,7307,-107,18557,60184,2924,3503,2332,1171,0,849,639972,59732,25883,-2367,5435,717790
1965:Q2,651177,399925,358877,41048,63177,19272,88046,80686,81806,67985,8876,4945,29232,26732,2500,52574,21160,15696,1892,3572,31414,25557,4484,1373,-1120,7360,7492,-132,18981,60340,2972,3505,2300,1205,0,903,651177,60888,26258,-2492,5641,730191
1965:Q3,662384,408340,366215,42125,63966,19504,89261,81757,83277,69350,9311,4616,29760,27140,2620,53517,21864,16644,1964,3256,31653,25566,4727,1360,-1520,7504,7661,-157,19533,60516,2988,3487,2244,1243,0,765,662384,62144,26629,3416,5253,749322
1965:Q4,681757,420463,377121,43342,65559,19492,94006,86373,88313,73473,10347,4493,31736,28788,2948,56577,22564,17480,2132,2952,34013,27205,5267,1541,-1940,7633,7812,-179,19505,61796,3144,3445,2184,1261,0,635,681757,63500,26990,4400,4787,771857
1966:Q1,702019,433109,385763,47346,69226,19834,97376,89630,90826,75712,10766,4348,32708,29904,2804,58118,22728,17576,2392,2760,35390,28232,5570,1588,-1196,7746,7946,-200,20671,61365,3564,3420,2152,1268,0,582,702019,64956,27355,6403,4998,795734
1966:Q2,711803,444412,395903,48509,67204,19757,96371,88540,91204,76110,10606,4488,32628,29904,2724,58576,22456,16936,2652,2868,36120,29270,5230,1620,-2664,7831,8043,-212,21327,62827,3928,3380,2108,1272,0,453,711803,66424,27914,3893,5052,804981
