1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,132149,28560,1517,0,0,534,26509,102435,3359,8528,1067,89481,308,99,209,846,0,132149,63356,43742,25859,17883,5067,7028,4339,1238,1085,329,0,138,89,855,0,605,0,1700,1700,0,6917
1952:Q1,130528,27746,1289,0,0,548,25909,101580,5560,8843,1034,86143,348,113,235,854,0,130528,62460,42407,24511,17896,8275,7343,4275,1251,1015,330,0,143,79,860,0,597,0,1695,1695,0,4073
1952:Q2,132121,28800,1616,0,0,554,26630,102076,5837,8822,1140,86277,382,124,258,863,0,132121,60709,43586,25850,17736,8305,7322,4357,1270,1077,321,0,148,89,866,0,586,0,1818,1818,0,6024
1952:Q3,134018,28995,1538,0,0,740,26717,103807,6180,8385,1452,87790,344,110,234,872,0,134018,63520,43932,26398,17534,8420,6871,4347,1293,1065,312,0,153,81,872,0,571,0,2302,2302,0,4626
1952:Q4,138678,29899,1659,0,0,560,27680,107542,4941,8910,1275,92416,360,115,245,877,0,138678,65498,44054,26641,17413,7438,7351,4457,1320,1146,310,0,158,96,878,0,549,0,1950,1950,0,7930
1953:Q1,134481,28876,1313,0,0,513,27050,104072,5530,8996,1156,88390,654,112,542,879,0,134481,66253,40918,23589,17329,8240,7390,4328,1343,990,319,0,164,100,882,0,530,0,1781,1781,0,5571
1953:Q2,132531,29458,1391,0,0,532,27535,101818,3634,9350,1088,87746,377,114,263,878,0,132531,63017,42965,25710,17255,6017,7695,4314,1361,948,337,0,173,98,887,0,510,0,1734,1734,0,6789
1953:Q3,136105,30067,1925,0,0,517,27625,104799,5870,8832,1049,89048,361,113,248,878,0,136105,65644,43080,25865,17215,8770,7121,4435,1372,1030,356,0,182,111,892,0,492,0,1679,1679,0,5376
1953:Q4,138710,29806,1107,0,0,430,28269,107644,4146,9546,948,93004,381,120,261,879,0,138710,66782,43767,26550,17217,5906,7766,4656,1375,1215,366,0,189,139,897,0,475,0,1498,1498,0,8335
1954:Q1,133696,29113,1541,0,0,495,27077,103309,5060,9945,894,87410,388,119,269,886,0,133696,65213,40982,23706,17276,7772,8106,4460,1371,1060,368,0,193,86,906,0,476,0,1508,1508,0,5655
1954:Q2,135866,29501,1686,0,0,553,27262,105064,5591,9924,945,88604,405,124,281,896,0,135866,64229,42754,25354,17400,8223,8059,4517,1360,1101,363,0,195,91,915,0,492,0,1622,1622,0,6462
1954:Q3,137222,29169,1565,0,0,512,27092,106729,4120,8977,724,92908,416,126,290,908,0,137222,68458,44298,26760,17538,6155,7131,4547,1344,1111,358,0,195,115,903,0,521,0,1362,1362,0,5271
1954:Q4,143349,29893,1359,0,0,494,28040,112081,4172,9902,1075,96932,457,139,318,918,0,143349,68863,45970,28329,17641,5567,8137,4660,1323,1240,357,0,194,112,877,0,557,0,1708,1708,0,8444
1955:Q1,138890,28974,1680,0,0,386,26908,108542,4070,9789,840,93843,447,134,313,927,0,138890,68549,44536,26814,17722,5564,8085,4504,1316,1061,367,0,191,102,888,0,579,0,1360,1360,0,6292
1955:Q2,140141,29123,1192,0,0,383,27548,109610,5078,10278,906,93348,474,143,331,934,0,140141,66159,45547,27756,17791,6987,8539,4574,1319,1089,385,0,185,104,911,0,581,0,1432,1432,0,6903
1955:Q3,140826,29065,1303,0,0,384,27378,110353,4220,9543,855,95735,465,139,326,943,0,140826,69652,46161,28304,17857,6179,7665,4685,1331,1160,404,0,179,99,948,0,564,0,1378,1378,0,5106
1955:Q4,145680,30046,1161,0,0,409,28476,114202,3709,10273,981,99239,476,142,334,956,0,145680,70033,47206,29282,17924,5297,8156,4859,1348,1265,415,0,174,132,995,0,530,0,1532,1532,0,8597
1956:Q1,142244,28996,1299,0,0,349,27348,111789,6170,10635,1087,93897,487,146,341,972,0,142244,69369,44101,26140,17961,7778,8259,4597,1354,1050,419,0,175,92,999,0,508,0,1582,1582,0,6558
1956:Q2,142494,30038,1290,0,0,306,28442,110949,5232,11453,1161,93103,516,156,360,991,0,142494,67945,44957,26977,17980,7178,8878,4602,1345,1086,417,0,178,76,998,0,502,0,1623,1623,0,7311
1956:Q3,142444,29258,1363,0,0,334,27561,111629,5110,9884,1063,95572,544,166,378,1013,0,142444,70647,45292,27277,18015,6961,7163,4599,1320,1084,414,0,183,88,997,0,513,0,1563,1563,0,6219
1956:Q4,147602,30070,1216,0,0,325,28529,115934,3733,10449,1258,100494,559,170,389,1039,0,147602,71871,47085,28990,18095,5009,7628,4834,1280,1281,415,0,190,132,998,0,538,0,1753,1753,0,9422
1957:Q1,143972,29212,1301,0,0,352,27559,113143,6385,10486,935,95337,547,169,378,1070,0,143972,70801,44618,26402,18216,8235,7558,4604,1253,1074,424,0,200,85,1009,0,559,0,1456,1456,0,6700
1957:Q2,143043,29850,1256,0,0,462,28132,111522,4490,11656,1443,93933,565,177,388,1106,0,143043,68664,45455,27100,18355,6467,8561,4712,1242,1142,439,0,214,92,1015,0,568,0,2082,2082,0,7102
1957:Q3,144728,29702,1385,0,0,380,27937,113286,6330,9757,1441,95758,597,177,420,1143,0,144728,71303,46244,27712,18532,7967,6419,4748,1249,1150,454,0,228,81,1022,0,564,0,1998,1998,0,6049
1957:Q4,147124,30106,1242,0,0,365,28499,115203,3898,10693,1558,99054,638,179,459,1177,0,147124,70971,47786,29024,18762,5145,7018,4953,1272,1292,466,0,237,113,1026,0,547,0,2102,2102,0,9149
1958:Q1,143407,29248,1353,0,0,262,27633,112363,5560,10629,1224,94950,585,183,402,1211,0,143407,70819,45118,25972,19146,6857,6644,4842,1298,1170,475,0,242,84,1036,0,537,0,1669,1669,0,7458
1958:Q2,147865,29534,1102,0,0,277,28155,116532,9460,11976,1473,93623,552,195,357,1247,0,147865,67287,46923,27218,19705,10556,7830,4944,1321,1210,482,0,245,109,1040,0,537,0,1945,1945,0,8380
1958:Q3,145579,29532,1176,0,0,320,28036,114180,4220,10294,1078,98588,589,198,391,1278,0,145579,72779,48395,28211,20184,5516,6112,4961,1337,1217,488,0,245,79,1046,0,549,0,1596,1596,0,6220
1958:Q4,152969,30264,1041,0,0,279,28944,120791,4250,10928,1529,104084,618,198,420,1296,0,152969,73698,50418,30083,20335,5453,6808,5194,1345,1366,496,0,244,125,1047,0,571,0,2006,2006,0,9392
1959:Q1,147117,29629,1231,0,0,315,28083,115552,3590,11889,1422,98651,819,213,606,1108,9,147117,73247,47434,27264,20170,4986,7908,5067,1348,1218,505,0,241,83,1082,0,590,0,1950,1950,0,6525
1959:Q2,148412,29889,929,0,0,306,28654,116495,4420,11868,1586,98621,1099,230,869,919,10,148412,72429,47908,28230,19678,5914,8083,5144,1348,1206,516,0,234,120,1118,0,602,0,2122,2122,0,6812
1959:Q3,150588,30007,1081,0,0,318,28608,118585,6140,11207,1479,99759,1372,249,1123,614,10,150588,76003,46864,27748,19116,7379,7734,5134,1345,1158,527,0,227,112,1160,0,605,0,2046,2046,0,5428
1959:Q4,154416,30826,895,0,0,353,29578,121941,5050,11458,1525,103908,1028,262,766,611,10,154416,75548,47933,29196,18737,6111,8479,5364,1337,1309,535,0,221,157,1205,0,600,0,2140,2140,0,8841
1960:Q1,146475,29378,947,0,0,231,28200,115409,4410,11606,1086,98307,1055,259,796,622,11,146475,73762,45006,26528,18478,5762,9070,5140,1334,1127,538,0,223,102,1217,0,599,0,1576,1576,0,6159
1960:Q2,149325,29743,899,0,0,264,28580,117845,7030,11418,1354,98043,1085,255,830,641,11,149325,72042,45819,27535,18284,8627,9042,5263,1333,1188,536,0,229,146,1230,0,601,0,1873,1873,0,6659
1960:Q3,151285,29588,958,0,0,200,28430,119912,7440,11297,1385,99790,1109,251,858,665,11,151285,75669,45882,27737,18145,8918,8692,5251,1333,1183,536,0,236,104,1249,0,610,0,1836,1836,0,5037
1960:Q4,156322,30612,862,0,0,226,29524,123862,5945,11674,1649,104594,1148,247,901,688,12,156322,77538,46287,28243,18044,7154,8466,5498,1332,1330,546,0,243,152,1271,0,624,0,2122,2122,0,9257
1961:Q1,149028,29398,926,0,0,282,28190,117734,4160,11703,2106,99765,1168,254,914,716,12,149028,75482,44478,26462,18016,5382,7873,5420,1337,1232,568,0,251,81,1309,0,642,0,2642,2642,0,7751
1961:Q2,151975,30550,787,0,0,256,29507,119417,6362,11849,2002,99204,1247,260,987,749,12,151975,73819,45833,27769,18064,7457,7732,5594,1344,1270,601,0,260,115,1344,0,660,0,2518,2518,0,9022
1961:Q3,155416,30060,901,0,0,369,28790,123369,7750,11639,2136,101844,1192,239,953,783,12,155416,76743,46036,27903,18133,9428,7540,5739,1354,1309,635,0,269,115,1381,0,676,0,2744,2744,0,7186
1961:Q4,162367,31412,887,0,0,294,30231,128898,5946,12242,2586,108124,1229,218,1011,815,13,162367,76926,49835,31673,18162,7055,8438,6007,1365,1392,660,0,277,207,1418,0,688,0,3098,3098,0,11008
1962:Q1,154500,30221,899,0,0,262,29060,122141,6260,11732,2884,101265,1280,235,1045,845,13,154500,75175,46388,28211,18177,7435,8262,5803,1388,1219,677,0,285,103,1441,0,690,0,3381,3381,0,8056
1962:Q2,158642,31929,991,0,0,353,30585,124503,9554,11814,2814,100321,1323,253,1070,873,14,158642,73040,47655,29469,18186,10910,8483,5911,1422,1213,687,0,294,148,1464,0,683,0,3420,3420,0,9223
1962:Q3,157533,30769,916,0,0,273,29580,124605,8090,11509,2364,102642,1242,224,1018,903,14,157533,75396,48433,30249,18184,9864,8143,6030,1454,1289,695,0,302,134,1488,0,668,0,2861,2861,0,6806
1962:Q4,167739,32090,977,0,0,292,30821,133502,7158,12071,2740,111533,1194,201,993,938,15,167739,77148,52727,34564,18163,8098,8530,6330,1471,1457,707,0,307,227,1513,0,648,0,3233,3233,0,11673
1963:Q1,159341,31740,1291,0,0,219,30230,125495,7330,12143,2470,103552,1113,225,888,978,15,159341,78347,45910,27771,18139,8646,8408,5972,1473,1230,721,0,311,107,1478,0,652,0,2914,2914,0,9144
