1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1995:Q2,6243196,746808,5496388,5124057,372331,3675,2699,88150,651765,19055,1094167,1355899,879401,577992,257244,49008,-4843,476498,816295,8548,-24702,191157,202211,-46942,191167,4339,-176262,-66185,19974,28341,-8367,0,-51066,38045,15938,55452,377219,3908,26552,339797,-107,329228,163825,146533,10612,8390,-132,9916,760,-261732
1995:Q3,6321037,752216,5568821,5195429,373392,2574,2711,97515,658928,20604,1109094,1310864,903789,592401,267084,49133,-4829,407075,792616,-1432,-58073,191275,57427,159033,-43813,66782,27487,108578,-4851,3516,-8367,0,-102004,13059,100840,31088,405286,3916,-2948,385542,254,374596,164461,152485,10300,47482,-132,9916,776,-201770
1995:Q4,6395096,769990,5625106,5261601,363505,3975,2734,101985,665317,16649,1115399,1253882,920712,601343,274891,49225,-4747,333170,638046,5236,-112629,32718,84457,-13611,-86051,135793,-111583,48230,85145,92351,-7206,0,-261,1529,130325,37624,369867,3908,13740,304876,-12,294196,136683,140077,27160,-9592,-132,9912,780,-138483
1996:Q1,6510708,801731,5708977,5337744,371233,1866,2748,103758,671017,21555,1123571,1377756,937806,607095,286414,49153,-4856,439950,886469,10660,34717,233295,134606,-46993,-64543,-14529,-13737,45817,43599,51303,-7704,0,-101307,-26383,213270,14720,366018,6936,3332,446519,4311,432149,254174,116789,-27856,85718,3324,9332,728,-254185
1996:Q2,6638633,839564,5799069,5432483,366586,4280,2757,111852,679970,22968,1136963,1276983,970307,622283,302460,50273,-4709,306676,679340,6688,-87600,116554,69150,180802,28678,169384,-70569,53308,-12912,-4804,-8108,0,-168170,25496,166084,30836,340952,6936,4524,372663,4503,358037,210954,110089,26208,7458,3328,9332,792,-140021
1996:Q3,6712828,843542,5869286,5491951,377335,1263,2768,110815,685817,24135,1148327,1320454,978585,625089,305475,52591,-4570,341869,634582,16000,-9317,173720,88160,123545,114300,142646,-42205,-91196,-21109,-12821,-8288,0,-285920,-593,132569,56884,340327,6936,13380,292712,8262,274343,164022,90309,10512,6172,3328,9332,776,-172127
1996:Q4,6802631,863498,5939133,5574531,364602,4083,2879,114474,693742,23782,1150240,1207487,987861,634528,302451,55324,-4442,219626,544718,16112,-175516,25252,94443,-45598,-139779,136959,-49671,6893,158627,166891,-8264,0,-182383,-12755,159145,57760,432343,6936,10352,325091,7249,307754,191275,105685,-22124,29590,3328,9332,756,-57247
1997:Q1,6922179,902112,6020067,5658114,361953,2172,2938,126120,699150,25679,1160778,854349,1007404,649297,303716,59023,-4632,-153055,207233,11244,-27844,99452,78850,-229830,-61808,1375,-8213,-161183,-39801,-31753,-8048,0,-194630,-40735,102154,46200,381628,7504,13040,360288,4639,345757,238793,41808,33360,28292,3504,9624,268,306430
1997:Q2,7003300,916234,6087066,5702460,384606,2056,2986,111281,708179,26324,1176812,1391602,1006891,641012,308853,61686,-4660,384711,724659,1384,4492,159997,108829,-95462,-50902,7157,-31645,-20072,70788,78124,-7336,0,-227910,-11306,184906,50868,456836,7504,13732,339948,8786,321246,182624,73812,16092,45214,3504,9624,292,-214789
1997:Q3,7116409,941108,6175301,5815830,359471,378,3050,132534,713695,27515,1175513,1439937,1040952,665114,314902,65781,-4845,398985,800707,6220,-89408,267164,101969,136338,-27413,18555,34195,111001,-3419,3509,-6928,0,-415739,-22310,312047,54704,423526,7504,22112,401722,7040,384746,288478,74072,-53840,72532,3504,9624,312,-264424
1997:Q4,7254018,967830,6286188,5905160,381028,2065,3082,140390,721929,28378,1213952,1145145,1063925,678349,322429,68335,-5188,81220,411607,7284,-31447,78182,79460,-114120,-392753,224226,63591,-9184,74404,82804,-8400,0,-336509,-3405,225561,32620,391945,7504,128,330386,8059,312363,154417,91456,48664,14322,3504,9624,340,68807
1998:Q1,7416471,996132,6420339,5968680,451659,1445,3061,138118,732023,30580,1289604,1219490,1082838,683119,333098,71965,-5344,136652,580929,-1448,-81258,32696,149933,37484,35453,-149709,2734,149006,97483,106455,-8972,0,-428773,-47655,253829,27096,522505,9860,9176,444277,19325,417584,320766,33452,14344,38878,10144,7524,-156,70115
1998:Q2,7544404,1022352,6522052,6086532,435520,5847,3084,161886,740696,32127,1308738,1709877,1130502,712322,348962,74969,-5751,579375,1082994,3872,57392,16498,234918,375882,136542,76476,6197,156668,61561,70797,-9236,0,-385451,-48070,172962,42020,540447,9860,1104,503619,12854,482037,269053,165024,-8516,46332,10144,7524,1204,-401139
1998:Q3,7650410,1043209,6607201,6183885,423316,1009,3107,170014,750634,32819,1309047,1665554,1160088,726958,363454,75773,-6097,505466,873037,6860,-6857,25204,272464,164857,23302,250417,-13770,-95093,135606,144314,-8708,0,-293786,-16241,13476,35856,512793,9860,12944,367571,7674,354373,241569,94256,15516,-7112,10144,7524,-2000,-356507
1998:Q4,7742145,1067989,6674156,6286298,387858,3987,3156,200414,761034,34046,1316091,1003512,1210360,764133,374566,78042,-6381,-206848,324174,-7100,103015,249477,180685,-399780,-429901,156296,-4728,-121447,-18374,-24726,6352,0,-448361,-47468,190101,82432,427631,9860,2056,531022,7179,520855,381707,95696,24936,8372,10144,7524,-4536,312579
1999:Q1,7836645,1077946,6758699,6358132,400567,2677,3183,192653,769889,35298,1327305,714912,1211210,761416,377649,78632,-6487,-496298,80108,6572,1686,-133997,142947,146691,-122816,7332,33517,228659,-4521,-11797,7276,0,-421167,-44627,24807,41312,318317,2884,-796,576406,11239,554447,419442,121773,-9380,19284,3328,5900,4820,612393
1999:Q2,7896804,1095157,6801647,6496944,304703,1685,3248,218431,780832,36622,1265781,743675,1253278,793785,386186,79921,-6614,-509603,66721,4472,-71632,65163,102843,5542,69720,62872,-19581,-107468,17803,11923,5880,0,-579998,-75863,158645,59340,373545,2884,3976,576323,8476,561616,340119,115985,8520,93664,3328,5900,332,522105
1999:Q3,8007984,1120597,6887387,6604621,282766,1360,3367,223950,795416,34600,1265525,962253,1274768,809002,391464,80948,-6646,-312515,244558,2736,-32474,164674,118092,101132,-40306,133826,7884,-272,76603,69479,7124,0,-559160,-76735,14139,28784,378440,2884,25444,557073,14425,536573,410302,129217,-22360,16086,3328,5900,176,303272
1999:Q4,8172960,1153957,7019003,6743768,275235,3818,3374,218582,810977,38550,1266688,958980,1286208,813773,397524,81497,-6586,-327228,281249,-2044,18499,229635,300658,-389442,60363,82886,43056,-575747,189175,182891,6284,0,-753407,-87960,241545,69428,462398,2884,-120,608476,7512,591940,338465,82429,-4668,172386,3328,5900,3124,307708
2000:Q1,8408372,1208754,7199618,6902891,296727,-1052,3447,272333,826898,35948,1355511,1133241,1361696,877483,406669,84231,-6687,-228455,521560,17964,-85513,268119,195225,-343549,-219373,-18492,14831,-120515,223746,222738,1008,0,-449681,-36443,229857,49204,421632,10112,20888,750015,5006,741933,359388,123161,9908,238228,11248,6048,-2972,222270
2000:Q2,8549721,1230160,7319561,7004455,315106,-2460,3506,242020,843629,35915,1358874,1285404,1349119,859432,408692,87669,-6674,-63715,457656,2764,-118941,268588,63371,-126913,-287491,75429,8180,76969,-60603,-61479,876,0,-82500,-20128,25238,32732,434224,10112,29712,521370,11503,503047,384186,194169,-11044,-75512,11248,6048,772,73470
2000:Q3,8711735,1247708,7464027,7127720,336307,-929,3587,239033,858861,35384,1394301,1220739,1358995,868700,406104,90999,-6808,-138256,496176,-5328,-132381,162072,195351,-37347,-255238,119838,47109,50944,51852,51184,668,0,-394455,17452,112778,47580,436587,10112,31904,634432,7092,621884,404473,195193,-21252,32222,11248,6048,-592,173561
2000:Q4,8815359,1258695,7556664,7237521,319143,5170,3673,233354,870000,35313,1388681,2066518,1369098,872669,411189,92329,-7089,697420,1146938,15048,-63288,392718,247830,206097,-3813,-52603,1462,261051,248865,248141,724,0,-368055,-50810,-40133,47512,493942,10112,7100,449519,-566,440796,385879,193657,22852,-172840,11248,6048,3240,-677837
2001:Q1,8975381,1301904,7673477,7314982,358495,4334,3776,230174,880580,36150,1433657,1553334,1378650,872829,420589,92553,-7321,174684,651964,10076,109513,489089,491403,-762941,-144677,-539912,86214,-164566,-87029,-93249,6220,0,-214699,21091,-12449,109636,473826,900,23548,477280,5510,475662,454160,173966,-44032,-118784,10352,-600,-3292,-119678
2001:Q2,9012371,1308869,7703502,7361871,341631,1588,3766,213135,897533,28346,1421775,1461022,1384180,865924,433973,91970,-7687,76842,805201,-9324,-71035,365021,140864,-379404,-383481,-40306,47821,-3438,36155,30479,5676,0,-126295,-11830,261618,105552,426156,900,66824,728359,11964,718075,574759,126982,-22584,28566,10352,-600,-1080,-39247
2001:Q3,8997117,1113622,7883495,7389053,494442,-2452,3747,209661,911061,22217,1586748,1986575,1398781,870077,444356,92347,-7999,587794,1559974,-284,54656,223933,269447,454547,167453,335900,66702,-115509,365031,359131,5900,0,-488548,-29543,-39798,15664,651676,900,82292,972180,15817,953791,572889,87214,30564,252772,10352,-600,3172,-399827
2001:Q4,8987692,1231793,7755899,7497855,258044,3466,3735,269733,921998,34652,1414854,1833696,1468036,937877,444029,94390,-8260,365660,756733,1152,218141,83107,184286,-214846,-87547,-214685,-2571,89957,-153933,-158825,4892,0,26738,-30680,170506,85796,355534,900,30032,391073,22017,370252,430754,214074,-53276,-231652,10352,-600,-596,-418843
2002:Q1,9032727,1075158,7957569,7520611,436958,5025,3753,244097,928014,34504,1575837,1215085,1463510,916028,457766,97866,-8150,-248425,539630,-3620,-222795,527226,-141578,-124603,-97636,-59684,97785,-65067,-24753,-31945,7192,0,-232962,-64281,154870,98232,539297,4740,29856,788055,9419,759983,655605,108270,-8200,-5216,9524,17324,1328,360752
2002:Q2,9131907,1050988,8080919,7606152,474767,-4902,3757,237121,940319,32571,1610977,1490198,1481503,917105,471681,101018,-8301,8695,627191,1792,-13563,110051,-70855,209514,-101046,-132041,96265,346337,-96265,-101549,5284,0,-131215,-84355,99440,100164,436806,4740,60936,618496,9659,592033,574439,130886,-42508,-80308,9524,17324,-520,120779
2002:Q3,9176669,1044121,8132548,7691014,441534,-4045,3753,249829,954711,33675,1604601,1083959,1508567,939928,474866,102176,-8403,-424608,405142,6248,117742,467443,-101808,86577,-31068,-165652,81947,201350,-6494,-13790,7296,0,-632145,-81582,-67906,65344,496415,4740,50568,829750,13256,796290,749144,94802,-5020,-52160,9524,17324,2880,520642
2002:Q4,9258902,1038444,8220458,7767323,453135,-9386,3757,224465,971813,15498,1620772,1768006,1510635,925276,491250,102563,-8454,257371,1206101,624,22834,94567,165749,94223,-237637,-184668,105800,410728,-27085,-34181,7096,0,293186,-59351,73388,-1288,516422,4740,28092,948730,17941,913537,845487,86762,-26200,-2036,9524,17324,-72,-147234
2003:Q1,9306711,1021348,8285363,7859702,425661,-6156,3823,211129,981767,14755,1593823,707604,1520062,914518,510931,103039,-8426,-812458,110870,6764,-116330,457345,-170089,-634296,-43720,-423597,-13061,-153918,74177,70141,4036,0,-404744,26985,-13399,77620,729604,4340,72892,923328,17698,896322,714352,117060,4240,54758,5912,6544,2764,886219
