date,FU216902505.A,FU216300001.A,FU216902605.A,FU216025001.A,FU216020001.A,FU216401005.A,FU216402101.A,FU216140005.A,FU216402101.A,FU216240001.A,FU216402015.A,FU216150195.A,FU216130101.A,FU216121101.A,FU216112101.A,FU216130095.A,FU216140005.A,FU216220005.A,FU216601001.A,FU216404001.A,FU216403105.A,FU216403001.A,FU216012005.A,FU216901001.A,FU216006095.A,FU216006395.A,FU216006095.A,FU215440005.A,FU215050905.A,FU215019001.A,FU216300001.A,FU215420003.A,FU215000995.A,FU215000995.A,FU214090005.A,FU214000005.A,FU213020005.A,FU213030000.A,FU214022005.A,FU213069103.A,FU213061103.A,FU213061703.A,FU213062003.A,FU213063003.A,FU214035005.A,FU212051003.A,FU214023005.A,FU213081005.A,FU213034003.A,FU213064103.A,FU213064203.A,FU213096005.A,FU213070003.A,FU213078005.A,FU213093003.A,FU214190005.A,FU213162005.A,FU213162400.A,FU213162200.A,FU213169203.A,FU223073045.A,FU213170003.A,FU215000005.A,FV218090185.A,FV212010095.A,FV218090085.A,FU217005045.A,FR212010095.A,FR215015605.A,FR215013265.A,FR215013765.A,FR213081005.A,FR223073045.A,FR218200005.A,FC212090095.A,FL212000095.A,LM212010095.A,LM215015605.A,LM215013265.A,LM215013765.A,FL214090005.A,FL214000005.A,FL213020005.A,FL213030000.A,FL214022005.A,FL213069103.A,FL213061103.A,FL213061703.A,FL213062003.A,FL213063003.A,FL214035005.A,FL212051003.A,FL214023005.A,FL213081005.A,FL213034003.A,LM213064103.A,LM213064203.A,FL213096005.A,FL213070003.A,FL213078005.A,FL213093003.A,FL212100005.A,FL214190005.A,FL213162005.A,FL213162400.A,FL213162200.A,FL213169203.A,FL223073045.A,FL213170003.A,FL212090095.A
2012,1462998,231980,1231018,1238653,870693,367960,-7636,810560,-7636,1020951,-458,78825,62278,4060,12487,281123,810560,393794,17201,540752,550124,0,1230927,1515719,-284792,-210434,-284792,-74358,112693,333742,231980,10932,-323128,-323128,-32914,9944,-9021,18965,-44588,-10999,23143,-45162,-829,-10741,7125,-874,7999,-4410,-2210,-3400,1200,-985,5560,7477,-14022,243855,11993,4033,7960,-12189,205838,38213,-276769,121480,-7361,82482,-46359,226921,224007,1721,1194,19803,-266458,513182,424227,12162341,9389660,9037736,242407,109517,2772681,449031,122075,326956,1246357,90907,459727,508432,13962,173329,507935,130503,377432,187481,18864,111580,57037,381877,162617,119486,99774,12162341,6933642,3172256,56622,3115634,16388,2999908,745090,5228699
2013,1526303,238930,1287373,1293215,887598,405617,-5842,862945,-5842,1060346,-476,79131,62235,4749,12147,270215,862945,428346,17660,564382,563738,0,1308306,1574317,-266011,-194379,-266011,-71632,102318,330876,238930,10372,-296697,-296697,133702,27315,6866,20449,128546,-3903,85056,23275,1781,22337,-18369,9808,-28177,-3011,-811,-3400,1200,-779,9440,3110,-13329,380523,-48434,-11146,-37288,44689,345418,38850,-246821,-692679,0,-742556,-49877,255256,251466,1877,1913,42933,-477860,776049,-111010,12618903,9736864,9378734,243026,115104,2882039,476346,128941,347405,1309056,87004,513654,510311,14767,183320,488136,140311,347825,227403,18053,142244,67106,381098,172057,122596,86445,12618903,7501214,3123822,45476,3078346,61077,3532375,783940,5117689
2014,1574204,247056,1327147,1330998,912893,418105,-3851,915688,-3851,1101025,-494,81272,63949,5266,12057,262263,915688,438303,18746,617541,619240,0,1374436,1611990,-237554,-166878,-237554,-70677,103052,339545,247056,10563,-269930,-269930,-46478,28382,16784,11598,-69155,-10740,-89,-49191,-1466,-7669,-8608,-640,-7968,-3901,-1701,-3400,1200,6804,11028,6937,-11161,180970,-26643,-6392,-20251,-42986,210796,39803,-227449,-61926,0,-104407,-42481,164707,161678,3036,-7,17334,-147821,329862,101059,12879482,9994042,9630816,243840,119386,2885440,504728,145725,359003,1273249,76264,529982,472978,14465,179560,478726,139671,339055,240836,16352,153432,71052,387901,183085,129532,75284,12879482,7660734,3097179,39084,3058095,18091,3721721,823743,5218748
2015,1628018,252640,1375378,1377292,945282,432010,-1913,941083,-1913,1131590,-514,80658,64102,5415,11140,268738,941083,464371,19234,665280,676273,0,1435681,1652241,-216560,-146787,-216560,-69773,117629,358402,252640,11867,-264417,-264417,76505,5516,-8639,14155,68062,-3314,58127,-4028,547,16730,-23976,7807,-31783,-2391,-191,-3400,1200,29294,581,5391,23322,229825,15837,-5940,21777,137,172648,41203,-153321,-10806,0,-121902,-111096,86945,87976,645,-1675,-4198,95157,-12410,-170003,13119250,10186741,9820620,242956,123165,2932509,510244,137086,373158,1316898,72950,578695,463616,15032,186605,453925,147478,306447,234247,16161,147710,70376,417195,183666,134923,98606,13119250,8070505,3113016,33144,3079872,18228,4074315,864946,5048745
2016,1663666,258833,1404833,1407676,971672,436004,-2843,968031,-2843,1171856,-534,82320,65826,5699,10795,282769,968031,463988,19960,693059,689980,0,1448900,1691058,-242159,-169670,-242159,-72489,128674,374620,258833,12887,-298343,-298343,170983,14114,5930,8184,71042,488,37653,25798,1029,6074,53883,7354,46529,3201,5401,-3400,1200,28743,17499,10666,578,320589,32617,-2721,35338,252,244768,42952,-149605,43071,0,-105668,-148738,209567,207179,691,1697,18825,-182496,410887,284288,13625520,10512097,10136897,244074,131126,3113423,524358,143016,381342,1379414,73438,607550,486733,15783,195910,507440,154832,352608,256273,21562,159362,75349,445938,201165,145589,99184,13625520,8292487,3145633,30423,3115210,18480,4220476,907898,5333033
2017,1708330,269715,1438616,1445949,1004103,441846,-7333,1020830,-7333,1232537,-555,87129,70562,5846,10721,290949,1020830,490164,19842,709653,691190,0,1512372,1737213,-224841,-152436,-224841,-72405,138489,393874,269715,14330,-290925,-290925,85563,11664,-2464,14128,73455,4226,35041,26019,500,7669,5948,8910,-2962,-1894,306,-3400,1200,-3610,6239,5139,-14988,250601,-409,4772,-5181,468,205826,44716,-165038,38127,-2131,-85629,-125887,350481,346397,1983,2101,40696,-488760,879937,765627,14229798,10984583,10595447,248233,140903,3245215,536022,140552,395470,1458798,77664,642514,514743,16692,207185,512993,163742,349251,295075,21868,185816,87391,442327,207404,150727,84196,14229798,8131138,3145224,35195,3110029,18948,4014352,952614,6098660
2018,1782485,285153,1497333,1505243,1044613,460630,-7910,1092375,-7910,1293640,-577,93240,75789,6005,11446,286018,1092375,519991,20429,731121,723775,0,1625449,1825314,-199866,-126745,-199866,-73121,150104,418771,285153,16485,-276849,-276849,68602,274,-7636,7910,35158,545,13836,5620,532,14625,-23029,1149,-24178,-4290,-2090,-3400,1200,60489,22850,19359,18280,232369,-39599,2872,-42471,1103,223202,47663,-163768,22858,-159,-90064,-113081,493206,486182,4527,2498,-19266,201913,272027,168140,14880625,11611268,11205181,254990,151097,3269357,536296,132916,403380,1469033,78209,647023,518354,16808,208639,489693,164891,324802,271519,19778,169586,82155,502816,230254,170086,102476,14880625,8613825,3105625,38067,3067558,20051,4487872,1000277,6266800
2019,1834492,298870,1535623,1548930,1085145,463785,-13308,1134591,-13308,1358202,-600,96480,78361,6509,11610,306183,1134591,571414,20657,762727,755362,0,1719298,1925199,-205901,-131072,-205901,-74829,160632,442518,298870,16984,-291704,-291704,24919,25933,6159,19774,24140,-636,39839,2403,-896,-16570,8289,-1340,9629,4559,6759,-3400,1200,-38002,12119,8540,-58661,310220,-1260,6789,-8049,1047,259081,51352,-285301,54924,0,48520,-6403,301000,300453,423,123,63516,-588790,953306,877157,15481237,12055913,11641787,257123,157003,3425324,562229,139075,423154,1560879,77573,715392,539326,16673,211915,497807,163551,334256,339594,26537,214120,98937,464815,242373,178627,43815,15481237,8337280,3104365,44856,3059509,21098,4160188,1051629,7143957
2020,1891022,308404,1582619,1589720,1112500,477220,-7101,1158312,-7101,1365165,-624,94786,77661,6215,10910,293915,1158312,575867,20015,815691,1029309,0,1967812,2019672,-51861,31908,-51861,-83769,160689,451668,308404,17424,-128780,-128780,347923,81255,90797,-9542,181731,-425,253292,-71405,1479,-1210,58724,15698,43026,11471,13671,-3400,1200,14742,-12801,9432,18111,408874,92870,1725,91145,999,261608,53397,-60951,43169,0,-24660,-67829,347426,342495,2649,2283,51966,-539840,939232,1014309,16411513,12546643,12118678,263317,164648,3864870,643484,229872,413612,1782348,77148,996115,466517,18639,223929,556451,179249,377202,403031,40208,250043,112780,479556,229572,188058,61926,16411513,8253247,3197235,46581,3150654,22097,3928889,1105026,8158266
2021,1950817,332969,1617848,1631174,1153291,477883,-13325,1289777,-13325,1493296,-3116,93809,75762,6348,11700,280887,1289777,704903,22198,900657,1277045,0,2393266,2149907,243360,326301,243360,-82941,134130,448828,332969,18271,192171,192171,588663,85108,115859,-30751,338446,4000,389973,-39828,3812,-19511,11577,10000,1577,13105,15305,-3400,1200,140426,45953,29377,65096,374626,68483,-13662,82145,465,248210,57468,214037,-94213,-4000,-112079,-21866,1404414,1383158,18190,3066,73776,-657078,2135268,2367355,18511705,14063220,13605085,283946,174189,4448485,728592,345731,382861,2042050,81148,1330976,415299,22240,192387,567949,189249,378700,489912,55513,306376,128023,619982,275525,217435,127022,18511705,7986084,3265718,32919,3232799,22562,3535310,1162494,10525621
2022,2045066,371516,1673550,1676741,1218047,458694,-3191,1461787,-3191,1616035,-668,97597,78680,6563,12354,247986,1461787,791532,22473,1012348,1137988,0,2401433,2341080,60354,290121,60354,-229767,117791,470246,371516,19061,172330,172330,407297,2335,14695,-12360,346111,4004,309896,36251,6422,-10461,7869,10001,-2133,7561,9761,-3400,1200,43421,31070,11456,895,247313,-51440,-7465,-43975,721,233177,64855,159984,826300,-3000,841646,12346,1268035,1239594,20897,7544,-87263,553956,626816,1743236,19938805,15427105,14934921,303721,188463,4511700,730927,360426,370501,2131416,85152,1463369,410074,25936,146886,575743,199250,376493,410210,65274,239331,105605,663403,306595,228891,127917,19938805,7669948,3214278,25454,3188824,23283,3205038,1227349,12268857
2023,2148919,393230,1755689,1773167,ND,ND,-17477,1449811,-17477,1659253,-688,100254,80681,6845,12728,291529,1449811,729596,21879,1061536,1133609,0,2273359,2423454,-150095,-54583,-150095,-95513,176433,549905,393230,19758,-231016,-231016,118409,18950,15140,3810,98987,4010,94298,3029,-377,-1973,9653,10006,-354,4562,6760,-3399,1201,-13742,-2247,5971,-17466,323308,20676,1449,19227,985,233118,68529,-204899,343,0,-25774,-26117,312393,304887,2756,4750,73054,-468097,853544,799304,20648014,15896297,15384506,309863,201928,4751717,749877,375566,374311,2279057,89162,1588768,422856,26299,151973,585295,209257,376038,487826,72034,293207,122585,649662,304348,234863,110451,20648014,7579853,3234954,26903,3208051,24268,3024753,1295878,13068161
