date,FU907005005.Q,FU903012005.Q,FU903091005.Q,FU904010005.Q,FU902050005.Q,FU903020005.Q,FU903023005.Q,FU903028003.Q,FU903029200.Q,FU903070005.Q,FU903078005.Q,FU903090005.Q,FU906000105.Q,FU087005005.Q,FU156600075.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-1798,-97,0,-498,-9,883,603,0,280,2910,-7757,3999,-1228,1228,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,-11006,-28,0,125,-80,-814,-1553,0,739,-1713,-7592,1960,-2865,2865,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,-5566,-32,0,-148,-10,-326,52,0,-378,751,-7493,1443,250,-250,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,-6138,-28,0,66,3,368,79,0,289,1108,-7523,1608,-1739,1739,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,-7679,-48,0,99,-45,374,-199,0,573,-1438,-8383,3025,-1263,1263,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,2702,-49,0,-794,-114,202,-10,0,212,-2762,-9250,18927,-3458,3440,18
1952:Q1,-6599,-7,0,-21,-200,-2844,-1235,0,-1609,-3832,-1933,3068,-831,544,287
1952:Q2,3675,-16,0,-202,-229,1951,574,0,1377,-981,-2214,5841,-475,375,100
1952:Q3,-6142,-18,0,674,-632,-1398,150,14,-1562,-1539,-1916,-971,-342,411,-69
1952:Q4,-9867,-25,0,-560,273,3304,-136,45,3395,2518,-2718,-11675,-983,1279,-296
1953:Q1,-12934,-11,0,33,166,-2359,-559,47,-1847,-2911,-3402,-3860,-591,243,348
1953:Q2,-10307,-15,0,-17,139,1218,405,49,764,1338,-3292,-8942,-736,621,115
1953:Q3,-8483,-11,0,358,-813,-1413,17,56,-1486,-379,-1342,-4257,-626,689,-63
1953:Q4,15390,-11,0,-508,643,2959,322,69,2568,2955,-1513,12724,-1859,2236,-377
1954:Q1,2548,-19,0,-311,521,-2680,-518,59,-2221,-2351,-4120,11822,-314,-86,400
1954:Q2,13143,-14,0,254,-51,807,225,26,556,678,-4020,16060,-571,388,183
1954:Q3,16170,-10,0,258,-743,-1191,476,-19,-1648,-482,-229,19586,-1020,1102,-82
1954:Q4,5241,-12,0,-736,780,3173,434,-81,2820,2699,-1133,1503,-1033,1508,-475
1955:Q1,-3793,-9,0,-45,-309,-2152,222,-61,-2313,-3015,-4990,7578,-851,693,158
1955:Q2,22776,-6,0,214,226,611,-903,35,1479,1115,-4506,24992,130,-613,483
1955:Q3,12891,-4,0,289,-1212,-1797,61,139,-1997,122,235,15851,-593,696,-103
1955:Q4,7521,-2,0,-444,174,3491,229,239,3023,3187,45,1918,-849,1361,-512
1956:Q1,8524,-5,0,-102,348,-2039,118,259,-2416,-2682,-4592,17102,494,-765,271
1956:Q2,-12905,-14,0,-133,430,753,-347,199,901,575,-5394,-9738,616,-1257,641
1956:Q3,-9359,-9,0,618,-1667,-1092,168,146,-1406,-1622,236,-6471,648,-424,-224
1956:Q4,24649,-11,0,-536,346,3203,428,100,2675,2682,-145,18867,243,415,-658
1957:Q1,-23467,-12,0,-370,366,-2722,-489,107,-2340,-2794,-4102,-14420,587,-960,373
1957:Q2,16467,-11,0,-7,999,402,-172,167,407,229,-4251,18506,601,-1306,705
1957:Q3,-32355,-11,0,566,-2159,-1053,469,243,-1765,-448,-1101,-27642,-507,756,-249
