1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1995:Q3,4086,2624,9263,-40,710,0,7257,1014,454,538,1950,3301,-256,50,-563,951,0,63,1091,0,0,0,0,-1971,-1775,0,0,16,0,178,-1969,0,-2299,330,-196,-526,330,0,-9771,0,-2299,0,0,0
1995:Q4,1886,2678,3187,-41,710,0,7329,1014,390,650,1986,3289,-234,200,-1032,2068,0,62,1092,-6967,0,0,-6967,10997,12460,0,0,1218,0,177,11065,0,5201,5864,-1463,-345,-1118,0,7018,0,5201,0,0,0
1996:Q1,2837,1961,3922,-40,710,0,5911,1015,422,112,1968,2394,-245,-111,-4118,655,0,68,1092,0,0,0,0,1585,3911,0,0,412,0,160,3339,0,2701,638,-2326,-2964,638,0,-1461,0,2701,0,0,0
1996:Q2,2386,2009,2963,-1055,-2015,0,3894,-2879,-5589,-548,3995,8915,-4,10,358,624,0,67,1084,0,0,0,0,2777,2392,0,0,168,0,161,2063,0,1447,616,385,-231,616,0,190,0,1447,0,0,0
1996:Q3,2363,2075,8586,333,1049,0,5514,1498,-3395,357,1248,5806,-28,170,683,663,0,67,135,0,0,0,0,5635,5824,0,0,-25,0,161,5688,0,5210,478,-189,-667,478,0,-2663,0,5210,0,0,0
1996:Q4,2576,2143,8,-151,-477,0,6194,-680,-4338,2915,7119,1178,-145,-243,-3992,1802,0,67,-2417,-630,0,0,-630,-613,-3263,0,0,-162,0,161,-3262,0,-2796,-466,2650,-960,3610,0,-188,0,-2796,0,0,0
1997:Q1,2216,2125,10679,295,930,0,2656,1328,-28,-327,-1351,3034,78,67,679,1691,0,109,4117,57,0,0,57,-2664,2740,0,0,432,0,-36,2344,0,2421,-77,-5404,-5173,-231,0,-13253,0,2421,0,0,0
1997:Q2,2539,2174,7817,-171,-542,0,6088,-776,449,535,989,4891,-117,72,165,1567,0,108,581,66,0,0,66,1026,2355,0,0,379,0,-37,2013,0,1356,657,-1329,-1831,502,0,-6426,0,1356,0,0,0
1997:Q3,2655,2278,11804,106,333,0,8720,477,986,660,1318,5279,-8,51,686,1655,0,108,81,72,0,0,72,9424,8644,0,0,300,0,-36,8380,0,5509,2871,780,-1937,2717,0,-2003,0,5509,0,0,0
1997:Q4,2698,2300,-4253,67,-797,0,7725,-1141,679,798,1675,5714,-138,460,1056,530,0,108,-1888,-11376,0,0,-11376,-4987,-736,0,0,1282,0,-37,-1981,0,-4487,2506,-4251,-4808,557,0,-336,0,-4487,0,0,0
