1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,17535,5076,1591,9465,6542,1341,1002,580,1403,17535,17468,8602,5073,3293,239,261,-255,101,0,0,0,0,-77,0,-279,0,322,17535,2508,385,627,109,1318,69,15027,0,9875,183,28,56,14,3389,18,710,30,0,362,11,0,422,0,-71,0,0,0
1952:Q1,9898,328,-1332,8516,6252,712,900,652,2386,9898,11634,9010,52,2036,716,-180,-2516,-1288,0,0,0,0,472,0,-1700,0,780,9898,2914,320,-2646,3368,1760,112,6984,0,3964,480,12,248,8,2448,24,716,32,0,-1540,8,0,580,0,4,0,0,0
1952:Q2,21990,4492,2176,8940,6388,868,856,828,6382,21990,17142,13290,-325,3421,464,292,4184,256,0,0,0,0,584,0,3344,0,664,21990,3086,196,802,744,1244,100,18904,0,12688,280,4,216,4,1976,28,748,36,0,160,8,0,2628,0,128,0,0,0
1952:Q3,17718,-560,4720,9016,6676,952,936,452,4542,17718,19066,11442,2585,2503,1992,544,-1884,248,0,0,0,0,524,0,-2656,0,536,17718,3750,388,1282,260,1716,104,13968,0,7356,76,4,220,4,1996,32,1928,36,0,284,12,0,1976,0,44,0,0,0
1952:Q4,28222,7060,4428,9356,7180,824,944,408,7378,28222,22094,14850,3530,2054,1028,632,6008,596,0,0,0,0,2900,0,2512,0,120,28222,4294,1412,-78,1284,1580,96,23928,0,16840,-324,0,264,4,1820,32,440,40,0,1320,12,0,3332,0,148,0,0,0
1953:Q1,18717,-1084,2268,9636,7520,424,1052,640,7897,18717,21681,16637,3402,586,1956,-900,-3424,-1012,0,0,0,0,-748,0,-1664,0,460,18717,6301,3576,2125,-884,1400,84,12416,0,7364,84,4,416,8,2140,40,564,44,0,-1708,8,0,2800,0,652,0,0,0
1953:Q2,17465,1172,1816,10948,8352,716,1116,764,3529,17465,14865,13721,-218,2234,-576,-296,1176,428,0,0,0,0,360,0,388,0,1424,17465,1069,-700,-747,444,1988,84,16396,0,9988,104,8,284,16,2240,44,476,44,0,352,4,0,2080,0,756,0,0,0
1953:Q3,18441,1880,4188,9276,7192,672,1092,320,3097,18441,14761,9589,2065,2367,728,12,1792,332,0,0,0,0,380,0,1080,0,1888,18441,3617,164,741,-32,2664,80,14824,0,8864,400,4,288,20,2108,44,708,48,0,372,8,0,2220,0,-260,0,0,0
1953:Q4,7985,-5576,2256,9460,7024,748,1408,280,1845,7985,5141,10305,-4183,-1513,804,-272,1680,604,0,0,0,0,-676,0,1752,0,1164,7985,2273,1712,-1079,984,572,84,5712,0,1724,-296,0,256,20,2600,44,372,52,0,852,8,0,-228,0,308,0,0,0
1954:Q1,5713,-2176,-400,9028,6836,212,1264,716,-739,5713,10057,7245,920,1712,596,-416,-4224,-1288,0,0,0,0,-1228,0,-1708,0,-120,5713,2145,2104,1521,-1236,-332,88,3568,0,1744,224,0,260,16,2212,44,396,56,0,-1420,4,0,-56,0,88,0,0,0
1954:Q2,15257,1708,612,11688,8560,552,1776,800,1249,15257,11765,10809,-2329,3205,852,-772,3796,180,0,0,0,0,552,0,3064,0,-304,15257,-139,1704,-719,292,-1512,96,15396,0,10660,140,0,220,8,2700,40,356,60,0,252,4,0,328,0,628,0,0,0
