date,FG384104005.Q,FG154104005.Q,FG153165105.Q,FG153166000.Q,FG144104005.Q,FG104104005.Q,FG314104005.Q,FG214104005.Q,FG794104005.Q,FG264104005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-2.6220055504792823,22.501868079614155,23.489789372393886,43.779411764705884,12.810153736145867,11.870654512062117,-9.072468895571673,0.3798971111990503,-7.853127196064652,41.721014492753625
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3.6983521531323045,24.526575539967283,22.36796536796537,36.01309195049606,13.53977592789635,13.858968217688291,-2.770356151591398,12.851848931640781,0.2859866539561487,52.166687971366485
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,3.4862693973674252,18.94774341504687,18.236813245126825,22.815460971574673,10.20796295530657,10.73032201667868,-2.172540440555274,9.809264305177113,38.8022813688213,10.181451612903226
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,4.153933680104031,14.694045635774852,11.92029202321824,18.626010286554003,3.707733093237295,2.519838778413212,1.6440012362962022,5.732646179296303,18.024928092042185,2.691369319914608
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,7.002936639849344,22.15004977722651,20.96989787734588,23.603798905749972,11.03782571473358,9.392673207700044,-0.17663183218634435,27.63268744734625,31.542300104444703,1.0542727745192664
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,5.5842264805906074,11.493085710468302,14.45745856353591,5.858771453626759,12.729681595065376,11.96672384889312,0.12184523862852432,11.202263083451204,7.198941332157036,4.399882473923902
1952:Q1,8.0622546593146,10.797272520282334,12.071362372567192,9.41222879684418,6.253973758742269,5.650197935697046,5.005682174080338,35.30908165861104,-20.574438317833923,6.585520298318441
1952:Q2,8.597166099262129,15.507675073950256,11.972636116577641,24.596766423217005,8.661753407506474,7.139673866070709,2.1564009314945007,42.044569113292816,47.68349817803227,5.952792967398076
1952:Q3,7.133088685285546,12.853002628563726,12.148784393652642,16.491177111320894,8.9349376114082,8.747546801368633,2.8375153281206735,16.794754283296907,-7.875968992248062,1.3913517937525577
1952:Q4,6.999432378723862,16.16194596359481,12.680807474258668,25.72748670560544,8.786937648704116,9.161640538718995,1.2080109279601288,16.754068410190477,43.68179661553061,1.4137157615713996
1953:Q1,7.031589995648056,17.403629896961135,12.873185428649686,25.873140685407247,6.255720340865671,7.583959731626496,1.9179476915445832,15.833739243383665,-11.72025379625009,4.49712157128344
1953:Q2,6.402775703163285,13.754802426964266,13.85166511874751,10.85971458245182,5.273979194554538,4.375860032464092,2.513304839973845,15.580683450990193,21.856639247943598,6.188466947960619
1953:Q3,8.266923747119446,9.293062427011808,11.528597076173378,9.278427730425273,5.677619396236166,4.803001936435406,8.12455353684881,15.11680346351583,31.142061281337046,11.265004616805172
1953:Q4,3.2142332203095334,9.760209505904193,10.943878345953696,5.402200408459056,-0.48915951185957046,1.0524142844043616,0.46730942800988606,14.693782953821193,13.981134513503038,7.6464173455641795
1954:Q1,3.7033102707382968,6.698533626731264,10.367314750219904,-2.1349742878604037,5.19688119106531,4.92991499830816,0.0033701380492798436,14.2849158888951,-25.36987327548536,3.550072386227733
1954:Q2,4.678967632390943,9.829111319755295,12.653924046890474,3.6277293289862547,3.9483955446250953,1.658660445844707,1.1576326664728853,14.299589898553853,26.314737052589482,-3.4689293735962066
1954:Q3,5.226311558834527,11.727011711036065,14.484072964878846,3.756314494192824,7.211190810635593,5.0607566853600305,-0.22682594888855284,13.74352027924666,2.376485303314572,-2.6433381584744162
1954:Q4,7.293385797554823,15.445603461098212,16.826617252537545,10.211661711971825,4.167142927123986,4.227546092265851,3.8027511946640438,14.04251032537524,13.702207025178739,5.119107957425241
1955:Q1,5.931974394300372,17.547923256373853,16.948882637082647,17.109251174818564,5.581861374618207,4.544954465979954,-0.9891962780241055,13.391075860055471,1.2262563116133687,-2.7524083573126483
1955:Q2,7.937915015200134,18.855987386395043,17.003399152121606,21.783273890870305,10.815635334900586,8.591079694863952,-0.023372189598540906,12.025048260275907,26.847246359441478,1.612496850592089
1955:Q3,6.841342233507299,15.786335724511922,15.245212973817898,19.161176931733408,9.087664302673847,7.161548262829365,-0.08681606264112827,11.244429208090503,19.363171786376142,-0.20075282308657463
1955:Q4,7.776939704358429,13.74316595517707,13.772659365478948,14.588147281162708,13.195150448386265,15.10499076074602,0.9050869392781848,10.341224852728688,25.62536825753924,0.9540547326136078
