1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1382,0,0,0,0,0,0,442,442,442,0,0,0,0,0,0,0,940,731,209,0,0,0,1382,0,0,0,0,0,0,0,0,0,0,1382,731,731,0,651,0,209,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-940,-289,-651,940,0
1952:Q1,373,0,0,0,0,0,0,114,114,114,0,0,0,0,0,0,0,259,205,54,0,0,0,373,0,0,0,0,0,0,0,0,0,0,373,205,205,0,168,0,54,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-259,-91,-168,259,0
1952:Q2,388,0,0,0,0,0,0,118,118,118,0,0,0,0,0,0,0,270,216,54,0,0,0,388,0,0,0,0,0,0,0,0,0,0,388,216,216,0,172,0,54,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-270,-98,-172,270,0
1952:Q3,405,0,0,0,0,0,0,129,129,129,0,0,0,0,0,0,0,276,221,55,0,0,0,405,0,0,0,0,0,0,0,0,0,0,405,221,221,0,184,0,55,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-276,-92,-184,276,0
1952:Q4,380,0,0,0,0,0,0,129,129,129,0,0,0,0,0,0,0,251,195,56,0,0,0,380,0,0,0,0,0,0,0,0,0,0,380,195,195,0,185,0,56,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-251,-66,-185,251,0
1953:Q1,418,0,0,0,0,0,0,112,112,112,0,0,0,0,0,0,0,306,249,57,0,0,0,418,0,0,0,0,0,0,0,0,0,0,418,249,249,0,169,0,57,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-306,-137,-169,306,0
1953:Q2,429,0,0,0,0,0,0,166,166,166,0,0,0,0,0,0,0,263,205,58,0,0,0,429,0,0,0,0,0,0,0,0,0,0,429,205,205,0,224,0,58,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-263,-39,-224,263,0
1953:Q3,418,0,0,0,0,0,0,140,140,140,0,0,0,0,0,0,0,278,218,60,0,0,0,418,0,0,0,0,0,0,0,0,0,0,418,218,218,0,200,0,60,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-278,-78,-200,278,0
1953:Q4,443,0,0,0,0,0,0,142,142,142,0,0,0,0,0,0,0,301,238,63,0,0,0,443,0,0,0,0,0,0,0,0,0,0,443,238,238,0,205,0,63,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-301,-96,-205,301,0
1954:Q1,447,0,0,0,0,0,0,148,148,148,0,0,0,0,0,0,0,299,234,65,0,0,0,447,0,0,0,0,0,0,0,0,0,0,447,234,234,0,213,0,65,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-299,-86,-213,299,0
