date,FU893140005.Q,FU313140003.Q,FU543140005.Q,FU263140005.Q,FU893140005.Q,FU153040005.Q,FU763040005.Q,FU543040005.Q,FU733040005.Q,FU543141905.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,3800,1165,2635,0,3800,3800,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3150,605,2545,0,3150,3150,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,2843,213,2630,0,2843,2843,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,2751,84,2667,0,2751,2751,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,2945,309,2636,0,2945,2945,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q2,1275,12,1263,0,1275,1275,0,0,0,0
1970:Q3,1316,11,1305,0,1316,1316,0,0,0,0
1970:Q4,1408,14,1394,0,1408,1408,0,0,0,0
1971:Q1,1499,17,1482,0,1499,1499,0,0,0,0
1971:Q2,1584,18,1566,0,1584,1584,0,0,0,0
1971:Q3,1630,19,1611,0,1630,1630,0,0,0,0
1971:Q4,1638,17,1621,0,1638,1638,0,0,0,0
1972:Q1,1669,30,1639,0,1669,1669,0,0,0,0
1972:Q2,1706,39,1667,0,1706,1706,0,0,0,0
1972:Q3,1735,42,1693,0,1735,1735,0,0,0,0
1972:Q4,1764,41,1723,0,1764,1764,0,0,0,0
1973:Q1,1804,43,1761,0,1804,1804,0,0,0,0
1973:Q2,1854,47,1807,0,1854,1854,0,0,0,0
1973:Q3,1863,46,1817,0,1863,1863,0,0,0,0
1973:Q4,1826,39,1787,0,1826,1826,0,0,0,0
1974:Q1,1782,33,1749,0,1782,1782,0,0,0,0
1974:Q2,1732,27,1705,0,1732,1732,0,0,0,0
1974:Q3,1754,26,1728,0,1754,1754,0,0,0,0
1974:Q4,1851,29,1822,0,1851,1851,0,0,0,0
1975:Q1,3047,1144,1903,0,3047,3047,0,0,0,0
1975:Q2,2349,379,1970,0,2349,2349,0,0,0,0
1975:Q3,2059,39,2020,0,2059,2059,0,0,0,0
1975:Q4,2770,719,2051,0,2770,2770,0,0,0,0
1976:Q1,1988,-99,2087,0,1988,1988,0,0,0,0
1976:Q2,2460,334,2126,0,2460,2460,0,0,0,0
1976:Q3,2221,53,2168,0,2221,2221,0,0,0,0
1976:Q4,2526,311,2215,0,2526,2526,0,0,0,0
1977:Q1,2300,52,2248,0,2300,2300,0,0,0,0
1977:Q2,2432,167,2265,0,2432,2432,0,0,0,0
1977:Q3,2435,99,2336,0,2435,2435,0,0,0,0
1977:Q4,2814,353,2461,0,2814,2814,0,0,0,0
1978:Q1,2656,53,2603,0,2656,2656,0,0,0,0
1978:Q2,3068,306,2762,0,3068,3068,0,0,0,0
1978:Q3,2864,67,2797,0,2864,2864,0,0,0,0
1978:Q4,2970,264,2706,0,2970,2970,0,0,0,0
1979:Q1,2632,-18,2650,0,2632,2632,0,0,0,0
1979:Q2,2893,263,2630,0,2893,2893,0,0,0,0
1979:Q3,2596,2,2594,0,2596,2596,0,0,0,0
1979:Q4,2810,271,2539,0,2810,2810,0,0,0,0
1980:Q1,2458,-32,2490,0,2458,2458,0,0,0,0
1980:Q2,2688,244,2444,0,2688,2688,0,0,0,0
1980:Q3,2417,18,2399,0,2417,2417,0,0,0,0
1980:Q4,2685,335,2350,0,2685,2685,0,0,0,0
1981:Q1,2292,-32,2324,0,2292,2292,0,0,0,0
1981:Q2,2649,334,2315,0,2649,2649,0,0,0,0
1981:Q3,2206,-24,2230,0,2206,2206,0,0,0,0
1981:Q4,2428,360,2068,0,2428,2428,0,0,0,0
1982:Q1,1917,35,1882,0,1917,1917,0,0,0,0
1982:Q2,2034,364,1670,0,2034,2034,0,0,0,0
1982:Q3,1645,10,1635,0,1645,1645,0,0,0,0
1982:Q4,2213,437,1776,0,2213,2213,0,0,0,0
1983:Q1,1913,28,1885,0,1913,1913,0,0,0,0
1983:Q2,2368,405,1963,0,2368,2368,0,0,0,0
1983:Q3,2043,52,1991,0,2043,2043,0,0,0,0
1983:Q4,2444,473,1971,0,2444,2444,0,0,0,0
1984:Q1,1258,86,1172,0,1258,1258,0,0,0,0
1984:Q2,1520,454,1066,0,1520,1520,0,0,0,0
1984:Q3,1356,53,1303,0,1356,1356,0,0,0,0
1984:Q4,1903,491,1412,0,1903,1903,0,0,0,0
1985:Q1,2110,36,2074,0,2110,2110,0,0,0,0
1985:Q2,2843,469,2374,0,2843,2843,0,0,0,0
1985:Q3,2813,56,2757,0,2813,2813,0,0,0,0
1985:Q4,3767,547,3220,0,3767,3767,0,0,0,0
1986:Q1,3926,30,3896,0,3926,3926,0,0,0,0
1986:Q2,4591,496,4095,0,4591,4591,0,0,0,0
1986:Q3,4568,73,4495,0,4568,4568,0,0,0,0
1986:Q4,5159,443,4716,0,5159,5159,0,0,0,0
1987:Q1,7065,127,6938,0,7065,7065,0,0,0,0
1987:Q2,6382,489,5893,0,6382,6382,0,0,0,0
1987:Q3,7306,1031,6275,0,7306,7306,0,0,0,0
1987:Q4,10478,-442,10920,0,10478,10478,0,0,0,0
1988:Q1,5961,21,5940,0,5961,5961,0,0,0,0
1988:Q2,7214,520,6694,0,7214,7214,0,0,0,0
1988:Q3,6150,37,6113,0,6150,6150,0,0,0,0
1988:Q4,8504,595,7909,0,8504,8504,0,0,0,0
