1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2011:Q3,7310762,5222791,1173230,3307,1066,279592,164408,20168,11454,143479,313317,79803,201748,23272,-50344,107821,-384350,9030646,4050870,1515709,113166,102213,760063,44939,16687,63284,202520,424749,576242,123481,19047,340945,106253,153984,256923,16205,114,142901,351,-1719884
2011:Q4,7466929,5402400,1167968,3201,3683,247731,165665,14827,12446,136052,303365,74537,204003,20311,-71629,111265,-328896,8581670,3823474,1528814,113796,124030,703305,44219,11808,59009,180247,403582,587305,124089,51616,132976,104809,148492,251914,12838,34883,140076,389,-1114741
2012:Q1,7893350,5542283,1180909,3095,6131,244886,156272,34805,13216,156947,271651,72750,209677,34938,-90221,357758,-301747,8659531,3833095,1566672,97822,19591,586816,49910,32402,67479,170604,392649,595833,116266,12189,138749,111875,150059,248750,17680,46439,404273,378,-766181
2012:Q2,8000024,5675210,1193849,2986,2524,281428,151125,35819,13080,158549,278478,73985,198475,30930,-97466,349915,-348863,8962032,4059069,1603313,101941,20611,650242,45588,38798,61216,178956,399731,604351,121375,13109,157536,104376,135949,234315,18658,41476,371032,390,-962007
2012:Q3,7978476,5718251,1206790,2873,9303,279595,164627,35710,14420,176685,306942,71065,194655,50654,-209863,259225,-302456,8630167,3973944,1640135,103722,19688,605686,54288,35245,60648,162508,402312,612863,124121,11906,169583,120504,139629,228113,23555,-101212,242538,391,-651691
2012:Q4,7932735,5785912,1219731,2758,8730,236238,142181,35133,12726,158658,327153,69150,200979,41178,-333391,254522,-228923,8427619,3779022,1676017,99774,19655,587199,43919,34039,59777,165744,414646,621368,121307,34184,171225,115215,152575,221060,30063,-164940,245255,515,-494884
2013:Q1,7974314,5875789,1230182,2643,9549,247459,141148,35716,15283,171379,329657,66204,204854,36043,-361543,248321,-278370,8379493,3713724,1730313,98048,21195,548980,52838,35540,67910,157036,426737,628866,122299,13635,206993,104749,167897,210835,33369,-206692,244706,515,-405179
2013:Q2,7916127,5854909,1240633,2524,6217,317760,134068,35836,15547,172156,343531,69259,201732,36624,-411824,249612,-352457,8354113,3588619,1783151,95546,22873,591627,67312,36895,68698,156312,435382,636377,122054,23734,209689,69618,167708,208654,34335,-208226,243307,448,-437986
2013:Q3,8024210,5925508,1251085,2402,10631,305634,122545,34422,15431,176644,336883,68688,207978,20616,-351064,254493,-357686,8364713,3641329,1836466,89640,22283,534309,63585,39540,58735,146557,431009,643901,122240,4157,223970,73205,166834,205012,20241,-220540,261782,458,-340503
2013:Q4,7991287,5968827,1261536,2276,7212,292368,111104,33596,14210,177489,341163,62402,202339,16529,-269880,119184,-349068,8410670,3677796,1890277,86445,24215,513775,65021,38614,58743,141204,429920,651437,121131,20078,221158,61480,165627,202968,23269,-159539,176703,348,-419383
2014:Q1,7990956,5982933,1281013,2151,7738,298115,109876,35393,13793,208152,358837,60241,214140,21148,-258604,113937,-457907,8702314,3728148,1953324,87880,24841,506678,70800,37604,69876,165561,455650,658393,122680,26305,322214,64658,152109,205022,26520,-148210,171913,348,-711357
2014:Q2,8091327,6035546,1300490,2022,8412,305509,107460,30622,16142,192031,357899,59935,214004,21273,-280928,119280,-398370,8683765,3670657,2015341,78069,26265,503567,71595,37778,65729,141848,455063,665334,123522,29821,338759,65082,151430,203456,26900,-157405,170606,348,-592438
2014:Q3,8257988,6098000,1319967,1888,8397,342832,117341,28237,16857,202028,357809,61029,218986,19195,-292942,115309,-356945,8960013,3798325,2077514,72233,25956,537002,73758,36131,62176,154429,465993,672263,119373,25902,359711,59045,149274,223977,28359,-132717,150961,348,-702025
2014:Q4,8625076,6440631,1339444,1752,4997,355965,115101,28355,15403,193097,372329,59045,221665,17534,-272724,119741,-387259,9037410,3822511,2140757,75284,27097,564160,70678,47976,63511,139141,504435,679178,122214,11645,285308,54695,154660,225039,26323,-121857,144298,357,-412334
2015:Q1,8751142,6548900,1344615,1615,8630,356459,129426,27588,15897,201169,395247,57981,233462,16032,-258450,112494,-439923,9450125,4072109,2213841,81971,25498,570081,75803,46801,72310,143627,549472,676284,123909,4147,300444,57964,164706,238027,25524,-131230,138480,357,-698983
2015:Q2,8886451,6749307,1349785,1474,8479,326247,105083,29799,16677,200260,364946,52772,237559,15547,-303255,114837,-383066,9765695,4360027,2285737,82235,26137,556557,70045,54293,68427,161752,536911,673403,120586,24693,286895,55544,166255,212447,27658,-129645,125381,357,-879244
2015:Q3,9174833,7027284,1354956,1329,7394,311426,112406,23317,15728,196306,383745,55427,242129,23137,-268468,105238,-416522,10189995,4679585,2357517,96642,25391,598514,61205,47869,68344,183703,530566,670532,119549,23899,275276,50593,154161,202520,27580,-101778,117971,356,-1015162
2015:Q4,9214829,7130947,1360127,1180,6524,270513,108303,42669,15950,183257,346045,53716,207304,12004,-214270,98738,-408179,10265211,4520455,2430400,98606,26289,594680,52308,66188,69192,174104,480808,667675,121697,41158,276120,47344,148156,212347,27446,103200,106344,694,-1050382
2016:Q1,9317076,7087817,1410468,1030,7123,297161,127575,48969,20982,195587,382260,53951,232237,18213,-254822,89181,-400656,10559588,4593028,2488971,100221,25323,633812,64063,78641,76859,189875,511424,675445,118968,25135,302497,61090,156127,233666,27580,87121,109047,695,-1242512
2016:Q2,9770688,7303306,1460809,878,7026,309609,141254,47499,17137,194782,422765,51518,213907,19952,-223936,91611,-287429,10950918,4793802,2546823,98968,25582,682267,70659,74045,82562,194938,544492,683202,132576,21923,297776,73566,164025,222401,28170,105971,106390,780,-1180229
2016:Q3,9799499,7433592,1511151,722,7028,312157,113154,25895,16546,203957,418913,51777,220083,14831,-319862,-18818,-191627,10989092,4808937,2604259,100165,24474,637137,64009,51963,72161,190321,535396,690946,143975,56352,301146,74300,171543,202317,31195,119090,108662,744,-1189592
2016:Q4,10134267,7709049,1561492,568,7173,319060,97294,23508,17234,197743,367242,55095,216508,18480,-302421,-12620,-141138,11055017,4920613,2663336,99184,26486,630266,62969,55200,74144,171662,519105,698676,154448,43461,260276,60266,150714,191377,46332,121521,104367,614,-920750
2017:Q1,10075675,7557631,1587589,417,6902,326098,95884,23939,15729,224004,368686,46482,215648,17702,-218387,-28387,-164262,11126202,4943811,2767871,94993,23962,600172,55170,55349,80680,188533,516351,717216,170850,28565,287063,63466,124419,181506,34943,101979,88635,668,-1050528
2017:Q2,10098154,7516619,1613686,289,7297,342408,99499,21934,16575,235471,385244,45444,217065,17497,-195779,-27025,-198070,11229597,4909379,2869911,90290,24653,597076,65775,52606,76960,183350,509657,735773,184873,25969,290910,63690,132236,175845,35181,112448,92341,674,-1131443
2017:Q3,10279020,7730612,1639783,193,6524,296723,102443,24277,17688,243296,380025,51147,194851,24105,-224027,-28770,-179850,11399573,5029206,2967736,85131,24489,569162,72543,47172,74272,181666,513932,754347,192839,44287,235419,66209,134637,167646,36469,98244,103505,662,-1120553
2017:Q4,9742517,7229180,1665881,110,7147,332908,111138,22782,18268,229643,371095,51540,201526,17220,-285682,-26839,-203400,11324670,4943621,3073082,84196,25654,543006,96623,45784,74950,153275,490420,772938,198279,36274,279457,66170,110962,169306,35635,46191,78070,777,-1582153
2018:Q1,10002233,7400154,1689285,29,6079,317998,114101,21630,18487,235247,370661,50120,183094,19775,-271748,-25674,-127005,11674034,5258071,3122382,81277,24112,551238,96554,45133,83460,159893,501961,770576,206751,20067,259208,68811,104590,162033,45247,45930,65812,928,-1671800
2018:Q2,9933712,7254800,1712690,-44,6496,367334,103686,21490,18926,238727,359178,51137,164135,25335,-236466,-23678,-130034,11797961,5331323,3170104,81508,24933,526212,99378,46183,80116,159357,516297,768227,216367,29017,220769,66176,106972,168612,47170,67363,71075,802,-1864249
2018:Q3,10179899,7428848,1736094,-109,7399,412183,106766,25109,19434,244256,355677,52199,142616,28829,-233726,-17473,-128203,11740108,5249032,3217350,75021,23337,539043,90253,49815,79713,160328,531314,765888,211178,29933,196409,60824,100972,163860,55678,69959,69424,777,-1560209
2018:Q4,10298430,7564742,1759499,-163,8218,385756,94778,21396,18254,226778,338058,52093,146358,32305,-242690,-17481,-89471,12436417,5893040,3266674,102476,23124,506035,76226,46668,82511,168669,535494,763563,200070,-38053,241981,63233,95254,195026,60140,85414,68101,771,-2137987
