1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,103723,904,28772,0,38927,18866,249,1816,0,-1,28,6769,4153,517,1035,0,934,0,345,409,92737,8357,2612,2188,409,0,135,2114,0,171,0,0,1224,21009,35354,18866,0,0,0,106,0,249,0,-57,0,0,0,10986
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,114830,1007,31927,0,42425,21026,666,2284,0,-12,53,7290,4428,585,1295,0,921,0,491,444,101042,8692,3171,2308,444,0,160,2357,0,215,0,0,1467,21647,39109,21026,0,0,0,107,0,407,0,-67,0,0,0,13788
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q2,549054,2448,318071,0,130158,51084,190,6754,-717,-25,983,16579,10940,1699,3928,0,680,0,3162,3120,272508,14643,15243,4681,3120,537,371,6211,258,384,0,0,3875,41448,129067,51084,0,0,0,380,0,1551,0,-345,0,0,0,276545
1961:Q3,565784,2478,329335,0,132770,52461,84,7719,-767,-26,1009,16783,11180,1551,4226,0,680,0,3167,3134,274632,14803,14999,4739,3134,502,354,4618,229,400,0,0,3961,40875,131710,52461,0,0,0,384,0,1820,0,-357,0,0,0,291151
1961:Q4,582257,2512,341919,0,135401,53882,254,7308,-882,-26,1033,17028,11341,1771,4476,0,677,0,2362,3201,278630,14966,15276,4787,3201,508,348,5266,177,418,0,0,4037,39278,134364,53882,0,0,0,387,0,2105,0,-369,0,0,0,303627
1962:Q1,586623,2549,341908,0,138088,53040,137,8728,-904,-28,1050,17208,11408,1703,4415,0,666,0,3406,3249,280615,15102,16179,4825,3249,515,379,4177,174,426,0,0,4107,39220,137190,53040,0,0,0,386,0,2029,0,-382,0,0,0,306007
1962:Q2,593519,2587,345800,0,140552,52642,208,8294,-863,-30,1065,17366,11665,1838,4970,0,666,0,3359,3400,289187,15245,16237,4848,3400,461,365,6190,163,430,0,0,4167,43083,139690,52642,0,0,0,384,0,2278,0,-395,0,0,0,304332
1962:Q3,596206,2626,344638,0,143371,51974,215,9015,-799,-31,1074,17532,11899,1536,5413,0,654,0,3614,3475,290648,15388,16538,4874,3475,420,398,5740,160,436,0,0,4226,41949,142537,51974,0,0,0,404,0,2538,0,-409,0,0,0,305558
1962:Q4,595689,2667,342351,0,146173,51365,344,7786,-808,-31,1082,17712,12336,1819,5503,0,662,0,3282,3446,290641,15545,15950,4919,3446,381,411,6090,325,450,0,0,4295,39585,145358,51365,0,0,0,400,0,2544,0,-423,0,0,0,305048
1963:Q1,601381,2711,341311,0,149129,52471,82,9281,-754,-33,1087,17966,12368,1963,5482,0,656,0,4165,3496,281631,15700,5152,4993,3496,405,394,4792,200,461,0,0,4372,38379,148340,52471,0,0,0,382,0,2532,0,-438,0,0,0,319751
1963:Q2,606531,2758,340437,0,151676,53359,124,9541,-756,-34,1086,18284,12699,1978,6310,0,657,0,4650,3762,287656,15862,5417,5093,3762,380,376,7282,174,472,0,0,4457,37321,150946,53359,0,0,0,394,0,2814,0,-453,0,0,0,318875
1963:Q3,612606,2806,339605,0,154611,54402,67,11399,-741,-34,1084,18583,12875,1590,6874,0,652,0,5040,3793,290708,16018,5615,5191,3793,377,392,6322,194,487,0,0,4544,36317,153909,54402,0,0,0,439,0,3177,0,-469,0,0,0,321897
1963:Q4,615042,2853,338735,0,157576,55462,192,10101,-792,-34,1083,18810,13072,1779,7161,0,649,0,4502,3893,293920,16178,4610,5258,3893,328,351,6890,335,503,0,0,4627,35350,156889,55462,0,0,0,375,0,3356,0,-485,0,0,0,321122
1964:Q1,619094,2898,337512,0,160685,56509,108,10943,-838,-39,1072,19105,13181,1634,6921,0,639,0,4939,3825,297269,16389,4823,5352,3825,286,437,6800,344,526,0,0,4706,34132,160015,56509,0,0,0,376,0,3251,0,-502,0,0,0,321825
