1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q2,3212,2180,660,0,0,0,660,0,0,0,0,0,0,372,3212,1180,0,0,0,0,84,0,196,116,744,0,20,456,600,0,188,0,-372
1953:Q3,1948,1260,572,0,0,0,572,0,0,0,0,0,0,116,1948,-88,0,0,0,0,88,4,184,56,788,0,20,328,512,0,240,0,-184
1953:Q4,1368,1552,-156,0,0,0,-156,0,0,0,0,0,0,-28,1368,-304,0,0,0,0,112,0,172,84,864,0,20,204,-216,0,-448,0,880
1954:Q1,1876,2948,-512,0,0,0,-512,0,0,0,0,0,0,-560,1876,-104,0,0,0,0,128,0,168,212,940,0,24,164,-572,0,-468,0,1384
1954:Q2,2168,2088,-540,0,0,0,-540,0,0,0,0,0,0,620,2168,472,0,0,0,0,152,4,164,424,996,0,24,168,-596,0,180,0,180
1954:Q3,912,912,-708,0,0,0,-708,0,0,0,0,0,0,708,912,-496,0,0,0,0,152,4,160,284,1040,0,24,324,-764,0,64,0,120
1954:Q4,252,384,-588,0,0,0,-588,0,0,0,0,0,0,456,252,-1224,0,0,0,0,128,0,160,160,1088,0,24,532,-656,0,-208,0,248
1955:Q1,2768,2124,48,0,0,0,48,0,0,0,0,0,0,596,2768,1328,0,0,0,0,104,0,160,76,1140,0,28,416,-24,0,-656,0,196
1955:Q2,388,640,-744,0,0,0,-744,0,0,0,0,0,0,492,388,-1100,0,0,0,0,88,4,164,100,1288,0,28,272,-828,0,240,0,132
1955:Q3,1168,1112,-288,0,0,0,-288,0,0,0,0,0,0,344,1168,-328,0,0,0,0,76,0,164,60,1456,0,28,412,-372,0,-612,0,284
1955:Q4,3044,3000,12,0,0,0,12,0,0,0,0,0,0,32,3044,-228,0,0,0,0,68,0,164,24,1616,0,28,536,-68,0,1008,0,-104
1956:Q1,1416,2088,-408,0,0,0,-408,0,0,0,0,0,0,-264,1416,-100,0,0,0,0,60,0,156,0,1784,0,32,648,-488,0,-824,0,148
1956:Q2,1584,936,764,0,0,0,764,0,0,0,0,0,0,-116,1584,-2188,0,0,0,0,44,0,140,0,1812,0,32,612,688,0,152,0,292
1956:Q3,2856,2292,668,0,0,0,668,0,0,0,0,0,0,-104,2856,-272,0,0,0,0,44,0,128,0,1848,0,36,484,592,0,-284,0,280
1956:Q4,3612,3684,240,0,0,0,240,0,0,0,0,0,0,-312,3612,560,0,0,0,0,52,0,120,-8,1944,0,36,412,152,0,40,0,304
1957:Q1,3280,3040,1132,0,0,0,1132,0,0,0,0,0,0,-892,3280,-596,0,0,0,0,56,4,124,52,1972,0,44,668,1040,0,-512,0,428
1957:Q2,2868,3612,-408,0,0,0,-408,0,0,0,0,0,0,-336,2868,328,0,0,0,0,56,0,132,0,2152,0,52,452,-508,0,-84,0,288
1957:Q3,2832,1196,1716,0,0,0,1716,0,0,0,0,0,0,-80,2832,-2576,0,0,0,0,64,4,128,88,2148,0,52,988,1616,0,296,0,24
1957:Q4,3004,1916,1380,0,0,0,1380,0,0,0,0,0,0,-292,3004,-2212,0,0,0,0,72,4,116,32,2180,0,56,656,1272,0,980,0,-152
1958:Q1,284,884,0,0,0,0,0,0,0,0,0,0,0,-600,284,-2164,0,0,0,0,92,0,124,76,2312,0,56,712,-112,0,-692,0,-120
1958:Q2,1628,3432,-644,0,0,0,-644,0,0,0,0,0,0,-1160,1628,-1724,0,0,0,0,124,0,108,76,2500,0,56,972,-760,0,348,0,-72
1958:Q3,888,1940,-980,0,0,0,-980,0,0,0,0,0,0,-72,888,-960,0,0,0,0,112,4,128,80,2752,0,60,1536,-1100,0,-1692,0,-32
1958:Q4,144,1616,-960,0,0,0,-960,0,0,0,0,0,0,-512,144,-3640,0,0,0,0,52,0,176,80,3056,0,60,1344,-1076,0,84,0,8
1959:Q1,2188,2044,352,0,0,0,352,0,0,0,0,0,0,-208,2188,-1920,0,0,0,0,16,0,224,176,3300,0,68,1296,36,0,-1148,0,140
1959:Q2,2616,2952,-344,0,0,0,-344,0,0,0,0,0,0,8,2616,-2668,0,0,0,0,-68,4,276,144,3676,0,76,1080,-452,0,160,0,388
1959:Q3,1572,1040,1008,0,0,0,1008,0,0,0,0,0,0,-476,1572,-4772,0,0,0,0,-76,0,292,200,3364,0,76,792,892,0,456,0,348
1959:Q4,1784,2276,-56,0,0,0,-56,0,0,0,0,0,0,-436,1784,-4592,0,0,0,0,-68,0,276,248,3772,0,80,984,-192,0,748,0,528
1960:Q1,2508,1404,1156,0,0,0,1156,0,0,0,0,0,0,-52,2508,-2908,0,0,0,0,-84,4,264,168,3768,0,80,964,756,0,-1052,0,548
1960:Q2,2616,1476,976,0,0,0,976,0,0,0,0,0,0,164,2616,-4276,0,0,0,0,12,4,264,256,3988,0,76,1092,748,0,108,0,344
1960:Q3,2832,1600,1092,0,0,0,1092,0,0,0,0,0,0,140,2832,-4040,0,0,0,0,60,4,264,524,3812,0,84,644,888,0,652,0,-60
1960:Q4,1344,980,272,0,0,0,272,0,0,0,0,0,0,92,1344,-4672,0,0,0,0,76,4,264,460,4324,0,104,420,164,0,220,0,-20
1961:Q1,1016,2680,-1864,0,0,0,-1864,0,0,0,0,0,0,200,1016,-1812,0,0,0,0,44,0,252,444,4792,0,128,1272,-2136,0,-2352,0,384
1961:Q2,4272,4672,-692,0,0,0,-692,0,0,0,0,0,0,292,4272,-3480,0,0,0,0,52,4,232,204,4888,0,148,1688,-616,0,564,0,588
1961:Q3,764,1532,-996,0,0,0,-996,0,0,0,0,0,0,228,764,-4964,0,0,0,0,68,0,252,428,5132,0,160,840,-884,0,-316,0,48
1961:Q4,-1696,-400,-1876,0,0,0,-1876,0,0,0,0,0,0,580,-1696,-8816,0,0,0,0,96,0,304,784,5564,0,172,1272,-1788,0,444,0,272
1962:Q1,616,244,392,0,0,0,392,0,0,0,0,0,0,-20,616,-6336,0,0,0,0,124,0,248,364,5144,0,184,1204,252,0,-680,0,112
1962:Q2,948,576,400,0,0,0,400,0,0,0,0,0,0,-28,948,-8940,0,0,0,0,160,4,248,748,5128,0,196,2396,568,0,332,0,108
1962:Q3,-48,256,-276,0,0,0,-276,0,0,0,0,0,0,-28,-48,-5372,0,0,0,0,168,0,248,156,4564,0,204,-484,-160,0,520,0,108
1962:Q4,392,400,16,0,184,0,-168,0,0,0,0,0,0,-24,392,-6376,0,0,0,0,144,-4,248,364,5292,0,204,648,-224,0,-12,0,108
1963:Q1,972,-20,880,0,252,0,628,0,0,0,0,0,0,112,972,-4440,-604,0,0,0,128,4,156,428,4856,0,200,840,140,0,-960,0,224
1963:Q2,1196,-44,1124,0,324,0,800,0,0,0,0,0,0,116,1196,-7240,-628,0,0,0,116,0,156,252,6000,0,196,1272,340,0,508,0,224
1963:Q3,1624,384,1124,0,324,0,800,0,0,0,0,0,0,116,1624,-5168,-648,0,0,0,108,0,156,256,5948,0,208,464,308,0,-232,0,224
1963:Q4,-752,-1684,828,0,244,0,584,0,0,0,0,0,0,104,-752,-9616,-680,0,0,0,108,0,156,68,6524,0,232,500,240,0,1488,0,228
1964:Q1,2796,2548,-116,0,176,0,-292,0,0,0,0,0,0,364,2796,-2088,-436,0,0,0,100,0,428,388,6552,0,248,24,-828,0,-1300,0,-292
1964:Q2,3404,3128,60,0,120,0,-60,0,0,0,0,0,0,216,3404,-4928,-448,0,0,0,88,4,120,384,6796,0,264,476,-244,0,972,0,-80
