1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,29133,0,4935,4970,0,-93,-603,-42,275,277,494,1354,266,0,2728,13803,676,60475,18564,10526,29961,0,1424,35256,5608,6911,22720,25219,12956,3615,7241,0,1424,12387,6542,2328,1403,577,1538,940,42904,7241,291,18,35390,25879,9511,237177,18.08952592181229,14.921427834729645,10.911260366730332,4.010167467999312
1952:Q1,49195,0,5704,5876,0,9792,3828,16,6560,-612,3688,1008,524,0,2672,16036,3895,58369,18176,10086,28967,0,1140,35827,5893,7201,22715,22542,12283,2885,6252,0,1140,13820,6252,1640,2386,198,3343,1034,58951,6252,440,20,52279,27358,24921,243408,24.219076608113355,21.477999897405407,11.239564845855519,10.238435051549889
1952:Q2,47672,0,-284,8092,0,19192,5964,2356,9988,884,940,572,512,0,2832,15460,356,59464,18666,9944,29185,0,1669,36582,5962,7281,23321,22882,12704,2663,5864,0,1669,17231,6388,3056,6382,457,948,1079,54402,5864,520,24,48042,26163,21879,246447,22.074478082979514,19.49380150748864,10.616075667384873,8.877725840103764
1952:Q3,34704,0,3876,6364,0,1728,-1024,1208,2444,-900,648,412,524,0,2956,15556,2640,57661,18659,8931,27735,0,2336,36897,6042,7350,23487,20764,12617,1581,4248,0,2336,14901,6676,2380,4542,359,944,1103,41670,4248,292,24,37154,30082,7072,253057,16.46672096168726,14.682142783648318,11.887440379045037,2.7947024046032816
1952:Q4,26372,0,-2608,9564,0,-3840,-1284,-3900,1876,-532,2696,468,460,0,3092,15876,664,61856,19544,9884,31741,0,687,37658,6134,7414,24092,24198,13410,2470,7649,0,687,15696,7180,1324,7378,1022,-1208,1004,35878,7649,300,20,27949,27624,325,258904,13.85768662785764,10.795161522026909,10.669591817816643,0.12556970421026575
1953:Q1,48884,0,12164,8276,0,44,-2596,52,3192,-604,2692,696,492,0,3096,16220,5204,64817,19876,10370,33660,0,911,37292,6175,7534,23563,27525,13701,2836,10097,0,911,22051,7520,948,7897,882,4804,1224,55582,10097,336,24,45173,27936,17237,262968,21.13625564145322,17.177979349280793,10.62334580633385,6.554633542946942
1953:Q2,50440,0,-6100,9448,0,26028,17736,3100,4124,1068,-256,1180,332,0,3040,16436,332,63668,19966,10658,33500,0,-456,38087,6270,7593,24204,25581,13696,3065,9296,0,-456,16519,8352,2836,3529,870,932,1052,60555,9296,312,24,50971,29810,21161,266799,22.696788030857714,19.104570668723674,11.173205296871428,7.931365371852247
1953:Q3,27532,0,3524,6488,0,-3776,-6332,1468,2548,-1460,132,-88,336,0,2952,16668,1296,64315,19386,11101,33077,0,751,38639,6360,7648,24611,25676,13026,3453,8466,0,751,13344,7192,1824,3097,83,1148,1113,40976,8466,296,24,32238,29135,3103,266957,15.349464654472978,12.07627833607713,10.913742662676011,1.162535673401119
1953:Q4,16272,0,-5236,8728,0,-8248,-7004,-4000,1800,956,2696,-304,372,0,2840,17040,-1616,64278,19150,11036,32222,0,1870,38964,6442,7704,24798,25314,12708,3332,7424,0,1870,4184,7024,916,1845,907,-6508,1203,38605,7424,368,20,30833,29880,953,267217,14.447059883801241,11.53856229569869,11.181923305777701,0.35663898992098686
1954:Q1,37520,0,3628,8612,0,1020,812,-284,1564,-1072,868,-104,340,0,2768,16208,4180,62290,19252,10520,31830,0,688,40366,6502,7769,26073,21924,12750,2751,5757,0,688,14569,6836,1084,-739,644,6744,1195,46070,5757,148,24,40189,30580,9609,269931,17.06724666292772,14.888541734631227,11.328821069088026,3.5597206655432014
1954:Q2,43832,0,3400,10772,0,8928,4848,2628,1840,-388,1996,472,200,0,2716,16044,-696,63300,20563,10560,32542,0,-365,41158,6579,7832,26725,22142,13984,2728,5817,0,-365,15606,8560,3660,1249,757,1380,1142,51510,5817,-56,24,45773,27727,18046,269820,19.090324215901315,16.964091912884488,10.276109999258765,6.687981913625723
1954:Q3,27668,0,10244,6528,0,-10028,-12228,1192,1604,-596,1408,-496,496,0,2676,15676,1164,65725,22070,10968,32143,0,544,41113,6658,7908,26525,24612,15412,3060,5618,0,544,20878,10108,2952,1305,1565,4948,1143,32545,5618,-508,28,27463,26988,475,271778,11.974856435806117,10.104947907522002,9.930163589400172,0.1747843181218299
1954:Q4,17468,0,-7252,11272,0,-6308,-3616,-3564,3356,-2484,3912,-1224,648,0,2648,16100,-2328,68087,23446,11240,33913,0,-512,41299,6738,7994,26545,26788,16708,3246,7368,0,-512,16021,12168,1532,3581,2448,-3708,1172,29407,7368,-192,28,22259,27288,-5029,276713,10.627083096663375,8.04390124398569,9.861481029080672,-1.8175797850949817
1955:Q1,50772,0,8964,9108,0,5772,5324,-728,1584,-408,1892,1328,508,0,2728,16528,3944,73340,25295,11368,36601,0,76,42534,6875,8037,27598,30806,18420,3331,9003,0,76,27789,12772,1984,6153,2116,4764,1244,55033,9003,-312,24,46366,26238,20128,282103,19.508010633569057,16.435728523843174,9.300858197183299,7.134870326659877
1955:Q2,42924,0,-3356,9336,0,18036,11284,2748,4796,-792,1020,-1100,464,0,2836,16920,-1232,76310,25877,12472,38765,0,-804,43204,6992,8149,28039,33106,18885,4323,10726,0,-804,31146,13356,2988,8169,757,5876,1116,46000,10726,-64,28,35366,27459,7907,288631,15.937336763648261,12.253047827255426,9.51353111758612,2.739516709669304
1955:Q3,36464,0,6856,5840,0,1936,-2740,1452,2708,516,572,-328,728,0,3032,17028,800,78087,25502,13198,40395,0,-1008,43967,7144,8273,28526,34120,18358,4925,11869,0,-1008,28024,12484,2712,7577,1207,4044,1244,43804,11869,28,24,31931,29515,2416,295107,14.843380403003307,10.820093934027648,10.00145709861169,0.8186368354159578
1955:Q4,24652,0,-6652,10120,0,-608,-3896,-1640,3752,1176,2716,-228,588,0,3024,17236,-1544,77718,24445,13191,39435,0,647,44959,7332,8409,29193,32759,17113,4782,10242,0,647,19802,11708,732,6045,561,756,1408,39017,10242,124,28,28679,29581,-902,299354,13.033867451851519,9.580431052137467,9.881611737274264,-0.3011806851367967
1956:Q1,53480,0,6916,9528,0,7384,5368,164,1084,768,2608,-100,1204,0,3400,18016,4524,74675,24013,12789,37570,0,303,47404,7337,8776,31264,27271,16676,4013,6306,0,303,23151,11036,3124,5397,186,3408,1471,59071,6306,400,28,52393,32065,20328,303616,19.455952147762986,17.256463319769733,10.56103762647555,6.695425693294184
1956:Q2,51048,0,72,10924,0,18104,9024,3084,4204,1792,1200,-2188,108,0,3636,18236,956,73217,24255,12421,37708,0,-1167,48182,7542,8906,31706,25035,16713,3515,6002,0,-1167,21267,11388,3972,3445,510,1952,1723,56539,6002,420,32,50149,34212,15937,308551,18.324038854970382,16.253068415723707,11.08795628599486,5.165112129728848
1956:Q3,35876,0,3568,6064,0,12,-4780,1408,2704,680,492,-272,1364,0,3564,18656,2428,73323,23831,12425,37581,0,-514,48852,7733,9009,32082,24471,16098,3416,5499,0,-514,18851,10404,3396,2953,514,1584,1619,43115,5499,388,32,37260,35544,1716,313182,13.766701749345604,11.897181789705522,11.349311263099413,0.5478705266061108
1956:Q4,30952,0,-2520,11272,0,-2732,-3708,-3240,2912,1304,2288,560,468,0,3280,19348,-1012,73715,23370,12441,39297,0,-1393,49847,7913,9085,32820,23868,15457,3356,6477,0,-1393,13512,10408,1040,2729,1511,-2176,1603,42911,6477,372,28,36090,36791,-701,319894,13.414089042783816,11.281820228739162,11.500997205324264,-0.21917697658510005
1957:Q1,56112,0,5336,14116,0,8412,3760,-356,2036,2972,-520,-596,892,0,2976,21260,4236,76059,22976,12729,40009,0,345,48751,7759,9457,31505,27308,15217,3272,8504,0,345,19708,9936,940,3195,197,5440,1650,65363,8504,324,32,56567,36089,20478,323789,20.18682469281751,17.470240744629027,11.145838802429978,6.324401942199049
1957:Q2,50840,0,-2680,12968,0,16968,11692,2652,1876,748,184,328,860,0,2668,22028,-2484,75462,22482,12632,39608,0,740,49570,7911,9518,32110,25892,14571,3114,7498,0,740,16286,8180,2796,3027,1079,1204,1910,62356,7498,-128,32,55018,38093,16925,328145,19.00260317110719,16.766396616078165,11.608587667037437,5.157808949040725
1957:Q3,36244,0,3540,6980,0,2448,-1020,260,1964,1244,-688,-2576,860,0,2596,23192,-108,75397,22333,13132,39332,0,600,50521,8055,9582,32853,24876,14278,3550,6479,0,600,14968,8344,3368,2971,433,-148,1880,48032,6479,112,32,41473,37779,3694,332482,14.446520279778191,12.473781905971489,11.362720387870622,1.1110615181008665
1957:Q4,30256,0,-7128,13684,0,-1184,-1868,-540,1928,-704,1624,-2212,728,0,2712,23972,-1940,73316,22217,13339,38948,0,-1188,50982,8189,9657,33104,22334,14028,3682,5844,0,-1188,9910,8056,1532,1355,-273,-760,1708,44388,5844,116,28,38456,35589,2867,331974,13.37083248661817,11.583945561738512,10.720417864049594,0.863527697688916
