1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,264232,27055,237177,211298,25879,291,18,7241,27249,940,59702,69212,47934,29961,16118,1855,0,21278,30042,0,4429,4970,0,-93,-603,-42,275,277,385,-549,934,0,1354,1616,266,2728,13803,0,584,8764,0,8602,6542,1403,231,123,303,83,79,-9510
1952:Q1,68571,11271,57300,54013,3288,77,287,1563,6878,259,11260,20283,11629,7242,3947,440,0,8655,9312,0,-896,1292,0,2469,819,44,1759,-153,-116,-145,29,0,239,1356,144,668,3976,0,180,657,0,614,1274,-753,0,43,50,24,19,-9023
1952:Q2,69565,6549,63016,55071,7945,186,100,1466,7050,270,16277,15198,11790,7296,4049,445,0,3409,7596,0,-1752,2275,0,2164,-270,-123,2336,221,137,-124,261,0,143,-305,128,708,3921,0,177,4187,0,4143,1732,2281,-17,71,76,26,18,1079
1952:Q3,71333,7387,63946,55744,8202,84,-69,1062,7112,276,16253,20135,11422,6934,4057,432,0,8713,11743,0,2811,1529,0,1671,1125,0,771,-225,211,-2,213,0,109,470,125,739,3900,0,178,3030,0,2985,1842,1087,-67,47,76,26,19,-3882
1952:Q4,72990,6798,66192,57820,8372,41,-296,1912,7283,251,17654,19376,12631,7935,4238,458,0,6745,11194,0,1978,2378,0,414,197,-1,351,-133,347,184,163,0,124,935,108,773,3935,0,202,4449,0,4406,1776,2557,-49,57,65,23,20,-1722
1953:Q1,74095,11768,62327,58758,3569,51,348,2524,7172,306,12662,19887,13184,8415,4298,471,0,6703,9020,0,755,1894,0,39,-781,53,918,-151,701,371,330,0,160,357,137,774,4022,0,181,2317,0,2274,1590,379,14,214,77,21,22,-7225
1953:Q2,75060,6411,68649,59247,9402,137,115,2324,7351,263,18836,16868,13177,8375,4319,483,0,3691,8183,0,-3237,2632,0,3837,2619,83,868,267,-94,-361,267,0,295,-428,83,760,4168,0,167,4492,0,4450,2219,1771,140,246,74,19,23,1968
1953:Q3,75036,8057,66979,59456,7524,82,-63,2117,7471,278,16978,20460,12961,8269,4197,495,0,7499,10029,0,2628,1578,0,319,-189,74,799,-365,163,29,134,0,-15,216,77,738,4175,0,150,2530,0,2487,1980,682,-224,-14,63,19,24,-3482
1953:Q4,75037,7007,68030,59334,8696,58,-377,1856,7536,301,18222,20096,12701,8056,4148,497,0,7395,10790,0,1138,2131,0,-683,-1198,-55,331,239,418,153,265,0,-69,2686,86,710,4226,0,147,3395,0,3352,1733,1260,131,146,82,20,23,-1874
1954:Q1,75032,10980,64052,59838,4214,5,400,1439,7873,299,12832,18348,12700,7958,4179,564,0,5648,5520,0,-1569,2002,0,339,108,-14,513,-268,335,128,207,0,-41,-473,100,692,4020,0,115,-128,0,-170,1413,-1870,105,90,92,21,21,-5516
1954:Q2,74949,5335,69614,60523,9091,47,183,1454,8056,286,18179,15139,13160,8136,4463,562,0,1980,5796,0,-984,2941,0,-570,-765,0,292,-97,496,171,325,0,115,-1085,53,679,4072,0,79,3816,0,3775,2263,1262,-73,225,98,22,19,3040
1954:Q3,75446,7240,68206,61198,7008,-123,-82,1405,8029,286,16115,19167,13389,8036,4788,565,0,5778,9229,0,4228,1611,0,-1081,-1512,12,568,-149,534,244,290,0,-114,-741,114,669,3923,0,86,3451,0,3408,2722,236,71,304,75,22,21,-3052
1954:Q4,76794,6605,70189,62356,7833,-81,-475,1842,8060,293,17836,18083,14131,8478,5089,563,0,3952,9281,0,405,2742,0,-285,-377,-5,718,-621,680,364,316,0,-298,1134,154,662,3992,0,95,5329,0,5282,3020,1721,94,432,15,21,26,-247
1955:Q1,78379,8872,69507,63966,5541,-109,158,2251,8353,311,15567,21233,15223,9150,5511,562,0,6010,9233,0,-313,2092,0,1664,1354,-108,520,-102,575,202,373,0,317,-169,142,682,4101,0,142,3223,0,3173,2881,-261,129,395,29,20,30,-5666
1955:Q2,80265,8348,71917,65293,6624,50,483,2682,8496,279,17089,14143,15911,9691,5633,587,0,-1768,5343,0,-2390,2594,0,1486,581,78,1025,-198,202,-91,293,0,-280,-1503,121,709,4296,0,108,7111,0,7059,3460,3053,582,110,-146,18,34,2946
1955:Q3,82118,8254,73864,66398,7466,10,-103,2967,8653,311,18888,22791,16270,10099,5552,620,0,6521,11882,0,3493,1494,0,2042,947,115,851,129,292,66,226,0,-69,-648,169,758,4260,0,91,5361,0,5304,3335,1788,65,149,-33,20,37,-3903
1955:Q4,83396,7385,76011,67443,8568,-7,-512,2561,8858,352,20139,20903,15826,9859,5317,651,0,5077,10716,0,380,2421,0,1092,-389,373,814,294,375,-35,410,0,-50,1167,140,756,4271,0,164,5639,0,5574,2904,2406,348,12,-96,25,40,-764
1956:Q1,84746,9725,75021,67888,7133,65,271,1577,9415,368,17551,23680,15247,9393,5202,653,0,8433,10191,0,-664,2163,0,2166,1463,116,395,192,715,241,474,0,-38,142,314,850,4469,0,74,1758,0,1683,2420,-698,-367,57,271,32,43,-6129
1956:Q2,86198,9653,76545,68585,7960,194,641,1501,9563,431,18146,17405,15357,9427,5257,673,0,2048,7309,0,-1424,2979,0,1338,-214,237,867,448,261,-214,475,0,-555,-991,35,909,4648,0,109,5261,0,5174,2971,2030,-44,86,131,39,48,740
1956:Q3,87521,9039,78482,69410,9072,84,-224,1375,9689,405,20040,23689,15253,9395,5162,696,0,8436,11823,0,2702,1591,0,1730,531,157,872,170,252,-50,302,0,-50,-344,323,891,4651,0,77,3387,0,3297,2847,697,-514,49,218,41,49,-3650
1956:Q4,89438,8174,81264,70776,10488,52,-658,1619,9903,401,22319,22601,15603,9824,5075,703,0,6998,11765,0,1224,2714,0,458,-304,-156,592,326,263,-88,351,0,143,1118,114,820,4796,0,115,4767,0,4683,2571,1602,307,129,74,37,47,-282
1957:Q1,90592,10295,80297,71925,8372,35,373,2126,9598,413,19346,25589,15662,10002,4910,750,0,9927,11088,0,-1069,3232,0,2540,1186,-26,637,743,-56,-600,544,0,-157,230,231,744,5269,0,124,1161,0,1083,2106,-1338,326,-28,17,33,45,-6243
1957:Q2,91778,10623,81155,72513,8642,94,705,1875,9773,478,19200,19045,15464,9902,4807,756,0,3581,8648,0,-2137,3523,0,1010,327,221,275,187,-1,-463,462,0,73,-425,224,667,5633,0,81,5067,0,4990,2188,1981,465,311,45,31,46,155
1957:Q3,92920,9549,83371,73676,9695,-6,-249,1620,9978,470,21066,25263,15374,9833,4775,766,0,9889,13032,0,2639,1887,0,2366,1395,-54,714,311,41,-469,510,0,-622,40,193,649,5764,0,75,3143,0,3068,2358,748,-248,10,200,31,44,-4197
1957:Q4,92695,8419,84276,74096,10179,-17,-798,1461,10060,427,22054,22759,15244,9737,4749,758,0,7516,10621,0,-332,3295,0,745,233,363,325,-176,125,-315,440,0,-558,451,187,678,5947,0,83,3105,0,3033,1977,1246,-156,-167,133,33,39,-706
1958:Q1,92821,9903,82918,73983,8935,-29,317,456,10486,438,19094,26375,14343,9142,4367,834,0,12032,11167,0,-152,3538,0,455,-628,-255,531,807,594,127,467,0,-540,683,325,721,5427,0,116,-865,0,-935,1601,-2442,-806,390,322,36,34,-7282
1958:Q2,93431,10065,83366,74698,8668,47,758,87,10698,423,18319,16447,14141,8966,4365,810,0,2306,5876,0,-3531,4130,0,-1738,393,-384,-1065,-682,727,-62,789,0,-445,36,467,775,5437,0,18,3570,0,3507,2167,929,-429,561,279,37,26,1872
1958:Q3,95653,9694,85959,75952,10007,85,-230,278,10706,413,20893,25832,14609,9142,4669,798,0,11223,14799,0,5491,2873,0,-1467,-2377,-26,477,459,536,-93,629,0,-207,854,339,794,5467,0,119,3576,0,3510,2893,236,139,169,73,38,28,-4939
1958:Q4,97047,8887,88160,76949,11211,-74,-808,557,10753,421,22833,22689,15417,9443,5154,820,0,7273,13063,0,920,3558,0,1172,151,35,822,164,601,-118,719,0,-930,1213,277,783,5391,0,78,5790,0,5712,3142,1550,767,311,-58,40,38,144
1959:Q1,98495,9978,88517,78838,9680,-35,-289,1646,10403,423,21559,25340,16782,10155,5801,827,0,8558,11082,0,-302,2175,0,2909,1637,84,845,343,367,-120,487,0,-477,-792,428,796,5841,0,137,2524,0,2226,2788,-499,-458,151,244,250,48,-3781
1959:Q2,100591,10442,90149,80400,9749,45,154,1871,10627,433,21705,18935,17446,10577,6012,857,0,1489,8552,0,-679,3759,0,1019,-87,606,608,-108,63,-586,649,0,-662,-2370,301,802,6185,0,134,7063,0,6966,3439,2887,235,243,162,40,57,2770
1959:Q3,101185,10816,90370,81767,8603,187,26,1979,10747,471,21020,25051,17576,10780,5911,886,0,7475,13745,0,3864,2003,0,3048,1535,488,990,35,-165,-636,471,0,-1177,-1630,355,861,6438,0,148,6270,0,6161,3716,2040,304,-1,102,50,59,-4031
1959:Q4,102592,11054,91538,82354,9185,-133,149,1395,10837,479,20656,20846,16894,10260,5751,883,0,3953,10761,0,-454,2591,0,3347,1719,256,1304,68,-1481,-1968,487,0,-1172,234,335,962,6259,0,140,6808,0,6704,3092,3295,104,222,-9,50,54,-191
1960:Q1,104163,11108,93055,83273,9782,-75,-189,1399,11204,503,21996,28414,17355,10606,5980,928,-159,11059,11982,0,-1786,1997,0,5348,4053,-637,610,1322,7,-534,541,0,-720,-136,311,939,5896,0,126,923,0,832,2481,-1456,-516,-116,439,40,51,-6419
1960:Q2,105436,11464,93972,84793,9179,366,294,1544,11310,562,21543,18915,17104,10835,5484,949,-163,1811,8670,0,-1721,3634,0,798,-1052,279,1100,471,361,-407,768,0,-1049,-906,333,877,6221,0,122,6859,0,6759,2786,2865,664,311,133,50,50,2628
1960:Q3,106094,11714,94380,84820,9561,-84,-21,1331,11425,536,21717,25086,16764,10715,5273,944,-168,8323,12905,0,3627,3125,0,-647,-540,-615,431,77,1026,316,710,0,-1010,-139,268,767,5754,0,134,4582,0,4554,3216,968,-46,278,138,-20,48,-3369
1960:Q4,106446,11783,94663,85334,9329,-153,-50,978,11510,642,21073,22422,16427,10428,5216,957,-174,5996,11479,0,1857,3180,0,-703,-1471,-261,504,525,1406,651,755,0,-1195,202,137,645,5801,0,149,5483,0,5400,2796,1658,596,222,128,40,43,-1350
1961:Q1,107541,11495,96046,85477,10570,-127,-59,364,11555,638,21782,22557,15763,9839,5140,966,-183,6795,7556,0,-2078,5240,0,-1364,-479,-674,-238,27,575,-275,850,0,-442,-1406,418,688,5776,0,149,761,0,723,2267,-1909,-327,571,121,0,38,-775
1961:Q2,109094,11736,97358,86710,10649,323,343,604,11585,598,22220,21658,16014,10090,5104,1008,-188,5645,11846,0,-1663,5395,0,114,-1434,-135,841,842,1541,713,828,0,-828,-234,288,793,6278,0,162,6201,0,6070,2958,1258,1062,667,125,100,31,562
1961:Q3,110858,11968,98890,87452,11438,-112,-84,833,11670,643,23271,24972,16541,10384,5315,1036,-193,8431,12706,0,2925,2637,0,467,1332,20,-430,-455,356,-401,757,0,-1265,256,411,923,5836,0,160,4275,0,4215,3576,485,-132,140,146,30,30,-1701
1961:Q4,113082,12052,101031,89302,11729,-137,-147,1248,11765,631,24121,24422,17191,10874,5431,1084,-197,7231,14357,0,530,5112,0,1016,-472,348,1326,-186,802,-22,824,0,-2233,1519,554,1043,5851,0,163,7126,0,7032,3848,2353,267,421,143,60,34,-302
1962:Q1,114834,12032,102802,90624,12178,-120,-240,1477,11809,605,24979,27300,17530,11125,5484,1119,-198,9770,11097,0,-1751,6359,0,-25,904,-25,-1037,133,416,-127,543,0,-1559,251,322,1032,5916,0,136,1327,0,1240,2461,-1397,210,-175,141,50,37,-2322
1962:Q2,116688,12638,104050,92091,11959,377,281,1713,11909,682,24995,21465,17997,11439,5604,1155,-201,3468,10567,0,-2165,6876,0,-244,17,-157,-85,-19,1258,660,598,0,-2206,-636,284,988,6269,0,143,7099,0,7031,3749,3397,-118,-163,166,30,38,3530
1962:Q3,117874,13221,104654,93123,11531,-138,-37,1733,12034,662,24535,26594,18079,11560,5558,1165,-205,8515,14730,0,1845,5343,0,1161,1578,-124,468,-761,693,262,431,0,-1366,223,56,912,5720,0,143,6215,0,6156,4108,1191,175,521,161,20,39,-2059
1962:Q4,119442,13666,105777,94744,11033,-81,52,2073,12181,690,24464,25269,18475,12022,5515,1148,-209,6794,14289,0,1614,7405,0,-1047,-1249,-51,235,18,205,-395,600,0,-1625,630,210,835,5905,0,157,7495,0,7424,3962,2718,191,425,128,30,41,-805
1963:Q1,120802,13596,107206,95733,11473,-117,-214,2130,12319,699,25320,27343,18805,12190,5699,1129,-213,8538,11448,0,1199,6937,0,-3732,-3529,-226,-422,445,96,-222,318,0,-1089,412,204,957,6309,0,155,2910,0,2816,3045,-409,-290,267,203,50,44,-2023
1963:Q2,122013,13869,108144,96825,11319,429,397,2319,12458,727,25402,23247,19486,12489,6068,1148,-218,3760,13277,0,-1252,7265,0,-859,-560,-9,-23,-267,1882,1113,769,0,-1797,-330,141,1023,7042,0,162,9517,0,9390,4449,3282,596,956,107,80,47,2155
1963:Q3,123799,13792,110007,98667,11340,-110,-13,2362,12637,760,25482,27935,19714,12679,6090,1169,-223,8220,15737,0,2719,4716,0,361,1387,0,-514,-512,165,-61,226,0,-1303,714,371,1095,6743,0,156,7517,0,7379,4861,2145,-383,630,126,90,48,-2453
