date,FU106902501.A,FU106300003.A,FU106902605.A,FU106025005.A,FU106020001.A,FU106401001.A,FU106240101.A,FU106402101.A,FU106140005.A,FU106402101.A,FU106150105.A,FU106130101.A,FU106121101.A,FU103092201.A,FU106150005.A,FU106130001.A,FU106121001.A,FU103192201.A,FU106112001.A,FU106140005.A,FU106220001.A,FU106403001.A,FU106012095.A,FU106012095.A,FU106006385.A,FU106012095.A,FU105440005.A,FU105050985.A,FU105019085.A,FU106300003.A,FU105420095.A,FU105020005.A,FU105000905.A,FU105000905.A,FU104090005.A,FU104000005.A,FU103020005.A,FU103030003.A,FU103091003.A,FU104022005.A,FU103069100.A,FU103061103.A,FU103061703.A,FU103062003.A,FU123063003.A,FU104035005.A,FU104041005.A,FU104042005.A,FU103081005.A,FU103034000.A,FU103064103.A,FU103064203.A,FU103092105.A,FU103092405.A,FU103076005.A,FU103096005.A,FU103070005.A,FU103072005.A,FU103094705.A,FU103093005.A,FU104194005.A,FU104122005.A,FU103169100.A,FU103162000.A,FU103163005.A,FU104135005.A,FU104141005.A,FU103168005.A,FU103169005.A,FU104142005.A,FU103165005.A,FU103192305.A,FU103181005.A,FU103164105.A,FU103192105.A,FU103152025.A,FU573074005.A,FU573073005.A,FU103196005.A,FU103170005.A,FU103178005.A,FU103193005.A,FU105000005.A,FV108090105.A,FV102010005.A,FV108090085.A,FU107005045.A,FU105020601.A,FR102010005.A,FR105035005.A,FR105015205.A,FR105013765.A,FR105020015.A,FR108080095.A,FR104022005.A,FR103092305.A,FR103064103.A,FR103064203.A,FR103092105.A,FR103093005.A,FR104190085.A,FR103192305.A,FR103164105.A,FR103192105.A,FR103152025.A,FR103193005.A,FR108200005.A,FC102090095.A,FL102000005.A,LM102010005.A,LM105035005.A,LM105015205.A,LM105013765.A,LM105020015.A,FL104090005.A,FL104000005.A,FL103020005.A,FL103030003.A,FL103091003.A,LM104022005.A,FL103069100.A,LM103061103.A,LM103061703.A,LM103062003.A,LM123063003.A,FL104035005.A,FL104041005.A,FL102051003.A,FL103066005.A,FL104042005.A,FL103065005.A,FL103092305.A,FL103081005.A,FL103034000.A,LM103064103.A,LM103064203.A,LM103092105.A,FL103092405.A,FL103076005.A,FL103096005.A,FL103070005.A,FL103072005.A,FL103094705.A,FL103093005.A,FL102100085.A,FL104194005.A,FL104122005.A,FL103169100.A,FL103162000.A,FL103163005.A,FL104135005.A,FL104141005.A,FL103168005.A,FL103169005.A,FL104142005.A,FL103165005.A,LM103192305.A,FL103181005.A,LM103164105.A,FL103192105.A,FL103152025.A,FL573074005.A,FL573073005.A,FL103196005.A,FL103170005.A,FL103178005.A,FL103193005.A,FL102090095.A
2009,6904035,1114626,5789409,4094885,3382810,712076,608503,1086020,603014,1086020,556942,206914,139031,210997,1039948,490232,506824,24684,18209,603014,161436,60532,381046,381046,342747,381046,38298,-36727,1201470,1114626,6611,-130181,379474,379474,237406,268383,184646,76913,6824,17690,-1299,12509,4169,937,1374,33641,-3047,36688,93706,-73929,-99497,35268,231843,21,-3967,-172047,-29516,0,-9275,-133256,-253217,179608,-73067,37425,215250,-508117,-399219,-238225,-160994,-108898,-97231,-11667,35118,-89082,124200,29583,-8605,38188,10591,-86928,-3254,100773,490623,143655,-6610,41733,-111149,2617,-2668911,-2664500,-31416,-1932,28938,930495,730,2077,171056,20438,736924,-730,2731646,-5538,2682899,301314,-247030,0,-4470062,-3983660,28225921,13952401,6815221,3765496,1669582,1702103,14273520,624333,364004,228801,31528,145413,55987,42964,14321,27101,5040,276522,51072,7852,43220,225450,45067,180383,5036240,725069,863153,162039,3285535,444,306954,7884059,2064452,0,71178,5748429,28225921,29724588,3840214,58410,477653,3304151,3057227,1705847,567270,1138577,1351380,945864,405516,15751016,13630156,2120860,541402,75419,465983,6534729,1582043,35700,4916986,-1498667
2010,7287190,1123495,6163695,4166597,3452257,714341,638214,1358883,882410,1358883,573128,172315,134462,266351,1049601,456863,516629,56680,19429,882410,203784,71808,606818,606818,585901,606818,20917,180913,1251051,1123495,-1080,54437,404988,404988,554577,145313,125671,6439,13203,-5264,-12476,6867,1974,-1866,237,-37522,-2647,-34875,118471,-169929,-51450,7460,332268,122,11603,321976,141836,0,28264,151876,289089,247079,24518,33247,189314,-308511,-195584,-86714,-108870,-112927,-105067,-7860,-8806,-179008,170202,-5480,15383,-20863,364807,156864,42698,165245,265488,-2086554,1079,-1995726,139500,-47593,843043,741942,21271,23566,56262,271409,-3273,4575,105506,16171,148549,-120,2082309,8644,2090213,163229,-179776,-0,-967858,-2468511,28269566,15063625,7618249,3844060,1740922,1860394,13205941,788906,489675,235240,63991,216876,123511,48024,16008,23935,5398,261576,66426,22034,44392,195150,43864,151286,5362524,555140,917209,185670,3703940,565,318558,6257501,2202562,0,62334,3992605,28269566,32236744,4087293,82928,510900,3493465,2709117,1445273,498880,946393,1263844,857544,406300,17964572,15541361,2423211,527984,90802,437182,6947778,1738907,78398,5130473,-3967179
2011,7661063,1173463,6487600,4372725,3630646,742079,670849,1444027,889297,1444027,545374,172844,94854,277676,1100103,452485,555685,69774,22160,889297,209219,79885,600193,600193,606621,600193,-6428,257975,1390984,1173463,-1014,41468,348646,348646,376724,41780,93132,-39889,-11463,-13930,93,-7801,-2161,-3409,-652,21927,1498,20429,352223,-39310,23399,-13836,382009,-39,12218,-37494,86838,0,12634,-136966,497380,215462,33379,8694,173389,155513,203879,144212,59667,-48366,-83691,35325,-181239,-345302,164063,-1335,2960,-4295,308978,23705,13347,271926,-120656,-410420,1015,-10141,469302,-68008,573950,452152,59778,31071,30951,-575698,5047,-9617,-53,-5943,-565070,-62,201524,-12433,345016,-130743,-316,1,-203272,-7070,28988901,15981934,8126465,4023175,1831473,2000821,13006967,830686,582807,195351,52528,207993,123604,42968,14323,22291,4807,273885,67923,22906,45017,205962,46182,159780,5175785,515830,940555,165891,3552983,526,330775,6187843,2289401,0,74968,3823474,28988901,32963150,4302755,116307,519594,3666854,2852196,1649152,643093,1006059,1203044,773852,429192,17960190,15541075,2419115,591252,93762,497490,7256757,1762612,91745,5402400,-3974249
2012,8110944,1234809,6876136,4608338,3839249,769089,695083,1572716,911923,1572716,527999,159027,106972,262000,1188792,444225,646862,74985,22719,911923,245804,82372,583748,583748,600745,583748,-16997,382028,1543062,1234809,247,73527,218717,218717,321303,58708,43884,13731,1093,-16163,-11472,-2799,-1334,-174,-384,9661,-5423,15084,259524,-10918,-26334,-5824,302574,26,7761,1812,55424,0,3919,-57531,769852,409670,14022,13488,382160,34877,122946,103940,19006,-88069,-90768,2699,-93342,-280491,187149,-1491,-12321,10830,420138,68072,1357,350709,-448549,-735370,-7338,-72215,667266,-11449,348196,297377,19409,17962,13449,450610,411,22687,125889,19214,282598,-188,2118675,-24673,2128507,195015,-180174,-0,-1319869,-1454494,30489945,16711065,8504800,4199753,1907266,2099247,13778880,889394,626691,209082,53621,192241,112132,39437,13146,22915,4611,306232,62499,18273,44226,243733,45944,197789,5849742,504912,1040110,179281,4124887,552,338536,6202735,2344826,0,78887,3779022,30489945,35918689,4712425,130329,533082,4049014,2829596,1739294,728460,1010834,1090302,683084,407218,20208367,17412420,2795947,458603,81441,377162,7709698,1830684,93102,5785912,-5428743
2013,8417763,1282795,7134968,4773789,3971082,802707,726674,1634506,1000162,1634506,536968,147173,100632,289163,1171313,427048,650726,72077,21462,1000162,263956,84166,652040,652040,657751,652040,-5712,393377,1590871,1282795,1376,83925,264374,264374,727602,152072,44367,39155,68550,-3484,-5628,1674,277,-221,414,-727,-1741,1014,343561,30580,10670,2460,299807,44,-5915,242095,271819,0,14086,-43810,797413,309356,14182,2228,292946,181874,140177,53312,86865,41697,29738,11959,-79272,-255054,175782,123391,-2472,125863,262064,100522,-9911,171453,-69811,-816973,-1376,-467518,334185,13894,1135011,1082349,-25783,42841,35605,935397,-4573,-1045,308981,28068,603690,276,5783846,-218,5418680,691447,-326062,-0,-3713439,-3872660,33653158,18211279,9671175,4321474,2013748,2204882,15441879,1041466,671058,248237,122171,184184,106504,38822,12941,21167,4750,279460,60758,22643,38115,218702,49908,168794,7216734,535492,1359761,209809,5111076,596,332621,6387414,2616645,0,92973,3677796,33653158,42954562,5021781,144511,535310,4341960,2999791,1868010,781713,1086297,1131781,712822,418959,26279490,22576046,3703444,670276,78969,591307,7983224,1931206,83191,5968827,-9301403
2014,8851699,1352680,7499019,5032918,4202501,830417,754668,1711433,981983,1711433,536994,147530,103029,286435,1266444,435851,729399,78860,22334,981983,290629,82241,609113,609113,615788,609113,-6675,491176,1767576,1352680,1587,74693,124612,124612,686077,22850,119720,-87561,-9309,26055,25085,1579,638,-1629,382,24587,27357,-2770,407991,21859,37338,24016,324646,132,10233,194361,104130,0,15781,74450,1091492,350332,37501,3,312828,244544,189625,107323,82302,54919,-293,55212,-165438,-295672,130234,39341,-2865,42206,622713,148547,12218,461948,-405416,-558924,-1589,-25477,530028,1830,776119,790971,-17509,20562,-17907,-72567,3375,6617,156652,8619,-247732,-98,3053591,-8283,2959528,255212,-152866,-0,-2350040,-2293175,35528993,19468925,10595611,4497223,2116253,2259838,16060068,1064316,790778,160676,112862,213614,131589,41679,13893,21223,5230,360666,88117,50432,37685,272549,54461,218088,7426580,557351,1553751,242444,5072306,728,342854,6652038,2720773,0,108754,3822511,35528993,47123571,5372563,182012,535313,4655238,3235945,2057527,888929,1168598,1178418,712530,465888,29319740,25239902,4079838,579530,76104,503426,8615793,2079753,95409,6440631,-11594579
2015,9222330,1408263,7814067,5303853,4439667,864186,771216,1738998,926529,1738998,543695,150800,125542,267353,1356164,457522,809199,71629,17815,926529,283948,99763,542818,542818,546059,542818,-3241,542704,1801854,1408263,29472,119642,3355,3355,1143329,38992,47098,10899,-19005,3617,7807,-3770,-1303,1003,-120,26526,13569,12957,259035,19010,-42105,12248,269803,79,2305,812854,33423,0,2207,777224,1287148,444346,-2995,13472,433869,240663,103688,111168,-7480,136975,96962,40013,-130527,-506179,375652,74604,15162,59442,658063,24341,-21203,654925,-143820,-256507,-29470,-21952,147175,57911,459533,584156,-65483,-8050,-51088,-466719,-858,3714,-11711,-6492,-451672,300,-540158,1966,-412551,-173117,43543,0,532973,822524,37095672,20358995,11288311,4615911,2184292,2270481,16736677,1103308,837876,171575,93857,216373,139396,37425,12475,22267,4810,390903,101683,64591,37092,289220,78086,211134,7294963,576361,1499935,248200,4969661,806,345159,7385971,2754199,0,111317,4520455,37095672,47867727,5816909,179017,548785,5089107,3443182,2119545,988295,1131250,1323637,815770,507867,28598837,24321172,4277665,699552,91266,608286,9309247,2104094,74206,7130947,-10772055
2016,9346389,1441019,7905370,5448417,4574390,874027,785159,1671794,800094,1671794,520567,151402,102460,266705,1392267,479690,831987,64993,15597,800094,262059,73341,464694,464694,462060,464694,2634,429639,1826792,1441019,7263,36603,32421,32421,960213,178164,156970,17464,3730,-3759,-6866,4155,1295,-2696,353,-14097,26794,-40891,222446,-112514,66942,-5440,273362,96,6562,570897,198835,0,-13146,385208,1073670,316196,1766,21515,292915,-28471,-35451,-13282,-22169,6980,9280,-2300,-28456,-441711,413255,64746,8824,55922,749655,184231,-8093,573517,-113456,-266154,-7263,-107787,145877,5227,669815,613247,-28791,30003,55356,184098,-687,-14565,146064,13279,40078,-70,2080264,-38327,1963723,297278,-142410,-0,-1226351,-1030444,39296694,21420290,12003671,4734456,2324950,2357213,17876404,1281472,994846,189039,97587,211927,132530,41185,13728,19251,5233,357660,128480,90280,38200,229180,50663,178517,7701810,463847,1712941,256039,5268081,902,351720,7971815,2953031,0,98171,4920613,39296694,51099193,6133105,180783,570300,5382022,3371799,2084093,975013,1109080,1287706,820466,467240,30849198,25843184,5006014,681604,100090,581514,10063487,2288325,66113,7709049,-11802499
2017,9771449,1509413,8262036,5727599,4804918,922681,825906,1708532,833679,1708532,595780,166434,102041,327305,1470634,501609,871619,80618,16788,833679,213815,92900,526964,526964,326139,526964,200825,441901,1919803,1509413,167,31345,-115762,-115762,578463,66840,-44397,-7726,118963,30814,-8803,30135,9987,-2481,1976,-70645,-52686,-17959,330381,68696,-89863,7864,343408,276,13963,207110,163357,0,12521,31232,284899,368071,25887,17840,324344,34521,70715,-47265,117980,-36194,-27648,-8546,-29543,-327987,298444,-47863,19166,-67029,-40287,81344,220441,-342072,293564,301143,-19855,-135915,-409325,-47588,736291,634986,22791,63182,15333,1317274,610,8858,326205,36972,944737,-108,5035685,13244,4459117,833529,-270205,1,-2982120,-2354838,42360172,22588031,12718472,4921584,2496496,2451478,19772141,1348312,950449,181313,216550,243351,123727,71295,23765,17247,7317,295873,75794,39551,36243,220079,65268,154811,9348222,532543,1949283,300875,6564342,1179,365682,8170701,3116388,0,110692,4943621,42360172,56517508,6501176,206670,588140,5706366,3557360,2292604,927749,1364856,1264756,792818,471938,36128541,29974314,6154227,445028,119256,325772,9885403,2369669,286554,7229180,-14157337
2018,10337805,1582147,8755658,6047036,5068451,978585,873481,1835141,871003,1835141,913330,188789,947169,-222628,1877468,527714,1229574,100825,19356,871003,212945,97765,560293,560293,566488,560293,-6195,550016,2080196,1582147,-1022,52989,16472,16472,855322,145810,250228,5842,-110260,22282,38399,-15591,-5455,1733,3196,53241,-24728,77969,-317600,-51777,-40673,-8948,-216272,70,11415,940174,396298,0,2460,541416,918337,169277,-10203,-2645,182125,128330,117805,106950,10855,10525,83417,-72892,-391876,-627785,235909,41150,-34555,75705,971456,320692,-11297,662061,-63015,288079,-4525,321079,79487,-51012,159386,46105,57414,31832,24032,-1308367,-2413,-744,-118742,-22036,-1164939,507,-1953862,9142,-1527512,-587612,152120,0,804881,1659449,43042148,23323052,12914594,5167558,2661389,2579511,19719096,1494122,1200677,187155,106290,263220,162126,54404,18135,18549,10006,309369,51065,14579,36486,258304,61534,196770,7756408,480766,1789868,269891,5214635,1248,377098,9518879,3512687,0,113152,5893040,43042148,55540036,6670453,196467,585495,5888491,4021331,2744407,1034697,1709710,1276924,868736,408188,33632225,27819017,5813208,685667,84701,600966,10530360,2690361,275257,7564742,-12497888
2019,10800981,1666162,9134820,6343764,5322930,1020834,928312,1862744,864723,1862744,767329,239506,379070,148753,1765350,593886,1046863,104656,19945,864723,196937,89859,577926,577926,590356,577926,-12430,531226,2126327,1666162,-849,71910,59130,59130,2404627,179547,140555,14299,24693,69352,55442,6709,2380,4789,32,-96446,-1854,-94592,231255,108326,10193,5300,107361,75,15022,2005897,540535,0,-637,1465999,2199146,316736,-1937,16000,302673,311605,152522,24474,128048,159083,166261,-7178,-112431,-343171,230740,68790,-4576,73366,1614447,230122,-7519,1391844,205480,-14317,848,-159850,-146351,1666,940355,901365,13667,32388,-7066,1526190,5053,-24186,517677,51190,977410,-954,8780691,-8675,7744609,1479330,-434573,0,-6314146,-5738108,48865886,24815973,14022654,5323273,2827357,2642689,24049913,1673669,1341232,201454,130983,337625,217568,63629,21210,24226,10992,188736,49210,13384,35826,139526,67448,72078,9449133,589092,2317738,326381,6214598,1324,392120,12008630,4053223,0,112515,7842892,48865886,67101882,6987189,194530,601495,6191164,4272352,2896929,1059172,1837757,1375423,983088,392335,42718213,35220455,7497758,493979,80125,413854,12630149,2920483,267738,9441928,-18235996
2020,10500047,1730181,8769866,6349028,5350951,998077,537175,1883664,825274,1883664,541700,172013,197100,172587,1600090,482094,1029745,71923,16328,825274,208591,90903,525780,525780,512147,525780,13633,291523,2047627,1730181,-344,-25580,220624,220624,432647,524952,444242,76681,4029,37122,33285,7423,3637,-8442,1219,4259,23606,-19347,247111,122106,-136007,9892,251042,78,22009,-402806,-137032,249767,-3032,-512509,326373,695469,-62328,5558,752239,274943,336447,148350,188097,-61504,3940,-65444,81556,-81900,163456,-9211,-2741,-6470,-716384,-155882,7653,-568155,106275,-72509,342,24782,114350,-16717,828984,608676,38416,142609,39282,727646,2482,-6101,361446,39431,331072,-682,9541936,-5791,8782242,1075973,-310487,-0,-7985305,-7545667,51025385,25815179,14631305,5403749,3107017,2673108,25210206,2198621,1785474,278135,135012,377229,250853,72901,24300,16282,12893,188251,72817,36991,35826,115434,81811,33623,10394636,711198,2543177,375704,6763156,1401,414128,11637341,3916190,249767,109483,7361901,51025385,76807048,7682658,132202,607053,6943403,4541504,3233376,1207523,2025853,1308128,987028,321100,52639008,43920797,8718211,205113,77384,127729,11738765,2764601,275391,8698773,-25781663
2021,11995889,1818281,10177608,6987830,5915612,1072218,795222,2394556,1058078,2394556,501886,145385,91694,264807,1838364,427693,1201289,188599,20783,1058078,297993,121465,638620,638620,648458,638620,-9838,413342,2215098,1818281,5816,10711,235116,235116,1334554,301645,264780,5582,31283,37826,5399,10660,2886,11190,7691,-48551,-10275,-38276,314113,100281,-101357,21972,293054,163,36114,693407,498072,-206433,-15571,417339,1303353,252641,6041,11577,235023,287669,214517,-83545,298062,73152,74269,-1117,251763,-134086,385849,143104,-6508,149612,368176,429772,-25545,-36051,31201,-92089,-30467,-114787,203915,-257080,2916325,2281132,341053,74252,219888,1676333,-5494,-10672,703077,46692,941966,763,11612658,-8123,9766784,2148456,-294458,-1,-7020000,-6463631,57579296,29343329,16995793,5827307,3359442,3160787,28235967,2499849,2049837,283717,166295,409561,256252,79668,26556,27263,19822,146029,62543,26733,35810,83486,113222,-29736,12382272,811479,3144897,444368,7979964,1564,450243,12348013,4414261,43334,150596,7739822,57579296,89824590,7931210,138243,618630,7174337,5014787,3614013,1122755,2491258,1400774,1088914,311860,64811667,53553495,11258172,124313,70876,53437,11942613,3194373,249846,8498394,-32245293
2022,13300810,2004670,11296140,7580226,6441146,1139081,1092093,2623822,1215703,2623822,574051,179676,95409,298966,1982170,432092,1328678,192217,29183,1215703,416903,124641,674160,674160,643895,674160,30265,726906,2483218,2004670,104778,143581,-83012,-83012,2690535,-2509,-54509,17289,34711,-5408,-39380,21203,5750,4271,2748,-32560,3340,-35900,143840,-73448,-136173,-4380,357723,118,33075,2554097,462517,-43334,-6196,2141110,2691922,78186,59310,734,18142,671132,458173,265718,192455,212959,143439,69520,-291657,-556332,264675,56833,-1869,58702,2177428,400918,15751,1760759,-1387,-75691,-117807,-135744,-81625,-96235,538146,-15280,339392,123004,91031,-2417997,-21985,41854,-611078,-81533,-1749368,4114,-13235354,281,-11332289,-2476343,572997,0,11355503,11923706,59077792,30554588,17093370,6282640,3686944,3491634,28523204,2497340,1995328,301006,201006,382168,216872,88981,29660,28199,18456,124651,65884,30093,35791,58767,118638,-59871,10189593,738031,2397646,358455,6693780,1681,483318,14846134,4876777,0,144400,9824957,59077792,79399379,8009396,197553,619364,7192479,5711786,4083072,1474660,2608411,1628715,1247054,381661,50794650,41664874,9129776,789093,69007,720086,14094454,3595291,265597,10233566,-20321587
2023,13957663,2165481,11792182,8050841,6847444,1203397,1116460,2624881,1228138,2624881,ND,ND,ND,ND,ND,ND,ND,ND,ND,1228138,446707,136874,644557,644557,645161,644557,-604,566750,2689397,2165481,-2819,45652,78412,78412,676349,187348,41476,110384,35488,-3045,-14119,10281,3425,93,-2725,16146,-961,17107,533446,156783,56123,-4380,324693,227,35858,-93404,16630,0,7089,-117123,546537,229173,20406,-1404,210171,22969,-11870,7917,-19787,34840,32037,2803,-326718,-620800,294082,64480,-3410,67890,556633,-36335,-29931,622899,129812,-31971,2817,-46549,-51400,39639,-1019720,-1306895,163058,151281,-27165,1457983,5230,-8328,610959,53324,840480,-43682,11798470,-15137,10238643,1904907,-329942,-2,-11360206,-10747016,60669506,30011970,15956768,6540905,4043815,3470482,30657536,2684688,2036804,411390,236494,384353,202753,101812,33937,29187,16664,132471,64925,29146,35779,67546,126758,-59212,12232202,894814,3064728,407399,7863353,1908,519176,14704646,4893405,0,151489,9659752,60669506,91738109,8238569,217959,617960,7402650,5714251,4069125,1482577,2586548,1645127,1279091,366036,62605205,51282717,11322488,523632,65597,458035,14656452,3558956,235666,10861830,-31068603
