1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2013:Q1,4074333,2747402,274711,600908,1871783,669302,626759,524062,46958,389110,39418,48577,102697,100769,1531,397,42543,39310,3233,-107621,545636,653257,765250,630748,239628,391121,134501,67190,67311,53974,208617,154642,4128307,-2357,208,-487,2642,-5
2013:Q2,4184242,2828143,295141,625881,1907121,690879,690333,552647,46355,388789,69641,47863,137686,105608,1644,30434,546,-4588,5134,-129093,571102,700195,794313,642347,240874,401474,151965,67454,84511,57254,211462,154208,4241495,-2315,468,-748,2594,0
2013:Q3,4259403,2847324,297321,633234,1916769,762271,699577,557494,46702,396312,65988,48493,142083,108890,1726,31467,62694,55315,7379,-138661,572250,710911,788470,623443,244605,378839,165026,68723,96303,60105,212615,152510,4319508,-2293,634,-904,2569,-7
2013:Q4,4362704,2965365,324613,690375,1950377,715875,716180,587109,47178,410007,80458,49466,129071,109021,1754,18296,-305,-6112,5806,-103080,598933,702013,784545,634205,231322,402884,150339,67589,82750,58905,214480,155575,4421609,-2291,66,-340,2567,-3
2014:Q1,4220259,2843329,278719,615740,1948870,716131,673253,560178,46710,422514,41087,49867,113075,110616,1815,644,42878,41520,1358,-109057,567315,676372,769855,637294,236661,400633,132562,64884,67678,59367,216956,157589,4279625,-2314,109,-325,2565,-36
2014:Q2,4376828,2951940,309086,656927,1985927,758360,755703,605985,47883,438758,67632,51712,149718,114251,1908,33559,2657,-948,3605,-132817,603293,736110,799344,645612,234729,410883,153733,66962,86771,57099,218648,161548,4433927,-2340,190,-444,2595,-1
2014:Q3,4465485,2980003,314757,656843,2008403,823385,771054,615868,48820,448851,65512,52686,155186,117847,1994,35345,52331,48998,3333,-140646,600751,741397,802742,636038,248189,387849,166705,67591,99114,63001,224946,161945,4528485,-2395,1324,-1584,2656,-0
2014:Q4,4545567,3099179,344699,709807,2044673,776104,789178,643123,49650,449643,90581,53250,146055,122247,2094,21714,-13074,-14878,1804,-126381,607185,733566,796664,643334,230709,412625,153331,67349,85982,55692,220966,165274,4601259,-2478,-36,-250,2748,16
2015:Q1,4411434,2953944,297037,614528,2042379,796554,729857,599873,50442,450381,44172,54878,129984,125322,2184,2478,66697,59942,6755,-118255,552518,670773,779191,642147,237669,404478,137044,65983,71061,55685,213317,157632,4467119,-2517,-142,-190,2860,-11
2015:Q2,4580500,3065271,327997,654657,2082617,830734,804129,634280,52125,448352,77158,56645,169849,129132,2281,38436,26605,21109,5497,-130622,582379,713001,815117,654717,233878,420839,160400,67669,92731,52996,218164,165169,4633496,-2594,30039,-30404,2948,11
2015:Q3,4625897,3087550,331381,658846,2097323,865709,808234,631847,52763,448428,72315,58341,176387,134288,2397,39702,57475,53248,4227,-146785,569188,715973,819423,644670,246362,398308,174753,68840,105913,53290,219211,165921,4679187,-2649,-178,-184,3011,0
2015:Q4,4677188,3190672,359378,711305,2119989,795486,806140,641504,53150,445364,84186,58805,164636,137101,2468,25068,-10654,-14657,4003,-128658,566537,695195,819688,662453,233837,428616,157235,68539,88696,58158,209893,151736,4735346,-2683,-246,-122,3049,2
2016:Q1,4523239,3055278,309102,626030,2120146,791342,747531,597862,54783,446521,36291,60267,149669,141817,2580,5273,43811,43525,286,-116953,527303,644256,793573,648763,235427,413336,144810,67686,77124,53657,214754,161097,4576896,-2725,-276,-106,3116,-10
2016:Q2,4691696,3163026,335584,659745,2167697,819865,825091,635484,55253,451368,68376,60487,189607,143991,2651,42966,-5227,-5873,646,-124752,560361,685113,833558,668728,236496,432232,164830,68748,96082,53937,220339,166402,4745633,-2786,7829,-8237,3185,9
2016:Q3,4748077,3190090,341340,661611,2187139,851427,829176,637811,55804,456895,63507,61605,191365,145635,2707,43023,22251,21983,267,-134085,568312,702397,840646,663783,249959,413824,176863,69267,107596,54956,223171,168215,4803033,-2848,48,-462,3257,5
2016:Q4,4841901,3318455,370470,729155,2218830,815674,837439,657838,56685,461267,78160,61725,179601,149558,2802,27241,-21765,-23032,1267,-127482,579582,707064,835255,672101,240435,431666,163154,69337,93817,68816,234633,165817,4910717,-2913,-338,-91,3330,12
2017:Q1,4674705,3178507,317226,645916,2215365,790711,786267,623314,57221,466146,38852,61096,162953,154385,2916,5653,4444,5072,-628,-120343,564207,684550,825831,676446,242507,433939,149385,69079,80306,68068,241064,172996,4742774,-2900,-314,-159,3403,-29
2017:Q2,4889677,3304215,350344,689564,2264307,871837,873372,667175,54079,471829,80324,60944,206197,157467,2946,45784,-1535,-1627,93,-141533,593161,734694,855158,682905,242780,440125,172253,71458,100795,66041,246784,180744,4955717,-2986,-385,-147,3503,15
2017:Q3,4958225,3328872,356319,692542,2280011,923545,878034,670122,54084,478173,75866,61999,207912,159595,2923,45395,45512,44427,1085,-145495,599004,744499,851303,665633,247538,418095,185670,72368,113302,77114,264877,187763,5035339,-3097,1315,-1841,3633,-10
2017:Q4,5089495,3479032,392022,768281,2318729,881571,897318,700489,55786,491967,89262,63474,196829,164150,2902,29776,-15747,-16527,780,-135956,631889,767845,864848,690730,245676,445054,174118,74647,99471,81728,278378,196650,5171223,-3232,-450,-91,3791,-20
2018:Q1,4962409,3344139,344626,684598,2314915,880657,848491,673850,59292,508760,41651,64147,174641,164714,2781,7146,32166,31551,614,-126793,609702,736495,864406,704132,253184,450948,160274,75048,85226,78706,277713,199007,5041114,-3318,-568,-28,3963,-49
2018:Q2,5161540,3477141,374026,724324,2378791,920352,938076,718821,60616,518238,74406,65561,219255,168742,2749,47764,-17725,-16671,-1053,-137604,646850,784454,901651,715361,253304,462057,186290,76641,109649,75868,287756,211889,5237407,-3432,-476,-188,4099,-4
2018:Q3,5221627,3493569,371003,724366,2398200,989329,939119,720434,60342,521233,71913,66947,218685,168737,2690,47259,50210,47993,2216,-167845,635858,803703,906574,705534,264869,440665,201040,78539,122501,67061,282984,215923,5288688,-3508,-567,-104,4190,-12
2018:Q4,5310941,3619592,399176,792088,2428328,934433,942675,743365,61152,521129,91039,70046,199310,166195,2617,30498,-8243,-9885,1642,-160834,645679,806513,917750,734706,263061,471645,183044,81649,101395,68673,290206,221533,5379614,-3545,588,-1264,4234,-13
2019:Q1,5140051,3429681,340151,690713,2398817,937012,882138,705950,64156,523434,45797,72564,176188,165148,2604,8436,54874,53797,1077,-129116,614521,743637,902474,730996,259780,471216,171477,81553,89924,72993,294164,221171,5213044,-3532,636,-1317,4231,-18
2019:Q2,5376189,3590032,380560,749528,2459944,984707,976969,758556,64623,529749,88707,75477,218413,168148,2711,47554,7737,7724,14,-155521,642591,798112,956972,760443,272380,488063,196528,80165,116363,72969,299294,226325,5449158,-3536,-479,-192,4236,-29
2019:Q3,5441020,3625133,384407,748609,2492117,1023481,983549,759947,64250,532330,86777,76591,223602,171759,2892,48951,39932,39930,2,-165860,634796,800656,958266,745673,279267,466406,212592,83962,128630,69988,293149,223162,5511008,-3547,-397,-291,4249,-14
2019:Q4,5564136,3772768,417588,817607,2537573,947202,977578,768624,64462,529524,97851,76788,208954,173031,3083,32840,-30377,-29541,-835,-128006,646543,774549,972173,777801,278288,499513,194371,86771,107600,65946,288105,222160,5630082,-3563,-608,-100,4268,2
2020:Q1,5292718,3522681,340515,728221,2453945,929225,909375,715182,66045,521527,53555,74054,194193,179826,3431,10937,19850,23298,-3448,-114495,591092,705587,955307,774086,273502,500584,181221,85656,95565,68059,268627,200569,5360777,-3552,-579,-75,4295,-90
