1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q4,95663,56918,8431,25083,23404,15184,13866,8954,458,6252,2013,231,4912,4238,26,649,1319,1147,172,-253,3832,4086,23814,17463,12999,4464,6351,4491,1860,485,714,230,96148,0,-67,0,67,-0
1953:Q1,96510,57805,8797,25130,23879,15416,14443,9448,471,6569,2122,287,4996,4298,27,671,973,745,228,-167,3782,3949,23456,17226,12601,4625,6231,4672,1559,477,706,229,96987,0,-77,0,77,-0
1953:Q2,97829,58240,8755,25139,24347,15529,14635,9616,483,6662,2182,290,5018,4319,27,672,894,1008,-114,-313,3799,4112,24373,17505,12813,4692,6869,4825,2044,513,742,229,98342,0,-82,0,82,-0
1953:Q3,97666,58417,8644,24961,24812,15359,14776,9904,495,6829,2281,299,4873,4197,26,649,583,395,188,-138,3939,4077,24028,16985,12567,4418,7044,4735,2309,452,689,237,98118,0,-84,0,84,-0
1953:Q4,97212,58278,8421,24990,24868,14111,14613,9800,497,6745,2262,296,4813,4148,25,640,-502,-969,468,-84,3793,3877,24906,18384,13623,4761,6523,4439,2084,457,706,249,97669,0,-86,0,86,-0
1954:Q1,95749,58789,8228,25316,25246,13929,14421,9583,564,6656,2066,298,4838,4179,25,634,-492,-663,172,-89,3606,3695,23120,16995,12090,4905,6125,4342,1783,500,739,239,96249,0,-79,0,79,-0
1954:Q2,96478,59471,8412,25331,25729,13862,14707,9540,562,6604,2079,296,5167,4463,26,678,-845,-753,-91,64,4110,4046,23081,16532,11455,5077,6549,4150,2399,500,737,237,96978,0,-84,0,84,-0
1954:Q3,97933,60076,8308,25549,26219,14743,15266,9720,565,6676,2178,302,5546,4788,28,729,-523,-659,136,144,3970,3826,22971,16424,11666,4758,6547,3826,2721,510,743,234,98443,0,-94,0,94,-0
1954:Q4,100389,61273,8766,25858,26650,15535,15614,9723,563,6611,2247,301,5891,5089,30,773,-79,49,-128,286,4151,3865,23295,17118,11941,5177,6177,3785,2392,586,821,235,100975,0,-109,0,109,-0
1955:Q1,102735,62850,9609,26126,27115,17176,16225,9870,562,6679,2280,349,6355,5511,31,813,951,932,19,276,4318,4042,22434,16890,11481,5409,5544,3565,1979,606,850,244,103341,0,-135,0,135,-0
1955:Q2,104863,64117,10177,26531,27409,18172,17017,10516,587,7027,2531,371,6501,5633,32,837,1155,1356,-201,-39,4236,4274,22613,16416,10858,5558,6197,3581,2616,600,866,266,105462,0,-150,0,150,-0
1955:Q3,107766,65163,10605,26736,27822,18687,17613,11207,620,7512,2680,395,6407,5552,31,824,1074,1326,-252,181,4536,4355,23735,17280,12108,5172,6455,3516,2939,612,885,274,108377,0,-162,0,162,-0
1955:Q4,110117,66160,10353,27262,28545,19721,17913,11771,651,8060,2647,414,6141,5317,30,795,1808,1646,162,60,4587,4527,24176,18014,12354,5660,6162,3551,2611,632,907,275,110748,0,-169,0,169,-0
1956:Q1,109284,66539,9919,27636,28985,19576,17976,11943,653,8346,2544,400,6033,5202,30,802,1600,1524,76,110,4841,4731,23059,17235,11418,5817,5824,3608,2216,713,992,280,109997,0,-168,0,168,-0
1956:Q2,111355,67209,9955,27823,29431,19255,18359,12266,673,8750,2432,410,6094,5257,30,807,896,1188,-292,477,5221,4743,24414,17726,11688,6038,6688,3754,2934,710,984,274,112065,0,-170,0,170,-0
1956:Q3,112888,68019,9921,28108,29990,19567,18675,12687,696,9156,2410,425,5988,5162,30,796,892,1021,-128,642,5456,4813,24660,17281,11654,5627,7379,4070,3309,734,1023,290,113622,0,-172,0,172,-0
1956:Q4,115825,69361,10374,28419,30568,19286,18725,12853,703,9314,2407,429,5873,5075,30,767,561,909,-348,1132,5767,4635,26045,18790,12592,6198,7255,4329,2926,640,934,294,116465,0,-173,0,173,-0
1957:Q1,116873,70472,10649,28854,30969,19432,18892,13116,750,9515,2432,419,5775,4910,31,834,541,454,86,1205,6230,5025,25764,18978,12604,6374,6786,4320,2466,771,1070,299,117645,0,-172,0,172,-0
1957:Q2,117699,71044,10543,29120,31382,19477,18813,13160,756,9581,2402,421,5653,4807,32,814,664,479,185,1025,6092,5068,26153,18667,12030,6637,7486,4214,3272,842,1140,299,118541,0,-174,0,174,-0
1957:Q3,120058,72188,10469,29838,31880,19835,19133,13517,766,9803,2517,431,5616,4775,33,808,702,552,150,999,5940,4941,27036,18855,12659,6196,8181,4503,3678,808,1115,307,120866,0,-177,0,177,-0
1957:Q4,119410,72592,10367,29763,32463,17762,18891,13304,758,9545,2577,424,5587,4749,33,805,-1130,-833,-297,847,5756,4909,28209,20433,13587,6846,7776,4537,3239,634,943,309,120043,0,-181,0,181,-0
1958:Q1,116354,72472,9849,29966,32658,16683,17685,12342,834,8649,2443,417,5343,4367,30,946,-1002,-1471,469,270,5134,4864,26930,19701,12570,7131,7229,4514,2715,658,972,314,117012,0,-189,0,189,-0
1958:Q2,117928,73205,9659,30296,33250,16266,17325,11958,810,8291,2456,401,5367,4365,32,970,-1059,-1374,316,118,5137,5019,28339,20158,12731,7427,8181,4611,3570,674,967,293,118601,0,-193,0,193,-0
1958:Q3,121600,74473,9849,30757,33868,18000,17613,11859,798,8162,2503,396,5754,4669,44,1042,387,-144,531,214,5149,4935,28913,20182,13307,6875,8731,4768,3963,651,960,309,122251,0,-196,0,196,-0
1958:Q4,125347,75456,10173,31020,34262,20000,18692,12333,820,8444,2659,411,6359,5154,68,1137,1309,826,483,-65,5141,5206,29956,21474,13973,7501,8482,5046,3436,646,971,325,125993,0,-198,0,198,-0
1959:Q1,126465,77362,10912,31519,34932,20792,19823,12736,827,8838,2636,434,7087,5801,97,1190,969,985,-16,130,5479,5349,28182,19993,12329,7663,8189,5347,2842,646,991,345,127111,0,-198,0,198,-0
1959:Q2,131190,78876,11366,31788,35722,22345,20523,13184,857,9094,2784,449,7340,6012,122,1206,1822,2173,-351,-192,5444,5636,30161,21000,13119,7880,9161,5455,3706,650,1014,364,131840,0,-200,0,200,-0
1959:Q3,132063,80181,11584,32047,36550,20902,20806,13605,886,9392,2862,466,7200,5911,127,1162,96,608,-512,303,6020,5717,30678,21000,13751,7248,9678,5611,4067,708,1095,387,132771,0,-345,143,202,-0
1959:Q4,131936,80711,11026,32366,37319,21631,20601,13600,883,9487,2764,466,7002,5751,118,1133,1030,1390,-360,157,5783,5626,29438,20603,12601,8001,8835,5364,3471,758,1170,412,132693,0,-346,141,205,-0
1960:Q1,134976,81591,11364,32401,37826,24119,21319,14081,928,9928,2729,495,7239,5980,104,1154,2800,2013,787,714,6536,5822,28552,20328,12077,8251,8223,5360,2863,732,1192,461,135708,-159,-121,73,208,-0
1960:Q2,135979,83052,11609,32990,38453,21774,20968,14297,949,10178,2669,501,6671,5484,104,1084,806,453,353,849,6713,5864,30305,21297,12668,8629,9007,5335,3672,751,1198,447,136730,-163,-179,130,212,-0
1960:Q3,136463,83032,11481,32895,38656,21594,20514,14041,944,10033,2574,491,6473,5273,112,1089,1080,642,438,1171,6890,5720,30667,21015,13120,7895,9651,5621,4030,791,1234,443,137254,-168,-185,134,219,-0
1960:Q4,134964,83506,11173,33103,39230,18991,20444,13971,957,9946,2584,484,6473,5216,114,1144,-1453,-1057,-396,1470,6906,5436,30998,21875,13113,8762,9122,5581,3541,839,1264,425,135803,-174,-168,115,227,-0
1961:Q1,135271,83630,10560,33351,39720,19595,20232,13753,966,9735,2581,471,6479,5140,121,1218,-637,-594,-43,1476,6890,5415,30571,21514,12430,9084,9057,6030,3027,894,1325,431,136165,-183,-150,95,238,-0
1961:Q2,139851,84864,10830,33561,40473,21027,20579,14050,1008,9927,2634,482,6530,5104,135,1291,448,233,215,1182,6657,5475,32778,22771,13303,9468,10007,6033,3974,850,1285,435,140701,-188,-197,140,246,-0
1961:Q3,142029,85583,11145,33649,40789,22730,21066,14178,1036,10002,2651,490,6888,5315,152,1421,1664,1106,558,1113,6945,5832,32603,21972,13394,8578,10631,6220,4411,876,1329,454,142904,-193,-212,154,252,-0
1961:Q4,145059,87398,11671,34042,41686,23233,21734,14618,1084,10308,2713,514,7116,5431,167,1518,1499,893,606,1143,7111,5968,33285,23082,13607,9475,10203,6362,3841,899,1368,468,145958,-197,-165,106,257,-0
1962:Q1,147484,88706,11926,34458,42322,24519,22167,14914,1119,10464,2792,540,7253,5484,181,1588,2352,1542,810,1003,7081,6079,33257,23565,13909,9656,9692,6483,3209,900,1351,451,148384,-198,-205,145,258,0
1962:Q2,150650,90115,12262,34686,43167,24177,22816,15339,1155,10743,2882,560,7477,5604,202,1671,1361,1016,345,1195,7416,6221,35165,24502,14562,9940,10663,6507,4156,998,1458,460,151648,-201,-238,177,262,0
1962:Q3,152756,91083,12392,34990,43702,24540,22993,15525,1165,10856,2944,561,7468,5558,215,1695,1547,1155,392,1121,7398,6278,36012,24601,15547,9054,11411,6780,4631,1013,1477,465,153768,-205,-200,138,266,0
1962:Q4,153033,92655,12887,35370,44399,23742,22901,15455,1148,10811,2953,543,7446,5515,224,1708,841,586,255,783,7171,6388,35853,25022,15000,10022,10831,6730,4101,1183,1654,472,154215,-209,-199,136,272,0
1963:Q1,154297,93571,13147,35615,44809,24922,23205,15493,1129,10890,2956,518,7712,5699,234,1780,1717,988,729,994,7290,6296,34810,24833,14549,10284,9977,6449,3528,1127,1605,478,155424,-213,-166,102,278,-0
1963:Q2,158421,94603,13470,35701,45432,25412,24203,15971,1148,11204,3095,525,8233,6068,250,1915,1209,931,278,1390,7862,6473,37016,25746,15080,10666,11270,6600,4670,1084,1587,503,159505,-218,-241,175,284,-0
1963:Q3,161647,96349,13675,36292,46382,26153,24724,16428,1169,11535,3179,546,8296,6090,258,1949,1429,1239,190,1128,7804,6676,38018,25864,16119,9745,12154,6988,5166,1110,1635,526,162757,-223,-242,175,291,-0
1963:Q4,163087,97512,13935,36320,47258,26797,25531,16917,1198,11896,3236,588,8614,6297,269,2048,1266,879,387,1428,8119,6691,37350,26313,15459,10854,11037,6631,4406,1156,1703,547,164243,-229,-144,75,298,-0
1964:Q1,166109,99895,14499,37163,48234,27619,26338,17278,1223,12130,3282,643,9059,6589,287,2184,1281,1129,152,1804,8548,6745,36792,26442,15255,11187,10350,6733,3617,1265,1822,558,167374,-236,-254,183,308,-0
1964:Q2,170354,101884,14869,37864,49151,27630,26516,17769,1257,12482,3335,695,8747,6349,283,2115,1114,1104,10,1576,8508,6932,39264,27376,15766,11610,11888,6774,5114,1219,1792,573,171573,-240,-308,235,313,-0
1964:Q3,173854,104106,15345,38719,50042,28158,26985,18352,1297,12923,3393,740,8633,6281,278,2074,1173,1258,-85,1737,8844,7107,39854,27265,16670,10595,12589,6834,5755,1262,1838,576,175116,-243,-317,243,317,-0
1964:Q4,174145,104747,14844,38950,50953,28746,27492,18831,1328,13312,3424,767,8661,6347,268,2046,1254,1191,63,1799,9120,7321,38853,27288,15448,11840,11565,6777,4788,1175,1787,612,175319,-246,-41,-34,320,-0
1965:Q1,178172,107428,16229,39440,51759,31636,28750,20058,1410,14243,3600,805,8692,6432,262,1998,2886,2221,665,1128,8242,7114,37981,27529,15312,12217,10452,6566,3886,1359,1981,622,179531,-245,-223,149,319,-0
1965:Q2,183295,109161,16205,40192,52764,31763,29621,20846,1452,14824,3745,825,8776,6544,252,1980,2142,1482,660,1672,9592,7920,40700,28741,16007,12734,11959,6567,5392,1410,2048,638,184706,-247,-113,39,321,-0
1965:Q3,187823,111451,16675,41017,53759,32809,30486,21672,1486,15498,3849,839,8815,6602,243,1970,2323,1693,630,1380,9388,8008,42183,29067,17412,11655,13116,6799,6317,1313,1972,659,189136,-249,-204,129,325,-0
1965:Q4,192999,114934,17282,42636,55016,33438,31542,22661,1519,16277,4013,853,8881,6653,244,1984,1896,1314,582,1438,9925,8487,43190,30852,17765,13087,12338,6767,5571,1197,1880,684,194196,-253,-232,156,329,-0
1966:Q1,197633,117534,18078,43524,55933,36050,32582,23596,1533,17172,4032,859,8987,6720,241,2026,3468,2819,649,1092,9839,8748,42957,31161,17567,13594,11796,7252,4544,1250,1950,700,198882,-259,-332,254,338,-0
1966:Q2,201805,118797,17430,44310,57058,35875,32796,24206,1537,17733,4075,861,8591,6426,228,1937,3079,2951,128,1158,10218,9060,45974,32723,18506,14217,13251,7187,6064,1263,1984,721,203068,-263,-216,137,342,-0
1966:Q3,205576,121073,18081,44943,58050,35799,32836,24581,1539,18056,4121,865,8255,6183,227,1844,2963,2630,333,672,10214,9543,48033,33491,20489,13002,14542,7778,6764,1242,2018,776,206818,-265,-264,184,345,-0
1966:Q4,208401,122515,18156,45099,59260,36464,32338,24791,1545,18237,4133,876,7547,5680,212,1655,4126,3593,533,941,10649,9707,48481,34502,19924,14578,13979,7872,6107,1316,2120,804,209717,-266,-149,69,346,-0
1967:Q1,209569,123579,17776,45594,60210,35703,31847,24500,1534,18039,4048,879,7347,5568,211,1569,3856,2965,891,1114,10972,9858,49174,36094,21075,15019,13079,7966,5113,1305,2113,808,210875,-261,-92,13,341,0
1967:Q2,213359,125865,18621,46006,61238,34374,32789,24574,1538,18117,4007,913,8214,6257,215,1742,1585,928,658,1055,10810,9755,52066,37583,21917,15666,14482,7739,6743,1270,2080,810,214629,-263,53,-133,343,0
1967:Q3,216433,127679,18675,46444,62560,35709,33393,24696,1535,18226,3977,960,8697,6616,207,1875,2316,1887,429,826,10711,9886,52220,36697,22320,14377,15522,8194,7328,1422,2233,811,217855,-266,-320,240,347,0
1967:Q4,220595,129562,18911,46966,63686,36913,34805,25436,1560,18807,4022,1047,9369,7077,191,2101,2108,1997,112,561,10974,10413,53559,38974,22746,16228,14584,8046,6538,1396,2257,861,221991,-270,269,-351,351,0
1968:Q1,226318,134074,20215,48384,65476,38072,35963,26396,1588,19576,4072,1160,9567,7136,148,2283,2110,1203,906,263,11363,11100,53909,40484,23565,16919,13425,7812,5613,1454,2379,925,227773,-286,441,-528,372,-0
1968:Q2,234778,137504,20771,49442,67290,39736,36216,26325,1567,19568,3984,1206,9891,7291,115,2484,3521,2173,1347,437,11791,11354,57101,41834,24072,17762,15267,7842,7425,1500,2497,997,236278,-281,139,-225,366,-0
1968:Q3,237427,141531,21886,50710,68934,38921,37001,26902,1598,20024,4025,1256,10099,7347,107,2645,1920,1613,307,413,12473,12060,56563,40728,24415,16313,15835,7787,8048,1563,2597,1034,238990,-269,142,-224,351,-0
1968:Q4,242125,143744,21957,51252,70536,40190,38689,28046,1678,20851,4212,1306,10643,7657,106,2880,1502,1711,-210,237,12279,12043,57954,43234,24792,18442,14720,7678,7042,1568,2629,1061,243693,-250,-137,62,325,-0
1969:Q1,247502,146751,22503,52208,72040,43097,40225,28998,1763,21539,4380,1316,11227,7982,130,3114,2872,2135,737,60,11011,10951,57595,43359,24180,19179,14235,8109,6126,1584,2771,1188,249086,-209,-74,10,273,0
1969:Q2,253541,149584,22612,53054,73918,43180,40875,29592,1821,21968,4489,1315,11283,7930,152,3201,2306,1720,585,276,13444,13168,60501,45193,25011,20182,15307,7584,7723,1540,2884,1343,255081,-190,-102,44,248,-0
1969:Q3,257044,152157,22657,53997,75503,44391,41843,30602,1899,22643,4722,1338,11241,7828,159,3254,2549,2452,96,308,13399,13091,60189,44320,25734,18586,15868,7775,8093,1487,3015,1528,258531,-178,-84,30,232,0
1969:Q4,259528,155147,22711,54936,77500,42894,41447,30821,1922,22747,4820,1333,10626,7332,161,3133,1447,1644,-197,787,14069,13282,60701,46565,25538,21027,14135,7260,6875,1504,3110,1605,261032,-175,-72,19,228,-0
1970:Q1,261962,157921,22403,56121,79398,42028,41572,30949,1930,22962,4729,1329,10623,7286,153,3184,456,67,389,879,14258,13379,61134,47465,25509,21956,13669,7689,5980,1572,3218,1646,263534,-184,-32,-24,239,-0
1970:Q2,268329,160393,22752,56637,81004,42864,41593,31252,1954,23112,4828,1358,10341,7062,151,3129,1270,1027,243,1302,15103,13801,63771,48712,25643,23069,15059,7622,7437,1659,3294,1635,269988,-198,20,-80,257,0
1970:Q3,270741,163371,23003,57429,82939,43476,42205,31564,1982,23250,4922,1410,10642,7260,155,3228,1271,1483,-212,1022,15130,14108,62872,46900,25597,21303,15972,7481,8491,1646,3256,1610,272387,-218,-35,-31,284,0
1970:Q4,272277,165040,21831,58619,84590,41689,42685,30880,1952,22619,4870,1439,11805,8076,165,3564,-996,-152,-844,746,15218,14472,64802,49706,25594,24112,15096,7669,7427,1516,3065,1549,273793,-244,61,-135,318,0
1971:Q1,283034,169797,24513,58957,86327,47374,44311,31570,2013,23065,4950,1543,12740,8762,179,3799,3064,2126,937,1143,15805,14663,64721,51318,26300,25018,13403,6911,6492,1854,3321,1468,284887,-286,497,-584,373,-0
1971:Q2,290413,173306,25247,59708,88351,49333,46614,32370,2102,23501,5137,1631,14244,9826,196,4222,2719,1500,1219,-101,15724,15824,67875,53052,26823,26229,14823,6898,7925,1994,3519,1525,292407,-309,-140,46,402,-0
1971:Q3,293564,176400,25861,60106,90433,50515,47968,32798,2190,23792,5153,1663,15170,10461,207,4502,2547,1734,813,59,16429,16371,66591,50871,26812,24059,15720,7220,8500,1815,3488,1673,295379,-324,-156,58,422,-0
1971:Q4,297839,180435,26826,60899,92711,49603,49677,33678,2333,24558,5107,1681,15999,10983,225,4791,-74,404,-478,-480,15005,15485,68282,53718,26745,26973,14564,6770,7794,1932,3683,1751,299771,-331,-141,40,431,-0
1972:Q1,306825,184737,27676,61760,95301,53242,52435,35146,2546,25684,5255,1662,17289,11780,243,5266,807,784,23,-884,17160,18043,69730,55909,28071,27838,13820,7115,6705,2044,3798,1754,308869,-319,-161,64,415,0
1972:Q2,318223,189341,28517,63576,97249,56700,53700,35994,2666,26445,5218,1666,17706,12038,250,5418,3000,2162,838,-1064,16788,17852,73247,57700,28709,28991,15546,7698,7848,2029,3937,1908,320252,-318,-159,63,414,0
1972:Q3,321726,193950,29398,65021,99531,58273,54844,36754,2723,27022,5308,1701,18090,12335,262,5494,3429,2742,687,-659,17863,18523,70163,54422,27683,26739,15740,7072,8668,2230,4171,1941,323955,-317,-5,-92,413,0
1972:Q4,332340,200126,30854,67014,102257,59929,58056,38742,2810,28356,5742,1835,19314,13298,270,5747,1873,1892,-19,-765,19032,19798,73051,57466,27833,29633,15584,7464,8120,2256,4373,2117,334595,-318,652,-749,414,0
1973:Q1,343675,206252,32953,68864,104435,63579,60941,40710,2818,29593,6274,2025,20231,14140,279,5812,2638,3132,-495,-350,20990,21340,74195,58767,28253,30514,15428,8168,7260,2668,5070,2403,346343,-323,1210,-1308,420,-0
1973:Q2,355215,210132,32824,70346,106962,67049,62498,42821,2842,30971,6789,2218,19677,13896,273,5508,4552,2920,1631,614,22981,22367,77420,60736,28862,31874,16684,8109,8575,2907,5606,2699,358121,-327,189,-288,426,-0
1973:Q3,357250,214719,32700,72479,109540,66084,63644,44161,2826,31967,6992,2376,19483,13858,261,5365,2440,1587,854,1609,24394,22785,74838,57770,28390,29380,17068,7680,9388,3469,6308,2839,360720,-333,1100,-1201,434,-0
1973:Q4,369236,218472,32050,74419,112003,70215,63966,45036,2795,32879,6852,2509,18931,13503,250,5179,6248,4830,1418,2238,26905,24667,78312,61852,29028,32824,16460,7694,8766,3576,6557,2982,372812,-340,305,-408,443,-0
1974:Q1,372087,222967,31663,77214,114091,67090,63961,45851,2779,33710,6692,2670,18110,12896,243,4971,3130,3452,-322,1599,29177,27579,80431,63872,29670,34202,16559,8299,8260,4267,7418,3151,376354,-349,835,-941,455,0
1974:Q2,384372,230106,32646,79504,117956,69348,64994,47205,2802,34967,6613,2823,17789,12768,232,4789,4354,3630,724,-679,31667,32346,85597,66188,30119,36069,19409,8841,10568,4099,7582,3483,388471,-357,3377,-3485,465,0
1974:Q3,388548,237319,34081,81917,121321,67753,66359,48621,2833,36099,6717,2972,17737,12956,207,4575,1395,1251,143,-1743,31660,33403,85219,64697,30961,33736,20522,9103,11419,3819,7616,3796,392367,-364,-164,54,474,0
1974:Q4,400236,239770,31787,82727,125256,70335,65223,49392,2835,36459,7028,3071,15831,11847,175,3809,5112,6313,-1202,8,34146,34138,90123,70448,32420,38028,19675,9422,10253,3335,7205,3870,403571,-370,1190,-1302,482,0
1975:Q1,401746,246298,32947,84052,129299,61077,63584,48284,2738,35469,7001,3077,15299,11808,159,3333,-2507,-3700,1193,4120,35342,31222,90252,72453,32594,39859,17799,9403,8396,2849,6731,3882,404595,-377,80,-193,490,0
1975:Q2,414891,253396,34173,86212,133010,60820,64309,48319,2712,35358,7145,3105,15990,12652,142,3197,-3489,-3748,260,5396,34207,28811,95280,75219,33422,41797,20061,9264,10797,2914,6632,3718,417805,-377,39,-152,491,0
1975:Q3,426848,261798,36697,88991,136110,66298,66645,49452,2752,36127,7382,3192,17193,13847,129,3217,-347,-468,121,3011,33525,30514,95741,72064,33569,38495,23677,10435,13242,3250,7022,3773,430097,-374,-50,-63,486,0
1975:Q4,441419,269056,38348,89915,140793,69059,68972,50721,2803,37102,7543,3273,18251,14841,131,3279,87,-432,519,3450,35633,32183,99854,76988,34291,42697,22866,10751,12115,3992,7639,3647,445411,-366,-86,-25,477,0
1976:Q1,452624,277477,40824,91859,144794,76160,72486,52376,2880,38523,7598,3375,20110,16398,133,3580,3673,3379,294,1163,35897,34735,97825,77738,34278,43460,20087,10889,9198,3937,7846,3910,456560,-354,104,-210,461,-0
1976:Q2,465356,282385,41475,93267,147643,80576,74964,53752,2950,39559,7812,3431,21212,17321,149,3742,5612,5384,228,-124,36655,36779,102519,79933,35051,44882,22586,10905,11681,4161,8064,3902,469517,-341,646,-750,445,-0
1976:Q3,470668,289702,42461,95152,152088,82077,76875,55657,3058,41026,8073,3501,21219,17329,178,3712,5202,4218,984,-1018,37944,38962,99908,75433,34687,40746,24475,11407,13068,4280,8139,3859,474948,-329,985,-1084,428,-0
1976:Q4,484765,298102,43864,97402,156836,84413,81783,57561,3175,42559,8281,3547,24222,19848,171,4203,2630,2973,-343,-1651,39019,40670,103902,81404,36030,45374,22498,11553,10945,4469,8315,3846,489235,-317,247,-343,413,-0
1977:Q1,494492,307053,45983,99117,161954,90078,86373,60820,3380,45294,8517,3628,25553,21000,154,4400,3706,3580,125,-5270,38839,44108,102630,82438,36170,46268,20192,11919,8273,5191,8945,3754,499683,-301,-127,36,392,0
1977:Q2,515630,313995,47306,100926,165764,97426,92559,63437,3521,47342,8842,3732,29121,23933,184,5005,4867,3247,1620,-5284,40477,45761,109493,85683,37744,47939,23810,12390,11420,5187,9238,4051,520817,-296,145,-234,385,0
1977:Q3,530111,321726,48498,102478,170751,103534,95813,65817,3615,49129,9200,3873,29996,24589,227,5180,7721,5991,1730,-5145,40581,45726,109996,84473,38133,46340,25523,12511,13012,5221,9533,4311,535332,-297,777,-866,386,0
1977:Q4,541593,331201,50177,105901,175124,105575,99545,68986,3713,51383,9773,4118,30559,24958,263,5339,6030,3367,2664,-7396,39452,46848,112213,88575,39089,49486,23638,12384,11254,4692,9484,4792,546286,-304,265,-357,395,0
1978:Q1,548976,338513,49542,107769,181203,108700,102336,70606,3684,52733,9845,4346,31730,25837,249,5645,6363,5810,553,-9670,41150,50821,111434,90487,39290,51197,20947,12563,8384,5523,10618,5095,554500,-317,-123,21,418,0
1978:Q2,585549,352846,54047,111203,187597,117646,111582,77338,3909,57462,11092,4875,34244,27709,262,6273,6064,5342,722,-5656,46554,52210,120713,94501,41108,53393,26212,13488,12724,4687,10646,5959,590236,-332,691,-797,438,0
1978:Q3,597234,360554,54185,113905,192464,123092,116851,81275,3979,60166,11910,5220,35576,28522,270,6784,6242,4092,2150,-5940,47826,53766,119528,89839,41412,48427,29689,14084,15605,5223,11560,6337,602457,-345,-374,263,456,0
1978:Q4,619839,370339,55575,117342,197422,128939,121817,85357,4046,63004,12747,5560,36460,28852,297,7311,7122,6672,450,-4100,51354,55454,124662,95943,42371,53572,28719,14607,14112,6148,13428,7280,625987,-356,12,-126,471,0
1979:Q1,629476,379285,55820,121148,202318,131452,125489,89174,4091,65617,13482,5983,36316,28265,326,7725,5963,4491,1472,-4540,52917,57457,123279,99016,42991,56025,24263,14505,9758,6420,14405,7985,635896,-369,524,-636,481,0
1979:Q2,650374,389409,55525,125017,208867,134824,127973,91067,4082,66854,13914,6217,36906,28386,351,8169,6850,5520,1330,-5547,55227,60774,131689,102517,44651,57866,29172,15039,14133,7363,16027,8664,657736,-378,-52,-63,493,0
1979:Q3,664909,402967,57733,130587,214647,136406,133373,95751,4235,70174,14637,6705,37622,28746,360,8517,3033,1355,1678,-5757,58569,64327,131294,97241,44660,52581,34053,16252,17801,9024,18353,9330,673932,-388,565,-683,505,0
1979:Q4,682569,413759,57262,134847,221650,136969,134831,97833,4318,71743,14693,7080,36998,28234,339,8425,2138,1867,271,-6701,63416,70117,138542,105933,46533,59400,32609,15945,16664,9125,19537,10412,691693,-398,1347,-1468,519,0
1980:Q1,694299,425576,58014,139987,227575,138641,136166,101123,4504,74612,14388,7619,35043,26830,314,7899,2475,2376,98,-8951,67127,76078,139034,109311,48174,61137,29723,16993,12730,9497,20894,11396,703796,-411,539,-658,530,0
1980:Q2,701104,426181,52979,141479,231723,129824,127886,98670,4391,72957,13680,7643,29216,22319,325,6573,1938,2859,-921,-3803,69347,73150,148903,114984,51317,63667,33919,17259,16660,8953,19906,10953,710057,-420,-310,188,542,0
1980:Q3,712171,440943,56341,144125,240477,123768,132232,101429,4467,74872,14104,7987,30803,23525,314,6963,-8464,-5078,-3386,1368,71168,69801,146093,109311,51235,58076,36782,17675,19107,8604,18717,10114,720775,-427,350,-475,551,0
1980:Q4,749734,457969,59058,147813,251099,137868,140148,105689,4557,77558,15207,8368,34459,26283,293,7883,-2280,-788,-1491,-1671,73129,74800,155569,120045,53896,66149,35524,18322,17202,7132,19576,12444,756866,-431,2998,-3123,556,0
1981:Q1,777731,471434,61512,153511,256411,154845,145157,110756,4622,81134,16283,8718,34400,26055,321,8025,9689,7421,2267,-3565,76367,79932,155017,122742,55517,67225,32275,18775,13500,7851,21435,13584,785581,-441,-172,51,562,0
1981:Q2,793315,479381,60234,155712,263435,152461,149532,115716,4770,84209,17628,9109,33816,25591,310,7915,2928,601,2327,-3377,77114,80491,164851,128271,58046,70225,36580,19888,16692,7503,22437,14933,800818,-441,1209,-1330,562,0
1981:Q3,813177,489525,62981,157282,269262,163074,152084,120527,5018,87283,18675,9553,31557,23944,319,7294,10990,7559,3431,-1890,75585,77475,162469,122633,58808,63825,39836,20544,19292,8174,23977,15804,821351,-440,3143,-3264,561,0
1981:Q4,822819,493612,59211,158926,275475,160849,154647,125939,5414,90604,19808,10114,28709,21947,308,6454,6202,4296,1906,-3688,76174,79861,172046,133397,61187,72210,38649,21217,17432,9407,24176,14768,832226,-440,863,-983,561,0
1982:Q1,815420,503539,61610,159964,281966,147080,152446,125021,5668,90415,18696,10242,27425,21260,260,5906,-5367,-6231,865,-4069,73301,77370,168871,134868,62228,72640,34002,21122,12880,8998,24581,15583,824418,-470,796,-883,557,0
