date,FA506006403.Q,FA504090005.Q,FA503020005.Q,FA503034005.Q,FA502051005.Q,FA504022005.Q,FA503069105.Q,FA503061123.Q,FA503063005.Q,FA503062003.Q,FA503069005.Q,FA503064105.Q,FA503094505.Q,FA503093023.Q,FA504194005.Q,FA504190005.Q,FA504122005.Q,FA503169105.Q,FA503163003.Q,FA504123005.Q,FA713068505.Q,FA503169005.Q,FA503192305.Q,FA503190005.Q,FA663070675.Q,FA503193005.Q,FA503181105.Q,FA503164105.Q,FA503192103.Q,FA503194305.Q,FA503194205.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,94,0,0,0,94,94,0,0,0,0,0,0,0,94,94,0,0,0,0,0,0,0,94,0,94,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,19,0,0,0,19,19,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,19,0,19,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,130,0,0,0,130,130,0,0,0,0,0,0,0,130,130,0,0,0,0,0,0,0,130,0,130,0,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,77,0,0,0,77,77,0,0,0,0,0,0,0,77,77,0,0,0,0,0,0,0,77,0,77,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,146,0,0,0,146,146,0,0,0,0,0,0,0,146,146,0,0,0,0,0,0,0,146,0,146,0,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,0,371,0,0,0,371,371,0,0,0,0,0,0,0,371,371,0,0,0,0,0,0,0,371,0,371,0,0,0,0,0
1952:Q1,0,808,0,0,0,808,808,0,0,0,0,0,0,0,808,808,0,0,0,0,0,0,0,808,0,808,0,0,0,0,0
1952:Q2,0,-444,0,0,0,-444,-444,0,0,0,0,0,0,0,-444,-444,0,0,0,0,0,0,0,-444,0,-444,0,0,0,0,0
1952:Q3,0,400,0,0,0,400,400,0,0,0,0,0,0,0,400,400,0,0,0,0,0,0,0,400,0,400,0,0,0,0,0
1952:Q4,0,212,0,0,0,212,212,0,0,0,0,0,0,0,212,212,0,0,0,0,0,0,0,212,0,212,0,0,0,0,0
1953:Q1,0,936,0,0,0,936,936,0,0,0,0,0,0,0,936,936,0,0,0,0,0,0,0,936,0,936,0,0,0,0,0
1953:Q2,0,-252,0,0,0,-252,-252,0,0,0,0,0,0,0,-252,-252,0,0,0,0,0,0,0,-252,0,-252,0,0,0,0,0
1953:Q3,0,468,0,0,0,468,468,0,0,0,0,0,0,0,468,468,0,0,0,0,0,0,0,468,0,468,0,0,0,0,0
1953:Q4,0,-80,0,0,0,-80,-80,0,0,0,0,0,0,0,-80,-80,0,0,0,0,0,0,0,-80,0,-80,0,0,0,0,0
1954:Q1,0,456,0,0,0,456,456,0,0,0,0,0,0,0,456,456,0,0,0,0,0,0,0,456,0,456,0,0,0,0,0
1954:Q2,0,-328,0,0,0,-328,-328,0,0,0,0,0,0,0,-328,-328,0,0,0,0,0,0,0,-328,0,-328,0,0,0,0,0
1954:Q3,0,-264,0,0,0,-264,-264,0,0,0,0,0,0,0,-264,-264,0,0,0,0,0,0,0,-264,0,-264,0,0,0,0,0
1954:Q4,0,-764,0,0,0,-764,-764,0,0,0,0,0,0,0,-764,-764,0,0,0,0,0,0,0,-764,0,-764,0,0,0,0,0
1955:Q1,0,1284,0,0,0,1284,1284,0,0,0,0,0,0,0,1284,1284,0,0,0,0,0,0,0,1284,0,1284,0,0,0,0,0
1955:Q2,0,616,0,0,0,616,616,0,0,0,0,0,0,0,616,616,0,0,0,0,0,0,0,616,0,616,0,0,0,0,0
1955:Q3,0,-120,0,0,0,-120,-120,0,0,0,0,0,0,0,-120,-120,0,0,0,0,0,0,0,-120,0,-120,0,0,0,0,0
1955:Q4,0,-596,0,0,0,-596,-596,0,0,0,0,0,0,0,-596,-596,0,0,0,0,0,0,0,-596,0,-596,0,0,0,0,0
1956:Q1,0,2256,0,0,0,2256,2256,0,0,0,0,0,0,0,2256,2256,0,0,0,0,0,0,0,2256,0,2256,0,0,0,0,0
1956:Q2,0,-480,0,0,0,-480,-480,0,0,0,0,0,0,0,-480,-480,0,0,0,0,0,0,0,-480,0,-480,0,0,0,0,0
1956:Q3,0,-668,0,0,0,-668,-668,0,0,0,0,0,0,0,-668,-668,0,0,0,0,0,0,0,-668,0,-668,0,0,0,0,0
1956:Q4,0,-776,0,0,0,-776,-776,0,0,0,0,0,0,0,-776,-776,0,0,0,0,0,0,0,-776,0,-776,0,0,0,0,0
1957:Q1,0,2004,0,0,0,2004,2004,0,0,0,0,0,0,0,2004,2004,0,0,0,0,0,0,0,2004,0,2004,0,0,0,0,0
1957:Q2,0,-668,0,0,0,-668,-668,0,0,0,0,0,0,0,-668,-668,0,0,0,0,0,0,0,-668,0,-668,0,0,0,0,0
1957:Q3,0,-192,0,0,0,-192,-192,0,0,0,0,0,0,0,-192,-192,0,0,0,0,0,0,0,-192,0,-192,0,0,0,0,0
1957:Q4,0,96,0,0,0,96,96,0,0,0,0,0,0,0,96,96,0,0,0,0,0,0,0,96,0,96,0,0,0,0,0
1958:Q1,0,1412,0,0,0,1412,1412,0,0,0,0,0,0,0,1412,1412,0,0,0,0,0,0,0,1412,0,1412,0,0,0,0,0
1958:Q2,0,628,0,0,0,628,628,0,0,0,0,0,0,0,628,628,0,0,0,0,0,0,0,628,0,628,0,0,0,0,0
1958:Q3,0,-452,0,0,0,-452,-452,0,0,0,0,0,0,0,-452,-452,0,0,0,0,0,0,0,-452,0,-452,0,0,0,0,0
1958:Q4,0,-1208,0,0,0,-1208,-1208,0,0,0,0,0,0,0,-1208,-1208,0,0,0,0,0,0,0,-1208,0,-1208,0,0,0,0,0
1959:Q1,0,928,0,0,0,928,928,0,0,0,0,0,0,0,928,928,0,0,0,0,0,0,0,928,0,928,0,0,0,0,0
1959:Q2,0,424,0,0,0,424,424,0,0,0,0,0,0,0,424,424,0,0,0,0,0,0,0,424,0,424,0,0,0,0,0
1959:Q3,0,280,0,0,0,280,280,0,0,0,0,0,0,0,280,280,0,0,0,0,0,0,0,280,0,280,0,0,0,0,0
1959:Q4,0,-2136,0,0,0,-2136,-2136,0,0,0,0,0,0,0,-2136,-2136,0,0,0,0,0,0,0,-2136,0,-2136,0,0,0,0,0
1960:Q1,0,5076,0,0,0,5076,5076,0,0,0,0,0,0,0,5076,5076,0,0,0,0,0,0,0,5076,0,5076,0,0,0,0,0
1960:Q2,0,712,0,0,0,712,712,0,0,0,0,0,0,0,712,712,0,0,0,0,0,0,0,712,0,712,0,0,0,0,0
1960:Q3,0,-344,0,0,0,-344,-344,0,0,0,0,0,0,0,-344,-344,0,0,0,0,0,0,0,-344,0,-344,0,0,0,0,0
1960:Q4,0,-1572,0,0,0,-1572,-1572,0,0,0,0,0,0,0,-1572,-1572,0,0,0,0,0,0,0,-1572,0,-1572,0,0,0,0,0
1961:Q1,0,2788,0,0,0,2788,2788,0,0,0,0,0,0,0,2788,2788,0,0,0,0,0,0,0,2788,0,2788,0,0,0,0,0
1961:Q2,0,-20,0,0,0,-20,-20,0,0,0,0,0,0,0,-20,-20,0,0,0,0,0,0,0,-20,0,-20,0,0,0,0,0
1961:Q3,0,-836,0,0,0,-836,-836,0,0,0,0,0,0,0,-836,-836,0,0,0,0,0,0,0,-836,0,-836,0,0,0,0,0
1961:Q4,0,-3392,0,0,0,-3392,-3392,0,0,0,0,0,0,0,-3392,-3392,0,0,0,0,0,0,0,-3392,0,-3392,0,0,0,0,0
1962:Q1,0,4680,0,0,0,4680,4680,0,0,0,0,0,0,0,4680,4680,0,0,0,0,0,0,0,4680,0,4680,0,0,0,0,0
1962:Q2,0,292,0,0,0,292,292,0,0,0,0,0,0,0,292,292,0,0,0,0,0,0,0,292,0,292,0,0,0,0,0
1962:Q3,0,148,0,0,0,148,148,0,0,0,0,0,0,0,148,148,0,0,0,0,0,0,0,148,0,148,0,0,0,0,0
1962:Q4,0,-1440,0,0,0,-1440,-1440,0,0,0,0,0,0,0,-1440,-1440,0,0,0,0,0,0,0,-1440,0,-1440,0,0,0,0,0
1963:Q1,0,4224,0,0,0,4224,4224,0,0,0,0,0,0,0,4224,4224,0,0,0,0,0,0,0,4224,0,4224,0,0,0,0,0
1963:Q2,0,2076,0,0,0,2076,2076,0,0,0,0,0,0,0,2076,2076,0,0,0,0,0,0,0,2076,0,2076,0,0,0,0,0
1963:Q3,0,480,0,0,0,480,480,0,0,0,0,0,0,0,480,480,0,0,0,0,0,0,0,480,0,480,0,0,0,0,0
1963:Q4,0,-1900,0,0,0,-1900,-1900,0,0,0,0,0,0,0,-1900,-1900,0,0,0,0,0,0,0,-1900,0,-1900,0,0,0,0,0
1964:Q1,0,2312,0,0,0,2312,2312,0,0,0,0,0,0,0,2312,2312,0,0,0,0,0,0,0,2312,0,2312,0,0,0,0,0
1964:Q2,0,3064,0,0,0,3064,3064,0,0,0,0,0,0,0,3064,3064,0,0,0,0,0,0,0,3064,0,3064,0,0,0,0,0
1964:Q3,0,-2960,0,0,0,-2960,-2960,0,0,0,0,0,0,0,-2960,-2960,0,0,0,0,0,0,0,-2960,0,-2960,0,0,0,0,0
1964:Q4,0,1392,0,0,0,1392,1392,0,0,0,0,0,0,0,1392,1392,0,0,0,0,0,0,0,1392,0,1392,0,0,0,0,0
1965:Q1,0,4928,0,0,0,4928,4928,0,0,0,0,0,0,0,4928,4928,0,0,0,0,0,0,0,4928,0,4928,0,0,0,0,0
1965:Q2,0,1640,0,0,0,1640,1640,0,0,0,0,0,0,0,1640,1640,0,0,0,0,0,0,0,1640,0,1640,0,0,0,0,0
1965:Q3,0,-2204,0,0,0,-2204,-2204,0,0,0,0,0,0,0,-2204,-2204,0,0,0,0,0,0,0,-2204,0,-2204,0,0,0,0,0
1965:Q4,0,-20,0,0,0,-20,-20,0,0,0,0,0,0,0,-20,-20,0,0,0,0,0,0,0,-20,0,-20,0,0,0,0,0
1966:Q1,0,2624,0,0,0,2624,2624,0,0,0,0,0,0,0,2624,2624,0,0,0,0,0,0,0,2624,0,2624,0,0,0,0,0
1966:Q2,0,92,0,0,0,92,92,0,0,0,0,0,0,0,92,92,0,0,0,0,0,0,0,92,0,92,0,0,0,0,0
1966:Q3,0,2736,0,0,0,2736,2736,0,0,0,0,0,0,0,2736,2736,0,0,0,0,0,0,0,2736,0,2736,0,0,0,0,0
1966:Q4,0,4632,0,0,0,4632,4632,0,0,0,0,0,0,0,4632,4632,0,0,0,0,0,0,0,4632,0,4632,0,0,0,0,0
1967:Q1,0,5632,0,0,0,5632,5632,0,0,0,0,0,0,0,5632,5632,0,0,0,0,0,0,0,5632,0,5632,0,0,0,0,0
1967:Q2,0,120,0,0,0,120,120,0,0,0,0,0,0,0,120,120,0,0,0,0,0,0,0,120,0,120,0,0,0,0,0
1967:Q3,0,-4216,0,0,0,-4216,-4216,0,0,0,0,0,0,0,-4216,-4216,0,0,0,0,0,0,0,-4216,0,-4216,0,0,0,0,0
1967:Q4,0,6048,0,0,0,6048,6048,0,0,0,0,0,0,0,6048,6048,0,0,0,0,0,0,0,6048,0,6048,0,0,0,0,0
1968:Q1,-26,3280,0,0,0,3280,3280,0,0,0,0,0,0,0,3306,3306,0,0,0,0,0,0,0,3306,0,3306,0,0,0,0,0
1968:Q2,-35,164,0,0,0,164,164,0,0,0,0,0,0,0,199,199,0,0,0,0,0,0,0,199,0,199,0,0,0,0,0
1968:Q3,-32,720,0,0,0,720,720,0,0,0,0,0,0,0,752,752,0,0,0,0,0,0,0,752,0,752,0,0,0,0,0
