1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q1,77476,40696,31883,4954,0,3939,1015,-56,77476,17548,24216,10714,16727,7349,922,10,266,256,5,0,5,61,49,1,0,0,0,160,43,332,28967,4732
1952:Q2,78792,41426,32216,5205,0,4134,1071,-56,78792,17974,24983,10636,16913,7351,935,10,270,260,5,0,5,62,50,1,0,0,0,162,44,336,29185,-1523
1952:Q3,76491,41831,29231,5485,0,4361,1124,-56,76491,17954,23206,9636,17479,7366,850,9,240,232,4,0,4,54,44,1,0,0,0,149,38,315,27735,5574
1952:Q4,80762,43319,31709,5790,0,4619,1171,-56,80762,18783,25112,10645,17773,7526,923,10,264,254,5,0,5,60,48,1,0,0,0,161,42,337,31741,5274
1953:Q1,84320,44463,33833,6046,0,4825,1221,-23,84320,19075,26381,11171,18746,7801,1146,13,424,405,8,1,10,68,46,2,1,0,0,101,56,435,33660,3890
1953:Q2,85696,44674,34749,6296,0,5020,1276,-23,85696,19209,26753,11415,19446,7712,1161,13,429,409,9,1,10,68,46,2,1,0,0,102,56,444,33500,3577
1953:Q3,86134,44389,35305,6462,0,5183,1279,-23,86134,18767,27420,11720,19018,8012,1197,13,442,422,9,1,10,72,48,2,1,0,0,105,58,456,33077,2331
1953:Q4,84380,44636,33168,6599,0,5321,1278,-23,84380,18580,27080,11606,17472,8457,1185,13,435,415,9,1,10,70,47,2,1,0,0,104,57,456,32222,-2006
1954:Q1,84096,45120,31940,6758,0,5447,1311,278,84096,18970,26721,10802,17470,8943,1190,11,406,387,8,1,10,75,54,3,1,0,0,115,54,471,31830,-1966
1954:Q2,84770,46248,31386,6858,0,5543,1315,278,84770,20096,26520,11027,16733,9210,1184,11,404,385,8,1,10,75,53,3,1,0,0,114,54,469,32542,-3378
1954:Q3,85795,47772,30768,6977,0,5614,1363,278,85795,21411,26816,11627,15241,9492,1208,11,413,393,9,1,10,77,55,3,1,0,0,118,56,474,32143,-2091
1954:Q4,86952,48967,30578,7129,0,5714,1415,278,86952,22609,26564,12077,14965,9532,1205,11,412,392,9,1,10,77,55,3,1,0,0,117,56,473,33913,-316
