1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q2,8613,8613,8613,0,0,0,0,0,0,0,0,0
1956:Q3,8506,8506,8506,0,0,0,0,0,0,0,0,0
1956:Q4,9046,9046,9046,0,0,0,0,0,0,0,0,0
1957:Q1,9106,9106,9106,0,0,0,0,0,0,0,0,0
1957:Q2,9687,9687,9687,0,0,0,0,0,0,0,0,0
1957:Q3,9001,9001,9001,0,0,0,0,0,0,0,0,0
1957:Q4,8714,8714,8714,0,0,0,0,0,0,0,0,0
1958:Q1,9463,9463,9463,0,0,0,0,0,0,0,0,0
1958:Q2,10610,10610,10610,0,0,0,0,0,0,0,0,0
1958:Q3,11791,11791,11791,0,0,0,0,0,0,0,0,0
1958:Q4,13242,13242,13242,0,0,0,0,0,0,0,0,0
1959:Q1,14132,14132,14132,0,0,0,0,0,0,0,0,0
1959:Q2,14973,14973,14973,0,0,0,0,0,0,0,0,0
1959:Q3,14747,14747,14747,0,0,0,0,0,0,0,0,0
1959:Q4,15818,15818,15818,0,0,0,0,0,0,0,0,0
1960:Q1,15312,15312,15312,0,0,0,0,0,0,0,0,0
1960:Q2,16097,16097,16097,0,0,0,0,0,0,0,0,0
1960:Q3,15640,15640,15640,0,0,0,0,0,0,0,0,0
1960:Q4,17026,17026,17026,0,0,0,0,0,0,0,0,0
1961:Q1,19440,19440,19440,0,0,0,0,0,0,0,0,0
1961:Q2,20003,20003,20003,0,0,0,0,0,0,0,0,0
1961:Q3,21007,21007,21007,0,0,0,0,0,0,0,0,0
1961:Q4,22875,22875,22875,0,0,0,0,0,0,0,0,0
1962:Q1,23048,23048,22981,31,0,0,0,0,4,32,0,0
1962:Q2,18436,18436,18257,82,0,0,0,0,11,86,0,0
1962:Q3,19088,19088,18796,134,0,0,0,0,18,140,0,0
1962:Q4,21271,21271,20909,168,0,0,0,0,22,172,0,0
1963:Q1,22549,22549,22156,187,0,0,0,0,22,184,0,0
1963:Q2,23693,23693,23306,193,0,0,0,0,17,177,0,0
1963:Q3,24496,24496,24118,195,0,0,0,0,14,169,0,0
1963:Q4,25215,25215,24819,203,0,0,0,0,17,176,0,0
1964:Q1,26881,26881,26433,214,0,0,0,0,33,201,0,0
1964:Q2,27682,27682,27156,225,0,0,0,0,60,241,0,0
1964:Q3,29131,29131,28523,238,0,0,0,0,87,283,0,0
1964:Q4,29116,29116,28447,253,0,0,0,0,104,312,0,0
1965:Q1,30465,30465,29751,270,0,0,0,0,113,331,0,0
1965:Q2,30037,30037,29291,289,0,0,0,0,116,341,0,0
1965:Q3,32825,32825,32050,309,0,0,0,0,117,349,0,0
1965:Q4,35220,35220,34410,330,0,0,0,0,120,360,0,0
1966:Q1,36173,36173,35326,351,0,0,0,0,124,372,0,0
1966:Q2,35429,35429,34547,370,0,0,0,0,128,384,0,0
