1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1382,0,0,0,0,0,0,442,442,442,0,0,0,0,0,0,0,940,731,209,0,0,0,1382,0,0,0,0,0,0,0,0,0,0,1382,731,731,0,651,0,209,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-940,-289,-651,940,0
1952:Q1,1490,0,0,0,0,0,0,456,456,456,0,0,0,0,0,0,0,1034,820,214,0,0,0,1490,0,0,0,0,0,0,0,0,0,0,1490,820,820,0,670,0,214,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1034,-364,-670,1034,0
1952:Q2,1551,0,0,0,0,0,0,472,472,472,0,0,0,0,0,0,0,1079,864,215,0,0,0,1551,0,0,0,0,0,0,0,0,0,0,1551,864,864,0,687,0,215,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1079,-392,-687,1079,0
1952:Q3,1619,0,0,0,0,0,0,516,516,516,0,0,0,0,0,0,0,1103,884,219,0,0,0,1619,0,0,0,0,0,0,0,0,0,0,1619,884,884,0,735,0,219,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1103,-368,-735,1103,0
1952:Q4,1520,0,0,0,0,0,0,516,516,516,0,0,0,0,0,0,0,1004,780,224,0,0,0,1520,0,0,0,0,0,0,0,0,0,0,1520,780,780,0,740,0,224,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1004,-264,-740,1004,0
1953:Q1,1672,0,0,0,0,0,0,448,448,448,0,0,0,0,0,0,0,1224,996,228,0,0,0,1672,0,0,0,0,0,0,0,0,0,0,1672,996,996,0,676,0,228,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1224,-548,-676,1224,0
1953:Q2,1716,0,0,0,0,0,0,664,664,664,0,0,0,0,0,0,0,1052,820,232,0,0,0,1716,0,0,0,0,0,0,0,0,0,0,1716,820,820,0,896,0,232,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1052,-156,-896,1052,0
1953:Q3,1673,0,0,0,0,0,0,560,560,560,0,0,0,0,0,0,0,1113,872,241,0,0,0,1673,0,0,0,0,0,0,0,0,0,0,1673,872,872,0,801,0,241,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1113,-312,-801,1113,0
1953:Q4,1771,0,0,0,0,0,0,568,568,568,0,0,0,0,0,0,0,1203,952,251,0,0,0,1771,0,0,0,0,0,0,0,0,0,0,1771,952,952,0,819,0,251,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1203,-384,-819,1203,0
1954:Q1,1787,0,0,0,0,0,0,592,592,592,0,0,0,0,0,0,0,1195,936,259,0,0,0,1787,0,0,0,0,0,0,0,0,0,0,1787,936,936,0,851,0,259,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1195,-344,-851,1195,0
1954:Q2,1710,0,0,0,0,0,0,568,568,568,0,0,0,0,0,0,0,1142,884,258,0,0,0,1710,0,0,0,0,0,0,0,0,0,0,1710,884,884,0,826,0,258,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1142,-316,-826,1142,0
1954:Q3,1735,0,0,0,0,0,0,592,592,592,0,0,0,0,0,0,0,1143,892,251,0,0,0,1735,0,0,0,0,0,0,0,0,0,0,1735,892,892,0,843,0,251,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1143,-300,-843,1143,0
1954:Q4,1760,0,0,0,0,0,0,588,588,588,0,0,0,0,0,0,0,1172,920,252,0,0,0,1760,0,0,0,0,0,0,0,0,0,0,1760,920,920,0,840,0,252,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1172,-332,-840,1172,0
1955:Q1,1924,0,0,0,0,0,0,680,680,672,0,0,8,0,0,0,0,1244,984,260,0,0,0,1924,8,0,0,0,8,0,8,0,0,0,1916,984,984,0,932,0,260,672,0,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,-8,0,-1236,-304,-932,1244,0
1955:Q2,1832,0,0,0,0,0,0,716,716,708,0,0,8,0,0,0,0,1116,848,268,0,0,0,1832,8,0,0,0,8,0,8,0,0,0,1824,848,848,0,976,0,268,708,0,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,-8,0,-1108,-132,-976,1116,0
1955:Q3,2000,0,0,0,0,0,0,756,756,748,0,0,8,0,0,0,0,1244,940,304,0,0,0,2000,8,0,0,0,8,0,8,0,0,0,1992,940,940,0,1052,0,304,748,0,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,-8,0,-1236,-184,-1052,1244,0
1955:Q4,2140,0,0,0,0,0,0,732,732,724,0,0,8,0,0,0,0,1408,1100,308,0,0,0,2140,8,0,0,0,8,0,8,0,0,0,2132,1100,1100,0,1032,0,308,724,0,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,-8,0,-1400,-368,-1032,1408,0
1956:Q1,2227,0,0,0,0,0,0,756,756,738,0,0,18,0,0,0,0,1471,1144,327,0,0,0,2227,18,0,0,0,18,0,18,0,0,0,2209,1144,1144,0,1065,0,327,738,0,0,0,0,0,0,0,0,-18,0,0,0,0,0,0,0,0,0,-18,0,-1453,-388,-1065,1471,0
1956:Q2,2511,0,0,0,0,0,0,788,788,770,0,0,18,0,0,0,0,1723,1388,335,0,0,0,2511,18,0,0,0,18,0,18,0,0,0,2493,1388,1388,0,1105,0,335,770,0,0,0,0,0,0,0,0,-18,0,0,0,0,0,0,0,0,0,-18,0,-1705,-600,-1105,1723,0
1956:Q3,2463,0,0,0,0,0,0,844,844,826,0,0,18,0,0,0,0,1619,1280,339,0,0,0,2463,18,0,0,0,18,0,18,0,0,0,2445,1280,1280,0,1165,0,339,826,0,0,0,0,0,0,0,0,-18,0,0,0,0,0,0,0,0,0,-18,0,-1601,-436,-1165,1619,0
1956:Q4,2451,0,0,0,0,0,0,848,848,830,0,0,18,0,0,0,0,1603,1260,343,0,0,0,2451,18,0,0,0,18,0,18,0,0,0,2433,1260,1260,0,1173,0,343,830,0,0,0,0,0,0,0,0,-18,0,0,0,0,0,0,0,0,0,-18,0,-1585,-412,-1173,1603,0
1957:Q1,2954,0,0,0,0,0,0,1304,1304,1280,0,0,24,0,0,0,0,1650,1300,350,0,0,0,2954,24,0,0,0,24,0,24,0,0,0,2930,1300,1300,0,1630,0,350,1280,0,0,0,0,0,0,0,0,-24,0,0,0,0,0,0,0,0,0,-24,0,-1626,4,-1630,1650,0
1957:Q2,3146,0,0,0,0,0,0,1236,1236,1212,0,0,24,0,0,0,0,1910,1556,354,0,0,0,3146,24,0,0,0,24,0,24,0,0,0,3122,1556,1556,0,1566,0,354,1212,0,0,0,0,0,0,0,0,-24,0,0,0,0,0,0,0,0,0,-24,0,-1886,-320,-1566,1910,0
1957:Q3,3200,0,0,0,0,0,0,1320,1320,1296,0,0,24,0,0,0,0,1880,1520,360,0,0,0,3200,24,0,0,0,24,0,24,0,0,0,3176,1520,1520,0,1656,0,360,1296,0,0,0,0,0,0,0,0,-24,0,0,0,0,0,0,0,0,0,-24,0,-1856,-200,-1656,1880,0
1957:Q4,3096,0,0,0,0,0,0,1388,1388,1364,0,0,24,0,0,0,0,1708,1344,364,0,0,0,3096,24,0,0,0,24,0,24,0,0,0,3072,1344,1344,0,1728,0,364,1364,0,0,0,0,0,0,0,0,-24,0,0,0,0,0,0,0,0,0,-24,0,-1684,44,-1728,1708,0
1958:Q1,3755,0,0,0,0,0,0,2004,2004,1975,0,0,29,0,0,0,0,1751,1384,367,0,0,0,3755,29,0,0,0,29,0,29,0,0,0,3726,1384,1384,0,2342,0,367,1975,0,0,0,0,0,0,0,0,-29,0,0,0,0,0,0,0,0,0,-29,0,-1722,620,-2342,1751,0
1958:Q2,3993,0,0,0,0,0,0,2300,2300,2271,0,0,29,0,0,0,0,1693,1324,369,0,0,0,3993,29,0,0,0,29,0,29,0,0,0,3964,1324,1324,0,2640,0,369,2271,0,0,0,0,0,0,0,0,-29,0,0,0,0,0,0,0,0,0,-29,0,-1664,976,-2640,1693,0
1958:Q3,3873,0,0,0,0,0,0,2220,2220,2191,0,0,29,0,0,0,0,1653,1284,369,0,0,0,3873,29,0,0,0,29,0,29,0,0,0,3844,1284,1284,0,2560,0,369,2191,0,0,0,0,0,0,0,0,-29,0,0,0,0,0,0,0,0,0,-29,0,-1624,936,-2560,1653,0
1958:Q4,4488,0,0,0,0,0,0,2804,2804,2775,0,0,29,0,0,0,0,1684,1324,360,0,0,0,4488,29,0,0,0,29,0,29,0,0,0,4459,1324,1324,0,3135,0,360,2775,0,0,0,0,0,0,0,0,-29,0,0,0,0,0,0,0,0,0,-29,0,-1655,1480,-3135,1684,0
1959:Q1,4895,0,0,0,0,0,0,3204,3204,3160,0,0,44,0,0,0,0,1691,1308,383,0,0,0,4895,44,0,0,0,44,0,44,0,0,0,4851,1308,1308,0,3543,0,383,3160,0,0,0,0,0,0,0,0,-44,0,0,0,0,0,0,0,0,0,-44,0,-1647,1896,-3543,1691,0
1959:Q2,4276,0,0,0,0,0,0,2544,2544,2504,0,0,40,0,0,0,0,1732,1340,392,0,0,0,4276,40,0,0,0,40,0,40,0,0,0,4236,1340,1340,0,2896,0,392,2504,0,0,0,0,0,0,0,0,-40,0,0,0,0,0,0,0,0,0,-40,0,-1692,1204,-2896,1732,0
1959:Q3,5618,0,0,0,0,0,0,3736,3736,3676,0,0,60,0,0,0,0,1882,1476,406,0,0,0,5618,60,0,0,0,60,0,60,0,0,0,5558,1476,1476,0,4082,0,406,3676,0,0,0,0,0,0,0,0,-60,0,0,0,0,0,0,0,0,0,-60,0,-1822,2260,-4082,1882,0
1959:Q4,4919,0,0,0,0,0,0,3004,3004,2952,0,0,52,0,0,0,0,1915,1492,423,0,0,0,4919,52,0,0,0,52,0,52,0,0,0,4867,1492,1492,0,3375,0,423,2952,0,0,0,0,0,0,0,0,-52,0,0,0,0,0,0,0,0,0,-52,0,-1863,1512,-3375,1915,0
1960:Q1,4414,0,0,0,0,0,0,2404,2404,2320,0,0,84,0,0,0,0,2010,1564,446,0,0,0,4414,84,0,0,0,84,0,84,0,0,0,4330,1564,1564,0,2766,0,446,2320,0,0,0,0,0,0,0,0,-84,0,0,0,0,0,0,0,0,0,-84,0,-1926,840,-2766,2010,0
1960:Q2,4963,0,0,0,0,0,0,2716,2716,2616,0,0,100,0,0,0,0,2247,1776,471,0,0,0,4963,100,0,0,0,100,0,100,0,0,0,4863,1776,1776,0,3087,0,471,2616,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,-100,0,-2147,940,-3087,2247,0
1960:Q3,4977,0,0,0,0,0,0,2832,2832,2736,0,0,96,0,0,0,0,2145,1648,497,0,0,0,4977,96,0,0,0,96,0,96,0,0,0,4881,1648,1648,0,3233,0,497,2736,0,0,0,0,0,0,0,0,-96,0,0,0,0,0,0,0,0,0,-96,0,-2049,1184,-3233,2145,0
1960:Q4,5078,0,0,0,0,0,0,2512,2512,2420,0,0,92,0,0,0,0,2566,2048,518,0,0,0,5078,92,0,0,0,92,0,92,0,0,0,4986,2048,2048,0,2938,0,518,2420,0,0,0,0,0,0,0,0,-92,0,0,0,0,0,0,0,0,0,-92,0,-2474,464,-2938,2566,0
1961:Q1,5611,0,0,0,0,0,0,3060,3060,2952,0,0,108,0,0,0,0,2551,1996,555,0,0,0,5611,108,0,0,0,108,0,108,0,0,0,5503,1996,1996,0,3507,0,555,2952,0,0,0,0,0,0,0,0,-108,0,0,0,0,0,0,0,0,0,-108,0,-2443,1064,-3507,2551,0
