1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1269076,430932,308963,1592,366,120011,333808,255779,31385,3103,43541,0,246418,224339,22079,120256,71927,39900,8429,123145,120319,2464,362,14517,31671,1390,30281,17154,3450,13704,1269076,148890,13.291556003845956,1280523,109080,9.311571226055618
1952:Q1,1284568,437115,311906,1634,365,123210,336414,257826,31889,3105,43594,0,252109,230035,22074,121852,71818,41423,8611,123133,120244,2530,359,13945,31253,363,30890,17308,3454,13854,1284568,15492,1.220717461562176,1298467,17944,1.4013312525144226
1952:Q2,1314530,448848,322754,1682,366,124046,338620,259928,32447,3127,43118,0,261187,239522,21665,124522,72879,42831,8812,126763,123834,2569,360,14590,32485,789,31696,17895,3539,14356,1314530,29962,2.3324967547062743,1321113,22646,1.744052114504798
1952:Q3,1326973,453488,324183,1697,369,127239,339349,262029,32455,3181,41683,0,259643,238436,21207,128163,74522,44610,9031,131654,128675,2615,364,14676,33187,1128,32059,18511,3434,15077,1326973,12443,0.9465480291686161,1333938,12825,0.9707677831630266
1952:Q4,1317788,463998,334895,1728,375,127000,336953,262603,32717,3221,38412,0,240287,219998,20289,130505,74903,46335,9267,130532,127514,2646,372,15513,34068,1459,32609,18555,3705,14850,1317788,-9184,-0.6921232032453462,1337837,3899,0.2923092246406063
1953:Q1,1322457,472950,340387,1787,380,130396,335907,262881,33093,3283,36650,0,232985,212772,20213,131999,74991,47504,9504,132428,129320,2736,372,16188,34664,1492,33172,18476,3569,14907,1322457,4669,0.3542975038834297,1348216,10378,0.7757588928198181
1953:Q2,1314796,481976,347238,1855,386,132497,335539,263388,33683,3327,35141,0,214515,194629,19886,135167,75940,49502,9725,131208,128084,2745,379,16391,35178,1399,33779,18787,3476,15311,1314796,-7662,-0.5793573219796255,1350448,2232,0.16556026446786992
1953:Q3,1322937,493036,357332,1926,390,133388,337198,265056,34340,3381,34421,0,205934,186346,19588,137984,76396,51643,9945,132081,128930,2765,386,16704,35908,1290,34618,19204,3430,15774,1322937,8141,0.6191999885825681,1365038,14590,1.0804182537596838
1953:Q4,1352004,493418,355919,1980,394,135125,337208,264204,34704,3430,34869,0,236357,217693,18664,138681,75199,53327,10155,129329,126136,2799,394,17011,36504,1329,35175,19493,3650,15843,1352004,29067,2.1971450229240292,1385827,20789,1.5229535591251684
1954:Q1,1380936,498301,357485,2045,399,138372,338553,264497,35126,3519,35411,0,258639,240638,18001,141316,75993,54945,10378,127510,124246,2862,402,16617,36996,1439,35557,20379,3996,16383,1380936,28932,2.1399542283565434,1408603,22776,1.6434771319276384
1954:Q2,1422465,501395,361814,2109,404,137068,339980,266070,35500,3536,34874,0,288388,271420,16968,143413,76909,55874,10630,132891,129473,3009,409,16398,37465,1554,35911,21067,4353,16714,1422465,41529,3.0072980244610172,1430294,21692,1.5399336227395577
1954:Q3,1474388,510860,371385,2121,410,136944,342882,269336,35028,3570,34948,0,325632,309726,15906,146512,77490,58112,10910,132736,129216,3103,417,15766,37742,1708,36034,21976,4804,17172,1474388,51923,3.650202914038064,1466532,36237,2.5335649042449537
1954:Q4,1497119,520894,379599,2160,417,138718,344490,271288,35044,3603,34554,0,331174,316947,14227,149640,78848,59577,11215,135098,131455,3217,426,15823,38592,1868,36724,22769,5254,17515,1497119,22731,1.5417200185260387,1483715,17183,1.1716970870266685
1955:Q1,1517452,527830,384467,2175,424,140764,347469,273937,35015,3738,34779,0,343249,328852,14397,148988,78043,59388,11557,133750,129959,3355,436,16166,38932,1934,36998,22766,5407,17359,1517452,20333,1.3581646576108153,1505469,21754,1.46617100399068
1955:Q2,1584345,540617,394908,2226,432,143051,350441,277898,35608,3762,33173,0,388841,375348,13493,151247,78387,60920,11940,136910,133011,3452,447,16289,39825,2168,37657,23536,5981,17555,1584345,66893,4.408257370436449,1540593,35124,2.3330794054926463
1955:Q3,1646098,555200,406169,2313,442,146276,355168,282691,36768,3811,31898,0,419966,407538,12428,154400,79616,62414,12370,145180,141083,3637,460,16184,40420,2333,38087,24236,6349,17887,1646098,61753,3.8976842455327247,1579921,39328,2.5527868726809366
1955:Q4,1679485,565453,414487,2412,455,148099,359453,287208,38014,3850,30381,0,429650,418012,11638,158331,80989,64477,12865,149966,145708,3782,476,16632,41138,2439,38699,24506,6575,17931,1679485,33387,2.028280341480774,1600329,20408,1.2917399755144876
1956:Q1,1744627,577329,424188,2484,466,150191,366100,292719,38709,3925,30746,0,466154,454852,11302,162463,82210,66840,13413,155887,151502,3894,491,16694,42233,2642,39591,25539,7074,18465,1744627,65141,3.878642893357359,1643431,43101,2.6932868293159578
1956:Q2,1755235,588163,433166,2555,479,151963,372303,297111,39219,3975,31998,0,449017,437813,11204,166570,85224,67331,14015,161690,157330,3855,505,17492,43237,2591,40646,25745,6899,18846,1755235,10609,0.6080810297957145,1653727,10297,0.6265278991204354
1956:Q3,1770809,599569,440946,2651,491,155481,376785,301342,40008,4047,31387,0,438268,427423,10845,171047,88394,67990,14663,167066,162663,3885,518,18074,44455,2565,41890,26381,6805,19576,1770809,15573,0.8872456562352795,1672225,18497,1.1185193213169036
1956:Q4,1832504,608073,445773,2726,502,159072,378823,302998,40430,4110,31285,0,482425,472483,9942,173094,89332,68423,15339,169923,165428,3966,529,20166,46467,2625,43842,26301,6961,19340,1832504,61695,3.484015832244879,1710248,38023,2.2737990818542073
1957:Q1,1827705,619052,453596,2824,516,162116,383077,306042,41296,4199,31540,0,454968,444212,10756,176327,90303,69960,16064,172510,167964,4006,540,21771,47562,2486,45076,25791,6621,19170,1827705,-4799,-0.2618931547002626,1723406,13158,0.7693893932079467
1957:Q2,1887678,630622,461358,2873,529,165862,387003,309179,41393,4259,32172,0,491561,482029,9532,178282,91922,69531,16829,177429,172835,4044,550,22781,49531,2645,46886,26750,7112,19638,1887678,59973,3.2813357046958127,1760601,37195,2.1582349549824906
1957:Q3,1852668,639377,468792,2952,542,167091,391538,312497,41908,4335,32797,0,438110,428395,9715,180377,92646,70120,17611,178942,174268,4112,562,24324,50246,2388,47858,25922,6484,19438,1852668,-35010,-1.8546556922939266,1758876,-1725,-0.09796506560492489
1957:Q4,1866778,643776,471674,3050,555,168497,393645,313203,42761,4392,33289,0,443465,433984,9481,182371,93488,70483,18400,178167,173403,4190,574,25354,51318,2233,49085,25964,6091,19873,1866778,14110,0.7616215857519154,1775598,16721,0.9506859536632616
1958:Q1,1900614,644343,468427,3092,571,172253,400102,316188,42745,4498,36671,0,471933,462948,8985,181511,92638,69686,19187,176829,172033,4208,588,25896,52351,2320,50031,26455,6328,20127,1900614,33836,1.8125157586184815,1808983,33385,1.8802323186044756
1958:Q2,1951543,650043,474349,3155,589,171950,404386,319557,43117,4534,37178,0,503414,495427,7987,184695,94940,69806,19949,182002,177144,4256,602,27003,53879,2514,51365,26876,6840,20036,1951543,50929,2.6796008727758576,1836280,27297,1.5089771054555963
1958:Q3,2034968,660430,484262,3205,608,172355,407857,321471,43334,4556,38496,0,564507,557659,6848,188347,96793,70863,20691,186861,181906,4337,618,26966,55061,2786,52275,28095,7537,20558,2034968,83426,4.27486641819935,1890475,54195,2.951337872254688
1958:Q4,2080979,670313,493819,3263,628,172603,409859,323570,43678,4596,38015,0,592835,587142,5693,191377,98262,71695,21420,189650,184507,4507,636,26945,56400,3095,53305,29455,8305,21150,2080979,46011,2.26100019358496,1920677,30202,1.597572072242783
1959:Q1,2107177,674223,493678,3341,648,176556,412379,325793,44147,4582,37857,0,607648,601973,5675,192905,98054,72723,22128,193362,188365,4343,654,26660,57028,3193,53835,30368,8475,21893,2107177,26198,1.2589111860229019,1941241,20564,1.0706901042030421
1959:Q2,2150888,686600,504127,3414,669,178390,415155,328913,44570,4699,36974,0,634952,630448,4504,194597,98094,73668,22835,193435,188288,4476,671,26149,58947,3451,55496,32798,9039,23759,2150888,43711,2.0744105193427216,1969016,27774,1.430754730502589
1959:Q3,2152027,697397,513598,3487,690,179622,417181,331778,44944,4826,35633,0,620748,616000,4748,196419,97963,74915,23541,194274,188977,4609,688,26008,59599,3452,56147,33591,8906,24685,2152027,1139,0.052938980659748155,1982091,13075,0.664030829174848
1959:Q4,2210502,706020,521544,3550,710,180216,419023,334803,45090,4964,34165,0,666600,662717,3883,198000,97949,75803,24248,195058,189640,4714,704,25801,60375,3689,56686,34574,9363,25211,2210502,58475,2.7171900794633377,2015682,33591,1.694726893695397
1960:Q1,2190553,720531,534527,3599,728,181677,423938,338815,45215,4971,34937,0,623283,619068,4215,198836,97774,76077,24985,197056,191501,4836,719,26909,61218,3544,57674,34309,8811,25498,2190553,-19949,-0.9024442741468849,2023910,8228,0.4081965643378968
1960:Q2,2221209,726936,539185,3672,747,183332,427152,342539,45554,4979,34080,0,640641,637933,2708,199934,97380,76805,25749,199274,193605,4932,737,27272,62507,3753,58754,35235,9081,26154,2221209,30656,1.3994413308798481,2041939,18030,0.890826317792965
1960:Q3,2187333,734741,545818,3726,766,184431,431469,346090,45617,5057,34705,0,587763,585314,2449,203793,99527,77741,26525,201940,196161,5024,755,27627,63098,3580,59518,35471,8460,27011,2187333,-33875,-1.5250751159126188,2037290,-4649,-0.2276853527550706
1960:Q4,2287251,737552,547589,3760,784,185419,434722,349081,45487,5154,35000,0,676962,676908,54,205213,99524,78386,27303,204261,198364,5123,774,28541,65461,3984,61477,36920,9302,27618,2287251,99918,4.568022129490803,2090654,53364,2.6193621176704402
1961:Q1,2378337,736009,545980,3809,807,185413,439308,353483,45387,5188,35250,0,761747,763510,-1763,205642,98067,79474,28101,207106,201094,5219,793,28525,67165,4479,62686,38640,10468,28172,2378337,91085,3.982312318511711,2141199,50545,2.417677455549214
1961:Q2,2400066,748133,556950,3863,830,186490,444438,359267,45356,5253,34561,0,759132,762077,-2945,208955,99984,80030,28941,209955,203833,5309,813,29453,68251,4440,63811,38798,10536,28262,2400066,21729,0.913611099118554,2163863,22664,1.0584791855724822
1961:Q3,2444991,759552,567010,3919,855,187768,451106,364646,45326,5366,35768,0,781327,785019,-3692,210211,99421,80980,29810,212866,206634,5398,834,29929,70358,4524,65834,40429,10900,29529,2444991,44925,1.8718417700838068,2200299,36436,1.683820068776637
1961:Q4,2521745,769614,576368,3989,882,188375,457533,370084,45398,5480,36571,0,831455,815329,16126,215738,103011,82023,30704,216712,210372,5485,855,30693,72101,4902,67199,41408,11808,29600,2521745,76754,3.139238131102373,2256313,56014,2.54575442446348
1962:Q1,2533572,779404,584759,4053,914,189678,464445,375806,45610,5497,37532,0,819926,804884,15042,217167,102849,82733,31585,220982,214531,5572,879,31648,73513,4878,68635,41865,11548,30317,2533572,11827,0.46898616923556113,2269365,13051,0.57844331301333
1962:Q2,2445891,786518,590011,4122,946,191439,470226,381404,45861,5561,37400,0,709509,708583,926,220163,103367,84311,32485,224959,218389,5670,900,34516,74099,3847,70252,39583,8793,30790,2445891,-87680,-3.460742059388211,2174416,-94948,-4.1839158505069856
1962:Q3,2489623,793692,594920,4191,979,193602,476877,386441,46106,5608,38721,0,729517,726835,2682,226508,106915,86188,33405,228072,221385,5764,923,34957,75385,4185,71200,40428,9267,31161,2489623,43731,1.7879456618025151,2213868,39451,1.8143389011883178
1962:Q4,2598972,803569,603604,4245,1011,194709,482177,391707,46183,5680,38607,0,816114,805611,10503,230254,107166,88720,34368,232036,225234,5856,946,34822,77078,4714,72364,42256,10336,31920,2598972,109349,4.392206623719884,2318799,104931,4.739726662477272
1963:Q1,2643871,813441,611427,4309,1046,196659,486142,395834,46457,5671,38180,0,841930,827849,14081,231591,107770,88355,35466,235436,228488,5976,972,35331,79175,4943,74232,43844,10950,32894,2643871,44899,1.7275589091066634,2353517,34718,1.4972448432453849
1963:Q2,2683074,817641,612853,4372,1085,199331,488806,398723,46720,5734,37628,0,865686,847746,17940,235401,109325,89375,36701,239581,232471,6110,1000,35959,81622,5053,76569,45663,11526,34137,2683074,39203,1.4827936716150198,2385835,32319,1.3732024988787193
1963:Q3,2725537,830885,623306,4448,1125,202006,490285,400428,47120,5831,36906,0,887603,865546,22057,237894,110580,89225,38089,243201,235928,6242,1031,35669,82575,5094,77481,46906,12031,34875,2725537,42463,1.582635084154235,2427610,41774,1.7509341538563423
1963:Q4,2726475,839163,628622,4529,1168,204844,495124,405397,47571,5958,36198,0,866739,847792,18947,240733,110868,90317,39548,247887,240427,6396,1064,36829,84233,5145,79088,47404,12485,34919,2726475,938,0.034407643427263164,2422267,-5343,-0.22010495954574086
1964:Q1,2770783,843874,630274,4611,1211,207778,497952,408364,48050,5981,35557,0,896245,874035,22210,243252,111754,90462,41036,251731,244095,6537,1099,37729,86018,5300,80718,48289,13137,35152,2770783,44308,1.6251024135547667,2469120,46853,1.9342677350608763
1964:Q2,2820835,860173,643749,4697,1252,210475,505963,416477,48571,6064,34851,0,913896,889698,24198,246569,112751,91351,42467,255856,248022,6701,1133,38378,87613,5332,82281,49235,13468,35767,2820835,50052,1.8064168201558521,2513487,44367,1.7968869737991384
1964:Q3,2861354,869241,649814,4785,1294,213348,511993,421549,49076,6134,35234,0,932802,906704,26098,248648,113404,91411,43833,260059,252043,6850,1166,38611,89549,5352,84197,50938,13766,37172,2861354,40519,1.436416056538479,2559843,46356,1.8442753363128908
1964:Q4,2911980,884104,662499,4873,1334,215398,521650,430762,49566,6186,35137,0,954188,931385,22803,250987,114031,91829,45127,264560,256340,7022,1198,36491,92885,5270,87615,56394,13835,42559,2911980,50627,1.7693260539312896,2603783,43940,1.7165299886472172
1965:Q1,2957809,895205,669614,4969,1375,219247,529006,436135,50330,6223,36318,0,971955,947167,24788,252627,114950,91258,46419,270415,261988,7196,1231,38601,95168,5180,89988,56567,13914,42653,2957809,45829,1.573798849001246,2648061,44277,1.700506258194701
1965:Q2,2965863,903703,675093,5055,1420,222135,536961,441753,50959,6303,37946,0,950554,929997,20557,257212,117309,92103,47800,276676,268039,7370,1267,40757,97094,4809,92285,56337,13279,43058,2965863,8054,0.2722836150577962,2645143,-2917,-0.11017137118864248
1965:Q3,3041196,912541,681036,5170,1468,224867,542737,446931,51828,6405,37573,0,1004186,978426,25760,258920,117390,92253,49277,282257,273441,7510,1306,40555,98686,5041,93645,58131,14296,43835,3041196,75333,2.5400030178951036,2722858,77714,2.9380021065047184
1965:Q4,3124586,930933,696286,5257,1522,227868,556908,458451,52385,6463,39609,0,1038523,1009176,29347,262979,119241,92859,50879,288266,279209,7708,1349,46977,106076,5048,101028,59099,14599,44500,3124586,83391,2.74203727000333,2802741,79884,2.9338135017719513
1966:Q1,3128338,935818,696079,5366,1573,232800,562680,461800,53220,6547,41113,0,1021347,995141,26206,265708,121006,92155,52547,294137,284831,7911,1395,48648,107344,4846,102498,58696,14027,44669,3128338,3752,0.12006441976706926,2809851,7110,0.2536695668189794
1966:Q2,3177086,971316,726016,5501,1626,238173,579295,476889,54300,6605,41501,0,998978,975855,23123,271969,124020,93720,54229,304504,294939,8123,1442,51024,109520,4592,104928,58496,12923,45573,3177086,48748,1.558283659887711,2842095,32244,1.1475336932297626
1966:Q3,3144510,979816,728570,5636,1681,243929,586275,481986,55402,6635,42252,0,940695,926784,13911,274959,125026,94023,55910,311015,301197,8329,1489,51750,110537,4122,106415,58787,11455,47332,3144510,-32576,-1.0253428111418077,2813406,-28689,-1.0094211947614486
1966:Q4,3243601,1005985,748935,5795,1738,249517,597837,493570,56839,6690,40738,0,992435,962199,30236,278893,125613,95719,57561,318657,308507,8612,1538,49794,111570,4324,107246,61776,12643,49133,3243601,99091,3.1512268353344135,2902033,88627,3.1501769673489757
1967:Q1,3347544,1013799,753320,5920,1795,252764,603393,498688,57692,6681,40332,0,1074463,1039901,34562,282490,127272,95981,59237,325588,315164,8834,1590,47811,113787,4875,108912,65976,16002,49974,3347544,103943,3.204569623095426,3008681,106647,3.6749212649988747
1967:Q2,3395412,1028915,762765,6047,1854,258249,612205,504858,58613,6748,41987,0,1089874,1059235,30639,287229,128610,97623,60996,331147,320464,9039,1644,46042,116280,4919,111361,70238,19156,51082,3395412,47868,1.4299328964793334,3049841,41160,1.3680454946469403
1967:Q3,3480985,1047817,774483,6175,1917,265242,619663,511907,59572,6856,41327,0,1137924,1095975,41949,293266,131189,99232,62845,340440,329493,9246,1701,41875,119266,5227,114039,77391,23588,53803,3480985,85573,2.5202506628754047,3136400,86559,2.83813526768537
1967:Q4,3557417,1074444,794221,6317,1984,271922,631468,522958,60640,7023,40847,0,1159509,1134305,25204,299817,134421,100595,64801,348773,337432,9579,1762,43406,125183,5238,119945,81777,25511,56266,3557417,76432,2.195695800800626,3203659,67260,2.1444907612204536
1968:Q1,3579509,1104944,817753,6435,2050,278706,645333,533782,61491,7150,42909,0,1118858,1083670,35188,303850,136560,100520,66770,360803,349134,9843,1826,45721,127631,4938,122693,81910,24631,57279,3579509,22092,0.6210061158068475,3226627,22968,0.7169155172302547
1968:Q2,3727938,1130409,836122,6573,2120,285594,657370,543214,62523,7189,44444,0,1219462,1160048,59414,307731,137316,101617,68798,368510,356570,10047,1893,44456,131056,5750,125306,86600,28212,58388,3727938,148429,4.146640674224591,3364963,138337,4.287345057133465
1968:Q3,3788155,1152240,849479,6714,2195,293852,666653,550910,63570,7229,44944,0,1239950,1163169,76781,312218,139252,102078,70888,373271,361050,10255,1966,43823,134328,6104,128224,90505,28883,61622,3788155,60217,1.6153017811440813,3426674,61711,1.8339129998376846
1968:Q4,3974924,1200814,889605,6876,2274,302059,685645,569262,64814,7321,44247,0,1335224,1280837,54387,319583,143061,103491,73031,386827,374222,10563,2042,46831,140390,6452,133938,93559,29517,64042,3974924,186768,4.930319962544578,3595301,168627,4.921008678604325
1969:Q1,3997778,1233241,914582,7036,2344,309279,699778,580618,65846,7435,45879,0,1292356,1247493,44863,325995,147116,103570,75309,399167,386225,10821,2121,47241,142994,6516,136478,95753,28598,67155,3997778,22854,0.5749629622114111,3613552,18251,0.5076486332903684
1969:Q2,4031125,1259294,932881,7208,2417,316788,713700,591179,66997,7507,48018,0,1263278,1228054,35224,334383,151092,105641,77650,413561,400278,11080,2203,46909,146313,6737,139576,99404,27895,71509,4031125,33347,0.8341479027059756,3621149,7596,0.21022041945515493
1969:Q3,4060906,1278066,945017,7409,2491,323149,721305,598403,68453,7644,46805,0,1249422,1207859,41563,337518,152266,105202,80050,423447,409791,11366,2290,51148,149206,6763,142443,98058,26633,71425,4060906,29781,0.7387668568658186,3642628,21479,0.5931628592179833
1969:Q4,4088665,1308558,968674,7605,2568,329711,734613,609003,69951,7756,47903,0,1213664,1176291,37373,343047,154673,105910,82464,437800,423629,11790,2381,50983,153848,6953,146895,102865,26761,76104,4088665,27759,0.6835741388021876,3659919,17291,0.4746768024109944
1970:Q1,4112904,1318182,973544,7805,2644,334189,744218,616240,71406,7892,48680,0,1196791,1157547,39244,350815,157962,107935,84918,450721,436136,12110,2475,52177,157279,6749,150530,105102,25996,79106,4112904,24239,0.5928325539748097,3688038,28119,0.7682941401537189
1970:Q2,4059499,1356658,1006440,7995,2718,339505,766804,637153,72830,7934,48887,0,1055314,1041201,14113,357923,161638,108995,87290,467485,452548,12366,2571,55315,158681,5713,152968,103366,21457,81909,4059499,-53405,-1.2984658664791968,3624511,-63526,-1.7225001784609097
1970:Q3,4186965,1362718,1005793,8169,2791,345965,766760,636222,74165,8027,48346,0,1158997,1132797,26200,363006,163853,109539,89614,482104,466812,12627,2665,53380,161196,6471,154725,107816,24473,83343,4186965,127466,3.139939242985533,3752202,127690,3.522970109307206
1970:Q4,4322289,1390677,1025204,8354,2862,354257,778637,648063,75670,8142,46762,0,1228694,1199553,29141,370168,168165,110089,91914,499335,483427,13153,2755,54778,166764,6573,160191,111986,27209,84777,4322289,135324,3.2320288664900727,3875205,123003,3.278149272218385
1971:Q1,4476079,1426998,1051931,8579,2936,363552,801868,666251,77246,8282,50089,0,1309315,1268701,40614,376441,172109,110247,94085,512508,496215,13450,2843,48949,167703,7287,160416,118754,30545,88209,4476079,153790,3.558063076707554,4038776,163572,4.220979812956465
1971:Q2,4550938,1460893,1078498,8773,3007,370615,822789,684246,78599,8289,51655,0,1311417,1277046,34371,382810,175912,110830,96068,525692,509091,13671,2930,47337,171144,7486,163658,123807,29701,94106,4550938,74859,1.6724237708039122,4112974,74198,1.8371482587931416
1971:Q3,4596917,1490696,1104238,8921,3077,374460,841996,702377,79561,8278,51780,0,1302245,1263510,38735,386440,178138,110421,97881,536012,519095,13897,3020,39528,173468,7218,166250,133940,29859,104081,4596917,45979,1.0103187516731373,4173119,60144,1.4623043147380488
1971:Q4,4718698,1517841,1127739,9063,3143,377896,861877,719630,80391,8216,53640,0,1356173,1316131,40042,391164,182422,109194,99548,550439,533184,14147,3108,41204,181277,7641,173636,140073,30811,109262,4718698,121781,2.649185454241504,4294012,120893,2.896945042740791
1972:Q1,4889874,1570853,1171254,9454,3215,386930,887505,742508,81837,8339,54821,0,1405223,1358788,46435,427956,185586,141140,101230,563003,545328,14478,3197,35334,181719,8779,172940,146385,33513,112872,4889874,171176,3.6276210032727088,4453057,159046,3.7038919041421736
1972:Q2,4947258,1600621,1192509,9833,3292,394987,910210,760609,83068,8363,58170,0,1406117,1364463,41654,423602,189852,130638,103112,571992,553914,14790,3288,34716,184601,9359,175242,149885,33803,116082,4947258,57384,1.1735287190320485,4518053,64996,1.4595881062630385
1972:Q3,5055868,1649560,1232534,10196,3371,403459,936094,783632,84114,8341,60007,0,1431882,1386754,45128,422638,197224,120269,105145,585570,567098,15089,3383,30124,187497,9616,177881,157373,35099,122274,5055868,108610,2.195356552256343,4643055,125002,2.766717444873297
1972:Q4,5294069,1714199,1290675,10558,3458,409508,969756,812021,85049,8279,64408,0,1537950,1494267,43683,424729,205043,112314,107372,602849,583972,15401,3476,44586,211377,10537,200840,166791,39059,127732,5294069,238201,4.711377894689598,4889374,246319,5.305097239063494
1973:Q1,5305858,1758656,1322715,11001,3553,421387,1008053,841725,87151,8350,70827,257,1454011,1439422,14589,435526,212751,112878,109897,623151,603741,15825,3585,26204,199426,12272,187154,173222,37594,135628,5305858,11789,0.22267645620439916,4914935,25561,0.5227819057413635
1973:Q2,5385916,1819083,1369699,11537,3668,434179,1053769,877440,89914,8383,78032,506,1386831,1390622,-3791,449561,219988,116757,112816,644475,624386,16373,3716,31691,204094,11887,192207,172403,34552,137851,5385916,80058,1.5088612628087468,4954719,39784,0.8094527128669929
1973:Q3,5601199,1891184,1430284,12057,3806,445037,1101652,918462,92524,8415,82251,735,1450458,1446316,4142,461862,226692,119085,116085,665558,644698,16989,3871,29750,206235,11711,194524,176485,37905,138580,5601199,215283,3.997154227205314,5137237,182519,3.6837359069583875
1973:Q4,5599548,1943148,1472632,12517,3967,454032,1137615,952736,94515,8450,81914,950,1304969,1316780,-11811,470809,232712,118385,119712,692557,670987,17517,4053,49500,220171,10026,210145,170671,33516,137155,5599548,-1651,-0.029481455829745883,5100633,-36604,-0.7125312589607188
1974:Q1,5654815,1944362,1462386,13193,4139,464644,1167152,981957,97208,8606,79380,1146,1281176,1298630,-17454,485180,239846,121799,123535,730555,707933,18379,4243,45244,222780,10625,212155,177536,34242,143294,5654815,55266,0.9869805159603168,5131419,30786,0.6035631878191448
1974:Q2,5712491,1962169,1461485,14046,4306,482332,1199801,1015814,101118,8743,74125,1343,1212831,1262822,-49991,498461,249739,121474,127248,784171,760378,19374,4419,53715,228750,9769,218981,175035,30543,144492,5712491,57676,1.0199485698863513,5114175,-17243,-0.3360330267696544
1974:Q3,5731003,2002021,1475406,15167,4466,506982,1253383,1056060,107044,8872,81407,1530,1051408,1108358,-56950,521515,263861,126891,130763,840910,815601,20729,4580,60236,235388,8388,227000,175152,24012,151140,5731003,18512,0.32407014158555025,5074055,-40121,-0.7844979951073673
