1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2008:Q2,79459,132,196,112,44,0,40,109104,-1192,-28781,79459
2008:Q3,79592,128,2204,1820,748,0,-364,71410,-3192,9042,79592
2008:Q4,78646,812,-8200,-2316,-2356,0,-3528,16119,5928,63987,78646
2009:Q1,79193,808,-2152,-424,-588,0,-1140,20299,-1004,61242,79193
2009:Q2,75365,812,-7140,-7492,620,0,-268,122821,-3968,-37159,75365
2009:Q3,75071,808,2972,5636,-1480,0,-1184,69626,-5396,7061,75071
2009:Q4,77463,-796,960,532,176,0,252,43307,-2468,36460,77463
2010:Q1,78605,-800,1104,524,212,0,368,20558,-748,58491,78605
2010:Q2,80903,-800,-10032,-8164,-580,0,-1288,201907,2680,-112851,80903
2010:Q3,81117,-796,-1088,-480,-744,0,136,85068,668,-2736,81117
2010:Q4,83019,-68,2312,976,296,0,1040,-38037,-3872,122684,83019
2011:Q1,84615,-68,688,304,92,0,292,41834,-2752,44913,84615
2011:Q2,86309,-68,-7880,-7512,-116,0,-252,-161400,-728,256384,86309
2011:Q3,85472,-68,-3148,-3164,-1332,0,1348,452780,-1700,-362392,85472
2011:Q4,90089,-68,820,304,112,0,404,-42978,-2164,134479,90089
2012:Q1,84642,-68,1656,756,228,0,672,43768,-4344,43630,84642
2012:Q2,84612,-64,-7596,-6152,-304,0,-1140,211885,-284,-119330,84612
2012:Q3,84333,-68,-2472,-1460,-940,296,-368,96985,-32,-10080,84333
2012:Q4,84841,60,460,180,40,4,236,-185686,-1280,271287,84841
2013:Q1,84980,64,1052,304,104,8,636,163890,-2808,-77219,84980
2013:Q2,85576,64,-4980,-5544,32,8,524,-159632,-1832,251956,85576
2013:Q3,84614,60,280,-28,-140,-20,468,-61690,-1776,147741,84614
2013:Q4,86426,364,38508,37688,140,12,668,418824,-2144,-369126,86426
2014:Q1,85043,364,-476,-104,-44,-8,-320,68890,-1596,17861,85043
2014:Q2,86494,360,-5404,-5476,32,0,40,210808,-1508,-117762,86494
2014:Q3,85294,364,-856,332,-888,-44,-256,67592,-916,19110,85294
2014:Q4,85329,-20,-668,-304,-56,-4,-304,-66514,-652,153183,85329
2015:Q1,82100,-24,-424,-140,-20,0,-264,-70887,-1640,155075,82100
2015:Q2,81579,-20,-4600,-5068,0,0,468,-57564,-1756,145519,81579
2015:Q3,79764,-20,456,-1332,192,-4,1600,-102209,-2260,183797,79764
2015:Q4,78621,-100,11476,10940,56,0,480,527904,-1680,-458979,78621
2016:Q1,77371,-100,-1008,-228,-56,-4,-720,71662,492,6325,77371
2016:Q2,75898,-96,-8444,-8044,-20,-4,-376,214852,-204,-130210,75898
2016:Q3,75533,-100,1556,100,840,88,528,60190,-2752,16639,75533
2016:Q4,74566,236,1084,340,68,12,664,-3700,-2252,79198,74566
2017:Q1,73729,240,408,124,48,4,232,-21924,-2924,97928,73729
2017:Q2,72564,236,-6116,-6192,28,0,48,-79421,-1972,159837,72564
2017:Q3,72341,240,-1440,-304,-96,-44,-996,470981,204,-397644,72341
2017:Q4,72070,-200,540,168,72,4,296,-89444,-2532,163706,72070
2018:Q1,71422,-204,228,-4,-28,0,260,182094,-1832,-108864,71422
2018:Q2,71274,-200,-4164,-4464,4,0,296,206637,-1132,-129867,71274
2018:Q3,70205,-200,-244,-876,732,-84,-16,102214,-656,-30909,70205
