1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q1,17549,15891,0,769,67,566,189,67,0,7825,7081,744,9724
1965:Q2,16793,15316,0,678,64,483,188,64,0,6529,5695,834,10264
1965:Q3,18036,16329,0,784,82,534,225,82,0,7586,6756,830,10450
1965:Q4,20080,18294,0,806,93,532,262,93,0,9731,8880,851,10349
1966:Q1,20262,18132,0,1062,101,636,230,101,0,8980,8088,892,11282
1966:Q2,17110,15594,0,624,84,537,187,84,0,5252,4335,917,11858
1966:Q3,18136,16562,0,613,92,566,211,92,0,5320,4484,836,12816
1966:Q4,19155,17414,0,731,95,592,228,95,0,6913,6057,856,12242
1967:Q1,18923,16730,0,897,174,803,186,133,0,5888,4998,890,13035
1967:Q2,12681,11296,0,558,101,481,136,109,0,-1656,-2588,932,14337
1967:Q3,13429,11866,0,639,100,512,167,145,0,5711,4825,886,7718
1967:Q4,14773,13225,0,647,97,481,172,151,0,7800,6819,981,6973
1968:Q1,19513,17667,0,660,127,643,215,201,0,10407,9303,1104,9106
1968:Q2,14582,13031,0,562,91,553,151,194,0,6460,5312,1148,8122
1968:Q3,14719,12930,0,664,115,629,156,225,0,6816,5720,1096,7903
1968:Q4,16038,14330,0,620,75,643,171,199,0,8632,7466,1166,7406
1969:Q1,17630,15517,0,774,107,806,217,209,0,10211,8970,1241,7419
1969:Q2,13886,12220,0,618,101,636,167,144,0,3697,2411,1286,10189
1969:Q3,14465,12507,0,738,144,723,190,163,0,4445,3254,1191,10020
1969:Q4,14522,12628,0,704,126,698,219,147,0,5369,4193,1176,9153
1970:Q1,15408,12846,0,1143,172,884,244,119,0,6342,5114,1228,9066
1970:Q2,12034,10054,0,857,125,686,204,108,0,268,-1003,1271,11766
1970:Q3,12519,10159,0,1044,157,785,239,135,0,2175,943,1232,10344
1970:Q4,12475,9996,0,1062,193,823,251,150,0,3321,2080,1241,9154
1971:Q1,14633,11698,0,1315,227,948,285,160,0,6570,5220,1350,8063
1971:Q2,13417,10799,311,860,260,815,252,120,0,2925,1137,1788,10492
1971:Q3,15348,12131,674,993,248,895,277,130,0,6238,4120,2118,9110
1971:Q4,16566,13086,1037,1080,150,796,277,140,0,7681,5194,2487,8885
1972:Q1,18458,14398,1400,1054,216,940,300,150,0,11425,8420,3005,7033
1972:Q2,16082,12257,1763,749,202,739,249,123,0,5427,1974,3453,10655
1972:Q3,18348,13824,2126,894,249,835,269,151,0,8459,4711,3748,9889
1972:Q4,20460,15521,2489,906,270,811,298,165,0,10510,6244,4266,9950
1973:Q1,23530,17634,2853,1242,296,993,332,180,0,14859,10116,4743,8671
1973:Q2,21365,15760,3222,918,264,786,271,144,0,8838,3610,5228,12527
1973:Q3,23799,17565,3599,1024,286,873,296,156,0,11289,5824,5465,12510
1973:Q4,25898,19305,3985,1027,283,847,298,153,0,14092,8202,5890,11806
1974:Q1,29869,22325,4419,1318,318,1024,325,140,0,17004,10595,6409,12865
1974:Q2,28597,21308,4836,1004,286,809,272,82,0,10985,3898,7087,17612
1974:Q3,33399,25444,5208,1194,307,885,293,68,0,14253,6768,7485,19146
1974:Q4,32754,24516,5545,1212,303,835,298,45,0,16035,8481,7554,16719
1975:Q1,31889,22901,5847,1431,330,990,329,61,0,16529,8729,7800,15360
