1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q3,593,593,550,32,0,0,0,0,3,8,0,0
1968:Q4,429,429,333,33,0,0,0,0,33,30,0,0
1969:Q1,1089,1089,889,56,0,0,0,0,77,67,0,0
1969:Q2,813,813,613,25,0,0,0,0,106,69,0,0
1969:Q3,911,911,787,-19,0,0,0,0,100,43,0,0
1969:Q4,518,518,377,-7,0,0,0,0,98,50,0,0
1970:Q1,471,471,377,-21,0,0,0,0,88,27,0,0
1970:Q2,464,464,-158,139,0,0,0,0,282,201,0,0
1970:Q3,547,547,690,-91,0,0,0,0,2,-54,0,0
1970:Q4,93,93,151,-49,0,0,0,0,-11,2,0,0
1971:Q1,152,152,349,-67,0,0,0,0,-104,-26,0,0
1971:Q2,-2,-2,-24,11,0,0,0,0,-71,82,0,0
1971:Q3,-317,-317,-368,25,0,0,0,0,-79,105,0,0
1971:Q4,284,284,373,-19,0,0,0,0,-105,35,0,0
1972:Q1,-124,-124,-74,-10,0,0,0,0,-90,50,0,0
1972:Q2,-555,-555,-584,15,0,0,0,0,-88,102,0,0
1972:Q3,-183,-183,-218,15,0,0,0,0,-78,98,0,0
1972:Q4,-599,-599,-534,-21,0,0,0,0,-54,10,0,0
1973:Q1,-372,-372,-756,98,0,0,0,0,42,244,0,0
1973:Q2,-248,-248,-622,86,0,0,0,0,81,207,0,0
1973:Q3,-118,-118,-20,-46,0,0,0,0,27,-79,0,0
1973:Q4,-390,-390,-823,97,0,0,0,0,98,238,0,0
1974:Q1,-106,-106,-363,53,0,0,0,0,70,134,0,0
1974:Q2,-24,-24,-399,86,0,0,0,0,102,187,0,0
1974:Q3,-51,-51,-969,218,0,0,0,0,199,501,0,0
1974:Q4,232,232,330,-47,0,0,0,0,-20,-31,0,0
1975:Q1,211,211,492,-96,0,0,0,0,-78,-107,0,0
1975:Q2,-130,-130,51,-77,0,0,0,0,-80,-24,0,0
1975:Q3,-237,-237,-991,126,0,0,0,0,59,569,0,0
1975:Q4,-202,-202,-223,-27,0,0,0,0,-42,90,0,0
1976:Q1,-812,-812,-771,-67,0,0,0,0,-64,90,0,0
1976:Q2,-965,-965,-898,10,0,0,0,0,-20,-57,0,0
1976:Q3,-698,-698,-926,34,0,0,0,0,1,193,0,0
1976:Q4,-47,-47,-309,-9,0,0,0,0,-11,282,0,0
1977:Q1,-723,-723,-931,43,0,0,0,0,43,122,0,0
1977:Q2,838,838,611,-93,0,0,0,0,-25,345,0,0
1977:Q3,569,569,784,-36,0,0,0,0,21,-200,0,0
1977:Q4,-22,-22,-48,-43,0,0,0,0,14,55,0,0
1978:Q1,305,305,263,-25,0,0,0,0,27,40,0,0
1978:Q2,-438,-438,-569,-108,0,0,0,0,-33,272,0,0
1978:Q3,-507,-507,52,-82,0,0,0,0,-23,-454,0,0
1978:Q4,-235,-235,16,39,0,0,0,0,61,-351,0,0
1979:Q1,-184,-184,-848,42,0,0,0,0,22,600,0,0
1979:Q2,68,68,-127,103,0,0,0,0,44,48,0,0
1979:Q3,-361,-361,-720,95,0,0,0,0,29,235,0,0
1979:Q4,-356,-356,-528,110,0,0,0,0,51,11,0,0
1980:Q1,-796,-796,-1859,216,0,0,0,0,131,506,210,0
1980:Q2,1094,1094,437,33,0,0,0,0,-21,831,-186,0
1980:Q3,973,973,428,-1,0,0,0,0,-31,368,209,0
1980:Q4,731,731,404,25,0,0,0,0,28,76,198,0
1981:Q1,767,767,902,65,0,0,0,0,98,-297,-1,0
1981:Q2,795,795,1099,-30,0,0,0,0,69,-401,58,0
1981:Q3,699,699,930,134,0,0,0,0,222,-915,328,0
1981:Q4,1196,1196,1561,87,0,0,0,0,142,-743,149,0
1982:Q1,1327,1327,600,356,0,0,0,0,377,-79,73,0
1982:Q2,1517,1517,-1,367,0,0,0,0,401,637,113,0
1982:Q3,2972,2972,1239,243,0,0,0,0,223,1080,187,0
1982:Q4,3672,3672,1649,147,0,0,0,0,14,1724,138,0
1983:Q1,6282,6282,6504,184,0,0,0,0,-65,-228,-113,0
1983:Q2,8186,8186,8395,35,0,0,0,0,-288,-32,76,0
1983:Q3,5395,5395,4116,409,0,0,0,0,-71,618,323,0
1983:Q4,5166,5166,3718,568,0,0,0,0,40,576,264,0
1984:Q1,6924,6924,5278,819,0,0,0,0,165,307,355,0
1984:Q2,4945,4945,4433,710,0,0,0,0,57,-183,-72,0
1984:Q3,7775,7775,6458,493,0,0,0,0,-11,703,132,0
1984:Q4,5483,5483,3246,825,0,0,0,0,239,911,262,0
1985:Q1,12564,12564,10533,1061,0,0,0,0,434,429,107,0
1985:Q2,19683,19683,17451,1177,0,0,0,0,559,409,87,0
1985:Q3,20175,20175,17524,1504,0,0,0,0,765,288,94,0
1985:Q4,29512,29512,28915,-75,0,0,0,0,-657,1240,89,0
1986:Q1,38702,38702,32990,908,0,0,0,0,2897,1214,693,0
1986:Q2,36113,36113,32632,1170,0,0,0,0,2503,477,-669,0
1986:Q3,32830,32830,30319,1059,0,0,0,0,1730,485,-763,0
1986:Q4,37995,37995,34153,620,0,0,0,0,3108,406,-292,0
1987:Q1,51141,51141,49351,-317,0,0,0,0,-1525,1373,2259,0
1987:Q2,12165,12165,11983,-1388,0,0,0,0,-924,906,1588,0
1987:Q3,2068,2068,1439,-537,0,0,0,0,-1056,718,1504,0
1987:Q4,-15677,-15677,-15161,-438,0,0,-48,0,1296,-399,-927,0
1988:Q1,1329,1329,3401,-1103,0,0,-118,0,178,-616,-413,0
1988:Q2,337,337,1124,-839,0,0,-79,0,766,-324,-311,0
1988:Q3,-5482,-5482,-4337,-431,55,0,-123,0,990,-593,-1043,0
1988:Q4,-2099,-2099,-2507,-361,38,0,-144,0,470,849,-444,0
1989:Q1,-981,-981,-759,-360,111,-10,-89,0,-573,977,-278,0
1989:Q2,6771,6771,7256,-360,273,-50,-143,0,-1396,1193,-2,0
1989:Q3,8609,8609,8586,-360,401,11,-43,0,-1280,1253,41,0
1989:Q4,14903,14903,13448,-360,585,-96,-21,0,-19,1687,-321,0
1990:Q1,11266,11266,7727,-247,761,-229,128,0,1479,1745,-98,0
1990:Q2,16324,16324,10824,-247,676,16,40,0,1779,2259,977,0
1990:Q3,3380,3380,-709,-247,1338,31,121,0,2541,1137,-832,0
1990:Q4,11884,11884,11909,-246,679,-89,-30,0,-2790,1721,730,0
1991:Q1,20351,20351,14922,602,299,584,183,0,-421,2583,1599,0
1991:Q2,28473,28473,21625,602,1166,170,284,0,843,2835,948,0
1991:Q3,36967,36967,25808,602,764,823,252,0,1058,3051,1830,2779
1991:Q4,44724,44724,33355,603,575,261,377,0,1883,3445,1462,2763
1992:Q1,50379,50379,31661,1259,1469,717,576,0,3028,7448,1245,2976
1992:Q2,50542,50542,32392,1259,1429,-467,524,0,3195,7917,1507,2786
1992:Q3,50055,50055,40194,1259,1118,363,230,0,2451,1357,397,2686
1992:Q4,51112,51112,36327,1259,584,-997,30,0,2854,6368,2146,2541
1993:Q1,67198,67198,48750,1701,1002,386,168,0,5110,6269,1509,2303
1993:Q2,68572,68572,45591,1701,1585,-375,214,0,6160,9700,1645,2351
1993:Q3,71852,71852,50185,1701,1051,384,-297,0,9068,7061,605,2094
1993:Q4,72541,72541,45599,1700,1479,138,-291,0,7726,11382,2143,2665
1994:Q1,51425,51425,21913,521,2712,-901,-463,85,6939,15240,1305,4074
1994:Q2,30122,30122,8768,521,2242,-658,-304,84,6205,8571,1344,3349
1994:Q3,29401,29401,12250,521,952,-294,-468,84,3733,8038,2775,1810
1994:Q4,3349,3349,-45852,521,2422,-29,-331,84,3349,24450,14885,3850
1995:Q1,23941,23941,-1891,1162,-147,118,-27,63,3070,15396,4028,2169
1995:Q2,33044,33044,4686,1162,-532,322,4,63,8047,15592,1402,2298
1995:Q3,49377,49377,19599,1162,-1917,133,-130,63,5718,19829,2260,2660
1995:Q4,62481,62481,31051,1162,-800,-257,-32,62,8156,17421,2634,3084
1996:Q1,88965,88965,60597,2182,-994,140,-68,68,9956,13197,171,3716
1996:Q2,76147,76147,44159,2182,1986,-152,-29,67,11144,13059,447,3284
1996:Q3,52227,52227,24799,2182,506,-85,-218,67,9516,12488,286,2686
1996:Q4,67748,67748,38212,2541,-2017,384,-293,67,8925,14212,2809,2908
1997:Q1,71438,71438,34348,432,-539,-274,170,109,10243,18763,4725,3461
1997:Q2,70888,70888,50398,432,-8391,590,-284,108,9755,11678,4716,1886
1997:Q3,92377,92377,66664,432,-6567,197,-176,108,12130,14289,2465,2835
1997:Q4,95749,95749,54757,432,-2725,-89,-89,108,10035,21055,7932,4333
1998:Q1,101270,101270,73580,3644,-6519,-1215,160,83,11969,11729,5425,2414
1998:Q2,96960,96960,49503,3644,2020,-71,351,83,14666,19153,3729,3882
1998:Q3,43905,43905,-10726,3644,-2407,1380,269,82,8537,27927,10346,4853
1998:Q4,59702,59702,45235,3644,-5392,516,100,82,7269,3811,4457,-20
1999:Q1,61562,61562,18601,2462,-1333,-468,42,15,8452,21030,10150,2611
1999:Q2,74466,74466,46674,2462,-2925,9,-117,15,10197,13470,2687,1994
1999:Q3,39720,39720,-13582,2462,1900,46,254,15,6185,29837,8872,3731
1999:Q4,64004,64004,58091,2462,-5783,1104,-2037,15,13946,1440,-4094,-1140
2000:Q1,108073,108073,71386,83,-1622,1553,89,116,21113,15244,-2743,2854
2000:Q2,72664,72664,15202,83,785,-188,-856,116,15189,31835,13066,-2568
2000:Q3,60921,60921,8306,83,-555,27,-85,117,11739,30995,13223,-2929
2000:Q4,53493,53493,-12959,83,2501,1258,153,117,9578,28866,27918,-4022
