1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,141104,91,43742,900,0,0,19587,90,18653,0,844,0,8497,26,8471,489,0,12078,139,0,48938,6643,699250,221002,40061,269,0,39792,63745,26748,7785,29212,548,41361,20537,54750,478248,147629,2112,328507
1952:Q1,140917,84,42407,900,0,0,18825,138,17862,0,825,0,7714,27,7687,503,0,12442,140,0,51136,6766,707365,222161,41201,328,0,40873,64031,26521,7782,29728,560,40056,18812,57501,485204,151463,2156,331585
1952:Q2,140817,102,43586,900,0,0,17555,432,16635,0,488,0,8456,28,8428,527,0,13002,142,0,49793,6754,718959,226636,42647,304,0,42343,64726,26432,8004,30290,575,38007,16610,64071,492323,157607,2211,332505
1952:Q3,146449,98,43932,900,0,0,18007,411,17018,0,578,0,8625,29,8596,538,0,13289,143,0,53946,6971,724234,232253,43816,346,0,43470,65875,26920,8156,30799,584,40725,17238,64015,491981,156907,2249,332825
1952:Q4,149501,75,44054,900,0,0,18655,195,17647,0,813,0,9751,30,9721,555,0,13706,144,0,53704,7957,706452,226869,44828,331,0,44497,67709,27923,8508,31278,596,42703,17381,53652,479583,146628,2294,330661
1953:Q1,148686,102,40918,900,0,0,19241,212,18164,0,865,0,8860,31,8829,570,0,14065,146,0,55719,8166,697366,222848,45627,370,0,45257,68479,27901,8848,31730,614,41877,16007,50244,474518,143052,2362,329104
1953:Q2,149263,74,42965,900,0,0,17581,194,16454,0,933,0,9337,32,9305,586,0,14472,146,0,54869,8333,679431,215496,46567,297,0,46270,69241,27704,9232,32305,620,42294,15201,41572,463935,133816,2382,327737
1953:Q3,153384,85,43080,900,0,0,19467,214,18232,0,1021,0,9249,32,9217,599,0,14825,149,0,56411,8620,676928,216523,47147,347,0,46800,70179,28130,9286,32763,637,43411,17399,37750,460405,129274,2447,328684
1953:Q4,153925,114,43767,900,0,0,20449,204,19240,0,1005,0,10139,32,10107,611,0,15124,151,0,53254,9417,708826,232023,48414,402,0,48012,69195,26851,9054,33290,651,42793,17986,52984,476803,144082,2506,330215
1954:Q1,150329,115,40982,950,0,0,19162,312,17887,0,963,0,8942,32,8910,623,0,15408,152,0,54376,9619,729520,240269,49314,525,0,48789,69655,26615,9294,33746,665,41506,14340,64789,489251,156255,2562,330434
1954:Q2,149741,128,42754,1000,0,0,16134,338,14874,0,922,0,9424,32,9392,639,0,15801,153,0,54050,9658,761141,255614,50208,484,0,49724,69851,26209,9212,34430,686,41904,11324,81641,505527,172550,2634,330343
1954:Q3,155579,150,44298,1050,0,0,17663,300,16366,0,997,0,9302,32,9270,648,0,16001,155,0,56508,9804,808187,281784,51583,584,0,50999,70468,26302,9142,35024,702,44076,13163,101793,526402,191985,2707,331710
1954:Q4,160755,158,45970,1100,0,0,18786,291,17523,0,972,0,10486,33,10453,663,0,16373,157,0,56580,10482,822192,290828,52078,531,0,51547,71680,26422,9446,35812,701,46562,14767,105041,531363,194840,2698,333825
1955:Q1,162099,147,44536,1075,0,0,19039,281,17543,150,1065,0,9335,36,9299,675,0,16656,159,0,59761,10716,838420,297719,52555,500,0,52055,72767,26770,9419,36578,720,46762,12936,111979,540701,202122,2776,335803
1955:Q2,164908,127,45547,1050,0,0,18399,352,16788,200,1059,0,10017,40,9977,693,0,17144,161,0,60859,10911,890697,325891,53159,380,0,52779,75533,28158,9711,37664,744,48801,12026,135628,564806,225533,2862,336411
1955:Q3,172422,123,46161,1025,0,0,20323,245,18619,250,1209,0,10090,44,10046,707,0,17493,165,0,65275,11061,935128,351627,53624,371,0,53253,77743,29479,9662,38602,762,53311,15248,150938,583501,240995,2931,339575
1955:Q4,179455,129,47206,1000,0,0,23017,217,21281,300,1219,0,11290,47,11243,728,0,17992,171,0,65916,12006,956920,365938,54926,362,0,54564,81128,31399,10008,39721,768,57031,18430,153654,590982,244222,2957,343803
1956:Q1,176228,95,44101,1000,0,0,20868,171,18878,325,1494,0,10136,49,10087,750,0,18536,176,0,68043,12523,997179,382186,55348,362,0,54986,83710,32877,10368,40465,792,56195,15133,171008,614993,262345,3042,349606
1956:Q2,176398,141,44957,1000,0,0,17675,325,15667,350,1333,0,10642,50,10592,775,0,19186,182,0,69280,12560,986514,376336,56235,289,0,55946,86656,34824,10402,41430,812,58172,12175,162286,610178,252704,3120,354354
1956:Q3,181603,119,45292,1000,0,0,17616,371,15575,375,1295,0,10708,51,10657,809,0,19990,189,0,73252,12628,985811,377852,57414,401,0,57013,88252,35896,10212,42144,828,60373,14259,156726,607959,246833,3189,357937
1956:Q4,187321,138,47085,1000,0,0,18765,305,16718,400,1342,0,11762,54,11708,846,0,20894,195,0,72860,13776,1038627,406186,58418,378,0,58040,90473,37026,10605,42842,843,62072,16754,177626,632441,268373,3242,360826
