date,FA893150005.Q,FA543150005.Q,FA574190005.Q,FA344090005.Q,FA224190005.Q,FA263150005.Q,FA893150005.Q,FA153050005.Q,FA543050005.Q,FA543151905.Q,FA893131573.Q,FA763131573.Q,FA473131573.Q,FA543131503.Q,FA633131573.Q,FA653131573.Q,FA153131575.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,6705,400,1380,4047,878,0,6705,6705,0,0,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,7057,500,1517,3946,1094,0,7057,7057,0,0,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q4,15876,1132,4796,7804,2144,0,15876,15876,0,0,ND,ND,ND,ND,ND,ND,ND
1953:Q1,16220,1120,5308,7608,2184,0,16220,16220,0,0,ND,ND,ND,ND,ND,ND,ND
1953:Q2,16436,1116,5492,7596,2232,0,16436,16436,0,0,ND,ND,ND,ND,ND,ND,ND
1953:Q3,16668,1120,5660,7608,2280,0,16668,16668,0,0,ND,ND,ND,ND,ND,ND,ND
1953:Q4,17040,1144,5828,7740,2328,0,17040,17040,0,0,ND,ND,ND,ND,ND,ND,ND
1954:Q1,16208,1152,4992,7672,2392,0,16208,16208,0,0,ND,ND,ND,ND,ND,ND,ND
1954:Q2,16044,1152,4760,7688,2444,0,16044,16044,0,0,ND,ND,ND,ND,ND,ND,ND
1954:Q3,15676,1176,4568,7436,2496,0,15676,15676,0,0,ND,ND,ND,ND,ND,ND,ND
1954:Q4,16100,1220,4436,7892,2552,0,16100,16100,0,0,ND,ND,ND,ND,ND,ND,ND
1955:Q1,16528,1288,4832,7800,2608,0,16528,16528,0,0,ND,ND,ND,ND,ND,ND,ND
1955:Q2,16920,1364,4960,7936,2660,0,16920,16920,0,0,ND,ND,ND,ND,ND,ND,ND
1955:Q3,17028,1364,5052,7896,2716,0,17028,17028,0,0,ND,ND,ND,ND,ND,ND,ND
1955:Q4,17236,1284,5048,8132,2772,0,17236,17236,0,0,ND,ND,ND,ND,ND,ND,ND
1956:Q1,18016,1196,5628,8336,2856,0,18016,18016,0,0,ND,ND,ND,ND,ND,ND,ND
1956:Q2,18236,1084,5872,8360,2920,0,18236,18236,0,0,ND,ND,ND,ND,ND,ND,ND
1956:Q3,18656,1120,6072,8480,2984,0,18656,18656,0,0,ND,ND,ND,ND,ND,ND,ND
1956:Q4,19348,1300,6328,8668,3052,0,19348,19348,0,0,ND,ND,ND,ND,ND,ND,ND
1957:Q1,21260,1472,7484,9168,3136,0,21260,21260,0,0,ND,ND,ND,ND,ND,ND,ND
1957:Q2,22028,1644,8096,9076,3212,0,22028,22028,0,0,ND,ND,ND,ND,ND,ND,ND
1957:Q3,23192,1684,8600,9624,3284,0,23192,23192,0,0,ND,ND,ND,ND,ND,ND,ND
1957:Q4,23972,1600,9100,9912,3360,0,23972,23972,0,0,ND,ND,ND,ND,ND,ND,ND
1958:Q1,21956,1500,7128,9860,3468,0,21956,21956,0,0,ND,ND,ND,ND,ND,ND,ND
1958:Q2,21044,1404,6792,9292,3556,0,21044,21044,0,0,ND,ND,ND,ND,ND,ND,ND
1958:Q3,22112,1452,6524,10492,3644,0,22112,22112,0,0,ND,ND,ND,ND,ND,ND,ND
1958:Q4,21776,1644,6308,10092,3732,0,21776,21776,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q1,23676,1872,7776,10248,3780,0,23676,23676,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q2,23844,2136,8364,9492,3852,0,23844,23844,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q3,26072,2108,8696,11348,3920,0,26072,26072,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q4,25300,1784,9220,10304,3992,0,25300,25300,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q1,23972,1484,7724,10664,4100,0,23972,23972,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q2,23780,1208,7444,10940,4188,0,23780,23780,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q3,23436,1136,7092,10932,4276,0,23436,23436,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q4,23500,1272,7064,10804,4360,0,23500,23500,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q1,23556,1364,6548,11116,4528,0,23556,23556,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q2,23860,1412,6440,11364,4644,0,23860,23860,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q3,23812,1424,6036,11588,4764,0,23812,23812,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q4,23736,1400,6032,11420,4884,0,23736,23736,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q1,24164,1364,5900,11896,5004,0,24164,24164,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q2,23712,1316,5144,12128,5124,0,23712,23712,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q3,23372,1352,4584,12192,5244,0,23372,23372,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q4,23992,1468,4772,12388,5364,0,23992,23992,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q1,25764,1564,6120,12596,5484,0,25764,25764,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q2,26736,1644,6584,12904,5604,0,26736,26736,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q3,27464,1716,7128,12896,5724,0,27464,27464,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q4,28452,1776,7732,13100,5844,0,28452,28452,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q1,30072,1856,8844,13408,5964,0,30072,30072,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q2,31072,1944,9516,13532,6080,0,31072,31072,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q3,32216,1992,10132,13892,6200,0,32216,32216,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q4,33044,2008,10848,13868,6320,0,33044,33044,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q1,35008,2348,11732,14364,6564,0,35008,35008,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q2,35316,2016,11912,14652,6736,0,35316,35316,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q3,36576,1908,12876,14888,6904,0,36576,36576,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q4,38168,2028,14232,14832,7076,0,38168,38168,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q1,40792,2084,16012,15492,7204,0,40792,40792,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q2,41588,2084,16288,15856,7360,0,41588,41588,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q3,42548,2100,16780,16156,7512,0,42548,42548,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q4,44188,2132,18004,16384,7668,0,44188,44188,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q1,44196,1264,18072,16872,7988,0,44196,44196,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q2,45536,1424,18632,17272,8208,0,45536,45536,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q3,47032,1496,19744,17360,8432,0,47032,47032,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q4,48056,1800,20080,17524,8652,0,48056,48056,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q1,50368,2236,20892,17868,9372,0,50368,50368,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q2,52236,2296,21788,18360,9792,0,52236,52236,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q3,53420,1532,23092,18580,10216,0,53420,53420,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q4,56720,3140,24164,18780,10636,0,56720,56720,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q1,59764,2668,26296,19824,10976,0,59764,59764,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q2,62088,3068,27632,20024,11364,0,62088,62088,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q3,65500,3116,29324,21308,11752,0,65500,65500,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q4,67104,3628,30644,20692,12140,0,67104,67104,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q1,57912,2612,18852,23788,12660,0,57912,57912,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q2,58900,2604,18484,24708,13104,0,58900,58900,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q3,60784,2876,18088,26280,13540,0,60784,60784,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q4,62412,3440,17964,27020,13988,0,62412,62412,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q1,63396,4200,16772,27492,14932,0,63396,63396,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q2,64920,4748,16760,27836,15576,0,64920,64920,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q3,66788,4900,16820,28848,16220,0,66788,66788,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q4,68188,4632,16980,29712,16864,0,68188,68188,0,0,ND,ND,ND,ND,ND,ND,ND
1972:Q1,74504,4332,22972,29464,17736,0,74504,74504,0,0,ND,ND,ND,ND,ND,ND,ND
1972:Q2,79060,3976,26960,29656,18468,0,79060,79060,0,0,ND,ND,ND,ND,ND,ND,ND
1972:Q3,82556,4220,28428,30704,19204,0,82556,82556,0,0,ND,ND,ND,ND,ND,ND,ND
1972:Q4,81640,5032,26116,30552,19940,0,81640,81640,0,0,ND,ND,ND,ND,ND,ND,ND
1973:Q1,80300,4916,24364,30652,20368,0,80300,80300,0,0,ND,ND,ND,ND,ND,ND,ND
1973:Q2,79216,5420,22040,30776,20980,0,79216,79216,0,0,ND,ND,ND,ND,ND,ND,ND
1973:Q3,81024,5996,21996,31436,21596,0,81024,81024,0,0,ND,ND,ND,ND,ND,ND,ND
1973:Q4,82864,6648,22428,31580,22208,0,82864,82864,0,0,ND,ND,ND,ND,ND,ND,ND
1974:Q1,84100,5264,24396,31620,22820,0,84100,84100,0,0,ND,ND,ND,ND,ND,ND,ND
1974:Q2,87120,6172,25620,31896,23432,0,87120,87120,0,0,ND,ND,ND,ND,ND,ND,ND
1974:Q3,91132,6436,28792,31856,24048,0,91132,91132,0,0,ND,ND,ND,ND,ND,ND,ND
1974:Q4,92476,6060,30052,31704,24660,0,92476,92476,0,0,ND,ND,ND,ND,ND,ND,ND
1975:Q1,94988,8336,28992,32168,25492,0,94988,94988,0,0,ND,ND,ND,ND,ND,ND,ND
1975:Q2,97824,7440,32244,31948,26192,0,97824,97824,0,0,ND,ND,ND,ND,ND,ND,ND
1975:Q3,101544,8224,34440,31988,26892,0,101544,101544,0,0,ND,ND,ND,ND,ND,ND,ND
1975:Q4,98692,10652,28764,31684,27592,0,98692,98692,0,0,ND,ND,ND,ND,ND,ND,ND
1976:Q1,101844,12880,27884,33436,27644,0,101844,101844,0,0,ND,ND,ND,ND,ND,ND,ND
1976:Q2,99564,15024,22828,33624,28088,0,99564,99564,0,0,ND,ND,ND,ND,ND,ND,ND
1976:Q3,109160,16024,31452,33156,28528,0,109160,109160,0,0,ND,ND,ND,ND,ND,ND,ND
1976:Q4,113764,15876,35120,33800,28968,0,113764,113764,0,0,ND,ND,ND,ND,ND,ND,ND
1977:Q1,119564,15512,39140,34680,30232,0,119564,119564,0,0,ND,ND,ND,ND,ND,ND,ND
1977:Q2,113088,16188,30064,35832,31004,0,113088,113088,0,0,ND,ND,ND,ND,ND,ND,ND
1977:Q3,123940,17280,38204,36684,31772,0,123940,123940,0,0,ND,ND,ND,ND,ND,ND,ND
1977:Q4,115624,18308,28364,36408,32544,0,115624,115624,0,0,ND,ND,ND,ND,ND,ND,ND
1978:Q1,131668,18396,40048,40128,33096,0,131668,131668,0,0,ND,ND,ND,ND,ND,ND,ND
1978:Q2,122676,19232,27896,41772,33776,0,122676,122676,0,0,ND,ND,ND,ND,ND,ND,ND
1978:Q3,132240,19552,35904,42324,34460,0,132240,132240,0,0,ND,ND,ND,ND,ND,ND,ND
1978:Q4,138112,19352,39528,44092,35140,0,138112,138112,0,0,ND,ND,ND,ND,ND,ND,ND
1979:Q1,135796,19124,37828,42624,36220,0,135796,135796,0,0,ND,ND,ND,ND,ND,ND,ND
1979:Q2,138480,18848,39224,43344,37064,0,138480,138480,0,0,ND,ND,ND,ND,ND,ND,ND
1979:Q3,138028,19248,36976,43900,37904,0,138028,138028,0,0,ND,ND,ND,ND,ND,ND,ND
1979:Q4,145080,20324,41480,44528,38748,0,145080,145080,0,0,ND,ND,ND,ND,ND,ND,ND
1980:Q1,183364,20980,78280,43620,40484,0,183364,183364,0,0,ND,ND,ND,ND,ND,ND,ND
1980:Q2,198228,21196,93892,43376,39764,0,198228,198228,0,0,ND,ND,ND,ND,ND,ND,ND
1980:Q3,218316,22460,109420,44228,42208,0,218316,218316,0,0,ND,ND,ND,ND,ND,ND,ND
1980:Q4,229836,24760,116644,45404,43028,0,229836,229836,0,0,ND,ND,ND,ND,ND,ND,ND
1981:Q1,193268,30740,73444,44756,44328,0,193268,193268,0,0,ND,ND,ND,ND,ND,ND,ND
1981:Q2,188020,24020,72640,45436,45924,0,188020,188020,0,0,ND,ND,ND,ND,ND,ND,ND
1981:Q3,196728,34848,67592,45928,48360,0,196728,196728,0,0,ND,ND,ND,ND,ND,ND,ND
1981:Q4,176620,28440,52916,46260,49004,0,176620,176620,0,0,ND,ND,ND,ND,ND,ND,ND
1982:Q1,189252,31520,61484,45852,50396,0,189252,189252,0,0,28868,17900,1300,2456,1292,1744,4176
1982:Q2,209836,38372,70756,48660,52048,0,209836,209836,0,0,28868,17900,1300,2456,1296,1744,4172
1982:Q3,234940,47604,83952,49548,53836,0,234940,234940,0,0,28868,17900,1300,2456,1296,1744,4172
1982:Q4,234524,41228,89908,48252,55136,0,234524,234524,0,0,28868,17900,1300,2456,1296,1744,4172
1983:Q1,242576,25084,113668,47932,55892,0,242576,242576,0,0,37292,23800,1600,3124,696,3800,4272
1983:Q2,278544,31400,136564,52332,58248,0,278544,278544,0,0,37292,23800,1600,3124,692,3800,4276
1983:Q3,261740,29608,121344,49952,60836,0,261740,261740,0,0,37292,23800,1600,3124,696,3800,4272
1983:Q4,292980,44556,132156,54068,62200,0,292980,292980,0,0,37292,23800,1600,3124,696,3800,4272
1984:Q1,210952,38112,54992,55784,62064,0,210952,210952,0,0,50700,16160,2500,3596,1988,4840,21616
1984:Q2,196616,40192,32676,62632,61116,0,196616,196616,0,0,50700,16160,2500,3596,1992,4840,21612
1984:Q3,239856,42284,76568,58312,62692,0,239856,239856,0,0,50700,16160,2500,3596,1988,4840,21616
1984:Q4,245588,75156,46244,60216,63972,0,245588,245588,0,0,50700,68496,2616,3596,1992,4840,-30840
1985:Q1,232148,35248,70504,61080,65316,0,232148,232148,0,0,72816,54068,-2016,7768,1392,11068,536
1985:Q2,262400,56408,79800,59716,66476,0,262400,262400,0,0,72816,42284,6276,7768,1392,11068,4028
1985:Q3,214244,49024,37236,60236,67748,0,214244,214244,0,0,72816,17228,4376,7768,1396,11068,30980
1985:Q4,295320,81828,83772,60752,68968,0,295320,295320,0,0,72816,15392,8236,7768,1392,11068,28960
1986:Q1,231040,23028,70360,65028,72624,0,231040,231040,0,0,81748,47812,5064,5612,1992,18980,2288
1986:Q2,232764,58368,39972,63344,71080,0,232764,232764,0,0,81748,38516,12616,5612,1992,18980,4032
1986:Q3,278848,81768,59984,64392,72704,0,278848,278848,0,0,81748,3108,2968,5612,1988,18980,49092
1986:Q4,330460,90344,101296,64808,74012,0,330460,330460,0,0,81748,14268,2968,5612,1992,18980,37928
1987:Q1,240824,24552,76236,62356,77680,0,240824,240824,0,0,73208,21584,3892,7884,4956,15852,19040
1987:Q2,228676,27700,61264,62732,76980,0,228676,228676,0,0,73208,28676,3888,7884,4960,15852,11948
1987:Q3,301136,37472,123356,62168,78140,0,301136,301136,0,0,73208,10532,1940,7884,4956,15852,32044
1987:Q4,294988,73684,79480,62560,79264,0,294988,294988,0,0,73208,19404,1936,7884,4960,15852,23172
1988:Q1,333864,91408,96884,64712,80860,0,333864,333864,0,0,55252,29888,2148,8028,4948,8040,2200
1988:Q2,300860,70436,82168,65108,83148,0,300860,300860,0,0,55252,28504,2144,8028,4952,8040,3584
1988:Q3,312484,66004,97420,65120,83940,0,312484,312484,0,0,55252,17392,820,8028,4948,8040,16024
1988:Q4,350272,91880,106952,65696,85744,0,350272,350272,0,0,55252,16628,820,8028,4952,8040,16784
1989:Q1,283668,48644,79280,66640,89104,0,283668,283668,0,0,56940,24380,1532,-1308,8948,10200,13188
1989:Q2,317654,80916,76940,68290,91508,0,317654,317654,0,0,56940,33936,1528,-1308,8952,10200,3632
1989:Q3,292951,48532,83672,67279,93468,0,292951,292951,0,0,56940,16984,2220,-1308,8952,10200,19892
1989:Q4,329935,74232,90352,69163,96188,0,329935,329935,0,0,56940,16304,2216,-1308,8948,10200,20580
1990:Q1,335992,80532,88832,68416,98212,0,335992,335992,0,0,96388,19448,4092,4360,13000,9716,45772
1990:Q2,349118,135124,45092,68542,100360,0,349118,349118,0,0,96388,26116,4088,4360,13000,9716,39108
1990:Q3,326206,46776,108108,68946,102376,0,326206,326206,0,0,96388,16976,2328,4360,13000,9716,50008
1990:Q4,324356,67952,80608,70820,104976,0,324356,324356,0,0,96388,13616,2328,4360,13000,9716,53368
1991:Q1,291506,15536,99440,70518,106012,0,291506,291506,0,0,95596,18212,5172,7080,0,25944,39188
1991:Q2,361986,56004,122384,71922,111676,0,361986,361986,0,0,95596,18560,5168,7080,0,25944,38844
1991:Q3,355534,54112,114616,72498,114308,0,355534,355534,0,0,95596,3736,2052,7080,0,25944,56784
1991:Q4,364409,51412,120848,74545,117604,0,364409,364409,0,0,95596,10748,2048,7080,0,25944,49776
1992:Q1,336404,33052,109092,73588,120672,0,336404,336404,0,0,82904,-10240,1216,4948,3000,37660,46320
1992:Q2,385851,69300,116808,74967,124776,0,385851,385851,0,0,82904,-6864,1216,4948,3000,37660,42944
1992:Q3,401085,82660,115644,74993,127788,0,401085,401085,0,0,82904,-12276,660,4948,3000,37660,48912
1992:Q4,387663,180220,-1168,76495,132116,0,387663,387663,0,0,82904,-5932,660,4948,3000,37660,42568
1993:Q1,475255,103156,169440,73235,129424,0,475255,475255,0,0,86692,-11304,-192,12560,6000,53768,25860
1993:Q2,416403,84380,129312,72227,130484,0,416403,416403,0,0,86692,-12676,-196,12560,6000,53768,27236
1993:Q3,395603,132144,66172,71643,125644,0,395603,395603,0,0,86692,-7712,-352,12560,6000,53768,22428
1993:Q4,340938,62196,73204,72382,133156,0,340938,340938,0,0,86692,-16184,-352,12560,6000,53768,30900
1994:Q1,427274,25252,194860,72358,134804,0,427274,427274,0,0,85552,-8144,-892,13164,13000,26036,42388
1994:Q2,404042,3500,193872,71030,135640,0,404042,404042,0,0,85552,-10312,-892,13164,13000,26036,44556
1994:Q3,364727,88320,62436,74443,139528,0,364727,364727,0,0,85552,-6632,804,13164,13000,26036,39180
1994:Q4,234025,-10280,30492,74073,139740,0,234025,234025,0,0,85552,-4496,800,13164,13000,26036,37048
1995:Q1,371392,119956,34028,75968,141440,0,371392,371392,0,0,122152,8604,1096,11188,15000,43344,42920
1995:Q2,377219,81912,84168,75803,135336,0,377219,377219,0,0,122152,11912,1092,11188,15000,43344,39616
1995:Q3,405286,54708,128668,76314,145596,0,405286,405286,0,0,122152,5008,1324,11188,15000,43344,46288
1995:Q4,369867,39864,105600,75759,148644,0,369867,369867,0,0,122152,-7360,1320,11188,15000,43344,58660
1996:Q1,366018,34240,104832,76506,150440,0,366018,366018,0,0,132752,136,1048,10340,13000,63884,44344
1996:Q2,340952,25856,85396,77588,152112,0,340952,340952,0,0,132752,-2092,1044,10340,13000,63884,46576
1996:Q3,340327,20852,92212,74619,152644,0,340327,340327,0,0,132752,-2808,668,10340,13000,63884,47668
1996:Q4,432343,114032,83460,76763,158088,0,432343,432343,0,0,132752,-7856,664,10340,13000,63884,52720
1997:Q1,381628,59448,59744,75296,187140,0,381628,381628,0,0,151768,-7016,1376,47532,-2000,84496,27380
1997:Q2,456836,98916,98696,75996,183228,0,456836,456836,0,0,151768,-1912,1376,47532,-2000,84496,22276
1997:Q3,423526,74412,97116,73846,178152,0,423526,423526,0,0,151768,7860,1376,47532,-2000,84496,12504
1997:Q4,391945,-13180,130548,76877,197700,0,391945,391945,0,0,151768,-22660,572,47532,-2000,84496,43828
1998:Q1,522505,71212,185312,76701,189280,0,522505,522505,0,0,191460,-6252,1200,24608,24000,85768,62136
1998:Q2,540447,116664,146352,81823,195608,0,540447,540447,0,0,191460,-15460,-2752,24608,24000,85768,75296
1998:Q3,512793,89380,137468,74533,211412,0,512793,512793,0,0,191460,6868,192,24608,24000,85768,50024
1998:Q4,427631,1524,148644,83643,193820,0,427631,427631,0,0,191460,-8100,2700,24608,24000,85768,62484
1999:Q1,318317,8376,23448,78649,207844,0,318317,318317,0,0,219664,-3136,1480,40804,18000,79948,82568
1999:Q2,373545,28308,59628,80801,204808,0,373545,373545,0,0,219664,-344,1484,40804,18000,79948,79772
1999:Q3,378440,-12152,83136,79772,227684,0,378440,378440,0,0,219664,-9072,1496,40804,18000,79948,88488
1999:Q4,462398,78696,120976,83498,179228,0,462398,462398,0,0,219664,-13236,-832,40804,18000,79948,94980
2000:Q1,423092,32260,153284,79544,157664,340,423092,421632,1452,8,228608,-9468,-328,19512,4000,68096,146796
2000:Q2,435672,97564,73572,76416,187780,340,435672,434224,1448,0,228608,17740,-736,19512,4000,68096,119996
2000:Q3,438043,106176,76892,80787,173848,340,438043,436587,1448,8,228608,16124,496,19512,4000,68096,120380
2000:Q4,495394,97036,111148,83642,203228,340,495394,493942,1452,0,228608,2132,2344,19512,4000,68096,132524
2001:Q1,477898,208172,-31812,85834,214676,1028,477898,473826,4060,12,169864,24804,1256,26564,16000,56656,44584
2001:Q2,430232,18260,150656,83820,176468,1028,430232,426156,4064,12,169864,-7504,6996,26564,16000,56656,71152
2001:Q3,655744,261432,87284,78492,227508,1028,655744,651676,4056,12,169864,-3792,6156,26564,16000,56656,68280
2001:Q4,359598,-102756,199128,90226,171976,1024,359598,355534,4056,8,169864,-8452,-1432,26564,16000,56656,80528
2002:Q1,543381,-58308,318244,92261,190132,1052,543381,539297,4076,8,174808,7240,3576,82000,11000,32984,38008
2002:Q2,440906,187972,-40132,76842,215172,1052,440906,436806,4084,16,174808,10416,2796,82000,11000,32984,35612
2002:Q3,500495,214732,-23636,85119,223236,1044,500495,496415,4072,8,174808,14248,2832,82000,11000,32984,31744
2002:Q4,520506,170436,82556,77366,189096,1052,520506,516422,4076,8,174808,-13072,4352,82800,11000,32984,56744
2003:Q1,734148,73908,315760,86604,256408,1468,734148,729604,4528,16,160368,12548,4932,5220,-12000,84712,64956
2003:Q2,475438,-21924,184220,89978,221700,1464,475438,470898,4524,16,160368,4992,6696,5220,-12000,84712,70748
2003:Q3,456957,16188,101344,91421,246536,1468,456957,452417,4528,12,160368,-2536,304,5220,-12000,84712,84668
2003:Q4,528657,17332,177948,99513,232400,1464,528657,524117,4524,16,160368,-8988,2008,5224,-12000,84712,89412
2004:Q1,604198,137636,135708,90702,237548,2604,604198,595222,8948,28,175904,1064,-332,-2200,-13000,86984,103388
