date,FU796902505.A,FU796330081.A,FU796902605.A,FU796025005.A,FU796020001.A,FU796401001.A,FU796240101.A,FU796402101.A,FU796140005.A,FU796402101.A,FU796150105.A,FU796130101.A,FU796121101.A,FU793092281.A,FU796150005.A,FU796130001.A,FU796120005.A,FU796121001.A,FU796122001.A,FU793192281.A,FU796112001.A,FU796140005.A,FU796220001.A,FU796403005.A,FU796012095.A,FU796012095.A,FU796006385.A,FU796012095.A,FU795440005.A,FU795015085.A,FU795013005.A,FU796330081.A,FU795000995.A,FU795000995.A,FU794090005.A,FU713011203.A,FU794000005.A,FU794022005.A,FU793069175.A,FU793061105.A,FU793061705.A,FU793062005.A,FU793063005.A,FU794035005.A,FU794041005.A,FU794042005.A,FU793081005.A,FU793064105.A,FU793064205.A,FU793034005.A,FU793092405.A,FU793092105.A,FU713164003.A,FU793094605.A,FU793052005.A,FU793096005.A,FU794194005.A,FU794100005.A,FU794122005.A,FU423161705.A,FU793163005.A,FU793169175.A,FU794135005.A,FU794141005.A,FU793192305.A,FU793181005.A,FU634090005.A,FU793164105.A,FU653164205.A,FU403192405.A,FU793192105.A,FU662090003.A,FU793194605.A,FU713164005.A,FU503194205.A,FU583152005.A,FU793196005.A,FU795000005.A,FV798090185.A,FV795013865.A,FV798090085.A,FU797005045.A,FR795013865.A,FR795013665.A,FR795013265.A,FR795013765.A,FR794090085.A,FR794022005.A,FR793092305.A,FR793064105.A,FR793064205.A,FR793092105.A,FR593052025.A,FR794190085.A,FR793192305.A,FR793164105.A,FR653164205.A,FR793192105.A,FR662090003.A,FR793194605.A,FR583152005.A,FR798200005.A,FC792090095.A,FL792000095.A,LM795013865.A,LM795013665.A,LM795013265.A,LM795013765.A,FL794090005.A,FL713011203.A,FL794000005.A,FL794022005.A,FL793069175.A,FL793061105.A,FL793061705.A,FL793062005.A,FL793063005.A,FL794035005.A,FL794041005.A,FL794042005.A,FL793081005.A,LM793064105.A,LM793064205.A,FL793034005.A,FL793092405.A,LM793092105.A,FL713164003.A,FL793094605.A,FL793052005.A,FL793096005.A,FL792100005.A,FL794194005.A,FL794100005.A,FL794122005.A,FL423161705.A,FL793163005.A,FL793169175.A,FL794135005.A,FL794141005.A,FL793192305.A,FL793181005.A,FL634090005.A,LM793164105.A,LM653164205.A,FL403192405.A,LM793192105.A,LM662090003.A,FL793194605.A,FL713164005.A,FL503194205.A,FL583152005.A,FL793196005.A,FL792090095.A
1989,340605,49994,290611,196363,166828,29535,21503,72745,48914,72745,1150750,1098684,48986,3080,1174580,1064643,109992,91333,18659,-55,0,48914,23214,10429,15268,15268,12074,15268,3194,40281,89558,49994,-28207,-28207,1026420,-1,68246,280964,63499,37268,77644,3556,98997,478515,198308,280206,30162,11676,841,-3821,208,10042,130,11086,116826,51709,984682,106438,221776,149492,40936,31348,101178,96971,4207,137165,91145,6556,29302,-595,331,-790,11086,130,0,383125,35000,41738,52548,-186,-17211,-69945,11252,9852,2098,-698,179345,11169,9,264029,14584,27292,-137738,225964,0,76407,58946,8252,0,0,82359,-35367,29255,15927860,536959,303905,207563,25491,15390901,11059,415032,4191618,550685,982107,971499,465306,1222021,6395330,3237138,3158191,1907208,1359944,109384,29018,13385,104573,2243,288661,1692339,778315,15927860,15444427,3904603,2170508,1242876,518544,409088,1066393,1052799,13594,1808799,430007,475602,591345,16335,-1182,5788,288661,2243,0,5608584,885540,483433
1990,345363,55143,290220,209429,176956,32473,23430,57361,44602,57361,1174075,1117313,52180,4582,1186834,1064147,122598,102471,20127,89,0,44602,23363,9436,11797,11797,11797,11797,0,33477,87860,55143,-21679,-21679,772719,-1,-26508,359962,30681,84577,150982,19749,73973,207158,24947,182211,58027,23810,10636,17289,-2281,-2670,180,11063,156379,17702,761001,66788,227824,167461,51770,8593,-48312,-47295,-1017,115696,71261,4443,42854,-2531,-10310,-1264,11063,180,0,399596,-592,11718,2288,1213,-32322,-33397,10073,7150,2848,74,-65230,-1859,-167,-82842,-2474,-18211,40323,-160413,0,-103327,-31146,-9443,0,0,-16497,105256,119341,16697365,581721,327267,224199,30255,16115644,11058,378476,4549789,581366,1066130,1122258,485061,1294974,6629660,3260773,3368887,1864708,1303912,117546,46307,11104,83692,2423,299724,1922989,758965,16697365,16094591,3971391,2401518,1413555,570282,417681,1018081,1005504,12577,1780454,501268,376718,603053,13679,-20935,4524,299724,2423,0,6032430,890716,602774
1991,361645,59173,302472,219212,184416,34796,24767,58494,64107,58494,1124742,1065798,54809,4135,1119129,992443,126765,107119,19646,-79,0,64107,29215,7854,27037,27037,25753,27037,1284,22174,80556,59173,3579,3579,895817,1,1491,443161,-50426,214460,114097,37991,127039,132802,6864,125938,101111,46660,24050,8951,-904,1413,229,20712,149126,68126,907565,24484,183247,145837,57251,-19841,22803,20465,2338,244045,41173,28769,130515,-705,22196,1156,20712,229,0,406272,26714,-11748,-26901,0,-11574,15327,-631,572,-81,-1121,263191,20527,-27,385694,32343,11003,-186349,405465,2,162893,117176,19375,0,0,106019,-142904,-144053,17908962,603264,338512,230155,34597,17305698,11059,378113,5009877,530940,1273966,1249984,526444,1428543,6761676,3263278,3498398,2394937,1736266,173939,55258,10200,96108,2652,320514,1922064,827972,17908962,17450241,3995875,2583609,1559392,626377,397840,1040886,1025969,14917,2324099,542441,568380,850744,12974,20714,5680,320514,2652,0,6584913,920858,458721
1992,402767,61104,341663,246247,206469,39778,25373,70043,84954,70043,1040698,975705,60793,4201,1025787,905313,120689,105000,15689,-215,0,84954,37485,3516,43951,43951,26591,43951,17360,20284,80591,61104,6307,6307,1142855,-3,-2133,473363,4037,148151,105392,64683,151100,268487,138196,130291,191831,87890,40889,6172,-98,2639,402,53937,158084,53226,1169640,4050,234210,156264,83529,-5583,136682,137671,-989,315219,3753,41039,202088,-172,13963,209,53937,402,0,416729,62751,-26785,-40193,-252,-6849,33092,4940,7670,-1420,-1310,103422,-529,74,139200,13050,1905,-50278,211782,203,129023,43510,-8499,0,0,47545,-103420,-117022,19345184,628236,355144,234365,38727,18716948,11056,372006,5489011,534977,1420582,1360099,593993,1579361,7028407,3399644,3628763,2778353,2000786,227878,61430,10102,100652,3054,374451,2183337,854778,19345184,19003485,3990959,2833397,1715656,716206,401535,1178771,1164640,14131,2794074,546194,738442,1096342,12802,16900,5889,374451,3054,0,7207336,998948,341699
1993,428908,64383,364526,259964,216681,43283,26451,78111,69792,78111,1030223,956534,66741,6948,1038542,900519,138171,118670,19501,-149,0,69792,47006,2478,20305,20305,18256,20305,2049,24797,88357,64383,-6540,-6540,1561596,-3,-13357,642851,-17173,116218,197575,104325,241907,356617,195463,161154,377434,222039,68705,14247,1348,21352,347,49396,111788,86266,1508141,65756,284528,165280,126270,-7022,201396,191853,9543,409779,19125,36581,280163,1645,21445,1077,49396,347,0,455916,90765,53454,63146,-98,3249,-59995,10327,12800,-2166,-308,248217,9119,-12,257459,27948,39113,-85410,341881,1,112642,128139,14689,0,0,86410,-83337,-1935,21197760,663261,374634,246241,42386,20534499,11053,359076,6147060,523883,1539122,1561147,696821,1826087,7394549,3590533,3804016,3480307,2480284,324531,75677,11450,161117,3401,423847,2210288,932166,21197760,20857996,4056715,3123294,1880937,842476,399881,1380169,1356494,23675,3453955,565319,887665,1504644,14447,47666,6966,423847,3401,0,7753746,1090118,339764
1994,445201,68449,376752,265856,220895,44961,27543,83354,64707,83354,1117850,1034859,76368,6623,1136497,978939,157366,138783,18583,192,0,64707,40315,-2207,26595,26595,14427,26595,12168,28513,96092,68449,-14086,-14086,1306549,-2,8138,219172,25741,-25315,133161,-8279,93864,483745,312490,171256,279504,153474,93723,-4871,1645,1215,282,34036,130308,185684,1321362,63426,455083,292154,128977,33952,45346,48277,-2931,193109,45686,-4865,114297,1826,2945,-1098,34036,282,0,446121,118277,-14813,-80851,-165,-79958,728,16038,17054,-545,-472,-114481,-63946,-2165,-13538,5776,-27127,-13481,-130935,-2307,-23646,-74621,-27266,0,0,-3095,32491,-33933,22486233,707646,399668,263243,44735,21778587,11051,369551,6310010,557347,1502556,1678392,671738,1899977,7876594,3903129,3973465,3724922,2620220,424030,70806,13095,135205,3683,457883,2337025,1149435,22486233,22180402,4120141,3586458,2173449,971453,441556,1423208,1404771,18437,3513808,611005,859154,1544320,16273,15622,5868,457883,3683,0,8208250,1328537,305831
1995,490855,73008,417847,279886,233583,46303,29389,108573,85643,108573,1303859,1208808,86470,8581,1326789,1138356,188290,159219,29071,143,0,85643,54126,7077,24435,24435,22505,24435,1930,26133,98199,73008,-3628,-3628,1786658,-1,51603,548371,36978,67172,191943,47213,205065,721719,519882,201837,231466,29109,103935,25210,2038,8333,283,62558,201512,31988,1747002,156368,427700,204289,180720,42691,241408,238326,3082,374942,142013,-1763,168843,1983,-112,1137,62558,283,0,437614,108970,39656,2416,-39,-40829,-43284,7218,9322,-2173,69,714756,59524,-851,847971,148987,13841,-354716,1076412,0,383346,345112,42277,0,0,305677,-354439,-329517,25049703,740958,416456,279024,45478,24308745,11050,417053,6905288,596946,1581327,1883922,729811,2113282,8613269,4439267,4174002,4967187,3497300,676952,96016,15133,157379,3966,520441,2214072,1180827,25049703,25073389,4276509,4017088,2377738,1152482,486868,1664615,1643096,21519,4657573,753018,1240737,2058275,18256,55875,7005,520441,3966,0,8983181,1474422,-23686
1996,547669,75729,471940,304074,257183,46891,30969,136898,85341,136898,1342292,1231691,102075,8526,1393849,1167614,225897,187987,37910,338,0,85341,58458,7024,19853,19853,19853,19853,0,34816,109515,75729,-14963,-14963,1887172,-2,59258,372478,56154,-73182,124954,42400,222153,677229,393598,283631,391748,153568,96158,31465,1407,13654,636,94860,210776,175685,1927362,184423,475273,231413,151632,92228,171210,169436,1774,516456,148789,-28109,285087,1450,12911,832,94860,636,0,425802,154198,-40190,-18570,0,6657,25227,1229,10613,-8419,-965,546695,-3802,0,695843,116270,20757,-282373,934945,1,426779,280632,19601,0,0,207932,-387021,-385738,27708662,777003,437925,293019,46059,26931659,11048,478282,7248099,653100,1476387,2008766,763593,2346253,9290842,4819862,4470980,6257791,4351697,949380,128481,16540,191790,4602,615301,2234408,1411189,27708662,28118086,4460700,4492361,2609151,1304114,579096,1835826,1812532,23294,5913066,901807,1651432,2623994,19706,88387,7837,615301,4602,0,9771864,1644268,-409424
1997,618993,79215,539777,333746,284022,49724,33170,172862,93845,172862,1455932,1332357,114076,9499,1534950,1280859,253227,210856,42371,864,0,93845,63403,-3395,33825,33825,33825,33825,0,38090,116143,79215,-4264,-4264,2416495,-1,46554,667677,144897,67675,141433,45292,268380,797983,504139,293844,338900,60636,128264,35849,1762,19658,831,91900,227238,338145,2372373,248371,497970,213654,117665,166651,323520,315013,8507,531220,157078,-51454,330452,1762,-2423,3074,91900,831,0,486966,284326,44122,41502,0,-6885,-48386,5278,19444,-13362,-804,969737,49712,-1,1082705,225795,16497,-404972,1668124,-222,754950,454869,69238,0,0,389289,-693110,-617783,31125215,820370,471566,301631,47173,30304845,11047,530484,7969750,790342,1516716,2171965,834448,2656280,10088304,5323481,4764823,7926022,5490289,1312522,164330,18302,227945,5433,707201,2048519,1730719,31125215,32152422,4709071,4970223,2822805,1401677,745741,2160325,2128746,31579,7743028,1058885,2354928,3409315,21468,174887,10911,707201,5433,0,10641182,1928594,-1027207
1998,694959,85036,609923,375328,319715,55613,33615,200980,94046,200980,1560271,1430355,122114,7802,1667204,1395785,271230,225441,45789,189,0,94046,63137,19327,11574,11574,11574,11574,0,56276,139942,85036,-44702,-44702,2732412,-1,65688,862379,140862,-61841,333055,88252,362052,934205,442612,491593,404631,111010,130838,27196,3988,9852,519,121228,246959,218551,2730608,266710,873223,471589,240651,160983,146080,141732,4348,735358,292793,-15076,301837,4053,29658,346,121228,519,0,559681,149555,1804,143425,0,96918,-46506,6939,21864,-14443,-482,903286,26843,-4,1000866,185355,44475,-354249,1069100,2,215611,462379,74708,0,0,316400,-158875,-3877,34948632,883585,505625,324372,53588,34065047,11046,598134,8858972,931204,1456689,2502344,925894,3042841,11022459,5766047,5256412,9561349,6602165,1628715,191526,22290,282272,5952,828429,2035859,1977228,34948632,35979716,4975781,5843446,3294394,1642328,906724,2306407,2270478,35929,9231084,1351678,2555463,4173531,25521,279253,11257,828429,5952,0,11614146,2008852,-1031084
1999,731349,95257,636092,399180,341678,57502,35811,201102,104135,201102,1652864,1513270,129135,10459,1749831,1453932,295107,238137,56970,792,0,104135,60922,9134,34053,34053,32325,34053,1728,60182,153811,95257,-27857,-27857,2896787,2,68260,941987,209745,-49763,409935,37723,334347,1193415,598904,594511,324102,28778,121065,50978,6070,18597,480,98134,260931,108091,2953712,347834,922392,593347,152822,176223,249445,238482,10963,695548,261468,-7595,239752,6062,94730,2517,98134,480,0,440547,297946,-56925,-77024,-44,-47912,29069,10746,20254,-9803,294,1243050,-165948,-93,1448737,409454,6502,-455603,1390694,1,34023,819911,54600,0,0,482159,-136899,-181598,39517033,954468,537117,353039,64312,38562565,11048,664814,9649512,1140949,1395579,2894287,921821,3296876,12217286,6364982,5852304,11753263,8082695,2159338,242504,28360,307371,6432,926563,2135011,2131631,39517033,40729715,5323615,6768138,3887741,1797450,1082947,2556353,2509460,46893,10838566,1613146,2585291,5233194,31583,428583,13774,926563,6432,0,12856230,2386814,-1212682
2000,812577,106474,706103,440636,378780,61856,36796,228671,105322,228671,1922919,1779653,129902,13363,2046268,1722963,323440,262227,61213,-136,0,105322,68363,27865,9080,9080,9080,9080,0,52240,156835,106474,-43160,-43160,2999155,-2,14278,425799,176271,-32428,214672,-1411,68695,1080145,522478,557666,767172,375472,218440,27461,2177,22464,565,120593,243294,468469,3040354,224126,717158,434877,150555,131726,405983,400238,5745,742586,232102,25039,295151,2229,66072,835,120593,565,0,505541,444961,-41199,-18036,0,-19997,-1961,12353,18318,-6340,374,-552148,64648,2,-621754,-114837,-34557,154350,-268056,0,418899,-408959,-100081,0,0,-177915,-271739,-280695,42068611,1019061,566307,376778,75976,41049550,11046,697094,10178946,1317220,1374425,3126381,952063,3408857,13322604,6912632,6409972,11749287,7836413,2262941,269965,30537,295278,6997,1047156,2580363,2510211,42068611,43561989,5547740,7486340,4319662,1952005,1214673,2971336,2918698,52638,11491011,1845248,3029229,5119386,33812,394574,14609,1047156,6997,0,13237465,2828096,-1493378
2001,823921,112757,711164,445265,374725,70540,34693,231207,163046,231207,1881669,1742644,127966,11059,1949830,1652030,302963,244608,58355,-5163,0,163046,63937,30623,68479,68479,60742,68479,7737,40699,151401,112757,20043,20043,3453029,-1,182645,987623,-86123,63074,613369,74435,322868,1008925,333643,675282,661226,405916,106709,54596,2752,16957,376,73920,272964,339648,3407205,468116,859538,642687,221409,-4558,283896,276187,7709,761500,440062,29753,191495,3276,17995,4623,73920,376,0,635771,398384,45823,134685,-3769,112673,-25781,2644,17588,-12359,-2585,-1150788,36507,-470,-1020575,-350608,-58266,242624,-1315997,0,-187505,-621278,-72552,0,0,-434662,167852,363279,44620246,1058635,593573,382764,82298,43561611,11045,878287,11140417,1162431,1424808,3799748,1022944,3730486,14331821,7247037,7084784,10974578,7221327,2021055,324561,33289,253969,7373,1113004,3226701,2998761,44620246,45750344,6047354,8401762,4962349,2289621,1149792,3255232,3194885,60347,11324788,2285310,2833161,4689603,37088,340017,19232,1113004,7373,0,13567416,3153792,-1130098
2002,822451,115314,707136,443298,370684,72614,37369,226469,193992,226469,1625183,1480800,130593,13790,1657661,1347666,309456,255317,54139,539,0,193992,69598,10583,113810,113810,113810,113810,0,29075,144387,115314,84735,84735,2648646,-6,25673,728146,-136846,162404,512583,57672,132333,1100958,189561,911397,430038,173896,124813,7629,1898,17570,1007,103225,293679,70158,2620353,382312,857178,546652,391462,-80936,221375,226188,-4813,340890,-20235,58114,182995,1992,14429,-637,103225,1007,0,627944,190654,28293,54398,0,110840,56442,4209,16409,-9236,-2965,-1151657,180936,-4,-1397876,-269601,-28165,363053,-1585573,-1281,-336733,-754516,-99126,0,0,-393917,438124,606332,46117530,1091918,612107,393019,86792,45025612,11039,906027,12049499,1023593,1604589,4347671,1111134,3962512,15403777,7407600,7996177,9645327,5953700,1856267,332190,35187,243374,8380,1216229,3883246,3126697,46117530,46641296,6429665,9258940,5509001,2681083,1068856,3475327,3421074,54253,10471656,2265075,2550895,4118082,39080,255320,18595,1216229,8380,0,13800508,3205200,-523766
2003,855063,120243,734820,459762,390160,69602,39563,235495,202383,235495,1560192,1397855,142209,20128,1593305,1269714,320314,270282,50032,3277,0,202383,87271,-10203,125312,125312,125312,125312,0,23013,143257,120243,102299,102299,3635423,0,-15465,1167249,-101029,58698,512708,99409,597464,1167363,186028,981335,197252,46771,80759,-38347,2515,22740,467,82347,494646,624377,3473981,435897,1039020,586245,497598,-44823,293507,296147,-2640,238936,-225054,68246,282752,3203,26494,481,82347,467,0,771703,694918,161442,19900,0,-39243,-59143,4130,14736,-7573,-3032,1755898,19516,642,1897788,422514,105204,-689766,2331523,-154,702452,961263,70892,0,0,597070,-571495,-426283,51304378,1119061,627289,401483,90289,50185317,11039,893231,13072965,920103,1573698,4672911,1221591,4684662,16604061,7614131,8989930,12268085,7898259,2359540,293843,37702,371318,8847,1298576,3647210,3688727,51304378,52254427,6865562,10173237,5944522,3112682,1116033,3768680,3717221,51459,12445199,2040021,3321593,5362097,42283,352706,19076,1298576,8847,0,15130368,3871381,-950049
2004,886636,127299,759337,497689,422462,75227,43911,217737,222849,217737,1796030,1588298,179433,28299,1790919,1404125,377178,329897,47281,9616,0,222849,99278,-6943,130514,130514,114332,130514,16182,37193,164492,127299,77139,77139,4274448,2,83719,490819,81094,-9584,-183117,57717,544709,1939399,701658,1237741,793240,380266,139629,-34254,2390,39328,3067,262814,224691,742580,4132381,592766,804535,115766,591409,97360,589480,585143,4337,581929,-138321,118130,288143,2505,45857,-266,262814,3067,0,781687,781984,142068,-18323,-1664,-81588,-64929,53452,55007,2526,-4081,1000648,37918,-1263,999364,202658,76999,-315028,1134069,-543,286628,543861,31773,0,0,272350,-79969,16040,56891210,1208042,684181,428558,95303,55683168,11041,978138,13633700,1013033,1558995,4508620,1297147,5255905,18557045,8315789,10241256,14340346,9277889,2701827,259589,40092,487645,11914,1561390,3832338,4330560,56891210,57825219,7483759,10992620,6060288,3718939,1213393,4357617,4302364,55253,13889390,1901700,3726351,6194101,44788,430336,18810,1561390,11914,0,16458686,4643147,-934009
2005,989748,135159,854589,534590,448884,85706,47071,272929,229075,272929,2210049,1979593,229008,1447,2253902,1826613,419014,371405,47609,8275,0,229075,117207,-22737,134600,134600,106876,134600,27724,34105,169265,135159,72771,72771,3997127,-2,9334,570114,196365,77177,-181261,105889,371944,2127677,707240,1420437,471932,176172,82265,46774,1951,13206,1622,149942,461258,356815,3740222,621719,1054946,80424,720816,253706,529643,529921,-278,644594,125121,65662,286040,1909,14143,155,149942,1622,0,737770,151550,256906,141368,-1677,-41090,-184135,56696,64816,-5517,-2603,684939,-128882,1852,690621,335778,43155,-257585,886965,2699,193049,384412,-9971,0,0,316776,-145330,102914,61566441,1297166,751345,446974,98847,60269275,11039,984723,14069994,1211123,1631011,4299885,1401688,5526287,20673599,9010054,11663545,15881832,10144682,3119870,306363,42043,544006,13536,1711332,4071807,4576281,61566441,62397536,8105478,11993065,6140712,4385254,1467099,4889959,4832285,57674,15101474,2026821,3985062,6864553,46697,434508,18965,1711332,13536,0,17544301,4763259,-831095
2006,1095144,142043,953102,579181,490232,88949,49777,324144,247574,324144,2804479,2506423,261581,36475,2881049,2391502,476720,426730,49990,12827,0,247574,134066,-20977,134485,134485,134485,134485,0,33888,175932,142043,100598,100598,4904483,-2,107918,1104844,251379,53256,142183,122594,535432,2163950,740113,1423837,493132,135995,97509,29219,-42,28423,1789,200239,333740,700901,4737285,657227,1354472,328218,750339,275915,599928,584304,15624,956725,311630,62326,346153,181,36395,-1988,200239,1789,0,666495,502438,167199,33016,0,-33586,-66601,55430,57606,-724,-1452,1440771,-126494,1360,1479755,385525,98485,-397860,1984154,651,600185,848998,52803,0,0,481517,-487954,-320453,67883367,1386483,813309,471001,102173,66496884,11037,1066828,14983225,1457912,1683839,4322711,1525418,5993345,22761212,9677777,13083435,17892061,11295388,3622904,335582,42001,693982,15325,1886879,4241106,5541415,67883367,69034915,8762705,13315238,6468930,5106320,1739988,5490538,5416589,73949,17534947,2338451,4624399,8059704,46878,546334,16977,1886879,15325,0,18710853,5220634,-1151548
2007,1024840,149568,875272,617429,526363,91066,51421,206422,154448,206422,3275813,2911261,322669,41883,3327787,2759876,557858,517212,40646,10053,0,154448,114162,10037,30252,30252,30252,30252,0,48519,198084,149568,-18267,-18267,5388039,0,207075,1005436,-128746,113600,170101,226290,624191,2738063,1617469,1120594,779678,307747,75888,80721,8252,107057,3125,196888,300975,356813,5287231,541268,1511763,905680,785153,-179070,847817,857007,-9190,1494175,747309,138559,376098,9093,17850,5253,196888,3125,0,672179,220029,100808,283819,0,164744,-119075,17614,29935,-9428,-2893,796102,-36225,4242,705909,218119,84974,-180917,72923,4215,-621760,478606,-36650,0,0,248512,740793,1054864,74335214,1452616,852940,489538,110138,72882598,11037,1275868,15957436,1332733,1818462,4534934,1686667,6584640,25461169,11284794,14176375,19697477,12309044,3916911,416303,50253,902749,18450,2083767,4432282,6047329,74335214,74431898,9303973,14937646,7374610,6002118,1560918,6342570,6273596,68974,18787126,3085760,4141064,8914408,55971,465476,22230,2083767,18450,0,19726858,5333725,-96684
2008,800954,156505,644449,612139,517209,94930,51040,-18731,26987,-18731,2916509,2532092,338678,45739,2870792,2332160,530668,508361,22307,7964,0,26987,48713,48810,-70535,-70535,-10052,-70535,-60483,24491,180995,156505,-34543,-34543,2802576,0,1012598,488901,-86487,234281,826914,67332,-553139,1566311,1345983,220328,628425,387868,50848,90455,-5271,70178,2626,31721,241006,-1134665,2888450,1951855,361731,768741,-223468,-183542,-146546,-137597,-8949,1445293,746477,597988,-57924,-4204,129054,-445,31721,2626,0,670116,-1393999,-85874,411247,-599,463177,51331,46424,49375,-735,-2217,-6041735,-526205,3810,-5140736,-1364885,-454900,1441181,-7130544,2510,-2157930,-3068083,-205022,0,0,-1702019,1135232,1536427,71461249,1522931,910879,493476,118576,69938318,11037,2325763,15905919,1247683,2119802,5405536,1658872,5474026,26894457,12630465,14263992,13396853,7556176,2602874,506758,44982,549499,21076,2115488,6165584,5238705,71461249,70021506,11255828,15218573,8143351,5698178,1377044,6198534,6135999,62535,14667846,3832237,2580792,5788401,51767,256300,21785,2115488,21076,0,18730606,3950119,1439743
2009,972163,157958,814205,547984,465308,82676,58375,207846,286118,207846,2283106,1958575,275723,48808,2204834,1701673,498720,424512,74208,4441,0,286118,42497,37667,205955,205955,327876,205955,-121921,-10297,147661,157958,338173,338173,-1244984,0,233301,750784,-381278,411178,626309,5021,89554,-2880411,-2842680,-37731,246783,49057,95955,-46662,0,29085,4564,114784,564771,-160212,-936461,363332,-975606,-60053,-462011,-453542,-1663681,-1677099,13418,592513,-516344,420764,533453,0,31650,1250,117176,4564,0,697655,49327,-308524,-662521,0,-15825,646696,-55076,-43378,-5847,-5851,2922885,519358,270,2204591,662768,171180,-635282,2211925,-811,-114965,1474875,55648,0,-604,797782,655884,321239,72842901,1457558,867018,464233,126307,71385343,11037,2597193,17228868,866296,2454750,6074860,1754225,6078737,23725666,9735484,13990182,16230562,9759824,3361597,460096,44982,811644,25640,1766779,6025243,5566774,72842901,71081919,11619144,14108178,8083298,5101378,923502,4534042,4458900,75142,16543016,3315893,3173043,7796729,51767,388342,23035,1768567,25640,0,20165953,4111586,1760982
2010,1010132,156443,853689,573340,485459,87881,58713,221636,356478,221636,2191411,1816988,308855,65568,2056568,1517441,528385,441235,87150,10742,0,356478,68484,28570,259427,259427,300908,259427,-41481,-2971,153471,156443,303879,303879,362653,0,-89504,707541,-73163,537443,3796,26325,213140,-467830,-159350,-308480,177387,146939,70090,-32865,-3247,6027,884,-10441,320147,-285088,545923,372383,-465122,-39534,-303564,-122024,-77654,-88198,10544,146478,-526881,238490,395761,-2746,37339,6162,-2531,884,0,715240,-145402,-183270,-479453,-2097,9793,487149,-3590,225,-331,-3483,1534559,218328,1180,1320515,369435,36827,-411726,1720186,1615,347899,837359,42378,0,-2020,492955,-189217,-367762,74734409,1448900,857643,462528,128729,73285509,11037,2673610,17550928,717436,3041742,5680010,1794042,6317698,23115612,9717827,13397785,18286106,11227107,3801122,522042,41735,916910,26524,1750666,6395081,5253135,74734409,73341189,11987401,13272476,7581337,4889661,801478,4469919,4382618,87301,18185715,3034465,3759328,9029849,49021,498987,29197,1758344,26524,0,21836901,3588777,1393220
2011,1009307,160953,848354,606487,513242,93245,54871,186997,293161,186997,2164433,1780702,318938,64793,2058269,1495439,547929,491191,56738,14901,0,293161,71545,28141,193476,193476,225870,193476,-32394,7118,168069,160953,218752,218752,2052465,0,466161,737438,-76509,868880,44956,-45328,-54561,190930,370968,-180038,43067,21256,-37626,19978,-6193,15734,375,29543,358642,256227,2058847,1427498,-408057,-22129,-286250,-99678,136417,120891,15526,318240,-92575,159730,200616,-5942,27242,-1751,30545,375,0,702958,-118209,-6383,-238279,0,-13145,225134,33414,30867,4467,-1920,-353653,388725,-2374,-528084,-119979,-133471,41530,-940521,-2730,-532638,-289068,-19563,0,1754,-98276,620282,607872,76429259,1489432,876609,474836,137987,74939827,11037,3147057,18682699,641083,3995545,5797704,1847739,6400628,23151650,10088796,13062854,17553201,10719109,3644142,541283,35542,767069,26899,1819157,6830075,5564108,76429259,74428166,13414899,12790957,7559208,4529949,701800,4598224,4498127,100097,17739774,2941890,3386242,8941397,43079,543230,27446,1829591,26899,0,22462298,3422014,2001092
2012,1139925,167836,972089,630088,536780,93308,56701,285301,255250,285301,2104833,1690450,359141,55242,2134884,1463847,654411,584644,69767,16626,0,255250,88785,-27616,194079,194079,184483,194079,9596,25354,193189,167836,159129,159129,2005582,0,-28461,1045319,5410,348597,205916,109146,376250,503433,572965,-69532,270029,44580,-16436,4652,-2007,18654,461,220125,297442,-82182,2215655,594146,-218898,-23792,-121826,-73280,238055,240695,-2640,857441,54702,170363,386529,-1830,23469,10440,213307,461,0,577988,166923,-210073,-192834,-1767,178136,369203,5364,11771,-939,-5469,1834257,253739,4880,1517312,425849,60017,-427540,2079269,-5715,443982,1035582,40581,0,-98,564937,-239649,-248000,81093276,1518382,877747,491546,149089,79574894,11037,3152351,20434472,632124,4577407,6161088,1988346,7075507,23457129,10604883,12852246,20095255,12281001,4053555,545935,33535,859008,27360,2294861,6683378,5741273,81093276,79340184,13981144,12509425,7535416,4345489,628520,4829447,4737705,91742,20553685,2996592,4175663,10363508,41249,613048,37886,2298379,27360,0,23597011,3869472,1753093
2013,1104667,176477,928190,641324,545423,95901,56388,230479,149770,230479,2059758,1586375,414307,59076,2140466,1350935,773964,723103,50861,15567,0,149770,98462,-18060,69367,69367,69367,69367,0,17921,194398,176477,51446,51446,3016274,0,834981,1280024,9665,477146,420764,-16305,388754,178842,100563,78279,246706,-24271,128863,78667,-160,34899,147,28561,490429,-14709,2804603,1786289,41599,238322,-158306,-38417,-214926,-208395,-6531,628116,50690,166307,346893,474,35654,2908,25043,147,0,585011,-21486,211671,182554,0,22330,-160225,24325,26153,-1614,-214,2269331,-1004187,-221,3253613,683423,106936,-770233,3970710,-45,1231904,1622611,122314,0,0,993926,-1677054,-1425133,87324899,1560628,891284,512024,157320,85764271,11037,3985681,20671079,646475,4760594,6305444,1892931,7065635,23532689,10693984,12838705,24380678,15510343,4865841,624602,33375,943151,27507,2375859,7480808,5702299,87324899,86996939,15767433,12490118,7773738,4126277,590103,4614476,4529310,85166,24113184,3047282,5516715,12333012,41723,730292,40794,2375859,27507,0,26273994,3737734,327960
