1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1984:Q1,3023479,17358,22167,135197,692111,18119,225736,218209,164356,65691,2003272,633213,64738,992235,313086,-584,3718,10857,8113,0,0,131269,2946134,2831060,-155780,422204,2088534,237291,78721,68280,10441,60382,1573,4299,93836,9635,84201,115074,3683,5509,86715,19167,0,ND
1984:Q2,3130816,18098,20252,135300,694575,17282,221226,227275,163912,64880,2103956,661918,71741,1034722,335575,-799,3643,11798,8362,0,0,135632,3054014,2948008,-145826,428007,2163116,240144,88503,75955,12548,68772,1763,4509,99019,9175,89844,106006,2980,5669,82571,14786,0,ND
1984:Q3,3239437,18374,23612,135195,711790,17582,223443,231688,169347,69730,2169092,673453,70101,1071433,354105,-885,3661,11901,8537,0,0,158160,3182344,3054501,-141777,430792,2219206,252780,86188,73922,12266,76010,1945,4560,124797,10880,113917,127843,3647,6236,97919,20041,0,ND
1984:Q4,3358495,24273,21819,151603,722580,16365,224515,227239,177354,77107,2247830,708421,69432,1099041,370936,-750,3451,11774,8826,0,0,167090,3309015,3171206,-150621,463912,2295945,257672,90018,73977,16041,77793,1927,4387,130173,12039,118134,137809,3851,6017,108349,19592,0,ND
1985:Q1,3392539,18083,26997,140251,733569,16148,238237,229381,172625,77178,2279654,711643,66000,1118664,383347,-790,3694,12239,9231,0,0,169611,3348350,3208582,-149749,437159,2354690,256230,88131,70250,17881,78082,1991,4404,137644,11990,125654,139768,4311,6182,107913,21362,0,ND
1985:Q2,3469525,18882,27236,154576,731084,15623,235014,222803,174646,82998,2334557,725911,62721,1147153,398772,-914,3878,12694,9605,0,0,177928,3429599,3287721,-147455,469079,2381245,259165,86544,67258,19286,83264,2062,4001,149816,12254,137562,141878,4305,6266,110282,21025,0,ND
1985:Q3,3561439,21104,27162,163364,753898,14420,238835,230054,185464,85125,2393976,737262,62360,1180594,413760,-765,3800,12145,9850,0,0,176905,3523527,3373317,-147476,488932,2418005,274330,87424,65767,21657,89627,2261,4293,155922,13190,142732,150210,4210,6856,118708,20436,0,ND
1985:Q4,3697019,25537,28631,174674,798397,13380,229278,229102,235145,91492,2462100,765292,59972,1207974,428862,-698,3771,16064,10094,0,0,178449,3657871,3499540,-121332,531110,2444041,302593,89733,64617,25116,92944,2159,4583,153710,13552,140158,158331,5739,7944,121969,22679,0,ND
1986:Q1,3721048,21251,30782,183198,800033,14418,232348,241027,217318,94922,2475169,766567,57646,1224257,426699,-486,4131,16237,10508,0,0,180226,3688466,3517789,-122739,508681,2477592,308013,87818,60913,26905,91539,2280,4717,159887,14532,145355,170677,6157,8144,130784,25592,0,ND
1986:Q2,3803124,22221,31940,189797,831050,13073,236345,266493,211947,103192,2518248,777475,55718,1246458,438597,-407,4755,16491,10715,0,0,178315,3792185,3601105,-130677,556883,2498863,320977,88541,59744,28797,99315,2364,5000,159839,20047,139792,191080,6842,8329,157048,18861,0,ND
