1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1997:Q3,5895272,38531,21791,256248,1329379,3329,290506,736446,98242,200856,3847440,1174078,23760,1941436,708166,3029,9800,69546,22877,15471,0,281160,6033730,5445896,-47564,735818,3380561,502389,81588,24019,57569,181120,7364,51541,553078,49914,503164,587834,71512,48908,384519,82895,0,ND
1997:Q4,6071580,45004,30838,267708,1374046,3022,296712,767236,98780,208296,3917165,1221155,20576,1960836,714598,3055,10734,74727,23556,15474,0,309274,6252540,5644006,-34279,764934,3442236,533623,85360,20899,64461,196639,8436,52634,594423,52966,541457,608534,75623,68535,385573,78803,0,ND
1998:Q1,6102949,37784,24445,296150,1406572,2001,306421,785309,97503,215338,3945878,1243727,16839,1993335,691977,3307,12475,75986,24898,14390,0,261064,6219891,5584285,-49308,729155,3537647,565014,85223,17079,68144,204811,8532,58278,444933,56084,388849,635606,80599,68414,399061,87532,0,ND
1998:Q2,6189085,38413,23651,296885,1402501,1732,289532,781810,100296,229131,4004529,1292637,14212,2003306,694374,3870,13296,76295,25515,14661,0,289468,6292860,5653365,-26861,760551,3541336,542374,83752,14344,69408,223962,8723,57063,462465,54882,407583,639495,80403,68423,411374,79295,0,ND
1998:Q3,6309980,39198,25706,334800,1403429,1742,243621,809506,103718,244842,4063176,1323214,14144,2021353,704465,3664,13056,75464,26430,15387,0,309670,6437130,5776674,-4861,716073,3578013,594465,85090,14257,70833,244114,9415,62273,492092,60164,431928,660456,75393,72330,423265,89468,0,ND
1998:Q4,6505535,42057,26306,336519,1476273,2408,236504,850898,107345,279118,4161878,1356130,11312,2074658,719778,2600,15185,56791,28035,17006,0,342886,6649293,5947934,2130,737012,3659227,599708,86263,11537,74726,286144,10453,62696,504301,59653,444648,701359,79028,98752,433020,90559,0,ND
1999:Q1,6522854,38555,22541,311439,1506335,2005,246316,872886,109219,275909,4161859,1363685,10232,2079057,708885,3311,16259,57295,29610,16402,0,359247,6659518,5943998,2068,700807,3675502,616233,86082,10394,75688,295707,11191,63323,493084,58631,434453,715520,86291,97722,441717,89790,0,ND
1999:Q2,6613166,40551,22156,307407,1534200,2265,239488,878067,110488,303892,4207539,1380557,8947,2118074,699961,3693,16229,57740,30578,16667,0,376406,6760469,6033873,17469,719688,3702594,626380,86118,9492,76626,324426,12502,59056,485641,59165,426476,726596,89718,110942,437463,88473,0,ND
1999:Q3,6719602,41020,21684,275614,1559459,1915,240363,894559,112352,310270,4319279,1408060,7912,2199764,703543,3970,15834,58161,32309,16290,0,375983,6884781,6141068,22180,699534,3761032,605094,86398,8293,78105,360937,13176,64111,528606,57086,471520,743713,89271,110711,441252,102479,0,ND
1999:Q4,6925257,66555,24027,274448,1584885,1673,239975,895258,113764,334215,4470870,1454482,8235,2270748,737405,4065,17720,67709,34450,16250,0,364278,7098691,6336302,5736,740760,3873939,608153,87136,8599,78537,392530,15045,70181,542822,50327,492495,762389,82739,139542,447077,93031,0,ND
2000:Q1,7053974,35187,18196,314350,1599976,2144,236871,910717,115012,335232,4555167,1474740,8705,2337658,734064,3863,18238,69665,35865,18239,0,385228,7197271,6398556,-66157,695338,3980531,652685,89999,8980,81019,401306,15233,70171,559451,52351,507100,798715,81045,140344,462759,114567,0,ND
2000:Q2,7204440,36992,18513,300676,1585944,1599,221136,911889,115425,335895,4713535,1521820,8997,2430504,752214,3827,18006,70876,36140,17083,0,402847,7388232,6581964,-4712,694089,4044070,673206,93579,9274,84305,434079,15339,69278,563036,53919,509117,806268,81033,140491,470202,114542,0,ND
2000:Q3,7353457,34494,17624,309789,1601215,1562,219439,900377,116513,363324,4804994,1533766,8429,2487720,775079,4206,19168,75190,36449,17192,0,433135,7539423,6689854,-20776,656844,4143136,675647,95972,8724,87248,427470,17334,78905,615323,54197,561126,849569,105941,139885,483822,119921,0,ND
2000:Q4,7501460,44391,19045,357219,1620819,1796,200729,910447,117296,390551,4874990,1564226,7487,2503009,800268,4255,18568,72975,37169,18511,0,433518,7705696,6847833,-19702,662407,4256547,697050,100578,7930,92648,435732,14709,86072,614439,56052,558387,857863,116867,107776,494551,138669,0,ND
2001:Q1,7591712,36000,17828,416217,1612171,911,187315,913503,116539,393903,4902725,1554556,7448,2549983,790738,4360,17961,73510,38048,22039,0,450852,7810879,6953915,-95202,644562,4403812,731447,103769,7801,95968,443341,15639,84824,621723,56715,565008,856964,107660,106560,508500,134244,0,ND
2001:Q2,7625187,37171,18647,380691,1635593,706,187236,901367,120385,425899,4941377,1532871,6558,2600187,801761,4266,19281,74458,38632,23398,0,451672,7842610,6970616,-87986,663851,4455307,700102,102110,6775,95335,444481,16289,80451,596011,55984,540027,871994,116432,109948,519373,126241,0,ND
2001:Q3,7816660,36657,24937,399978,1696834,500,188369,941801,122375,443789,4960472,1524423,4849,2628579,802621,4392,19371,74913,39445,23724,0,535937,8063531,7178276,-61169,670274,4521780,705929,103004,5116,97888,452964,16674,102444,666376,57363,609013,885255,122531,109887,543576,109261,0,ND
2001:Q4,7905853,47330,17478,386456,1782954,1346,180415,1000647,124996,475550,5006226,1488998,4595,2683526,829107,4567,20542,63185,40386,30967,0,505761,8113900,7239700,-40658,757034,4610330,707620,103068,4765,98303,460535,16851,88451,536469,55363,481106,874200,117304,92597,555581,108718,0,1762796
2002:Q1,7996380,34918,22415,382818,1833825,1348,186542,1048683,123626,473626,4988468,1476906,4497,2686491,820574,4771,20151,63814,41353,29186,0,574660,8104731,7224322,-69748,650453,4780510,679054,100261,4477,95784,452108,17098,97231,517356,55347,462009,880409,122833,93411,561957,102208,0,1769338
2002:Q2,8137967,36549,22324,388753,1884502,1369,202612,1094563,123429,462529,5036032,1443434,4831,2760708,827059,4999,18844,64060,42227,27915,0,611762,8312142,7383887,-105456,671987,4812098,706521,100960,4931,96029,455535,16134,113981,612126,54005,558121,928255,130540,95035,579276,123404,0,1800688
2002:Q3,8373117,37850,23168,411452,1934894,1242,207840,1125168,126430,474214,5162585,1423203,4758,2884090,850534,4970,16904,64792,42698,25923,0,647881,8547017,7630299,-68705,696852,4905430,744542,99872,4876,94996,466573,15434,109556,660745,57560,603185,916718,106633,95948,597483,116654,0,1879706
2002:Q4,8562486,47818,22541,407782,1995468,2325,221584,1167245,127469,476845,5266250,1403374,4554,2991303,867019,4826,19154,48663,43072,30745,0,676167,8715105,7786089,-24629,707266,4956947,795811,102151,4604,97547,465205,16871,98246,668222,57045,611177,929016,118219,77024,606482,127291,0,1936332
2003:Q1,8770865,38532,26787,470894,2085808,1464,152546,1230527,129089,572182,5309640,1379469,4801,3069507,855863,4670,18931,50803,44287,27029,0,693484,8886493,7956711,-75542,681299,5109461,853969,104296,4820,99476,469921,16774,104578,691955,59675,632280,929782,103277,80942,618090,127473,0,2032346
2003:Q2,9027128,39540,27720,482008,2157203,2648,143430,1312325,133230,565570,5435946,1369351,4548,3185681,876366,4955,21944,51936,44766,27659,0,733451,9170296,8208228,-118729,731724,5212649,908272,106048,4576,101472,479233,16555,106235,766241,60954,705287,962068,121104,81035,633818,126111,0,2147653
2003:Q3,9071355,40361,29141,486217,2095099,1308,144414,1246025,138612,564740,5524080,1346604,4267,3282959,890250,5016,23629,52556,45365,24311,0,745580,9196451,8226052,-70292,710898,5253653,833035,106540,4268,102272,482673,15660,99530,794355,62713,731642,970399,128931,81784,636756,122928,0,2157503
2003:Q4,9179834,47951,23058,438770,2172527,844,150894,1285669,139316,595804,5636440,1379646,4365,3299289,953140,4890,25204,68968,45402,23885,0,692739,9313759,8284820,-56262,754391,5325215,786717,108381,4367,104014,493434,16350,101479,755115,64760,690355,1028939,139908,109735,644599,134697,0,2187315
2004:Q1,9471535,40957,24955,490592,2306899,943,161264,1392692,140651,611349,5745039,1362384,3864,3432204,946587,5118,26437,71531,47205,23451,0,689351,9598486,8506550,-141506,752963,5526897,855320,108428,3897,104531,508480,16641,108662,770665,65110,705555,1091936,159112,109765,664109,158950,0,2327735
2004:Q2,9703821,43347,29628,481706,2305910,355,157542,1407980,144002,596031,5933511,1380967,4408,3587748,960388,5385,25573,74290,48518,22373,0,733580,9797103,8717351,-106093,777397,5646205,885869,112331,4443,107888,549222,16128,90646,745646,66342,679304,1079752,140318,111464,691492,136478,0,2412546
2004:Q3,9914367,42019,24664,509596,2254513,590,137292,1340980,146284,629367,6095341,1392166,3985,3719225,979965,5429,25367,75156,49788,21319,0,811175,10039818,8848736,-131791,760258,5765251,906684,113439,4025,109414,545395,17369,107048,765083,67764,697319,1191082,145596,122249,772177,151060,0,2494142
2004:Q4,10140505,41528,24043,463536,2255102,768,123496,1314623,148211,668004,6295633,1429012,4010,3851657,1010954,6843,26346,112858,50302,21816,0,842498,10331715,9060921,-90106,802015,5880682,825812,120974,4093,116881,564453,21350,113248,822493,73149,749344,1270794,139079,160710,803258,167747,0,2595056
2005:Q1,10428790,42128,24984,477334,2437501,639,140583,1409404,153069,733806,6399071,1442716,4022,3962311,990022,6785,25434,113254,51315,19345,0,831639,10533708,9248381,-76780,781300,6043238,819663,125417,4087,121330,569292,21829,106567,857855,55811,802044,1285327,133609,165664,816924,169130,0,2665915
2005:Q2,10629095,45314,23108,445331,2446080,599,124893,1391182,156345,773061,6620918,1500628,4098,4116888,999304,6573,26451,113289,52712,17869,0,831450,10738100,9406612,-84864,790320,6150816,858011,126098,4145,121953,602032,20309,106051,837839,58294,779545,1331488,138834,169306,838592,184756,0,2711938
2005:Q3,10906158,41161,21927,485969,2469977,524,123299,1370262,162585,813307,6823774,1524499,4322,4257820,1037133,6982,26974,113697,53782,18066,0,843849,10970966,9633926,-96844,751611,6371752,904227,128266,4389,123877,604533,21434,106022,842925,54651,788274,1337040,134368,169035,843857,189780,0,2812617
2005:Q4,11093806,50081,19043,483292,2456912,859,116349,1359804,166667,813233,6980689,1595085,4020,4336880,1044704,6997,27008,127902,53999,18439,0,869444,11126493,9770130,-101981,776383,6490560,910464,134489,4102,130387,610087,21677,103324,825127,56314,768813,1356363,146350,161063,860169,188781,0,2913070
2006:Q1,11414576,40018,21022,523071,2538435,1137,110617,1404803,170160,851718,7132770,1648251,738,4460938,1022843,6845,28124,134488,54784,16898,85180,832941,11437707,10038206,-106446,753234,6692384,930864,135898,1477,134421,606063,22535,106966,896708,64489,832219,1399501,147488,169946,869163,212904,0,2693928
2006:Q2,11678160,42622,20963,495951,2612116,705,117150,1441562,171831,880868,7329470,1697976,701,4603813,1026980,6276,26987,129630,56097,18392,87010,852646,11709976,10270036,-103180,776405,6816124,973582,142365,507,141858,630349,22873,106108,905410,67680,837730,1439940,147440,161845,915675,214980,0,2765299
2006:Q3,11940484,40074,17330,592883,2582161,1225,111605,1400711,179782,888838,7475226,1741496,664,4681880,1051186,5886,27784,127015,56169,20804,89816,905336,12011555,10540217,-77504,734798,6975400,1074193,147134,1056,146078,631918,23687,121123,909468,70513,838955,1471338,144748,169386,945400,211804,0,2810761
2006:Q4,12015626,51712,18699,611943,2607353,978,112557,1377503,191433,924882,7595824,1790240,446,4732324,1072814,5376,30535,131157,55721,22435,93392,791479,11969854,10485772,-84092,732910,7126689,995635,160823,880,159943,628517,23857,119367,782066,78541,703525,1484082,126537,173775,986433,197337,0,2918409
2007:Q1,12133278,41179,18140,658833,2668194,1582,119231,1368635,199791,978955,7623039,1813760,320,4758048,1050911,5790,29515,152429,55861,20200,96608,763490,12054295,10550957,-214749,717161,7337293,1024314,166851,2129,164722,610301,21772,114187,773827,80127,693700,1503338,112695,164666,994892,231085,13033,3018344
2007:Q2,12363111,43452,16994,644849,2722916,1780,109814,1365996,202642,1042684,7789042,1872898,392,4847884,1067868,5740,32002,177034,55739,20962,97990,756391,12299779,10775018,-201616,708125,7414124,1048821,174032,2274,171758,624600,20757,105526,880649,89004,791645,1524761,114352,163252,1006420,240737,12604,3082224
2007:Q3,12872556,41482,22733,732395,2750001,1126,119168,1298389,205754,1125564,8049265,2010498,277,4943022,1095468,6014,34531,196356,63354,24826,100277,851322,12760095,11213651,-138485,707549,7600855,1019723,177284,432,176852,797478,21214,112474,915559,81448,834111,1546444,101440,164715,1055003,225286,11789,3210046
2007:Q4,13161191,54997,20512,770003,2753298,426,122923,1261074,204004,1164871,8259391,2108594,493,5018851,1131453,7429,33625,205527,66466,26059,104291,859593,12890179,11359984,-158017,740818,7746442,1028214,185564,801,184763,839494,17349,106544,853576,81348,772228,1530195,71273,118424,1099496,241002,11181,3378002
2008:Q1,13399349,45430,23975,747821,2769242,2958,118905,1253174,213568,1180637,8384467,2185190,348,5084951,1113978,8117,31887,196917,64450,25915,105329,995799,13052465,11528757,-294446,745846,7978346,1035863,185391,438,184953,865174,17402,91006,904175,103300,800875,1523708,67292,103668,1112317,240431,11173,3579644
2008:Q2,13347850,45710,33306,719501,2795224,745,101289,1328810,214153,1150227,8414825,2203282,311,5077162,1134070,8846,30947,197702,66300,24522,108343,902624,12901788,11413105,-244632,747710,7960144,1010453,184829,366,184463,874397,17035,70520,792649,104594,688055,1488683,57501,92910,1100992,237280,10719,3515088
2008:Q3,13801670,47985,216093,745397,2877395,100037,116818,1319849,231963,1108728,8501161,2291724,0,5049981,1159456,8411,25978,171560,65583,21128,114923,1006056,13346806,11908632,46924,792574,8054520,997876,177108,889,176219,961831,14268,59151,804380,95446,708934,1438174,53989,73642,1117934,192609,9846,3575241
2008:Q4,14423944,57725,791782,643440,2867431,15685,102345,1404120,224416,1120865,8524728,2299581,0,5023982,1201165,8936,22193,150135,62855,25001,110740,1158978,13757006,12265956,571648,880981,8088835,859569,185315,499,184816,847304,13402,12341,806561,141596,664965,1491050,62876,55171,1096370,276633,9519,2876511
2009:Q1,14104959,50305,759686,582849,2865863,4452,125669,1425691,223380,1086671,8385320,2194105,0,5025567,1165648,10981,24237,147168,66602,42745,110475,1058728,13569198,12039165,509162,823864,8187296,862158,170928,647,170281,739840,14767,14026,717124,159714,557410,1530033,35791,55185,1169723,269334,9132,2796383
2009:Q2,13718314,51142,615443,492523,2923595,9841,134340,1493103,228369,1057942,8225315,2098403,0,4978642,1148270,12214,23807,186266,69983,39457,111156,967413,13277006,11752489,241852,885737,8185530,900941,168410,924,167486,669450,15893,8881,675795,111361,564434,1524517,36914,68108,1195038,224457,8052,2811682
2009:Q3,13612399,50745,835319,408670,2967741,52,194649,1486215,227222,1059603,7982564,1973405,0,4858153,1151006,13597,25183,238879,69893,27794,110416,881598,13291554,11702495,191264,905625,8247843,864680,161345,727,160618,610607,18001,25269,677861,105697,572164,1589059,42180,87459,1259501,199919,7288,2263541
2009:Q4,13531271,54922,952697,335262,2970701,0,197207,1584425,227801,961268,7818366,1890425,0,4784550,1143391,14009,34126,255180,67742,22312,111496,894458,13389263,11750805,49823,990671,8432480,727337,176970,626,176344,567052,20260,18037,768175,112780,655395,1638458,41997,105764,1287611,203086,6926,2399494
2010:Q1,13813413,51802,1044109,329744,2982427,0,264004,1600429,229135,888859,8066139,1891055,0,4719896,1455188,12186,34397,261867,67649,17983,112111,832999,13685541,12058561,-37692,946564,8449124,779498,729589,321453,408136,509996,21493,8290,651699,85913,565786,1626980,49376,114279,1274142,189183,7532,2876775
2010:Q2,13631706,53787,956349,337242,2972441,0,261861,1598627,230464,881489,7961333,1864681,0,4656495,1440157,11365,28308,233568,67415,17814,112826,879258,13513526,11920296,-61884,965298,8341444,766249,766476,341051,425425,475907,21743,24657,620406,84984,535422,1593230,40785,101945,1300098,150402,6404,2836748
2010:Q3,13762979,50548,929705,366982,3173532,0,306750,1648050,239282,979450,7905657,1866090,0,4617266,1422301,11108,30231,272936,67144,16811,114357,823968,13661085,11995562,-89101,962414,8480389,790860,724836,321442,403394,433236,21883,36554,634491,93303,541188,1665523,53852,114493,1320112,177066,6112,3187273
2010:Q4,13654067,52722,964383,356072,3070721,0,299636,1718062,257140,795883,7897030,1896317,0,4588731,1411982,12046,35110,294933,65406,15626,115985,774033,13713614,12043971,-35372,1071976,8548091,734046,673269,302535,370734,417735,21264,37292,575670,85627,490043,1669643,63058,125882,1309125,171578,6156,2512639
2011:Q1,13971855,53311,1394691,312968,3107696,0,304924,1766888,265521,770363,7747870,1912361,0,4473753,1361756,11753,34488,310015,64686,15626,121550,797201,14108499,12365106,217935,1114564,8674748,696683,679356,312903,366453,386489,23703,38845,532783,81328,451455,1743393,66831,150712,1336904,188946,6099,2576279
2011:Q2,14156655,55427,1572650,334074,3081277,0,270366,1767075,273099,770737,7766296,1949806,0,4435854,1380636,12083,38310,306238,60577,14542,122538,792643,14323983,12565073,171093,1198132,8866329,670806,659397,298522,360875,367762,25428,51239,554887,101130,453757,1758910,64879,161175,1359435,173421,6142,2733049
2011:Q3,14429666,50608,1583976,387328,3167306,0,273316,1787525,290963,815502,7844066,2029635,0,4427475,1386956,10887,32858,241334,59280,14924,123566,913533,14483362,12755478,258545,1312857,8844422,720632,597260,256639,340621,351114,28849,66313,575486,99864,475622,1727884,49263,152187,1386299,140135,6172,2603380
2011:Q4,14495479,60801,1542737,378592,3208666,0,252891,1851691,303901,800183,7966245,2112217,0,4438426,1415602,11185,34083,248715,60342,15220,125455,843438,14625607,12872841,168101,1428633,8952205,706898,623012,269774,353238,355041,31324,64145,543482,102813,440669,1752766,54431,175314,1385177,137844,6046,2619292
2012:Q1,14557045,56451,1542485,402470,3354508,0,281804,1992707,326221,753776,7919443,2138270,0,4402068,1379105,12972,27428,270202,59840,14140,133752,763354,14786190,12932062,180276,1392765,9058445,706069,620527,274493,346034,330711,29972,66203,547094,97915,449179,1854128,33349,195458,1471052,154269,5984,2616387
2012:Q2,14695085,56660,1502915,430575,3365499,0,297448,1962414,345587,760050,8018341,2209585,0,4406213,1402543,13270,28102,251392,59272,13204,134999,820856,14861176,13008651,167574,1416201,9118067,728747,557206,246914,310292,350352,31477,66188,572839,91387,481452,1852525,32076,197411,1494521,128517,5930,2658394
2012:Q3,14803979,56349,1437005,475816,3465634,0,330632,1972961,369921,792120,8072788,2247892,0,4404990,1419906,13094,29897,265710,58815,12859,136448,779564,15041780,13143616,158580,1452346,9234216,696653,559249,252705,306544,344357,33204,79070,585941,91589,494352,1898164,33284,216658,1530281,117941,6179,2686892
2012:Q4,14997828,71068,1473018,490600,3479795,0,342328,1958667,381690,797110,8208025,2329026,0,4420369,1458630,12919,30469,269421,58699,15552,138050,750212,15252480,13336265,21748,1630018,9465383,674730,553304,248248,305056,360385,32592,78207,519898,93620,426278,1916215,33736,222674,1533784,126021,6467,2968150
2013:Q1,15183049,59633,1780746,438356,3494037,0,331780,1993038,391534,777685,8145283,2329111,0,4383028,1433144,11007,32333,280661,58091,16820,139244,726838,15484670,13507691,147976,1656348,9518014,650642,544160,247596,296564,352952,32872,70354,534373,94767,439606,1976979,38053,245729,1550262,142935,6756,4344317
2013:Q2,15428706,60217,2003018,418730,3420510,0,283699,1973458,398178,765175,8222160,2378979,0,4378610,1464571,11514,31364,266486,58062,14073,140431,782141,15710506,13748191,411265,1589486,9566511,639777,471448,207480,263968,394595,32654,56053,586402,83191,503211,1962315,39294,250143,1530786,142092,7261,4447920
2013:Q3,15650506,62196,2198917,416484,3421022,0,277838,1948776,411480,782928,8282774,2410809,0,4379105,1492860,10733,33432,296212,57471,15317,141643,714305,15883692,13915291,350427,1660331,9784299,636219,423517,184215,239302,402285,32649,67890,557674,79642,478032,1968401,44215,261785,1543712,118689,7711,4752789
2013:Q4,15812320,73614,2203894,392560,3451609,0,305357,1943127,423670,779455,8422728,2493101,0,4392917,1536710,10142,35824,307088,57706,15093,143833,698229,16141137,14111194,327400,1818713,9869053,581945,460632,210871,249761,435663,32693,59392,525703,74425,451278,2029943,51775,287534,1567133,123501,7921,4924431
2014:Q1,16164440,64779,2427992,402243,3516923,0,352874,1962987,437163,763899,8475681,2553199,0,4407304,1515178,12991,35649,302246,56588,17329,145108,706911,16468031,14413935,374804,1824257,10068185,639609,446699,205715,240984,420748,32392,62157,545084,87907,457177,2054096,55716,283563,1590945,123872,8099,4999165
2014:Q2,16458595,64929,2436239,430695,3573743,0,387681,1974833,445970,765259,8670877,2641305,0,4462422,1567150,12669,37003,308959,58037,18759,146597,700088,16747924,14655679,386737,1925333,10131218,638463,438353,201145,237208,470735,31753,69489,563598,103865,459733,2092245,61877,284554,1624993,120821,8330,5181627
2014:Q3,16666832,64697,2485409,414813,3626162,0,448364,1983160,458448,736190,8783207,2693418,0,4491102,1598687,12651,36461,287134,58137,15336,147796,735029,16905000,14813342,339538,1944933,10254362,628036,435061,198844,236217,478417,32470,76493,624032,118765,505267,2091658,59737,268953,1635119,127849,8593,5271248
2014:Q4,16841854,75667,2352809,403181,3699122,0,502939,1993925,468462,733796,8997196,2821388,0,4531689,1644119,11564,37998,268966,58746,14575,149565,772465,17063127,14968999,199305,2017501,10447484,607332,429484,191877,237607,502201,31272,79949,654471,139647,514824,2094128,68060,272839,1650013,103216,8614,5451394
2015:Q1,17112943,67820,2423438,414858,3777875,0,507816,2056173,480749,733137,9093646,2885204,10630,4566487,1631325,11385,37769,270503,57538,13625,150945,793541,17274732,15204779,211974,2051451,10645453,598269,428267,194269,233998,469437,30558,80296,689074,159704,529370,2069953,69632,261222,1642859,96240,8647,5525459
2015:Q2,17108059,68275,2231714,419489,3776143,0,509627,2067543,487997,710976,9298032,2971991,10819,4634895,1680327,11193,38217,268843,58274,14588,153101,770190,17309308,15186924,186740,2086859,10590912,601044,464586,216790,247796,516474,30936,67546,641827,164021,477806,2122384,75333,257899,1680023,109129,8614,5535632
2015:Q3,17205321,67611,2182006,410820,3801702,0,506128,2086442,500912,708220,9435917,3002111,7539,4700016,1726251,9370,35477,238107,57040,13599,154515,799157,17369344,15251527,186050,2019703,10738498,581305,473588,215922,257666,503513,30444,75594,642832,179955,462877,2117817,72228,237512,1699716,108361,8260,5541136
2015:Q4,17314610,74168,1965234,428384,3864907,0,537231,2117781,514175,695720,9671007,3107207,4332,4778596,1780872,9877,37582,232482,58677,13063,156176,803053,17578700,15439981,140027,2119999,10836897,603410,481568,224617,256951,541684,30585,70751,615060,177625,437435,2138719,77174,251694,1704466,105385,7967,5597719
2016:Q1,17705061,69796,2122492,411455,3938890,0,552904,2147432,523998,714556,9782646,3187647,4382,4825657,1764960,9135,30447,232678,57865,14155,157557,877945,17908594,15710934,109191,2141459,11052502,601623,494580,235329,259251,525724,29766,73065,683024,188337,494687,2197660,73637,255068,1741847,127108,8062,5684230
2016:Q2,17993615,73267,2034070,419051,4028288,0,571676,2182587,541605,732420,10008238,3249985,4071,4935498,1818684,8314,30819,221201,60062,14184,158980,937141,18170730,15944706,149514,2197694,11058948,613261,500995,239791,261204,591637,30901,76400,725356,209857,515499,2226024,74078,262418,1774628,114900,8302,5710807
2016:Q3,18059048,65065,1919522,439204,4121073,0,619891,2235421,549154,716607,10158755,3274780,5761,5017773,1860441,7931,28200,233184,60425,12117,160469,853103,18232437,15976441,97716,2215269,11214045,620845,449419,211386,238033,590661,32585,82569,673332,205580,467752,2255996,81338,274588,1794169,105901,8981,5734331
2016:Q4,17991812,75970,1754202,411611,4129484,10,654093,2241159,551678,682544,10274308,3269245,5578,5070697,1928788,7927,29776,233938,61694,11420,161791,839691,18288548,16016792,-2177,2226576,11371517,635921,426311,202995,223316,611125,33528,71640,642351,185255,457096,2271756,102179,287382,1782420,99775,9269,5765154
2017:Q1,18390226,70172,2149339,387130,4185648,0,645650,2286192,555747,698059,10262780,3269264,5063,5097843,1890610,8536,30003,252018,60505,11804,163184,809107,18666714,16342732,95962,2345808,11532454,633278,421105,200306,220799,568837,33598,64407,647283,185633,461650,2323982,101509,300431,1811910,110132,9705,5876235
2017:Q2,18474284,70757,1979415,434569,4179705,0,602034,2331803,566843,679025,10438000,3319086,6142,5180848,1931924,7568,30741,266384,62684,10597,164531,829333,18756316,16406926,69932,2377218,11492337,670937,421453,201918,219535,614163,33266,69276,658344,177928,480416,2349390,111591,307233,1841434,89132,10676,5855520
2017:Q3,18679111,68531,2070393,428544,4216032,0,596636,2371487,569865,678044,10551816,3340331,8032,5232796,1970657,7889,30692,283823,63265,11301,166661,780164,19004615,16636541,102575,2322128,11669135,705385,467738,230224,237514,628000,32116,80231,629233,188102,441131,2368074,115399,311144,1860038,81493,10978,5924060
2017:Q4,18860768,77174,1949005,490741,4276382,0,616020,2410655,578901,670806,10714039,3374580,5489,5282853,2051117,6917,32339,293293,63996,11979,168199,776704,19153325,16768213,138779,2410196,11670438,722939,385928,187172,198756,639141,31422,104285,665085,179989,485096,2385112,118702,323828,1862876,79706,11196,5985860
2018:Q1,18999383,68215,2107065,505569,4208951,149,612738,2378882,561739,655443,10748195,3404268,8523,5316188,2019216,9035,34340,283178,63501,8524,169417,793393,19370617,16930548,118876,2475101,11878600,683174,408903,200366,208537,601349,30237,90297,644011,171795,472216,2440069,119481,319743,1876534,124311,11419,6011078
2018:Q2,18945391,70350,1886919,520362,4212134,434,632145,2388992,552406,638157,10917679,3477608,8334,5371931,2059806,9300,34016,281949,65336,8680,170393,768273,19473280,16984712,160333,2386885,11965884,660926,378229,183081,195148,638737,28840,92985,671893,160457,511436,2488568,122364,336620,1893243,136341,11784,6007842
2018:Q3,18956315,68041,1769493,542645,4201715,239,649486,2370606,534815,646569,11020540,3494367,11032,5411668,2103473,9287,34448,288217,64323,8722,171673,777211,19471939,17005000,123997,2339251,12069486,642687,370511,174623,195888,613075,28539,98548,718906,155414,563492,2466939,128163,359929,1853755,125092,12539,6076936
2018:Q4,19220890,82044,1555954,701992,4346172,179,736678,2445474,533454,630387,11280739,3663760,11309,5442515,2163155,9095,31179,241035,65418,8247,172090,726925,19733474,17265596,172924,2466114,12200473,646730,338255,157502,180753,632800,27763,109672,670865,150681,520184,2467878,106735,311438,1926627,123078,12393,6195483
2019:Q1,19333662,69871,1580789,724825,4422010,271,737010,2505659,525655,653415,11277709,3677531,10579,5464285,2125314,4813,35414,267909,62767,9617,173428,704510,19936346,17382305,95815,2417026,12428857,640398,331446,153348,178098,572530,26223,105461,764549,137385,627164,2554041,113006,345116,1957418,138501,12982,6176526
2019:Q2,19539117,71488,1421452,758779,4527664,429,770446,2581598,511708,663483,11474822,3750037,12430,5540561,2171794,4758,36883,273732,63594,10203,175484,720258,20140084,17557294,55150,2460535,12520543,664654,341802,160445,181357,589544,25267,108906,790893,140670,650223,2582790,111279,347089,2002060,122362,12670,6334490
2019:Q3,19785354,70319,1427255,736041,4676132,436,855814,2635606,511886,672390,11588187,3773430,11764,5593153,2209840,2844,36091,281580,61898,10477,176941,717589,20370788,17797798,62846,2516422,12682834,706804,382457,187613,194844,553688,24235,119102,749410,161763,587647,2572990,117168,340299,1996779,118744,13095,6517263
2019:Q4,20088991,83424,1548849,738326,4683313,709,879315,2634396,514285,654608,11740187,3803082,13203,5654896,2269006,3490,38979,300949,60212,11332,178763,701167,20705562,18086281,79663,2648717,12884599,717062,399006,197328,201678,534623,23275,124218,675118,158302,516816,2619281,126489,360114,2013143,119535,13145,6734202
