1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q3,422,422,0,2680,2680,380,380,0,0,1142,1142,2838,0,2838,0,8677,0,4293,1659,2725,0,0,0,0,0,151,151,0,0,25658,49195,23946,25658,49195,23946
1952:Q4,433,433,0,2656,2656,420,420,0,0,1162,1162,3560,0,3560,0,8916,0,4432,1689,2795,0,0,0,0,0,160,160,0,0,26214,50967,24559,26214,50967,24559
1953:Q1,444,444,0,2618,2618,469,469,0,0,1184,1184,3652,0,3652,0,9140,0,4559,1721,2860,0,0,0,0,0,167,167,0,0,27068,52791,25050,27068,52791,25050
1953:Q2,422,422,0,2567,2567,505,505,0,0,1207,1207,3752,0,3752,0,9355,0,4677,1753,2925,0,0,0,0,0,175,175,0,0,27876,54418,25440,27876,54418,25440
1953:Q3,418,418,0,2509,2509,481,481,0,0,1231,1231,3853,0,3853,0,9557,0,4784,1785,2988,0,0,0,0,0,182,182,0,0,28706,56219,25841,28706,56219,25841
1953:Q4,420,420,0,2465,2465,558,558,0,0,1254,1254,3951,0,3951,0,9741,0,4877,1812,3052,0,0,0,0,0,191,191,0,0,29504,58056,26377,29504,58056,26377
1954:Q1,395,395,0,2415,2415,739,739,0,0,1275,1275,4044,0,4044,0,9901,0,4949,1835,3117,0,0,0,0,0,199,199,0,0,30054,59920,26944,30054,59920,26944
1954:Q2,454,454,0,2355,2355,819,819,0,0,1294,1294,4134,0,4134,0,10032,0,4998,1851,3183,0,0,0,0,0,205,205,0,0,30708,61580,27493,30708,61580,27493
1954:Q3,521,521,0,2304,2304,773,773,0,0,1315,1315,4225,0,4225,0,10160,0,5044,1868,3248,0,0,0,0,0,213,213,0,0,31277,63415,28146,31277,63415,28146
1954:Q4,531,531,0,2239,2239,802,802,0,0,1341,1341,4325,0,4325,0,10310,0,5104,1895,3311,0,0,0,0,0,224,224,0,0,31625,65248,28790,31625,65248,28790
1955:Q1,633,633,0,2200,2200,859,859,0,0,1371,1371,4432,0,4432,0,10479,0,5178,1929,3372,0,0,0,0,0,237,237,0,0,31888,67192,29573,31888,67192,29573
1955:Q2,732,732,0,2107,2107,855,855,0,0,1405,1405,4548,0,4548,0,10661,0,5263,1964,3434,0,0,0,0,0,259,259,0,0,31675,68881,30341,31675,68881,30341
1955:Q3,807,807,0,1997,1997,669,669,0,0,1442,1442,4665,0,4665,0,10849,0,5347,2008,3494,0,0,0,0,0,280,280,0,0,31528,70559,31053,31528,70559,31053
1955:Q4,874,874,0,1984,1984,698,698,0,0,1482,1482,4775,0,4775,0,11034,0,5414,2067,3553,0,0,0,0,0,295,295,0,0,31685,72436,31755,31685,72436,31755
1956:Q1,984,984,0,1893,1893,771,771,0,0,1525,1525,4884,0,4884,0,11215,0,5470,2142,3603,0,0,0,0,0,311,311,0,0,31906,74453,32536,31906,74453,32536
1956:Q2,1105,1105,0,1858,1858,739,739,0,0,1573,1573,4988,0,4988,0,11390,0,5510,2233,3647,0,0,0,0,0,317,317,0,0,32735,76263,33558,32735,76263,33558
1956:Q3,1290,1290,0,1792,1792,659,659,0,0,1622,1622,5090,0,5090,0,11574,0,5551,2330,3693,0,0,0,0,0,324,324,0,0,33442,77743,34584,33442,77743,34584
1956:Q4,1437,1437,0,1740,1740,683,683,0,0,1669,1669,5200,0,5200,0,11783,0,5608,2430,3745,0,0,0,0,0,339,339,0,0,33765,79756,35599,33765,79756,35599
1957:Q1,1694,1694,0,1693,1693,669,669,0,0,1714,1714,5316,0,5316,0,12019,0,5663,2556,3800,0,0,0,0,0,348,348,0,0,34978,83913,36458,34978,83913,36458
1957:Q2,1989,1989,0,1592,1592,696,696,0,0,1760,1760,5438,0,5438,0,12285,0,5723,2702,3860,0,0,0,0,0,370,370,0,0,35442,87866,37265,35442,87866,37265
1957:Q3,2122,2122,0,1490,1490,549,549,0,0,1804,1804,5558,0,5558,0,12554,0,5780,2856,3918,0,0,0,0,0,373,373,0,0,36957,91984,38049,36957,91984,38049
1957:Q4,2061,2061,0,1413,1413,653,653,0,0,1843,1843,5669,0,5669,0,12800,0,5829,3005,3966,0,0,0,0,0,378,378,0,0,38377,96066,38914,38377,96066,38914
1958:Q1,2182,2182,0,1388,1388,974,974,0,0,1877,1877,5772,0,5772,0,13022,0,5867,3142,4013,0,0,0,0,0,393,393,0,0,38752,98328,39929,38752,98328,39929
1958:Q2,2368,2368,0,1288,1288,1118,1118,0,0,1903,1903,5866,0,5866,0,13220,0,5891,3277,4052,0,0,0,0,0,414,414,0,0,38814,100472,41179,38814,100472,41179
1958:Q3,2474,2474,0,1287,1287,859,859,0,0,1931,1931,5959,0,5959,0,13422,0,5918,3415,4089,0,0,0,0,0,440,440,0,0,38606,102686,42287,38606,102686,42287
1958:Q4,2400,2400,0,1220,1220,819,819,0,0,1969,1969,6056,0,6056,0,13656,0,5966,3555,4135,0,0,0,0,0,469,469,0,0,38221,104978,43351,38221,104978,43351
1959:Q1,2456,2456,0,1186,1186,736,736,0,0,2017,2017,6160,0,6160,0,13923,0,6033,3697,4193,0,0,0,0,0,484,484,0,0,38918,107339,43318,38918,107339,43318
1959:Q2,2585,2585,0,1127,1127,776,776,0,0,2074,2074,6264,0,6264,0,14224,0,6122,3841,4261,0,0,0,0,0,510,510,0,0,38993,109535,43355,38993,109535,43355
1959:Q3,2413,2413,0,1075,1075,570,570,0,0,2133,2133,6374,0,6374,0,14527,0,6212,3986,4329,0,0,0,0,0,520,520,0,0,39889,111926,43225,39889,111926,43225
1959:Q4,2412,2412,0,1031,1031,589,589,0,0,2187,2187,6491,0,6491,0,14800,0,6279,4131,4390,0,0,0,0,0,547,547,0,0,39918,114324,43165,39918,114324,43165
1960:Q1,2553,2553,0,975,975,534,534,0,0,2238,2238,6623,0,6623,0,15049,0,6329,4282,4438,0,0,0,0,0,549,549,0,0,40880,116820,44460,40880,116820,44460
1960:Q2,2703,2703,0,917,917,736,736,0,0,2288,2288,6768,0,6768,0,15280,0,6364,4437,4479,0,0,0,0,0,572,572,0,0,40782,119129,45797,40782,119129,45797
1960:Q3,2798,2798,0,873,873,737,737,0,0,2336,2336,6917,0,6917,0,15501,0,6393,4589,4519,0,0,0,0,0,573,573,0,0,41839,121606,47277,41839,121606,47277
1960:Q4,2940,2940,0,844,844,938,938,0,0,2379,2379,7061,0,7061,0,15721,0,6427,4728,4566,0,0,0,0,0,613,613,0,0,40780,124100,48515,40780,124100,48515
1961:Q1,3017,3017,0,803,803,1026,1026,0,0,2417,2417,7215,0,7215,0,15936,0,6463,4853,4620,0,0,0,0,0,657,657,0,0,39132,126727,49709,39132,126727,49709
1961:Q2,3120,3120,0,774,774,1154,1154,0,0,2448,2448,7367,0,7367,0,16146,0,6502,4963,4681,0,0,0,0,0,674,674,0,0,38832,129067,51084,38832,129067,51084
1961:Q3,3134,3134,0,743,743,1022,1022,0,0,2478,2478,7523,0,7523,0,16349,0,6537,5073,4739,0,0,0,0,0,697,697,0,0,38193,131710,52461,38193,131710,52461
1961:Q4,3201,3201,0,720,720,1180,1180,0,0,2512,2512,7683,0,7683,0,16545,0,6563,5195,4787,0,0,0,0,0,740,740,0,0,36517,134364,53882,36517,134364,53882
1962:Q1,3249,3249,0,677,677,1109,1109,0,0,2549,2549,7854,0,7854,0,16725,0,6571,5329,4825,0,0,0,0,0,749,749,0,0,36336,137190,53040,36336,137190,53040
1962:Q2,3400,3400,0,648,648,1193,1193,0,0,2587,2587,8040,0,8040,0,16882,0,6557,5477,4848,0,0,0,0,0,686,686,0,0,40046,139690,52642,40046,139690,52642
1962:Q3,3475,3475,0,620,620,984,984,0,0,2626,2626,8218,0,8218,0,17047,0,6550,5623,4874,0,0,0,0,0,716,716,0,0,38753,142537,51974,38753,142537,51974
1962:Q4,3446,3446,0,601,601,1213,1213,0,0,2667,2667,8363,0,8363,0,17249,0,6581,5749,4919,0,0,0,0,0,768,768,0,0,36262,145358,51365,36262,145358,51365
1963:Q1,3496,3496,0,575,575,1283,1283,0,0,2711,2711,8473,0,8473,0,17503,0,6652,5858,4993,0,0,0,0,0,803,803,0,0,34965,148340,52471,34965,148340,52471
1963:Q2,3762,3762,0,551,551,1325,1325,0,0,2758,2758,8547,0,8547,0,17820,0,6764,5963,5093,0,0,0,0,0,834,834,0,0,33855,150946,53359,33855,150946,53359
1963:Q3,3793,3793,0,523,523,1014,1014,0,0,2806,2806,8616,0,8616,0,18120,0,6879,6050,5191,0,0,0,0,0,864,864,0,0,32783,153909,54402,32783,153909,54402
1963:Q4,3893,3893,0,508,508,1151,1151,0,0,2853,2853,8710,0,8710,0,18323,0,6960,6105,5258,0,0,0,0,0,895,895,0,0,31670,156889,55462,31670,156889,55462
1964:Q1,3825,3825,0,491,491,977,977,0,0,2898,2898,8821,0,8821,0,18618,0,7077,6189,5352,0,0,0,0,0,940,940,0,0,30220,160015,56509,30220,160015,56509
1964:Q2,3752,3752,0,473,473,1153,1153,0,0,2941,2941,8940,0,8940,0,18917,0,7198,6267,5452,0,0,0,0,0,978,978,0,0,29164,162844,57574,29164,162844,57574
1964:Q3,3730,3730,0,455,455,989,989,0,0,2986,2986,9072,0,9072,0,19238,0,7336,6346,5556,0,0,0,0,0,1014,1014,0,0,28201,165940,58865,28201,165940,58865
1964:Q4,3912,3912,0,436,436,1199,1199,0,0,3039,3039,9220,0,9220,0,19599,0,7507,6434,5658,0,0,0,0,0,1049,1049,0,0,27284,169115,60289,27284,169115,60289
1965:Q1,3771,3771,0,411,411,1048,1048,0,0,3097,3097,9386,0,9386,0,19961,0,7684,6521,5756,0,0,0,0,0,1081,1081,0,0,27110,172477,61624,27110,172477,61624
1965:Q2,3865,3865,0,388,388,1175,1175,0,0,3160,3160,9571,0,9571,0,20341,0,7865,6624,5852,0,0,0,0,0,1087,1087,0,0,28293,175414,63220,28293,175414,63220
1965:Q3,3979,3979,0,371,371,944,944,0,0,3228,3228,9766,0,9766,0,20736,0,8047,6738,5951,0,0,0,0,0,1157,1157,0,0,26073,178692,64759,26073,178692,64759
1965:Q4,3928,3928,0,352,352,1045,1045,0,0,3303,3303,9962,0,9962,0,21145,0,8226,6859,6060,0,0,0,0,0,1203,1203,0,0,25033,182116,66360,25033,182116,66360
1966:Q1,3837,3837,0,332,332,824,824,0,0,3385,3385,10162,0,10162,0,21569,0,8403,6990,6176,0,0,0,0,0,1226,1226,0,0,26182,185850,68174,26182,185850,68174
1966:Q2,3927,3927,0,216,216,1025,1025,0,0,3475,3475,10368,0,10368,0,22009,0,8577,7132,6300,0,0,0,0,0,1223,1223,0,0,28805,189129,70254,28805,189129,70254
1966:Q3,4055,4055,0,164,164,735,735,0,0,3568,3568,10579,0,10579,0,22463,0,8752,7281,6430,0,0,0,0,0,1189,1189,0,0,33061,192795,72181,33061,192795,72181
1966:Q4,4193,4193,0,135,135,1037,1037,0,0,3659,3659,10793,0,10793,0,22930,0,8935,7435,6560,0,0,0,0,0,1249,1249,0,0,32178,196555,74055,32178,196555,74055
