1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,4,5,315,0,0,1,131,18,75,0,15,23,183,164,19,0,0,0,341,347,230,248,-18,75,15,0,19,8,0,-6,-6,0,25,ND
1952:Q1,5,5,836,0,0,4,220,56,124,0,16,24,480,496,-16,0,4,128,680,680,484,532,-48,160,40,0,-12,0,8,0,0,0,-156,ND
1952:Q2,5,5,592,0,0,4,244,20,152,0,28,44,280,300,-20,0,0,64,624,612,396,444,-48,136,56,0,-16,0,40,12,12,0,32,ND
1952:Q3,5,4,-292,0,0,-4,-328,-104,-184,0,-16,-24,76,104,-28,0,0,-36,-648,-656,-536,-560,24,-152,56,-4,-28,4,4,8,8,0,-355,ND
1952:Q4,5,5,-164,0,0,4,200,80,80,0,16,24,-324,-388,64,0,0,-44,340,304,172,188,-16,64,56,0,56,-4,-40,36,36,0,504,ND
1953:Q1,5,8,680,0,0,-4,-160,-40,-120,0,0,0,84,108,-24,0,0,760,812,804,-332,-332,0,1176,52,0,-24,4,-72,8,8,0,129,ND
1953:Q2,5,9,-740,0,0,0,108,-12,32,0,36,52,104,104,0,0,0,-952,-712,-724,232,248,-16,-1108,56,0,-4,4,96,12,12,0,24,ND
1953:Q3,5,9,308,0,0,4,-36,-60,-28,0,20,32,400,388,12,0,4,-64,-40,-56,-52,-56,4,-64,48,0,16,0,-4,16,16,0,-352,ND
1953:Q4,5,9,-168,0,0,0,232,84,76,0,28,44,-296,-376,80,0,0,-104,324,304,152,176,-24,80,44,0,80,-4,-48,20,20,0,488,ND
1954:Q1,6,8,244,0,0,0,-116,-28,-48,0,-16,-24,224,220,4,0,0,136,76,64,-16,-16,0,28,56,0,4,4,-12,12,12,0,-170,ND
1954:Q2,6,8,228,0,0,0,-4,-8,68,0,-24,-40,140,100,40,0,4,88,272,260,108,124,-16,68,52,0,40,0,-8,12,12,0,42,ND
1954:Q3,6,9,484,0,0,4,-48,-44,36,0,-16,-24,444,476,-32,0,4,80,148,140,96,100,-4,44,52,4,-36,4,-24,8,8,0,-339,ND
1954:Q4,6,9,144,0,0,0,328,100,164,0,24,40,-56,-284,228,0,0,-128,640,628,424,456,-32,164,36,0,232,0,-228,12,12,0,493,ND
1955:Q1,6,11,8,0,0,0,-68,-52,-136,0,48,72,8,64,-56,0,0,68,-172,-180,-136,-148,12,-40,0,0,-52,4,44,8,8,0,-185,ND
1955:Q2,6,12,396,0,0,4,380,-8,76,0,124,188,40,120,-80,0,4,-32,468,456,356,380,-24,108,-20,0,-80,4,88,12,12,0,66,ND
1955:Q3,6,12,112,0,0,0,108,-80,-56,0,96,148,204,244,-40,0,0,-200,-224,-240,-104,-116,12,-36,-20,0,-36,0,-44,16,16,0,-342,ND
1955:Q4,7,13,-320,0,0,0,240,60,16,0,64,100,-520,-508,-12,0,0,-40,164,148,120,128,-8,44,-8,0,-16,0,8,16,16,0,478,ND
1956:Q1,8,10,428,0,0,0,-276,-24,-48,0,-80,-124,284,268,16,0,0,420,232,216,96,108,-12,44,44,0,12,0,20,16,16,0,-198,ND
1956:Q2,8,11,568,0,0,4,-24,8,112,0,-56,-88,232,156,76,0,0,356,660,652,364,388,-24,116,76,4,76,4,12,8,8,0,89,ND
1956:Q3,8,11,892,0,0,0,-88,-24,108,0,-68,-104,672,616,56,0,0,308,548,540,352,384,-32,112,68,0,60,4,-56,8,8,0,-347,ND
1956:Q4,8,11,-288,0,0,4,-44,64,40,0,-60,-88,-376,-488,112,0,0,128,204,184,96,108,-12,60,36,0,112,-8,-112,20,20,0,489,ND
1957:Q1,9,14,84,0,0,0,-96,-48,-136,0,36,52,172,128,44,0,4,4,-112,-124,-92,-100,8,-48,-48,4,48,0,12,12,12,0,-201,ND
1957:Q2,9,14,392,0,0,0,64,-4,68,0,0,0,156,128,28,0,0,172,460,460,372,372,0,72,-76,4,28,4,56,0,0,0,63,ND
1957:Q3,9,14,256,0,0,0,-144,-76,-48,0,-8,-12,476,332,144,0,4,-80,-132,-136,-32,-44,12,128,-84,4,144,0,-296,4,4,0,-393,ND
1957:Q4,9,14,-540,0,0,4,-104,56,-8,0,-60,-92,-564,-620,56,0,4,120,20,0,76,60,16,164,-48,4,56,-16,-236,20,20,0,555,ND
1958:Q1,10,15,564,0,0,0,-128,-44,-56,0,-12,-16,600,412,188,0,0,92,268,268,240,252,-12,-212,-44,0,188,4,92,0,0,0,-301,ND
1958:Q2,10,13,572,0,0,0,140,28,112,0,0,0,104,184,-80,0,0,328,672,668,516,540,-24,-132,-8,4,-80,0,368,4,4,0,97,ND
1958:Q3,10,13,572,0,0,0,-152,-64,-76,0,-4,-8,432,500,-68,0,4,288,196,192,176,176,0,148,-8,0,-68,0,-56,4,4,0,-379,ND
1958:Q4,10,14,-736,0,0,0,188,116,112,0,-16,-24,-856,-728,-128,0,0,-68,-124,-120,-56,-60,4,116,-12,4,-132,8,-48,-4,-4,0,608,ND
1959:Q1,10,14,960,0,0,0,-16,-20,12,0,-4,-4,404,500,-96,0,0,572,580,576,-176,-164,-12,804,20,-4,-92,0,24,4,4,0,-384,ND
1959:Q2,10,14,808,0,0,4,20,0,20,0,0,0,-20,-24,4,0,4,800,940,932,-240,-228,-12,1120,28,0,4,4,16,8,8,0,128,ND
1959:Q3,10,15,1116,0,0,0,-32,-52,20,0,0,0,500,540,-40,0,0,648,768,760,-148,-132,-16,1092,28,0,-44,4,-172,8,8,0,-353,ND
1959:Q4,10,14,-2444,0,0,0,132,112,12,0,4,4,-524,-620,96,0,0,-2052,-1812,-1836,-400,-376,-24,-1376,28,0,100,-4,-184,24,24,0,628,ND
1960:Q1,9,15,1020,0,0,0,-136,-116,-12,0,-4,-4,592,396,196,0,4,560,568,556,408,492,-84,108,36,-8,196,0,-184,12,12,0,-458,ND
1960:Q2,9,15,616,0,0,0,4,32,-16,0,-4,-8,144,84,60,0,4,464,812,796,264,352,-88,120,36,-8,60,4,320,16,16,0,190,ND
1960:Q3,9,15,500,0,0,4,-72,-24,-16,0,-12,-20,832,616,216,0,4,-268,244,228,420,504,-84,96,44,-4,216,4,-548,16,16,0,-262,ND
1960:Q4,10,15,-232,0,0,0,124,176,-32,0,-8,-12,-172,-400,228,0,4,-188,328,312,260,352,-92,156,44,-8,232,4,-376,16,16,0,555,ND
1961:Q1,10,15,1176,0,0,4,564,332,192,0,16,24,2168,1976,192,0,0,-1560,784,768,616,572,44,80,44,12,200,4,-188,16,16,0,-397,ND
1961:Q2,10,15,976,0,0,8,164,-60,192,0,12,20,536,468,68,0,4,264,1136,1124,840,792,48,316,48,12,68,0,-160,12,12,0,155,ND
1961:Q3,10,15,-36,0,0,-4,372,-28,308,0,36,56,-288,-396,108,0,0,-116,-204,-212,48,84,-36,-220,52,-4,108,4,-200,8,8,0,-173,ND
1961:Q4,10,16,-1544,0,0,0,-744,-36,-576,0,-52,-80,-592,-752,160,0,0,-208,-1092,-1084,-1056,-968,-88,148,28,-8,156,20,-372,-8,-8,0,446,ND
1962:Q1,10,17,636,0,0,-4,856,-92,584,0,144,220,-204,-88,-116,0,0,-12,232,224,212,164,48,204,16,-8,-116,4,-88,8,8,0,-411,ND
1962:Q2,10,19,160,0,0,-4,1132,68,580,0,192,292,-928,-820,-108,0,4,-44,320,308,88,36,52,172,0,-8,-108,0,164,12,12,0,151,ND
1962:Q3,10,19,-100,0,0,0,-496,-24,-536,0,24,40,408,456,-48,0,0,-12,-108,-116,4,88,-84,-324,-4,-4,-48,4,256,8,8,0,-17,ND
1962:Q4,10,19,-168,0,0,0,-844,36,-748,0,-52,-80,20,-224,244,0,-4,660,120,88,184,-24,208,-192,8,4,244,-20,-140,32,32,0,279,ND
1963:Q1,9,15,480,0,0,8,68,60,60,0,-20,-32,900,908,-8,0,4,-500,232,224,260,336,-76,-324,52,12,-8,4,228,8,8,0,-254,ND
1963:Q2,9,16,364,0,0,4,-136,8,68,0,-84,-128,600,504,96,0,0,-104,468,468,240,328,-88,56,68,12,100,0,-8,0,0,0,97,ND
1963:Q3,10,17,-108,0,0,8,-932,-32,-464,0,-172,-264,736,712,24,0,0,80,4,4,164,232,-68,-288,68,-16,16,0,60,0,0,0,105,ND
1963:Q4,10,17,32,0,0,0,-276,8,-92,0,-76,-116,-256,-336,80,0,0,564,148,172,-32,-120,88,168,60,20,88,12,-144,-24,-24,0,109,ND
1964:Q1,10,19,524,0,0,0,40,84,-4,0,-16,-24,448,252,196,0,0,36,400,400,192,132,60,144,32,16,200,0,-184,0,0,0,-133,ND
1964:Q2,10,21,624,0,0,0,-12,-16,-8,0,4,8,272,212,60,0,4,360,640,632,216,152,64,804,24,16,56,0,-484,8,8,0,5,ND
1964:Q3,10,21,668,0,0,-16,564,48,356,0,64,96,88,48,40,0,4,28,848,844,332,572,-240,1080,28,-4,40,4,-636,4,4,0,169,ND
1964:Q4,10,21,156,0,0,240,-288,-84,-172,0,-12,-20,-360,-460,100,0,4,560,636,644,424,592,-168,912,20,20,104,16,-852,-8,-8,0,469,ND
1965:Q1,10,21,1416,0,0,-168,172,216,-36,0,-4,-4,184,212,-28,0,16,1212,1132,1124,932,768,164,620,76,-16,-28,0,-460,8,8,0,-295,ND
1965:Q2,11,21,1088,0,0,60,-124,-100,-32,0,4,4,-92,-156,64,0,12,1232,1076,1084,980,976,4,-540,72,-20,60,-4,536,-8,-8,0,-22,ND
1965:Q3,12,22,-1548,0,0,8,332,12,228,0,36,56,300,308,-8,0,4,-2192,-1276,-1264,-1700,-1276,-424,-880,68,0,-12,0,1260,-12,-12,0,262,ND
1965:Q4,12,23,-1044,0,0,36,96,-64,108,0,20,32,-1064,-1040,-24,0,8,-120,-1108,-1076,-1236,-1352,116,116,84,28,-16,0,-52,-32,-32,0,-75,ND
1966:Q1,12,22,4,0,0,-40,-180,84,-204,0,-24,-36,124,112,12,0,12,88,44,56,-580,-596,16,-48,72,-16,12,0,616,-12,-12,0,30,ND
1966:Q2,12,22,1552,0,0,72,-284,-12,-200,0,-28,-44,180,92,88,0,12,1572,1532,1516,20,100,-80,1228,80,-16,88,0,116,16,16,0,-30,ND
1966:Q3,13,22,620,0,0,-80,564,112,300,0,60,92,348,360,-12,0,8,-220,700,688,748,616,132,-32,-4,48,-12,4,-64,12,12,0,71,ND
1966:Q4,13,23,340,0,0,-32,88,44,-96,0,56,84,1140,1056,84,0,12,-868,124,64,708,568,140,-416,4,40,84,-16,-340,60,60,0,-226,ND
1967:Q1,13,24,-1580,0,0,-108,160,152,-96,0,40,64,188,96,92,0,12,-1832,-1556,-1572,-840,-244,-596,-256,104,-4,96,0,-672,16,16,0,13,ND
1967:Q2,14,24,1816,0,0,52,132,-48,-112,0,116,176,552,140,412,0,8,1072,1708,1704,-412,-492,80,1632,100,0,412,4,-32,4,4,0,-118,ND
1967:Q3,14,24,-52,0,0,28,808,36,336,0,172,264,148,112,36,0,12,-1048,240,232,192,1220,-1028,-352,112,-12,36,0,256,8,8,0,282,ND
1967:Q4,14,25,396,0,0,128,548,-56,340,0,104,160,180,152,28,0,12,-472,488,488,424,1104,-680,-504,128,-12,32,8,412,0,0,0,81,ND
1968:Q1,14,31,1096,0,0,-56,124,100,56,0,-12,-20,332,304,28,0,12,684,1304,1296,-368,308,-676,1436,160,16,32,0,20,8,8,0,191,ND
1968:Q2,15,30,1868,0,0,8,-32,68,72,0,-68,-104,700,660,40,0,16,1176,1636,1624,-492,220,-712,2696,172,16,32,4,-804,12,12,0,-247,ND
1968:Q3,15,31,-3284,0,0,-12,-16,80,88,0,-72,-112,376,320,56,0,12,-3644,-3116,-3128,304,748,-444,-3652,132,24,56,4,4,12,12,0,152,ND
1968:Q4,16,32,3900,0,0,32,-188,-20,-40,0,-52,-76,68,100,-32,0,8,3980,3768,3760,564,8,556,4044,152,28,-32,8,-1004,8,8,0,-148,ND
1969:Q1,15,32,1844,0,0,40,160,164,8,0,-4,-8,652,616,36,0,0,992,2336,2324,12,688,-676,7340,220,48,44,4,-5344,12,12,0,475,ND
1969:Q2,15,32,680,0,0,104,92,128,4,0,-16,-24,1496,1072,424,0,0,-1012,608,588,48,812,-764,432,84,44,420,4,-444,20,20,0,-89,ND
1969:Q3,17,33,1608,0,0,-36,232,240,32,0,-16,-24,1604,1308,296,0,16,-208,1708,1688,532,724,-192,1112,312,24,304,4,-600,20,20,0,84,ND
1969:Q4,17,34,-944,0,0,36,360,208,40,0,44,68,1524,1464,60,0,16,-2880,-1064,-1116,1504,1224,280,-8932,308,40,60,-28,5932,52,52,0,-137,ND
1970:Q1,16,29,5780,0,0,104,-1000,560,-1164,0,-156,-240,4068,3932,136,0,16,2592,5484,5464,-2124,-1172,-952,15808,696,-36,144,4,-9028,20,20,0,-309,ND
1970:Q2,17,30,712,0,0,168,388,-20,176,0,92,140,2648,2128,520,0,20,-2512,-1144,-1160,-1780,32,-1812,-1528,360,8,504,4,1272,16,16,0,-1869,ND
1970:Q3,17,30,2208,0,0,-148,1020,676,376,0,-12,-20,3476,3580,-104,0,16,-2156,2420,2404,-1104,-740,-364,5108,276,-4,-112,4,-1764,16,16,0,199,ND
1970:Q4,18,29,-940,0,0,-28,2428,264,36,0,840,1288,32,-704,736,0,16,-3388,1296,1272,712,-216,928,-2668,172,112,764,-4,2184,24,24,0,2225,ND
1971:Q1,19,36,580,0,0,144,-2128,-128,-156,0,-728,-1116,176,-144,320,0,8,2380,204,188,-2768,-120,-2648,6320,224,-16,324,4,-3900,16,16,0,-393,ND
1971:Q2,19,37,656,0,0,448,-976,-80,-724,0,-68,-104,2264,1872,392,0,12,-1092,-840,-860,-3784,64,-3848,6388,152,44,380,4,-4044,20,20,0,-1514,ND
1971:Q3,20,37,2352,0,0,-196,308,224,0,0,32,52,1204,804,400,0,-20,1056,2340,2324,1460,568,892,-2580,456,388,400,8,2192,16,16,0,-29,ND
1971:Q4,20,39,-1032,0,0,-252,192,268,-56,0,-8,-12,-1120,-672,-448,0,-16,164,660,664,7820,1096,6724,-9516,208,1228,-432,28,1328,-4,-4,0,1673,ND
1972:Q1,20,35,7340,0,0,596,1280,280,812,280,-36,-56,3232,2920,312,0,64,2168,7460,7440,12668,-1588,14256,-17096,388,1392,312,4,9772,20,20,0,105,ND
1972:Q2,20,36,28,0,0,368,-324,-12,-388,280,-80,-124,-284,260,-544,0,28,240,660,644,2592,960,1632,-5164,304,-804,-552,4,4264,16,16,0,616,ND
1972:Q3,21,37,3504,0,0,-196,1024,460,436,280,-60,-92,2540,2868,-328,0,0,136,3104,3088,4272,600,3672,-620,-1096,1712,-332,4,-852,16,16,0,-416,ND
1972:Q4,21,39,-144,0,0,396,-564,-272,-384,-28,48,72,-3228,-2996,-232,0,0,3252,-1992,-1980,-11496,-144,-11352,9608,-1084,-1060,-232,32,2252,-12,-12,0,-1866,ND
1973:Q1,22,49,3428,0,0,148,324,828,-512,336,-4,-324,2932,2632,220,80,60,-36,592,576,1568,-7660,9228,-4568,1548,2188,224,4,-388,16,16,0,-2863,ND
1973:Q2,23,51,4636,0,0,1164,1284,820,176,192,-4,100,2148,1688,484,-24,-80,120,6764,6708,-280,2376,-2656,4032,180,1424,488,16,848,56,56,0,2100,ND
1973:Q3,23,53,4496,0,0,-348,-680,-1112,132,296,104,-100,4628,3680,884,64,72,824,5200,5144,6592,-248,6840,-4488,1424,728,884,16,-12,56,56,0,674,ND
1973:Q4,25,54,3392,0,0,264,596,416,80,-60,8,152,2936,2844,4,88,144,-548,4136,4040,-5628,-4504,-1124,6080,692,1388,16,28,1464,96,96,0,715,ND
1974:Q1,25,62,5844,0,0,1736,1160,660,-28,436,96,-4,3168,1796,1340,32,44,-264,7996,7940,9492,10612,-1120,-1192,328,-444,1352,16,-1612,56,56,0,2115,ND
1974:Q2,27,64,10412,0,0,-632,1244,940,92,124,128,-40,9880,7288,2568,24,4,-84,6080,5852,-14800,-11480,-3320,14704,756,2064,2588,56,484,228,228,0,-4369,ND
1974:Q3,29,68,7224,0,0,992,-128,104,-196,-180,96,48,6948,4320,2564,64,-4,-584,13440,13216,19980,9948,10032,-11024,2116,780,2584,60,-1280,224,224,0,6177,ND
1974:Q4,30,68,5532,0,0,-1736,1364,908,348,180,-120,48,7436,6160,1204,72,4,-1536,7492,7084,1368,-6228,7596,2128,1296,1104,1228,88,-128,408,408,0,1922,ND
1975:Q1,39,90,1612,0,0,1104,-2716,-1640,-256,-892,72,0,2664,1556,648,460,56,504,3032,2808,1320,1588,-268,-4940,716,-280,656,60,5276,224,224,0,1369,ND
1975:Q2,42,91,1476,0,0,-816,1456,1436,-52,-192,128,136,-1264,-1056,-740,532,-68,2168,-340,-360,-10648,-3044,-7604,7840,2000,544,-748,4,648,20,20,0,-1865,ND
1975:Q3,44,93,852,0,0,1652,-336,-144,40,-216,52,-68,1412,1932,-272,-248,-4,-1872,4872,4852,6324,5576,748,-5164,3856,-1356,-280,4,1468,20,20,0,3971,ND
1975:Q4,46,95,2436,0,0,-700,1164,308,696,216,-120,64,1640,1488,556,-404,56,276,2168,2356,-10912,-10544,-368,4568,6964,1796,568,-48,-580,-188,-188,0,-317,ND
1976:Q1,63,129,-44,0,0,996,28,104,380,-60,-112,-284,-620,-1244,704,-80,252,-700,980,960,2096,1960,136,468,-2456,-604,744,4,708,20,20,0,958,ND
1976:Q2,64,132,2260,0,0,-160,540,-380,624,220,40,36,3164,2492,684,-12,-32,-1252,1432,1332,160,-2660,2820,1780,1440,-104,656,28,-2628,100,100,0,-896,ND
1976:Q3,66,137,1424,0,0,-500,872,1484,-312,-276,24,-48,316,28,424,-136,-48,784,972,868,-2204,9380,-11584,772,1488,264,424,24,100,104,104,0,-523,ND
1976:Q4,69,143,2368,0,0,844,2288,624,1516,92,56,0,-28,-1100,1228,-156,-32,-704,6104,5828,-5016,-11924,6908,6448,1056,2344,1244,-44,-204,276,276,0,3662,ND
1977:Q1,95,182,1060,0,0,116,-656,712,-740,-268,-320,-40,2428,1700,720,8,104,-932,792,692,852,8676,-7824,-3276,1104,-312,812,28,1484,100,100,0,-355,ND
1977:Q2,99,190,4112,0,0,860,-1740,-1308,-404,-72,48,-4,5196,4624,528,44,-4,-200,4292,4184,492,68,424,3676,1320,924,456,28,-2712,108,108,0,89,ND
1977:Q3,102,197,7372,0,0,2748,2532,1136,712,-32,548,168,2432,2032,484,-84,-12,-328,14532,14424,1860,-10292,12152,9700,536,228,368,28,1704,108,108,0,7065,ND
1977:Q4,107,208,4564,0,0,-588,644,-232,540,-84,-84,504,5388,4720,772,-104,36,-916,5632,5476,-8076,-2692,-5384,1976,5904,2856,892,-20,1944,156,156,0,967,ND
1978:Q1,147,312,11432,0,800,-324,1076,1136,-228,124,-136,180,7704,8328,-672,48,116,2060,10772,10664,8324,-7436,15760,-2104,3608,-408,-536,28,1752,108,108,0,-825,ND
1978:Q2,151,343,17388,0,1156,1236,2332,1536,604,356,-228,64,11568,11408,84,76,-12,1108,16540,16404,5856,3352,2504,2936,2044,1948,-120,40,3700,136,136,0,-1040,ND
1978:Q3,158,358,13416,0,-60,1436,944,720,44,44,-76,212,8840,10116,-1316,40,32,2224,18732,18592,3504,7644,-4140,2172,7916,1088,-1584,36,5460,140,140,0,5116,ND
1978:Q4,164,374,19332,0,416,1000,1396,484,624,268,-92,112,17348,16620,700,28,24,-852,25192,24948,-2304,-16640,14336,6832,12116,7984,1232,-28,-884,244,244,0,5650,ND
1979:Q1,234,548,15420,0,156,1488,208,568,-640,-160,-40,480,13480,12652,764,64,8,80,19676,19200,15508,23936,-8428,-68,952,-3276,944,120,5020,476,476,0,3942,ND
1979:Q2,246,555,20372,0,732,420,392,-684,944,-40,96,76,19024,17360,1596,68,-4,-192,14228,13756,2816,-11012,13828,7920,6872,1872,1984,124,-7832,472,472,0,-6453,ND
1979:Q3,257,582,33440,0,372,1468,4056,1500,528,140,76,1812,27120,22304,3500,1316,4,420,38692,38220,23492,8680,14812,-5172,9268,6432,3708,124,368,472,472,0,4927,ND
1979:Q4,271,589,10400,0,-1308,1968,720,1108,1180,144,132,-1844,9064,7320,180,1564,36,-80,16860,16252,14424,8612,5812,348,-2560,5232,644,-12,-1824,608,608,0,6142,ND
1980:Q1,349,863,17832,0,800,1924,44,-80,228,-212,124,-16,15108,9916,3624,1568,8,-52,18388,17072,23436,11404,12032,-17796,-1316,4580,3632,344,4192,1316,1316,0,42,ND
1980:Q2,366,832,11048,76,88,2604,-776,-1008,460,-92,300,-436,7496,2804,3128,1564,-40,1600,-5872,-8524,-6948,-26792,19844,-5152,-508,2380,2236,168,-700,2652,652,2000,-17386,ND
1980:Q3,383,857,10888,4,-1104,940,4176,2616,1288,-4,192,84,5032,3004,868,1160,16,1824,27620,24596,13012,12812,200,4460,13424,-10232,3368,228,336,3024,868,2156,16258,ND
1980:Q4,400,889,33244,4,828,3684,2632,1604,332,144,8,544,23068,23744,-1672,996,-32,3060,38288,41172,19804,-9544,29348,-3868,19972,4808,-1640,924,1172,-2884,-200,-2684,4555,ND
1981:Q1,404,920,10760,0,752,-4692,784,748,-748,232,4,548,12216,7000,3696,1520,-100,1800,26780,23364,9032,7444,1588,-3196,5252,6572,3744,188,1772,3416,720,2696,15504,ND
1981:Q2,424,956,22408,8,948,7428,2704,1852,112,52,-148,836,10040,5324,2732,1984,-48,1328,10828,16216,20072,1208,18864,-1852,2664,-6928,3596,460,-1796,-5388,1776,-7164,-12112,ND
1981:Q3,442,994,20184,-4,1092,388,556,344,240,776,-12,-792,12400,11692,-784,1492,8,5744,46244,44292,24412,10244,14168,-4124,12368,6800,1100,324,3412,1952,1244,708,25508,ND
1981:Q4,461,1023,28588,0,-404,11516,5428,1232,2044,-256,-128,2536,9964,1460,6548,1956,-64,2148,23960,22504,-50408,-68284,17876,-15404,54572,26200,4424,208,2912,1456,2824,-1368,-5190,ND
1982:Q1,456,1013,26976,8,308,-10268,-812,-2092,664,-40,-112,768,31348,25612,4380,1356,28,6364,24788,19640,-40684,-34460,-6224,-5956,57920,-344,6160,-212,2756,5148,1804,3344,-2745,ND
1982:Q2,475,986,33296,8,-324,3216,-232,-80,-1068,8,-72,980,29540,27180,776,1584,-12,1100,52136,44736,-12764,-15212,2448,908,47020,-1232,3388,580,6836,7400,1012,6388,18329,ND
1982:Q3,492,963,3192,0,940,-12232,540,-144,-172,60,-16,812,12708,15540,-3732,900,8,1228,43048,35188,-4292,-25464,21172,-3348,36688,14472,-5216,392,-3508,7860,968,6892,39385,ND
1982:Q4,509,945,22652,-8,464,9960,3768,-480,3836,-32,0,444,-276,-2384,1636,472,16,8728,-13848,-5664,-20860,-19536,-1324,1656,23976,-10204,1868,632,-2732,-8184,864,-9048,-36936,ND
1983:Q1,498,861,6176,0,656,4908,1628,-2488,3552,-136,0,700,13984,13540,320,124,36,-15036,-3756,-1368,26904,15932,10972,-1896,-28676,1200,532,100,468,-2388,788,-3176,-10295,ND
1983:Q2,514,878,-5016,4,-2344,796,4960,1796,3116,-128,-460,636,-5396,-5020,-172,-204,4,-3040,16952,14588,-21192,-10424,-10768,3300,35772,1084,-1708,276,-2944,2364,-8,2372,21604,ND
1983:Q3,531,918,26584,-4,-1212,-11436,580,-348,-1560,376,400,1712,33972,30136,4400,-564,-12,4696,41416,41416,10672,-5504,16176,-2080,19432,3016,6012,656,3708,0,1028,-1028,14445,ND
