1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q4,51260,1239,31650,7288,9092,5400,0,3692,0,1991,892,1099,0,51260,0,50087,1173,0,0
1959:Q1,50317,781,31437,7374,8831,5914,0,2917,0,1894,798,1096,0,50317,0,49117,1200,0,0
1959:Q2,53914,1016,33407,7986,9576,6457,0,3119,0,1929,798,1131,0,53914,0,52689,1225,0,0
1959:Q3,55887,1320,34014,8279,10264,6963,0,3301,0,2010,818,1192,0,55887,0,54615,1272,0,0
1959:Q4,59837,1424,35439,8343,12492,7247,0,5245,0,2139,888,1251,0,59837,0,58565,1272,0,0
1960:Q1,58983,908,35977,8464,11584,7180,0,4404,0,2050,860,1190,0,58983,0,57727,1256,0,0
1960:Q2,61452,1572,36856,8850,12153,7238,0,4915,0,2021,800,1221,0,61452,0,60129,1323,0,0
1960:Q3,60918,1526,36543,8881,11938,6658,0,5280,0,2030,788,1242,0,60918,0,59508,1410,0,0
1960:Q4,62903,2122,37651,8858,12027,6693,0,5334,0,2245,861,1384,0,62903,0,61457,1446,0,0
1961:Q1,61003,1795,37641,8971,10386,5247,0,5139,0,2210,849,1361,0,61003,0,59167,1836,0,0
1961:Q2,62145,2857,37343,9214,10385,5149,0,5236,0,2346,839,1507,0,62145,0,60157,1988,0,0
1961:Q3,63013,2725,37134,9395,11384,5449,0,5935,0,2375,793,1582,0,63013,0,61167,1846,0,0
1961:Q4,67109,2992,38585,9459,13346,6350,0,6996,0,2727,988,1739,0,67109,0,65339,1770,0,0
1962:Q1,65746,3202,38089,9617,11872,5232,0,6640,0,2966,1120,1846,0,65746,0,64099,1647,0,0
1962:Q2,67489,3084,39474,10147,11812,5987,0,5825,0,2972,1200,1772,0,67489,0,66008,1481,0,0
1962:Q3,68945,3259,40045,10332,12318,6129,0,6189,0,2991,1163,1828,0,68945,0,67357,1588,0,0
1962:Q4,74085,3450,42226,10573,14929,6999,0,7930,0,2907,1033,1874,0,74085,0,72484,1601,0,0
1963:Q1,71918,3160,41735,10639,13572,6239,0,7333,0,2812,914,1898,0,71918,0,70161,1757,0,0
1963:Q2,75234,3756,42769,11221,14556,6830,0,7726,0,2932,880,2052,0,75234,0,73331,1903,0,0
1963:Q3,76661,3373,42999,11351,15871,7417,0,8454,0,3067,916,2151,0,76661,0,74557,2104,0,0
1963:Q4,81834,3794,45623,11731,17313,8428,0,8885,0,3373,914,2459,0,81834,0,79786,2048,0,0
1964:Q1,78260,3561,45036,11911,14201,7208,0,6993,0,3551,890,2661,0,78260,0,76184,2076,0,0
1964:Q2,84780,4366,46688,12393,17648,8416,0,9232,0,3685,818,2867,0,84780,0,82651,2129,0,0
1964:Q3,83670,3863,47295,12529,16084,7824,0,8260,0,3899,816,3083,0,83670,0,81476,2194,0,0
1964:Q4,90007,5134,50264,12477,17588,8388,0,9200,0,4544,939,3605,0,90007,0,87946,2061,0,0
1965:Q1,91087,4309,52461,12968,16179,7881,0,8298,0,5170,1074,4096,0,91087,0,88958,2129,0,0
1965:Q2,97692,4292,55467,13599,19377,9726,0,9651,0,4957,1034,3923,0,97692,0,95640,2052,0,0
1965:Q3,97101,3929,56660,13801,17722,10233,0,7489,0,4989,1073,3916,0,97101,0,94914,2187,0,0
1965:Q4,105630,4707,61141,14046,20753,11706,0,9047,0,4983,1064,3919,0,105630,0,103738,1892,0,0
1966:Q1,104231,3546,62119,14668,19018,10895,0,8123,0,4880,954,3926,0,104231,0,102277,1954,0,0
1966:Q2,113634,5292,66583,15622,21255,12095,0,9160,0,4882,987,3895,0,113634,0,111704,1930,0,0
1966:Q3,110787,4707,67759,15650,17885,10585,0,7300,0,4786,957,3829,0,110787,0,108707,2080,0,0
1966:Q4,116906,5378,69715,16296,20715,11074,0,9641,0,4802,960,3842,0,116906,0,114609,2297,0,0
1967:Q1,114065,4488,70151,16495,18190,9285,0,8905,0,4741,888,3853,0,114065,0,111685,2380,0,0
1967:Q2,118872,5045,73315,17240,18717,10311,0,8406,0,4555,891,3664,0,118872,0,116515,2357,0,0
1967:Q3,117645,3532,72504,17199,19714,10233,0,9481,0,4696,970,3726,0,117645,0,115209,2436,0,0
1967:Q4,133476,13404,76269,17657,21298,10712,0,10586,0,4848,975,3873,0,133476,0,131054,2422,0,0
1968:Q1,122267,4976,76063,17895,18664,8707,7,9950,0,4669,927,3742,0,122267,0,119693,2574,0,0
1968:Q2,128992,6276,79900,18759,19532,10278,14,9240,0,4525,856,3669,0,128992,0,126317,2675,0,0
1968:Q3,129278,5424,80567,18709,20162,9889,23,10250,0,4416,818,3598,0,129278,0,126479,2799,0,0
