date,LM263191005.Q,LM153091003.Q,FL103091003.Q,FL633091003.Q,FL733091003.Q,FL903091005.Q
1945:Q4,33,0,33,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND
1946:Q4,68,0,68,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND
1947:Q4,51,0,51,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND
1948:Q4,10,0,10,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND
1949:Q4,10,0,10,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND
1950:Q4,57,0,57,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND
1951:Q4,91,0,91,0,0,0
1952:Q1,84,0,84,0,0,0
1952:Q2,102,0,102,0,0,0
1952:Q3,98,0,98,0,0,0
1952:Q4,75,0,75,0,0,0
1953:Q1,102,0,102,0,0,0
1953:Q2,74,0,74,0,0,0
1953:Q3,85,0,85,0,0,0
1953:Q4,114,0,114,0,0,0
1954:Q1,115,0,115,0,0,0
1954:Q2,128,0,128,0,0,0
1954:Q3,150,0,150,0,0,0
1954:Q4,158,0,158,0,0,0
1955:Q1,147,0,147,0,0,0
1955:Q2,127,0,127,0,0,0
1955:Q3,123,0,123,0,0,0
1955:Q4,129,0,129,0,0,0
1956:Q1,95,0,95,0,0,0
1956:Q2,141,0,141,0,0,0
1956:Q3,119,0,119,0,0,0
1956:Q4,138,0,138,0,0,0
1957:Q1,198,0,198,0,0,0
1957:Q2,176,0,176,0,0,0
1957:Q3,153,0,153,0,0,0
1957:Q4,131,0,131,0,0,0
1958:Q1,160,0,160,0,0,0
1958:Q2,132,0,132,0,0,0
1958:Q3,172,0,172,0,0,0
1958:Q4,149,0,149,0,0,0
1959:Q1,143,0,143,0,0,0
1959:Q2,137,0,137,0,0,0
1959:Q3,145,0,145,0,0,0
1959:Q4,132,0,132,0,0,0
1960:Q1,121,0,121,0,0,0
1960:Q2,140,0,140,0,0,0
1960:Q3,191,0,191,0,0,0
1960:Q4,148,0,148,0,0,0
1961:Q1,189,0,189,0,0,0
1961:Q2,213,0,213,0,0,0
1961:Q3,238,0,238,0,0,0
1961:Q4,236,0,236,0,0,0
1962:Q1,234,0,234,0,0,0
1962:Q2,296,0,296,0,0,0
1962:Q3,788,0,788,0,0,0
1962:Q4,790,0,790,0,0,0
1963:Q1,828,0,828,0,0,0
1963:Q2,1065,0,1065,0,0,0
1963:Q3,1000,0,1000,0,0,0
1963:Q4,731,0,731,0,0,0
1964:Q1,867,0,867,0,0,0
1964:Q2,978,0,978,0,0,0
1964:Q3,1243,0,1243,0,0,0
1964:Q4,1097,0,1097,0,0,0
1965:Q1,1033,0,1033,0,0,0
1965:Q2,822,0,822,0,0,0
1965:Q3,892,0,892,0,0,0
1965:Q4,781,0,781,0,0,0
1966:Q1,884,0,884,0,0,0
1966:Q2,917,0,917,0,0,0
1966:Q3,932,0,932,0,0,0
1966:Q4,885,0,885,0,0,0
1967:Q1,951,0,951,0,0,0
