date,FU564090005.Q,FU563034003.Q,FU564022005.Q,FU563061103.Q,FU563062003.Q,FU563063003.Q,FU563064100.Q,FU563093003.Q,FU564090005.Q,FU564091600.Q,FU564092603.Q,FU564091703.Q,FU564091403.Q,FU564091303.Q,FU564091203.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1952:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1952:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1952:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1952:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1953:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1953:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1953:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1953:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1954:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1954:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1954:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1954:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1955:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1955:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1955:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1955:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1956:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1956:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1956:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1956:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1957:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1957:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1957:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1957:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1958:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1958:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1958:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1958:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
