date,FA263192305.Q,FA263192313.Q,FA263092313.Q,FA103092305.Q,FA763092305.Q,FA513092305.Q,FA543092375.Q,FA613092305.Q,FA663092305.Q,FA733092305.Q,FA103192305.Q,FA115114305.Q,FA753192305.Q,FA513192305.Q,FA543192375.Q,FA613192305.Q,FA663192305.Q,FA733192305.Q,FA503192305.Q,FA263092305.Q,FA263092323.Q,FA263192323.Q,FA263192005.Q,FA263092001.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,9,ND,ND,16,-1,-1,-3,-1,-1,0,-5,1,1,1,0,0,1,0,0,-1,ND,ND,230,-4
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,29,ND,ND,16,1,3,5,1,3,0,-30,3,5,9,8,1,6,0,0,2,ND,ND,749,10
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1988:Q4,13776,4740,-20196,11248,996,936,104,356,136,0,24520,2484,1136,704,-252,-1016,756,0,0,28332,47084,18752,17260,87260
1989:Q1,19072,28380,11960,17389,651,596,52,300,84,0,49870,1208,2772,1520,1672,3464,36,0,-2,60540,53848,-6692,51192,74332
1989:Q2,668,18904,11268,-421,277,284,20,496,12,0,14569,592,256,484,36,3688,472,0,-1,20096,11600,-8496,23772,61300
1989:Q3,2888,16652,7976,1710,310,332,8,492,36,0,1245,-172,-48,292,132,-4268,-216,0,-1,-3036,16220,19256,29028,46076
1989:Q4,32908,34248,-7068,26026,1802,1892,244,2816,128,0,13264,1092,156,1084,32,3724,1540,0,-0,20892,22800,1908,51276,91380
1990:Q1,3652,288,-6152,3278,314,288,32,-296,36,0,10550,136,476,188,296,-748,4,0,-2,10900,22300,11400,38776,63096
1990:Q2,-5100,-1968,100,-4604,-116,-148,-16,-208,-8,0,10852,268,696,208,-152,744,128,0,0,12744,25204,12460,15568,55092
1990:Q3,21128,40196,18940,18322,674,804,140,1096,92,0,3644,-48,-124,56,-100,-2212,-28,0,0,1188,27152,25964,71464,33256
1990:Q4,-34112,-952,21452,-30592,-760,-808,-132,-1712,-108,0,9123,-5100,-1616,2120,1008,-2428,-2584,0,1,524,7364,6840,5252,42544
1991:Q1,18616,9624,468,16770,390,304,52,1064,36,0,-21162,-336,-568,1052,-272,-2556,916,348,-2,-22580,-8772,13808,66732,16300
1991:Q2,-22180,5072,26024,-18904,-960,-840,-96,-1308,-72,0,25046,180,752,1100,576,8124,568,56,-2,36400,11356,-25044,3692,53512
1991:Q3,-4428,19908,21212,-4223,-81,-148,-32,44,12,0,-17004,-128,-580,-328,648,-5276,36,-28,0,-22660,8652,31312,34300,-5412
1991:Q4,-360,-41672,-41516,-487,19,-180,144,52,92,0,-13307,52,4384,3136,-2812,224,-148,0,-1,-8472,10720,19192,51744,28284
1992:Q1,29856,30144,-3524,25228,1292,1192,200,1748,196,0,-7442,-52,8,-328,76,360,44,-20,-2,-7356,1148,8504,78964,8344
1992:Q2,2132,15588,9648,1671,237,192,52,-84,64,0,8934,100,660,436,436,360,172,0,-2,11096,20400,9304,37260,23664
