date,FA263192305.Q,FA263192313.Q,FA263092313.Q,FA103092305.Q,FA763092305.Q,FA513092305.Q,FA543092375.Q,FA613092305.Q,FA663092305.Q,FA733092305.Q,FA103192305.Q,FA115114305.Q,FA753192305.Q,FA513192305.Q,FA543192375.Q,FA613192305.Q,FA663192305.Q,FA733192305.Q,FA503192305.Q,FA263092305.Q,FA263092323.Q,FA263192323.Q,FA263192005.Q,FA263092001.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,9,ND,ND,16,-1,-1,-3,-1,-1,0,-5,1,1,1,0,0,1,0,0,-1,ND,ND,230,-4
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,29,ND,ND,16,1,3,5,1,3,0,-30,3,5,9,8,1,6,0,0,2,ND,ND,749,10
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2007:Q1,-78456,11628,90080,-68735,-213,-2916,-388,5116,-11320,0,484,-44,-7604,-12164,-2176,-112,1424,276,0,-19916,133788,153708,395004,205600
2007:Q2,-53196,-12532,40664,-49875,-201,-1840,-316,5768,-6732,0,45668,48,-4080,-988,1508,4432,244,1720,0,48552,65516,16964,346028,268396
2007:Q3,-9588,25204,34788,-9052,1108,-680,56,4540,-5560,0,65680,-112,1852,8,-296,2880,224,76,0,70312,133816,63500,300824,351856
2007:Q4,71884,66344,-5540,58542,4098,2368,564,7856,-1544,0,47928,100,-21252,-4116,-1652,4676,-884,-756,0,24044,105476,81432,578100,85004
2008:Q1,9752,75844,66092,6663,1825,-1088,60,2472,-180,0,71552,-92,-740,-4832,-192,3964,-224,-116,0,69320,57848,-11468,359024,362076
2008:Q2,18024,43388,25364,14764,1756,-692,-88,2352,-68,0,94508,156,-3204,-584,-3924,948,344,-260,0,87984,125412,37428,371100,274716
2008:Q3,-104656,-54856,49800,-87436,-2824,-4004,-696,-4148,-5548,0,-24792,132,-10876,-6800,-4160,1180,7676,8,0,-37632,-15476,22156,258860,259444
2008:Q4,-47316,-180564,-133248,-43243,1647,-2544,-484,-952,-1740,0,-44520,-216,-3492,-7952,912,-196,-3324,48,0,-58740,-24300,34440,294784,377564
2009:Q1,88472,84040,-4432,69439,7517,2384,472,2356,0,6304,-42484,-112,6324,-5648,816,2544,-5928,4112,0,-40376,-19456,20920,288964,-1288
2009:Q2,50688,143860,93172,39275,4673,1752,784,192,0,4012,-12392,196,4320,4744,5212,2328,552,6720,0,11680,4120,-7560,262960,128724
2009:Q3,38728,80924,42200,27801,5527,1956,524,-616,0,3536,41216,716,8428,6716,4084,2440,-472,-8728,0,54400,35720,-18676,345620,226532
2009:Q4,15412,-98652,-114060,10450,2158,1972,-68,-1684,0,2584,-33008,108,9040,5084,-2416,2760,256,384,0,-17792,-15976,1820,339468,276984
2010:Q1,-77036,-57912,19124,-59526,-7054,-2352,244,-3632,0,-4716,11464,-12,3368,440,2404,1280,7944,-160,0,26728,22260,-4468,377048,152096
2010:Q2,-64224,-40624,23596,-52843,-3465,-2508,256,-2228,0,-3436,-6036,32,1012,1588,1316,-216,-136,524,0,-1916,-11660,-9744,259800,127132
2010:Q3,-19976,33032,53004,-20075,2027,-548,392,-752,0,-1020,10292,-36,472,248,1968,6612,736,5028,0,25320,53456,28136,327936,334432
2010:Q4,-6608,71692,78300,-2245,-827,-4672,560,948,0,-372,-47160,92,-2576,-1840,736,4428,7860,-860,0,-39320,-13296,26028,220552,228520
2011:Q1,39556,109412,69860,37571,105,-200,452,1616,0,12,-68,32,11552,1476,752,-5120,3264,-1660,0,10228,54652,44424,401040,170096
2011:Q2,26640,64660,38020,25610,842,-252,440,980,0,-980,5592,124,6900,-1164,5244,-4068,3312,-276,0,15664,33836,18172,507996,247568
2011:Q3,-35216,-8856,26356,-27797,-1395,-664,-112,-1588,0,-3660,57008,208,13720,1044,792,-4068,4216,2952,0,75872,14640,-61228,300800,270528
2011:Q4,39136,3688,-35448,37060,64,-48,660,2216,0,-816,78768,304,10936,2468,8832,-1036,2004,32,0,102308,87524,-14784,451252,280432
2012:Q1,85576,69432,-16148,73021,2691,672,1520,4104,0,3568,17908,-44,156,-5544,-1424,-1608,-780,-944,0,7720,59300,51580,405888,155892
2012:Q2,-34560,-33712,848,-27358,-2406,-320,8,-2540,0,-1944,22180,220,6056,6972,500,-328,-724,-436,0,34440,97124,62680,287160,303700
2012:Q3,9844,-4688,-14528,7846,1694,68,408,-264,0,92,29284,-40,6800,-4420,1492,456,1428,-2012,0,32988,42104,9116,324164,175072
2012:Q4,7684,41428,33740,7779,-1355,1096,764,-668,0,68,-58576,-180,-632,-9688,-3212,-3344,520,156,0,-74956,-46740,28212,336244,211204
2013:Q1,-23980,-28188,-4204,1286,-8654,-1928,-2012,-5408,0,-7264,7744,52,956,-704,-1556,-2536,2120,52,0,6128,7608,1480,289120,142684
2013:Q2,67532,107100,39564,61031,1873,1832,752,2476,0,-432,8892,-44,-892,-3628,-2684,-2992,1572,864,0,1088,103012,101924,391084,256596
2013:Q3,-69000,2400,71400,-57788,-1404,-900,-1004,-3056,0,-4848,20716,288,288,-3952,-2124,-4780,2404,-428,0,12412,9132,-3276,319784,243816
2013:Q4,-25624,-21260,4364,-16330,-2642,-1124,-228,-2292,0,-3008,10484,8,124,-1652,-6672,-1148,1656,-412,-0,2388,74572,72184,287764,225996
2014:Q1,44424,72144,27720,4933,9503,5312,3372,9776,0,11528,6984,-104,1372,3960,88,6148,5028,1404,0,24880,5804,-19076,252548,-293968
2014:Q2,-19236,-31112,-11880,-18138,-2586,532,-132,-2120,0,3208,50864,256,-2752,3044,-32,680,3348,-1616,0,53792,68944,15156,331988,316280
2014:Q3,33060,68176,35116,24363,1437,880,784,384,0,5212,160668,332,2896,7028,3224,4588,7576,-280,0,186032,188292,2260,399760,424204
2014:Q4,-47276,220,47500,-40450,-4226,-1520,-272,-2848,0,2040,2332,1128,-4636,2024,-3596,-1924,3608,12,0,-1052,61636,62688,406336,401432
2015:Q1,24804,31260,6456,26058,-1566,212,-24,1268,0,-1144,135724,668,-2100,6228,3148,-1008,2176,64,0,144900,155788,10888,323296,956604
2015:Q2,-23344,23992,47340,-15225,-1383,-1272,-1024,-644,0,-3796,49996,460,832,6632,-1280,-2960,3640,-252,0,57068,103680,46612,264076,374936
2015:Q3,-162716,-121756,40960,-134951,-6865,-3512,-2852,-6156,0,-8380,-30432,124,-2244,8076,-3124,-7188,-1840,32212,0,-4416,-17148,-12736,177852,254312
2015:Q4,89380,62792,-26588,81446,2338,1324,212,3044,0,1016,4764,320,352,12240,-2236,2708,2596,11812,0,32556,29968,-2588,332720,349540
2016:Q1,-19524,37204,56724,-14000,-2764,-184,-1440,-1368,0,232,116736,828,6988,12996,8480,-2056,7400,4460,0,155832,86108,-69724,321740,566720
2016:Q2,-44060,3952,48008,-39099,-3401,-812,-176,680,0,-1252,91416,1028,3500,-4964,2080,-508,2456,160,0,95168,142456,47288,340412,606940
2016:Q3,-15628,69636,85264,-15716,836,28,-28,-1136,0,388,-262492,1372,6216,-3736,2748,-584,-62708,443096,0,123912,124788,876,247708,475284
2016:Q4,-1912,-125096,-123184,-3393,217,524,-72,-404,0,1216,45140,604,4404,-5100,1288,-2588,7408,-2976,0,48180,-19580,-67764,311908,271120
2017:Q1,17352,73824,56472,16764,-688,484,436,548,0,-192,5832,-504,-1968,-1824,-736,608,-5800,15548,0,11156,12740,1580,436652,393588
2017:Q2,-108584,-47744,60836,-92171,-4025,-1564,-844,-5160,0,-4820,-20588,-436,-1744,-1840,704,-136,3652,9564,0,-10824,-24780,-13956,284444,315376
2017:Q3,33912,114332,80420,27814,3214,680,316,1404,0,484,-10668,-756,-4556,-2076,-72,476,-780,9392,0,-9040,30764,39808,374280,282788
2017:Q4,-97896,-96484,1416,-82663,-4113,-2664,-764,-3876,0,-3816,-8760,172,-3896,-1784,920,-616,7316,-17620,0,-24268,-27844,-3576,319276,308540
2018:Q1,364260,339536,-24724,332850,7702,4412,2732,9568,0,6996,-62176,3800,-6240,-3720,-4640,-1088,-6204,-50820,0,-131088,-40252,90836,-242388,132968
2018:Q2,15604,27813,12208,13313,547,1016,-1184,1268,0,644,-176328,3652,-5820,-3536,-5628,-924,-4920,4992,0,-188512,-190564,-2052,-282408,-36956
2018:Q3,-14948,106540,121488,-15387,1947,488,-284,240,0,-1952,-7616,11208,-1528,-1576,-2556,488,-2176,-7644,0,-11400,-29704,-18304,194356,419264
2018:Q4,-3668,-181860,-178192,-3964,-1352,-148,-140,1316,0,620,-45448,-20,-3492,-3072,-3800,32,-5900,-17424,0,-79124,-87184,-8060,-185644,350384
2019:Q1,-348836,-234716,114116,-298320,-14460,-7080,-3104,-14772,0,-11100,-60128,-720,-4332,176,1472,-2420,7344,21028,0,-37580,-49516,-11936,-158340,266372
2019:Q2,9200,180649,171448,6415,-207,796,212,652,0,1332,-21388,-300,-4072,-240,1828,-864,4988,8560,0,-11488,-25984,-14496,150932,259956
2019:Q3,-199052,-130260,68792,-171153,-5379,-4604,-2080,-8568,0,-7268,22144,1848,-3388,1300,2496,-696,5356,-33864,0,-4804,14248,19056,-66024,206888
2019:Q4,73588,-85176,-158760,61034,2110,2372,884,3100,0,4088,30660,-672,-3820,-2048,-428,2520,5436,-58928,0,-27280,21680,48964,295952,293536
2020:Q1,-145144,-77044,68100,-121927,-5785,-3744,-1528,-6176,0,-5984,-59592,-1644,-4292,-2012,-332,-2112,-10280,3652,0,-76612,-100028,-23416,49764,99852
2020:Q2,100316,-203730,-304048,83915,3429,3044,1124,4040,0,4764,-54120,-800,-3148,-2364,384,-1200,7768,1292,0,-52188,-40676,11512,607140,75584
2020:Q3,-101644,133144,234788,-86330,-2026,-2860,-1228,-4560,0,-4640,-24724,-932,-812,-140,-244,-108,2784,3412,0,-20764,89856,110620,240640,131360
2020:Q4,-13900,-79136,-65240,-10498,-1790,-392,-128,-664,0,-428,-123340,-1428,-3448,-500,12,-1812,1780,31236,0,-97500,-29064,68436,148356,145908
2021:Q1,33244,42928,9680,27170,1266,1152,256,1904,0,1496,17056,-16,-1004,-668,-312,948,1120,6412,0,23536,-5184,-28716,360888,255556
2021:Q2,-46040,89591,135628,-37542,-2266,-1400,-596,-2100,0,-2136,-72944,-324,-7420,-1780,-1276,-276,700,17840,0,-65480,-17284,48196,351620,349196
2021:Q3,-55364,115552,170916,-47526,-378,-1680,-588,-2496,0,-2696,79608,-124,376,-44,-552,608,3156,-39892,0,43136,30068,-13068,225612,539160
2021:Q4,-187908,-165520,22388,-152850,-9006,-5932,-1708,-8756,0,-9656,-28188,-412,-1652,-460,-1244,188,1412,27212,0,-3144,-18936,-15792,308920,499196
2022:Q1,-157620,24052,181676,-132526,-5506,-4396,-844,-7044,0,-7304,42744,276,-1208,-312,-4720,232,-1044,-13552,0,22416,19572,-2848,405976,327296
2022:Q2,117648,50851,-66804,109562,1326,1580,664,2072,0,2444,48740,-228,-1640,-588,-6868,-532,-3656,-38196,0,-2968,-3692,-724,465604,360620
2022:Q3,-147112,-129904,17208,-102477,-9367,-7952,-1120,-13248,0,-12948,120356,772,1748,2032,-3568,1072,-1328,-35180,0,85904,91036,5136,276808,463364
2022:Q4,21612,9976,-11636,18977,-705,764,472,628,0,1476,66240,80,420,-416,-3840,-852,2036,-54724,0,8944,-16916,-25860,460468,304884
2023:Q1,149976,140468,-9512,123667,6977,4436,376,7568,0,6952,-27272,-824,40,-1296,-1292,-1464,444,3256,0,-28408,-9340,19072,453020,439268
2023:Q2,-101892,-1144,100744,-83341,-4999,-2968,-448,-5236,0,-4900,9024,-176,3008,1020,-804,-184,3808,7572,0,23268,50380,27116,240236,318556
2023:Q3,64584,88696,24112,51449,4523,1992,140,3340,0,3140,6412,224,1480,908,-1032,392,936,19028,0,28348,24148,-4204,527648,307816
2023:Q4,66928,109544,42616,-55827,859,114776,376,3580,0,3164,23048,3980,1252,360,-1152,-600,-19512,-5436,0,1940,12960,11020,545440,299988
2024:Q1,97040,121214,24176,79185,3806,2883,427,5368,0,5372,8920,3591,2857,1054,-4696,909,11840,3954,0,28428,17080,-11356,578982,247645
