1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q1,61956,939,10202,260,18,18,0,35386,29547,5839,0,0,1529,2770,7081,3771,465520,0,0,2864,208482,206174,2308,69772,1850,67922,67922,6910,4483,173009,172477,0,532
1965:Q2,65393,1677,13387,260,25,25,0,36062,30336,5726,0,0,1524,2898,5695,3865,466254,0,0,2901,204938,202972,1966,70892,1876,69016,69016,6944,4531,176048,175414,0,634
1965:Q3,62579,1306,9080,250,47,47,0,36546,30789,5757,0,0,1519,3096,6756,3979,469041,0,0,2949,203720,201452,2268,71293,1861,69432,69432,6979,4790,179310,178692,0,618
1965:Q4,63430,1396,6750,250,45,45,0,37540,31686,5854,0,0,1519,3122,8880,3928,479092,0,0,3064,209695,207025,2670,71557,1845,69712,69712,7013,5048,182715,182116,0,599
1966:Q1,63821,1233,6716,250,67,67,0,38729,32660,6069,0,0,1571,3330,8088,3837,483552,0,0,3242,210070,206960,3110,71734,1830,69904,69904,7042,5035,186429,185850,0,579
1966:Q2,67351,1103,13162,240,106,106,0,39376,33095,6281,0,0,1609,3493,4335,3927,483734,0,0,3543,205040,200411,4629,73515,1815,71700,71700,7070,5130,189436,189129,0,307
1966:Q3,65573,1070,8758,230,547,547,0,40842,34268,6574,0,0,1623,3964,4484,4055,489482,0,0,3740,206503,202581,3922,73427,1800,71627,71627,7096,5401,193315,192795,0,520
1966:Q4,66432,905,6370,220,1355,1355,0,41448,34557,6891,0,0,1513,4371,6057,4193,500361,0,0,3963,212163,208138,4025,73938,1783,72155,72155,7120,5831,197346,196555,0,791
1967:Q1,68154,620,7334,250,1769,1769,0,43017,35964,7053,0,0,1546,4868,4998,3752,507032,0,0,4176,215090,209601,5489,73484,1770,71714,71714,7144,5723,201415,200684,0,731
1967:Q2,63233,645,8451,270,1737,1737,0,43841,36689,7152,0,0,1563,5435,-2588,3879,504531,0,0,4394,207080,199980,7100,74531,1755,72776,72776,7168,6141,205217,204295,0,922
1967:Q3,72295,926,8428,260,1345,1345,0,45283,37818,7465,0,0,1643,5746,4825,3839,517071,0,0,4560,215209,208290,6919,74799,1738,73061,73061,7188,6152,209163,208296,0,867
1967:Q4,74704,1304,7525,267,1267,1267,0,46016,38199,7817,0,0,1684,5839,6819,3983,531890,0,0,4646,225079,216899,8180,75283,1720,73563,73563,7200,6483,213199,212155,0,1044
1968:Q1,78908,1959,6850,330,1251,1251,0,47572,39354,8218,0,0,1724,6066,9303,3853,542016,0,0,4870,230651,222114,8537,75433,1702,73731,73731,7202,6200,217660,216457,0,1203
1968:Q2,76974,2748,6502,321,1658,1658,0,48452,39883,8569,0,0,1778,6248,5312,3955,543427,0,0,4930,226752,217294,9458,76916,1684,75232,75232,7194,6046,221589,220230,0,1359
1968:Q3,82187,3058,9687,350,1641,1641,0,49836,40901,8935,0,0,1632,6309,5720,3954,555434,0,0,4976,234466,223989,10477,76940,1670,75270,75270,7186,6095,225771,224572,0,1199
1968:Q4,80374,3340,5119,368,1401,1401,0,50834,41573,9261,0,0,1512,6414,7466,3920,563097,0,0,5062,237019,225679,11340,77200,1654,75546,75546,7186,6467,230163,228948,0,1215
1969:Q1,83672,3371,5837,350,1102,1102,0,51968,42461,9507,0,0,1534,6850,8970,3690,567442,0,0,5108,237104,225552,11552,77277,1635,75642,75642,7197,6124,234632,233460,0,1172
1969:Q2,79803,3915,7073,352,472,472,0,53000,43218,9782,0,0,1589,7203,2411,3788,560014,0,0,5166,224639,213596,11043,78340,1610,76730,76730,7217,6090,238562,237572,0,990
1969:Q3,82813,4076,7781,300,354,354,0,54096,44116,9980,0,0,1639,7466,3254,3847,569080,0,0,5198,229216,219837,9379,78585,1598,76987,76987,7239,5929,242913,241990,0,923
1969:Q4,84244,4691,6915,211,104,104,0,55270,45039,10231,0,0,1696,7333,4193,3831,579057,0,0,5334,233762,224726,9036,78821,1573,77248,77248,7252,6389,247499,246582,0,917
1970:Q1,87664,4872,8475,180,120,120,0,56165,45847,10318,0,0,1762,7165,5114,3811,589702,867,400,5397,236051,227467,8584,78487,1556,76931,76931,7321,6224,254955,254638,0,317
1970:Q2,83307,4340,10152,202,117,117,0,56868,46420,10448,0,0,1812,6971,-1003,3848,591846,867,400,5421,229874,221776,8098,80234,1532,78702,78702,7333,5692,262025,261708,0,317
1970:Q3,85940,3785,10612,360,113,113,0,57654,47158,10496,0,0,1860,6809,943,3804,607162,867,400,5492,237195,229196,7999,80397,1506,78891,78891,7344,5572,269895,269591,0,304
1970:Q4,86418,3573,9809,463,7,7,0,58154,47621,10533,0,0,1929,6556,2080,3847,624000,867,400,5556,245737,237659,8078,81290,1498,79792,79792,7358,5351,277441,277137,0,304
1971:Q1,86473,3672,6641,480,7,7,0,58602,48158,10444,0,0,1964,6120,5220,3767,633577,1584,400,5654,246667,239296,7371,82425,1484,80941,80941,7375,5349,284123,283809,0,314
1971:Q2,86050,3149,10810,517,0,0,0,59476,49072,10404,0,0,2013,5260,1137,3688,642562,1584,400,5797,248348,241212,7136,84272,1463,82809,82809,7393,4956,289812,289501,0,311
1971:Q3,89427,2053,11915,530,0,0,0,59991,49656,10335,0,0,2112,5024,4120,3682,658220,1584,400,5911,256652,249957,6695,85088,1445,83643,83643,7412,4877,296296,295985,0,311
1971:Q4,92131,2192,13228,520,25,25,0,60279,50126,10153,0,0,2176,4852,5194,3665,677176,1720,400,6046,268420,261392,7028,86325,1426,84899,84899,7429,4228,302608,302297,0,311
1972:Q1,93419,2897,9863,500,4,4,0,61102,50863,10239,0,0,2220,4856,8420,3557,689143,2491,400,6219,271715,264601,7114,86991,1401,85590,85590,7459,3945,309923,309611,0,312
1972:Q2,89484,2989,12103,492,3,3,0,61225,51031,10194,0,0,2289,4866,1974,3543,690956,2491,400,6372,264895,257796,7099,89905,1383,88522,88522,7498,3512,315883,315571,0,312
1972:Q3,92456,2785,11695,610,3,3,0,62093,52010,10083,0,0,2337,4693,4711,3529,703482,2491,400,6483,269111,261550,7561,90878,1362,89516,89516,7540,3754,322825,322513,0,312
1972:Q4,94879,2627,13287,606,8,8,0,62128,52668,9460,0,0,2447,4033,6244,3499,723636,2491,400,6579,280355,272428,7927,92395,1340,91055,91055,7581,4429,329406,329094,0,312
1973:Q1,101901,2814,14865,770,13,13,0,63114,53815,9299,0,0,2537,4143,10116,3529,739467,2767,400,6667,287691,279503,8188,93059,1318,91741,91741,7624,4183,337076,336764,0,312
1973:Q2,95347,2810,15029,730,6,6,0,62519,54250,8269,0,0,2613,4476,3610,3554,741489,2767,400,6860,280127,272356,7771,96280,1300,94980,94980,7671,4250,343134,342822,0,312
1973:Q3,94185,2810,9834,590,4,4,0,64506,55277,9229,0,0,2716,4378,5824,3523,748109,2767,400,6924,278614,270401,8213,96362,1284,95078,95078,7717,4491,350834,350522,0,312
1973:Q4,100209,2887,12642,439,6,6,0,64804,55933,8871,0,0,2820,4307,8202,4102,763060,2767,400,7001,284707,276350,8357,97122,1269,95853,95853,7756,5219,358088,357776,0,312
1974:Q1,100047,3101,10797,590,8,8,0,63240,54443,8797,0,0,2917,4516,10595,4283,773498,2767,400,6988,287296,278582,8714,97483,1249,96234,96234,7789,4918,365857,365857,0,0
1974:Q2,96086,3371,12109,446,0,0,0,64771,55099,9672,0,0,3059,4740,3898,3692,776461,2767,400,7085,280538,271853,8685,102073,1227,100846,100846,7816,5039,370743,370743,0,0
1974:Q3,101943,4159,11155,490,0,0,0,67585,56496,11089,0,0,3141,5097,6768,3548,788817,2723,400,7188,260246,251769,8477,125818,1196,124622,124622,7842,5567,379033,379033,0,0
1974:Q4,105967,4312,8254,477,0,0,0,72220,59586,12634,0,0,3357,5305,8481,3561,809337,2809,400,7333,270110,261883,8227,126347,1163,125184,125184,7871,6165,388302,386579,0,1723
1975:Q1,109921,4655,8945,650,0,0,0,74499,61597,12902,0,0,3509,5402,8729,3532,842021,2862,400,7500,286165,278231,7934,129721,1159,128562,128562,9015,10140,396218,394676,0,1542
1975:Q2,108550,4625,11293,492,0,0,0,78611,63588,15023,0,0,3628,5924,438,3539,868620,2836,500,7711,302643,294758,7885,135100,1117,133983,133983,9394,10737,399699,398323,0,1376
1975:Q3,119093,4662,12848,650,0,0,0,82294,65263,17031,0,0,3828,6315,5002,3494,900408,2671,500,7910,326920,319044,7876,133219,1100,132119,132119,9433,11616,408139,406917,0,1222
1975:Q4,124472,4571,11153,572,0,0,0,85642,66499,19143,0,0,4011,6495,8458,3570,934884,2685,500,8170,351626,343752,7874,134300,1073,133227,133227,10152,11791,415660,414535,0,1125
1976:Q1,133421,4801,10233,620,0,0,0,89082,69248,19834,0,0,4166,6499,14398,3622,968963,2653,500,8318,373786,365380,8406,135703,1051,134652,134652,10053,13549,424401,423340,0,1061
1976:Q2,134829,5759,17935,724,0,0,0,87513,68816,18697,0,0,4530,6882,8014,3472,988890,2629,500,8657,381077,372629,8448,144007,1029,142978,142978,10387,14559,427074,426124,0,950
1976:Q3,144045,6752,19881,570,0,0,0,91881,72390,19491,0,0,4874,6984,9648,3455,1016660,2654,800,8556,397628,388895,8733,144193,997,143196,143196,10440,16438,435951,435160,0,791
1976:Q4,142420,7005,14990,731,0,0,0,93791,74228,19563,0,0,5112,6949,12988,854,1044512,2665,1200,8659,411165,402836,8329,148547,982,147565,147565,10751,17920,443605,442955,0,650
1977:Q1,143970,7452,11898,590,0,0,0,95203,75423,19780,0,0,5297,6768,15976,786,1071680,2659,1200,8648,425577,417402,8175,150637,949,149688,149688,10803,19239,452917,452341,0,576
1977:Q2,140924,7500,19148,810,0,0,0,95956,74974,20982,0,0,5524,6583,4519,884,1081218,2674,1200,8765,421147,413050,8097,155475,919,154556,154556,10970,20153,460834,460353,0,481
1977:Q3,153297,7350,21995,760,0,0,0,100508,78243,22265,0,0,5767,7037,9039,841,1109882,2669,1200,8864,437068,429469,7599,165137,894,164243,164243,11069,21146,462729,462334,0,395
1977:Q4,152694,7605,14626,878,0,0,0,103554,79809,23745,0,0,5982,6187,13044,818,1138671,2787,1250,8909,453446,445890,7556,169160,869,168291,168291,11422,21125,470572,470572,0,0
1978:Q1,157218,7429,9099,690,0,0,0,107756,83502,24254,0,0,6274,7376,17733,861,1170555,2837,1250,9045,468700,461467,7233,173119,845,172274,172274,11475,22235,481894,481894,0,0
1978:Q2,161172,7128,20073,1051,0,0,0,110697,85586,25111,0,0,6416,7836,7122,849,1185438,2843,1250,9142,469674,462538,7136,176104,818,175286,175286,11781,22851,491793,491793,0,0
1978:Q3,178649,7188,25109,946,0,0,0,117147,90054,27093,0,0,6608,8077,12747,827,1211413,2939,1300,9271,480854,474270,6584,185924,792,185132,185132,11848,23953,495324,495324,0,0
1978:Q4,180237,5402,18652,942,0,0,0,120341,92375,27966,0,0,6849,8912,18204,935,1238477,2989,1300,9383,484360,478139,6221,197758,772,196986,196986,12112,25524,505051,505051,0,0
1979:Q1,183643,6446,10436,935,0,0,0,124435,94511,29924,0,0,7012,9151,24246,982,1260940,4077,1300,9659,493325,487732,5593,197120,746,196374,196374,12094,26361,517004,517004,0,0
1979:Q2,189316,7036,20826,973,0,0,0,131133,99499,31634,0,0,7158,9892,11333,965,1270158,4090,1800,9982,492727,487581,5146,194702,705,193997,193997,12357,27378,527122,527122,0,0
1979:Q3,203096,5826,27081,997,0,0,0,135808,102598,33210,0,0,7291,10224,14945,924,1294440,4175,1800,10262,503820,498750,5070,203548,680,202868,202868,12359,28676,529800,529800,0,0
1979:Q4,205375,5328,19183,1007,0,0,0,141523,106956,34567,0,0,7401,11313,18678,942,1322676,4173,1800,10493,521042,516104,4938,204867,654,204213,204213,12630,27767,539904,539904,0,0
1980:Q1,214875,8013,11623,909,0,0,0,148341,111278,37063,0,0,7617,12838,24756,778,1353757,5058,2968,10709,545493,540619,4874,195838,633,195205,195205,12598,28609,552484,552484,0,0
1980:Q2,211355,8463,17428,758,0,0,0,154908,115756,39152,0,0,7788,13316,7965,729,1373211,5353,3018,10849,558516,553831,4685,190402,601,189801,189801,12842,29247,562984,562984,0,0
