1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,69602,1631,12095,1821,0,0,9832,0,7332,439,2061,0,17376,2609,0,14767,0,874,0,3425,22101,447,329879,0,0,2398,189742,166727,245,22770,57350,0,57350,6142,3850,70397,59393,319670
1952:Q1,74790,1634,15618,1927,0,80,10141,0,7680,368,2093,0,17844,2900,0,14944,0,874,0,3657,22543,472,332560,0,0,2413,190584,165360,208,25016,57404,0,57404,6157,3771,72231,64246,322016
1952:Q2,76273,1663,15627,1948,0,167,10808,0,8140,563,2105,0,18180,2962,0,15218,0,874,0,3964,22479,563,337079,0,0,2420,192564,165031,53,27480,57792,0,57792,6177,3797,74329,65184,325990
1952:Q3,64846,1671,15291,1949,0,679,10957,0,8218,626,2113,0,18635,3055,0,15580,0,874,0,4292,9832,666,344113,0,0,2429,196959,167863,401,28695,58369,0,58369,6185,4017,76154,53535,332802
1952:Q4,67702,1557,14789,1979,0,247,11251,0,8538,602,2111,0,19054,3272,0,15782,0,874,0,4450,12707,794,352116,0,0,2435,201902,171619,626,29657,58722,0,58722,6185,4415,78457,55915,340329
1953:Q1,71303,1578,15630,2003,0,256,11532,0,8826,592,2114,0,19425,3481,0,15944,0,874,0,4746,14570,689,353052,0,0,2438,200140,168191,728,31221,58905,0,58905,6193,4651,80725,59450,341199
1953:Q2,72239,1506,13712,2082,0,0,11647,0,8988,515,2144,0,20244,3650,0,16594,0,874,0,4671,16945,558,356054,0,0,2451,201243,168581,283,32379,58901,0,58901,6211,4572,82676,60268,344083
1953:Q3,67220,1561,15891,2040,0,815,11811,0,9114,494,2203,0,20930,3759,0,17171,0,874,0,4748,7859,691,366462,0,0,2458,209238,175018,425,33795,59007,0,59007,6236,4691,84832,55061,354303
1953:Q4,67432,1471,13672,2299,0,175,12151,0,9342,516,2293,0,21094,3750,0,17344,0,874,0,4417,10462,817,373775,0,0,2469,214079,176814,2253,35012,59086,0,59086,6259,4758,87124,55023,361366
1954:Q1,70012,1429,15878,2627,0,-216,12351,0,9402,565,2384,0,21033,3704,0,17329,0,866,0,4682,10700,662,373988,0,0,2491,211627,172200,2911,36516,59052,0,59052,6246,5061,89511,57556,361532
1954:Q2,70894,1439,16282,2670,0,0,12483,0,9466,576,2441,0,20679,3717,0,16962,0,845,0,4577,11344,575,376263,0,0,2501,211783,171915,2002,37866,59295,0,59295,6187,4853,91644,58510,363879
1954:Q3,63219,1264,13286,2782,0,1006,12712,0,9638,606,2468,0,20765,3877,0,16888,0,845,0,4867,4959,733,381997,0,0,2503,214958,175045,537,39376,59437,0,59437,6087,4897,94115,50660,369438
1954:Q4,66195,1302,13704,2789,0,172,12916,0,9789,660,2467,0,20957,4007,0,16950,0,938,0,4823,7748,846,391385,0,0,2505,221533,178532,2338,40663,59764,0,59764,5960,5104,96519,53500,378690
1955:Q1,69676,1221,13649,2751,0,402,13173,0,9978,739,2456,0,21213,4056,0,17157,0,938,0,4858,10625,846,391424,0,0,2508,218723,173973,2595,42155,59959,0,59959,5861,5116,99257,56795,378543
1955:Q2,75048,1235,15526,2822,0,0,13475,0,10248,772,2455,0,21469,4164,0,17305,0,938,0,4811,13899,873,393239,0,0,2507,217814,172997,1550,43267,60324,0,60324,5809,5202,101583,61907,380098
1955:Q3,67580,1198,13844,2665,0,1136,13764,0,10550,751,2463,0,21569,4198,0,17371,0,938,0,4915,6431,1120,398933,0,0,2507,220767,175191,908,44668,60594,0,60594,5810,5386,103869,54126,385479
1955:Q4,70777,1168,13453,2713,0,721,14111,0,10936,696,2479,0,21579,4263,0,17316,0,938,0,5137,9614,1343,406607,0,0,2507,225497,178189,1611,45697,60728,0,60728,5795,5667,106413,56911,392741
1956:Q1,74687,1127,16037,2859,0,563,14323,0,11198,630,2495,0,21551,4282,0,17269,0,938,0,5098,10816,1375,406508,0,0,2509,222273,173724,1617,46932,60916,0,60916,5853,5842,109115,60536,392357
1956:Q2,77254,1076,16056,2840,0,0,14676,0,11531,642,2503,0,21809,4305,0,17504,0,935,0,5444,13022,1396,405056,0,0,2512,217506,168502,1151,47853,61157,0,61157,5943,6028,111910,62760,390562
1956:Q3,70829,1231,14124,2677,0,1878,14969,0,11779,691,2499,0,21857,4321,0,17536,0,970,0,5528,5839,1756,410275,0,0,2517,219431,169476,917,49038,61651,0,61651,6029,6267,114380,56056,395502
1956:Q4,73053,1776,12637,2730,0,1292,15235,0,11988,767,2480,0,22311,4365,0,17946,0,970,0,5477,8655,1970,418086,0,0,2526,223855,172637,1356,49862,61565,0,61565,6098,6684,117358,58066,403099
1957:Q1,78021,1718,15793,2924,0,1118,15317,0,12017,835,2465,0,22372,4457,0,17915,0,1045,0,5550,10111,2073,422740,0,0,2533,223790,171487,1378,50925,61102,0,61102,6144,6796,122375,62963,407682
1957:Q2,78297,1791,15028,3049,0,0,15327,0,12006,847,2474,0,22219,4551,0,17668,0,1038,0,5721,11913,2211,422524,0,0,2544,218819,166057,926,51836,60942,0,60942,6166,6930,127123,63239,407466
1957:Q3,73905,2045,14386,3082,0,2242,15188,0,11867,807,2514,0,22502,4684,0,17818,0,1038,0,5706,5218,2498,432887,0,0,2552,224565,170669,704,53192,60614,48,60566,6178,7069,131909,58880,417862
1957:Q4,74168,2080,12163,3084,0,1820,15002,0,11660,752,2590,0,23105,4848,0,18257,0,1038,0,5499,7776,2601,441323,0,0,2562,227891,171843,1679,54369,60388,96,60292,6185,7608,136689,59248,426403
1958:Q1,76026,2174,13501,3703,0,1758,14742,0,11326,750,2666,0,23432,4968,0,18464,0,1038,0,5231,7945,2502,445382,0,0,2578,228164,170060,2275,55829,60800,222,60578,6192,7709,139939,61313,430669
1958:Q2,80849,2187,18386,4388,0,0,14796,0,11395,696,2705,0,23627,5076,0,18551,0,1034,0,5124,8814,2493,452597,0,0,2590,231548,173354,1222,56972,61154,347,60807,6203,7855,143247,65991,437739
1958:Q3,71848,2178,11628,4035,0,2093,14842,0,11471,648,2723,0,24082,5182,0,18900,0,1028,0,5161,4081,2720,458715,0,0,2593,233718,173914,1291,58513,61452,439,61013,6219,8138,146595,56837,443704
1958:Q4,76286,2041,12261,3916,0,1417,14964,0,11627,600,2737,0,24761,5470,0,19291,0,1028,0,5222,7815,2861,471267,0,0,2600,242513,181096,1598,59819,61530,532,60998,6241,8517,149866,61072,456053
1959:Q1,76175,1871,12894,3909,0,204,15157,0,11848,564,2745,0,25535,5955,0,19580,0,1031,0,5261,7368,2945,475078,0,0,2606,243829,181118,1314,61397,61501,581,60920,6268,8714,152160,60707,459610
1959:Q2,79613,2186,13997,3978,0,0,15491,0,12165,579,2747,0,26396,6446,0,19950,0,1034,0,5373,8121,3037,479367,0,0,2621,245727,182046,1026,62655,61568,632,60936,6299,8818,154334,63763,463517
1959:Q3,80144,2346,15113,3497,0,998,15706,0,12375,593,2738,0,26923,6810,0,20113,0,1027,0,5450,6210,2874,488101,0,0,2626,252081,186548,939,64594,61492,739,60753,6327,9032,156543,64050,472007
1959:Q4,80540,2110,14590,3464,0,576,16104,0,12842,548,2714,0,27072,6995,0,20077,0,1029,0,5597,7114,2884,495186,0,0,2639,256758,190148,949,65661,61118,847,60271,6350,9484,158837,63949,478595
1960:Q1,79984,1993,14832,3628,0,154,16471,0,13200,583,2688,0,27326,6971,0,20355,0,1029,0,5783,5752,3016,497355,0,0,2652,254677,186451,978,67248,61172,947,60225,6371,9911,162572,63023,480394
1960:Q2,82692,1928,17669,4038,0,0,16823,0,13511,638,2674,0,27660,7058,0,20602,0,1111,0,5793,4498,3172,500697,0,0,2661,253631,184325,953,68353,61826,1049,60777,6389,10030,166160,65336,483341
1960:Q3,84976,1851,17610,4316,0,155,17260,0,13775,797,2688,0,27940,7200,0,20740,0,1115,0,5873,5557,3299,508109,0,0,2673,256546,186230,392,69924,62067,1150,60917,6406,10344,170073,67263,490396
1960:Q4,84598,1693,15620,4819,0,-176,17573,0,13739,1087,2747,0,28260,7382,0,20878,0,1194,0,6004,6148,3463,516031,0,0,2686,260009,188350,688,70971,62274,1252,61022,6426,10860,173776,66872,498305
1961:Q1,81816,1659,13255,5183,0,79,17710,0,13581,1323,2806,0,28942,7528,0,21414,0,1194,0,6003,4215,3576,519738,0,0,2691,259042,185688,934,72420,62809,1306,61503,6447,11193,177556,64139,502061
1961:Q2,83610,1868,15189,5554,0,0,17899,0,13946,1129,2824,0,28860,7689,0,21171,0,1198,0,6042,3343,3657,525306,0,0,2707,259900,185994,656,73250,63785,1360,62425,6469,11203,181242,65437,507133
1961:Q3,89681,2214,16968,5542,0,556,18108,0,13790,1511,2807,0,29667,7891,0,21776,0,1187,0,6211,5592,3636,536777,0,0,2723,266495,191041,436,75018,64233,1417,62816,6493,11602,185231,71643,518739
1961:Q4,90472,1911,15493,5749,0,-55,18320,0,14002,1555,2763,0,30189,8098,0,22091,0,1359,0,6297,7500,3709,546647,0,0,2740,271550,194206,995,76349,64441,1474,62967,6519,12114,189283,72241,528416
1962:Q1,90731,1686,15697,6377,0,41,18260,0,13976,1572,2712,0,30951,8214,0,22737,0,1360,0,6309,6286,3764,551108,0,0,2748,273633,194302,1294,78037,64887,1554,63333,6548,12164,191128,72492,532869
1962:Q2,94964,1665,19393,6641,0,0,18524,0,14220,1625,2679,0,31599,8274,0,23325,0,1362,0,6408,5511,3861,555559,0,0,2757,274559,194009,1347,79203,65993,1635,64358,6579,12477,193194,76353,536948
1962:Q3,95483,1238,18007,6385,0,912,18936,0,14581,1713,2642,0,31804,8336,0,23468,0,1351,0,6652,6303,3895,560075,0,0,2749,276201,194901,748,80552,66258,1683,64575,6612,12910,195345,76496,541088
1962:Q4,96861,1209,16628,6719,0,466,19597,0,15157,1867,2573,0,32423,8421,0,24002,0,1475,0,6849,7668,3827,570350,0,0,2760,283092,199754,1538,81800,66722,1734,64988,6644,13594,197538,77161,550650
1963:Q1,98079,1265,17054,7569,0,-1,20180,0,16107,1580,2493,0,33160,8426,0,24734,0,1477,0,7171,6303,3901,576607,0,0,2769,284542,199827,1739,82976,67235,1759,65476,6677,13784,201600,77448,555976
1963:Q2,103114,1312,21171,7720,0,0,20516,0,16398,1684,2434,0,33318,8131,0,25187,0,1486,0,7495,5954,4142,582481,0,0,2779,285307,199094,1489,84724,68792,1786,67006,6711,13857,205035,82230,561597
1963:Q3,103163,1237,18050,7708,0,1004,20843,0,16966,1491,2386,0,33537,8116,0,25421,0,1473,0,7600,7541,4170,588023,0,0,2788,286168,199333,936,85899,68996,1790,67206,6744,14314,209013,81657,566517
1963:Q4,104000,1229,17137,8353,0,-745,21079,0,16314,2431,2334,0,34145,8219,0,25926,0,1482,0,7798,9301,4221,597936,0,0,2806,290618,202211,1367,87040,69633,1796,67837,6775,15066,213038,83149,577085
1964:Q1,104989,1173,18874,8621,0,-943,21088,0,16504,2303,2281,0,34907,8287,0,26620,0,1468,0,7794,7896,4111,603710,0,0,2825,291933,202520,1236,88177,69701,1793,67908,6803,15254,217194,84005,582726
1964:Q2,107918,1053,20665,8937,0,0,21279,0,16446,2590,2243,0,35609,8290,0,27319,0,1519,0,7923,6902,4031,608920,0,0,2841,292117,200805,1364,89948,70912,1787,69125,6827,15212,221011,86955,587957
1964:Q3,110075,940,19958,9127,0,344,21786,0,16793,2768,2225,0,36458,8345,0,28113,0,1475,0,8229,7735,4023,618616,0,0,2855,296438,203501,1177,91760,71390,1805,69585,6851,15702,225380,88685,597226
1964:Q4,111239,1034,18893,10084,0,-1758,22500,0,17333,2944,2223,0,37157,8397,0,28760,0,1529,0,8574,9005,4221,630011,0,0,2830,302149,206767,2222,93160,71784,1826,69958,6879,16409,229960,89219,607991
1965:Q1,113682,939,20019,10710,0,-848,22834,0,17597,3016,2221,0,37960,8413,0,29547,0,1529,0,8673,7825,4041,636586,0,0,2864,303143,206174,2308,94661,72295,1850,70445,6910,16741,234633,91341,614245
1965:Q2,118571,1677,22912,10833,0,0,23297,0,17987,3103,2207,0,38684,8348,0,30336,0,1524,0,8968,6529,4147,641583,0,0,2901,301796,202972,1966,96858,73547,1876,71671,6944,17127,239268,95722,618734
1965:Q3,117505,1306,18323,11299,0,539,24035,0,18760,3086,2189,0,39213,8424,0,30789,0,1519,0,9387,7586,4298,648375,0,0,2949,302625,201452,2268,98905,74012,1861,72151,6979,17741,244069,93837,624707
1965:Q4,120324,1396,16901,12436,0,-708,24836,0,19524,3145,2167,0,40253,8567,0,31686,0,1519,0,9725,9731,4235,661940,0,0,3064,310092,207025,2670,100397,74334,1845,72489,7013,18362,249075,95856,637472
1966:Q1,121922,1233,17189,12494,0,-265,25141,0,19835,3165,2141,0,41487,8827,0,32660,0,1571,0,9946,8980,4146,670075,0,0,3242,311912,206960,3110,101842,74557,1830,72727,7042,18719,254603,97123,645276
1966:Q2,126784,1103,23787,12874,0,0,25434,0,20346,2969,2119,0,42181,9086,0,33095,0,1609,0,10243,5252,4301,675101,0,0,3543,309181,200411,4629,104141,76425,1815,74610,7070,19192,259690,101409,649726
1966:Q3,125659,1070,18372,12991,0,1708,25514,0,20248,3154,2112,0,43690,9422,0,34268,0,1623,0,10939,5320,4432,684841,0,0,3740,312027,202581,3922,105524,76634,1800,74834,7096,19848,265496,100092,659274
1966:Q4,127413,905,17061,13682,0,805,25938,0,20097,3716,2125,0,44336,9779,0,34557,0,1513,0,11615,6913,4645,699302,0,0,3963,318796,208138,4025,106633,77342,1783,75559,7120,20680,271401,101787,673676
1967:Q1,129648,620,18105,15250,0,20,26091,0,20115,3843,2133,0,45939,9975,0,35964,0,1546,0,11980,5888,4209,709313,0,0,4176,322964,209601,5489,107874,76898,1770,75128,7144,20989,277142,103986,683651
1967:Q2,125621,645,19272,15938,0,0,26002,0,20003,3863,2136,0,46789,10100,0,36689,0,1563,0,12691,-1656,4377,711463,0,0,4394,317275,199980,7100,110195,77995,1755,76240,7168,21826,282805,100018,685860
1967:Q3,135625,926,19087,15718,0,959,25811,0,20033,3651,2127,0,48258,10440,0,37818,0,1643,0,13205,5711,4307,728360,0,0,4560,327528,208290,6919,112319,78369,1738,76631,7188,22256,288459,109895,702630
1967:Q4,139155,1304,18952,16159,0,256,25885,0,19742,4018,2125,0,49019,10820,0,38199,0,1684,0,13661,7800,4435,746748,0,0,4646,338872,216899,8180,113793,78862,1720,77142,7200,23019,294149,113709,721302
1968:Q1,144503,1959,17588,16710,0,869,26498,0,19320,5093,2085,0,50616,11262,0,39354,0,1724,0,13808,10407,4324,763179,0,0,4870,345929,222114,8537,115278,79069,1702,77367,7202,23183,302926,119462,738138
1968:Q2,143935,2748,18089,16843,0,200,27583,0,19303,6136,2144,0,51542,11659,0,39883,0,1778,0,14273,6460,4419,770500,0,0,4930,344075,217294,9458,117323,80751,1684,79067,7194,23494,310056,118653,745218
1968:Q3,150794,3058,19409,17782,0,1369,28700,0,19514,7037,2149,0,52977,12076,0,40901,0,1632,0,14697,6816,4354,788580,0,0,4976,353785,223989,10477,119319,80818,1670,79148,7186,24017,317798,125253,763039
1968:Q4,150728,3340,15885,19478,0,-1273,29655,0,19926,7558,2171,0,54029,12456,0,41573,0,1512,0,15183,8632,4287,803006,0,0,5062,359151,225679,11340,122132,81193,1654,79539,7186,24874,325540,124638,776916
1969:Q1,155798,3371,16364,18626,0,-160,30935,0,20432,8308,2195,0,55211,12750,0,42461,0,1534,0,15692,10211,4014,815955,0,0,5108,362907,225552,11552,125803,81407,1635,79772,7197,25027,334309,129041,789198
1969:Q2,153419,3915,17820,17042,0,1300,31288,0,20956,8080,2252,0,56302,13084,0,43218,0,1589,0,16376,3697,4090,816770,0,0,5166,353982,213596,11043,129343,82545,1610,80935,7217,25501,342359,126006,789357
1969:Q3,157611,4076,18081,13872,0,4858,31967,0,21751,7961,2255,0,57528,13412,0,44116,0,1639,0,17009,4445,4136,833019,0,0,5198,361270,219837,9379,132054,82856,1598,81258,7239,25851,350605,129334,804742
1969:Q4,160552,4691,19560,13431,0,2599,32855,0,23007,7612,2236,0,58922,13883,0,45039,0,1696,0,17341,5369,4088,849492,0,0,5334,367280,224726,9036,133518,83560,1573,81987,7252,26820,359246,130570,819510
1970:Q1,164916,4872,20004,15114,0,2010,33346,0,23963,7175,2208,0,60243,14396,0,45847,0,1762,0,17156,6342,4067,866219,867,400,5397,371709,227467,8584,135658,83185,1556,81629,7321,27177,370163,134047,835350
1970:Q2,161788,4340,22292,17350,0,0,33410,0,24366,6750,2294,0,61055,14635,0,46420,0,1812,0,17155,268,4106,876816,867,400,5421,368872,221776,8098,138998,84806,1532,83274,7333,27176,381941,130556,845584
1970:Q3,165376,3785,20592,20256,0,1073,32435,0,23868,6271,2296,0,62007,14849,0,47158,0,1860,0,17160,2175,4033,897247,867,400,5492,378777,229196,7999,141582,85163,1506,83657,7344,27617,391587,134446,866317
1970:Q4,167062,3573,21487,23688,0,-1416,30507,0,22940,5183,2384,0,62723,15102,0,47621,0,1929,0,17186,3321,4064,920988,867,400,5556,391238,237659,8078,145501,86106,1498,84608,7358,27969,401494,136922,890848
1971:Q1,168244,3672,18514,26659,0,-1819,28413,0,22010,4040,2363,0,63477,15319,0,48158,0,1964,0,16821,6570,3973,941461,1584,400,5654,396413,239296,7371,149746,87334,1484,85850,7375,28549,414152,138962,912179
1971:Q2,169999,3149,23103,26738,0,0,27522,0,21890,3301,2331,0,64507,15435,0,49072,0,2013,0,16099,2925,3943,962473,1584,400,5797,402314,241212,7136,153966,89113,1463,87650,7393,28752,427120,140937,933411
1971:Q3,176030,2053,23545,27456,0,1901,27283,0,21848,3150,2285,0,65349,15693,0,49656,0,2112,0,16086,6238,4007,990016,1584,400,5911,414527,249957,6695,157875,90178,1445,88733,7412,29272,440732,146807,960793
1971:Q4,182039,2192,25890,30904,0,-863,27748,0,22587,3029,2132,0,65927,15801,0,50126,0,2176,0,16411,7681,3973,1020090,1720,400,6046,429986,261392,7028,161566,91506,1426,90080,7429,29240,453763,152139,990190
1972:Q1,186712,2897,21978,32320,0,-63,28522,0,23279,3239,2004,0,67085,16222,0,50863,0,2220,0,16438,11425,3890,1044434,2491,400,6219,437396,264601,7114,165681,92439,1401,91038,7459,29583,468447,155981,1013703
1972:Q2,186644,2989,24689,33602,0,0,29508,0,23584,4200,1724,0,67611,16580,0,51031,0,2289,0,16651,5427,3878,1058395,2491,400,6372,433960,257796,7099,169065,95050,1383,93667,7498,29771,482853,156191,1027942
1972:Q3,194059,2785,23610,34010,0,2314,30975,0,24150,4888,1937,0,68766,16756,0,52010,0,2337,0,16984,8459,3819,1083158,2491,400,6483,441587,261550,7561,172476,96149,1362,94787,7540,30645,497863,162701,1051800
1972:Q4,202092,2627,26717,37767,0,-952,33062,0,24896,6333,1833,0,69163,16495,0,52668,0,2447,0,17046,10510,3705,1113636,2491,400,6579,455539,272428,7927,175184,97921,1340,96581,7581,31976,511149,169837,1081381
1973:Q1,214305,2814,26732,40919,0,-346,35186,0,25424,7704,2058,0,70427,16612,0,53815,0,2537,0,17440,14859,3737,1134186,2767,400,6667,466937,279503,8188,179246,97856,1318,96538,7624,32400,519535,182026,1101907
1973:Q2,213416,2810,27956,41464,0,0,37357,0,25889,9415,2053,0,70075,15825,0,54250,0,2613,0,18534,8838,3769,1140551,2767,400,6860,462422,272356,7771,182295,100835,1300,99535,7671,33145,526451,180919,1108054
1973:Q3,217680,2810,21149,43327,0,1706,39313,0,26152,11199,1962,0,72508,17231,0,55277,0,2716,0,19104,11289,3758,1149258,2767,400,6924,464368,270401,8213,185754,101333,1284,100049,7717,34082,531667,184595,1116173
1973:Q4,230036,2887,25859,44824,0,497,41091,0,26065,12964,2062,0,73539,17606,0,55933,0,2820,0,20147,14092,4280,1171228,2767,400,7001,474570,276350,8357,189863,102038,1269,100769,7756,35537,541159,196993,1138185
1974:Q1,234797,3101,22268,46551,0,2748,42747,0,26102,14601,2044,0,72428,17985,0,54443,0,2917,0,20632,17004,4401,1192437,2767,400,6988,481079,278582,8714,193783,102457,1249,101208,7789,36007,554950,201677,1159317
1974:Q2,235407,3371,25899,48157,0,0,44091,0,25809,15834,2448,0,74423,19324,0,55099,0,3059,0,21586,10985,3836,1208062,2767,400,7085,478321,271853,8685,197783,106854,1227,105627,7816,36952,567867,202369,1175024
1974:Q3,244452,4159,22444,47961,0,3331,45205,0,26258,16412,2535,0,77680,21184,0,56496,0,3141,0,22554,14253,3724,1236234,2723,400,7188,461626,251769,8477,201380,130991,1196,129795,7842,38333,587131,210486,1202268
1974:Q4,245783,4312,21404,50564,0,-1259,45153,0,26523,16044,2586,0,83425,23839,0,59586,0,3357,0,19107,16035,3685,1264259,2809,400,7333,472731,261883,8227,202621,131939,1163,130776,7871,39805,601371,211082,1229558
1975:Q1,250593,4655,20875,49315,0,953,45880,0,26991,16327,2562,0,86253,24656,0,61597,0,3509,0,18983,16529,3641,1302759,2862,400,7500,490221,278231,7934,204056,135409,1159,134250,9015,44715,612637,215352,1267518
1975:Q2,250984,4625,24256,48711,0,0,46812,0,26734,17610,2468,0,90813,27225,0,63588,0,3628,0,19696,8810,3633,1336077,2836,500,7711,509635,294758,7885,206992,140778,1117,139661,9394,46234,618989,216104,1301197
1975:Q3,264549,4662,24321,47868,0,1946,48888,0,27183,18506,3199,0,94794,29531,0,65263,0,3828,0,20762,13894,3586,1380537,2671,500,7910,535614,319044,7876,208694,139012,1100,137912,9433,48065,637332,228374,1344362
1975:Q4,272277,4571,24779,48685,0,-2080,50958,0,27783,18206,4969,0,98454,31955,0,66499,0,4011,0,21686,17591,3622,1425761,2685,500,8170,565204,343752,7874,213578,140081,1073,139008,10152,49234,649735,233744,1387228
1976:Q1,285969,4801,21169,50066,0,-1515,55130,0,30610,18389,6131,0,102834,32586,0,70248,0,4166,0,21554,24131,3633,1460618,2653,500,8318,590761,365380,8406,216975,142743,1051,141692,10053,52016,653574,241188,1415837
1976:Q2,291799,5759,30271,47268,0,0,56806,0,31077,18729,7000,0,102734,31918,0,70816,0,4530,0,22530,18315,3586,1485912,2629,500,8657,606813,372629,8448,225736,149740,1029,148711,10387,54024,653162,245989,1440102
1976:Q3,306610,6752,31395,48106,0,572,59629,0,32536,19745,7348,0,108488,33098,0,75390,0,4874,0,23142,20032,3620,1517327,2654,800,8556,626270,388895,8733,228642,151163,997,150166,10440,56890,660554,256756,1467473
1976:Q4,313061,7005,27656,50943,0,-1875,63481,0,35781,20359,7341,0,112313,33625,0,78688,0,5112,0,23866,23565,995,1547556,2665,1200,8659,641178,402836,8329,230013,156364,982,155382,10751,59357,667382,257662,1492157
1977:Q1,324095,7452,23094,53490,0,-1354,67836,0,36802,23950,7084,0,116244,33997,0,82247,0,5297,0,24020,27085,931,1585416,2659,1200,8648,656540,417402,8175,230963,158796,949,157847,10803,61697,685073,265226,1526547
1977:Q2,330832,7500,31832,52682,0,0,72365,0,40594,24830,6941,0,119137,34978,0,84159,0,5524,0,24428,16404,960,1606959,2674,1200,8765,661619,413050,8097,240472,161593,919,160674,10970,63662,696476,267994,1544121
1977:Q3,354152,7350,33621,55002,0,715,78094,0,44335,26402,7357,0,126336,36548,0,89788,0,5767,0,25315,21105,847,1648067,2669,1200,8864,681867,429469,7599,244799,172471,894,171577,11069,65709,704218,283581,1577496
1977:Q4,363741,7605,28366,58060,0,-1970,82078,0,47453,26705,7920,0,132081,38362,0,93719,0,5982,0,25448,25286,805,1685931,2787,1250,8909,701589,445890,7556,248143,177182,869,176313,11422,66754,716038,286436,1608626
1978:Q1,381262,7429,20562,62026,0,-1382,89239,0,52265,28415,8559,0,139439,39428,0,100011,0,6274,0,27043,29787,845,1733647,2837,1250,9045,724532,461467,7233,255832,181426,845,180581,11475,68935,734147,295622,1648007
1978:Q2,398995,7128,33031,61825,0,0,95875,0,54489,33040,8346,0,145567,40869,0,104698,0,6416,0,28375,19896,882,1762271,2843,1250,9142,738044,462538,7136,268370,182568,818,181750,11781,70721,745922,310584,1673860
1978:Q3,428590,7188,37009,64546,0,479,101700,0,58951,34581,8168,0,155149,43381,0,111768,0,6608,0,29240,25736,935,1802019,2939,1300,9271,759240,474270,6584,278386,192385,792,191593,11848,73033,752003,333296,1706725
1978:Q4,445308,5402,32464,66208,0,2158,106093,0,59360,39495,7238,0,161777,45082,0,116695,0,6849,0,31484,31807,1066,1847571,2989,1300,9383,773495,478139,6221,289135,204224,772,203452,12112,75850,768218,347924,1750187
1979:Q1,461830,6446,21862,69156,0,3783,114572,0,65120,42995,6457,0,167041,48140,0,118901,0,7012,0,32172,38613,1173,1884082,4077,1300,9659,788688,487732,5593,295363,203601,746,202855,12094,77909,786754,359382,1781634
