1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1993:Q2,-4729,7694,169368,396,-60,0,134223,11811,22772,40628,4292,54720,-10183,4064,-14247,108,4950,-1080,12,23554,0,0,0,17448,0,480,0,16968,143276,141216,0,592,824,33816,84380,0,1800,19804,0,0,5916,4728,9160,2060,252,1808,0,-38515,0,128184,0,0,0
1993:Q3,-5153,7771,149600,400,1092,0,132105,-8967,29132,31652,5576,74712,-10030,7696,-17726,-92,14405,-88,4,38107,0,0,0,-26302,0,480,0,-26782,158992,162312,0,-140,516,36868,132144,0,1744,-8820,0,0,11032,-25956,6104,-3320,-4140,820,0,-3532,0,152716,0,0,0
1993:Q4,-6647,8028,120624,396,464,0,92504,6172,5376,24792,3428,52736,-19817,8440,-28257,608,26291,-380,12,30661,0,0,0,-10116,0,492,0,-10608,115840,119340,0,396,3660,35676,62196,0,1472,15940,0,0,1396,4260,10284,-3500,-1072,-2428,0,-19459,0,102668,0,0,0
1994:Q1,5123,9275,174460,424,5584,0,84602,-534,-13328,24260,-532,74736,-7320,6136,-13456,376,17808,20,44,27284,0,0,0,45638,0,552,0,45086,124148,123184,0,36,204,27836,25252,0,1196,68660,0,0,6576,58312,3772,964,-836,1800,0,-54464,0,116548,0,0,0
1994:Q2,9114,9472,41180,432,2824,0,34884,-400,10780,-6596,-6468,37568,-900,10316,-11216,56,16721,984,8,23447,0,0,0,-37276,0,592,0,-37868,68224,69064,0,24,0,26232,3500,0,896,38412,0,0,3256,35384,-228,-840,-952,112,0,26686,0,66796,0,0,0
1994:Q3,11444,9626,155504,420,932,0,91568,10120,14464,3488,-1752,65248,5685,7832,-2147,-4,12147,-464,4,17105,0,0,0,28111,0,564,0,27547,130356,131540,0,36,212,69492,88320,0,876,-27396,0,0,11236,-39548,916,-1184,-2128,944,0,-23330,0,128016,0,0,0
1994:Q4,10017,9940,103188,428,1900,0,80926,15190,-23624,25652,996,62712,1315,7704,-6389,-188,11088,1568,140,13068,0,0,0,-7058,0,576,0,-7634,92024,92144,0,1328,-2416,23228,-10280,0,1204,79080,0,-120,6140,68084,4976,-120,-3068,2948,0,-11087,0,86988,0,0,0
1995:Q1,-1466,9890,159624,-464,-1320,0,123002,-7634,16976,33216,-4516,84960,7497,6364,1133,4,-6739,96,-16,11859,0,0,0,25705,0,724,0,24981,131092,132672,0,-32,-188,45888,119956,0,1492,-34444,0,0,9268,-71848,28136,-1580,-2668,1088,0,-39888,0,100204,0,0,0
1995:Q2,-2627,10024,132480,-460,3564,0,135428,-1972,2784,8380,5900,120336,4773,7256,-2483,56,-19373,988,4,30025,0,0,0,-22526,0,760,0,-23286,166524,172176,0,156,140,53728,81912,0,1732,34508,0,0,9504,5184,19820,-5652,-6216,564,0,21393,0,147764,0,0,0
1995:Q3,-3053,10141,112716,-456,1092,0,57658,4962,616,15372,-1812,38520,27064,9972,17092,-28,-10142,-440,4,26234,0,0,0,11730,0,776,0,10954,104428,103676,0,-52,184,30792,54708,0,1840,16204,0,0,2828,7088,6288,752,-540,1292,0,-21482,0,92636,0,0,0
