1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q1,5005,32,0,0,0,2576,0,900,216,-352,1812,376,184,0,1837,1837,0,5004
1962:Q2,5125,36,0,0,0,1672,0,200,72,-468,1868,336,196,0,2885,2885,0,5124
1962:Q3,5245,32,0,0,0,1692,0,200,148,-512,1856,324,204,0,2993,2993,0,5244
1962:Q4,5365,20,0,0,0,1192,0,-100,60,-504,1736,348,204,0,3601,3601,0,5364
1963:Q1,5483,16,0,0,0,1668,0,400,-32,-488,1788,356,200,0,3243,3243,0,5484
1963:Q2,5603,8,0,0,0,2524,0,1100,-24,-516,1964,356,196,0,2519,2519,0,5604
1963:Q3,5724,4,0,0,0,1900,0,300,-120,-508,2228,368,208,0,3244,3244,0,5724
1963:Q4,5844,-4,0,0,0,1808,0,-160,-16,-488,2472,400,232,0,3408,3408,0,5844
1964:Q1,5964,0,0,0,0,2864,0,860,-24,-440,2468,416,248,0,2436,2436,0,5964
1964:Q2,6080,0,0,0,0,2908,0,1000,136,-420,2192,424,264,0,2484,2484,0,6080
1964:Q3,6201,0,0,0,0,1976,0,364,-24,-392,2028,460,280,0,3485,3485,0,6200
1964:Q4,6321,-8,0,0,0,1496,0,-144,48,-364,1956,532,300,0,4001,4001,0,6320
1965:Q1,6563,0,0,0,0,3196,0,1548,-20,-320,1988,604,320,0,2443,2443,0,6564
1965:Q2,6735,0,0,0,0,2540,0,692,20,-288,2116,672,332,0,3191,3191,0,6736
1965:Q3,6904,4,0,0,0,1628,0,-956,416,-256,2424,712,360,0,4200,4200,0,6904
1965:Q4,7076,20,0,0,0,1676,0,-792,28,-236,2676,716,396,0,4268,4268,0,7076
1966:Q1,7203,32,0,0,0,3368,0,636,40,-184,2876,760,440,0,2603,2603,0,7204
1966:Q2,7359,40,0,0,0,2336,0,-1064,480,-144,3064,828,476,0,3679,3679,0,7360
1966:Q3,7511,56,0,0,0,3584,0,480,196,-120,3028,804,508,0,2559,2559,0,7512
1966:Q4,7667,76,0,0,0,2380,0,-204,-76,-128,2788,688,528,0,3995,3995,0,7668
1967:Q1,7987,156,0,0,0,1952,0,-1260,68,-80,3224,660,580,0,4639,4639,0,7988
1967:Q2,8206,32,68,0,0,2700,0,-616,300,-76,3092,664,576,0,4166,4166,0,8208
1967:Q3,8433,-136,208,0,0,2932,0,-1352,60,-72,4296,312,760,0,4357,4357,0,8432
1967:Q4,8651,-312,368,0,0,3796,0,-572,104,-72,4336,312,764,0,3723,3723,0,8652
1968:Q1,9369,248,-212,0,0,2164,0,216,-108,124,1932,580,1080,0,5509,5509,0,9372
1968:Q2,9789,152,-132,0,0,3124,0,-396,1080,-260,2700,484,1172,0,4989,4989,0,9792
1968:Q3,10215,104,284,0,0,3036,0,-388,440,48,2936,24,1284,0,5483,5483,0,10216
1968:Q4,10635,-208,336,0,0,3680,0,-408,1088,-8,3008,348,1732,0,4747,4747,0,10636
1969:Q1,10973,480,-712,0,0,3184,0,-284,108,16,3344,256,1208,0,6557,6557,0,10976
1969:Q2,11361,-728,364,0,0,3792,0,-140,112,-72,3892,196,2120,0,5617,5617,0,11364
1969:Q3,11751,56,272,0,0,4400,0,-476,348,-80,4608,300,1720,0,5003,5003,0,11752
1969:Q4,12139,-80,-164,0,0,3084,0,-1036,56,-68,4132,100,2104,0,7095,7095,0,12140
1970:Q1,12658,-292,-128,0,0,3840,0,-408,104,-92,4236,300,1896,0,7042,7042,0,12660
1970:Q2,13101,280,284,0,0,3320,0,-624,68,-596,4472,632,2244,0,6341,6341,0,13104
1970:Q3,13538,-128,-168,0,0,5332,0,380,-132,-104,5188,-76,1520,0,7058,7058,0,13540
1970:Q4,13987,456,184,0,0,2664,0,-680,-340,-404,4088,524,2888,0,7271,7271,0,13988
1971:Q1,14930,-144,80,0,0,3704,0,-896,-308,32,4876,396,2768,0,8126,8126,0,14932
1971:Q2,15574,272,-212,0,0,3032,0,-1816,-56,8,4896,604,3052,0,8826,8826,0,15576
1971:Q3,16217,120,-24,0,0,2556,0,-220,192,32,2552,32,3844,0,9689,9689,0,16220
1971:Q4,16861,392,-104,0,0,2332,0,-1900,384,408,3440,440,3076,0,10725,10725,0,16864
1972:Q1,17736,620,-436,0,0,4240,0,-1052,496,308,4488,84,2052,0,11176,11176,0,17736
1972:Q2,18468,176,-24,0,0,4240,0,360,528,948,2404,-208,3616,0,10668,10668,0,18468
1972:Q3,19204,-96,128,0,0,4308,0,-320,576,-1372,5424,332,4440,0,10092,10092,0,19204
1972:Q4,19940,176,504,0,0,4692,0,-184,644,-376,4608,520,4600,0,9448,9448,0,19940
1973:Q1,20368,-620,452,0,0,4908,0,360,716,-1628,5460,648,5388,0,9592,9592,0,20368
1973:Q2,20980,208,500,0,0,5144,0,-908,784,-344,5612,756,3360,0,11012,11012,0,20980
1973:Q3,21595,-256,924,0,0,5896,0,-1728,1440,456,5728,268,2244,0,12519,12519,0,21596
1973:Q4,22207,-224,560,0,0,4100,0,-2080,1976,164,4040,1012,2652,0,14107,14107,0,22208
1974:Q1,22820,-740,348,0,0,5060,0,-2672,1932,616,5184,544,2940,0,14668,14668,0,22820
1974:Q2,23432,-216,1184,0,0,6692,0,184,1312,-1604,6800,212,2152,0,13408,13408,0,23432
1974:Q3,24047,-140,760,0,0,7400,0,-1484,1024,-784,8644,372,1056,0,14599,14599,0,24048
1974:Q4,24659,-64,680,0,0,3704,0,280,728,-1060,3756,1116,4128,0,15095,15095,0,24660
1975:Q1,25491,252,1072,0,0,7232,0,-104,544,-776,7568,12,1628,0,15295,15295,0,25492
1975:Q2,26191,60,-492,0,0,9520,0,2624,468,-244,6672,420,1996,0,14687,14687,0,26192
1975:Q3,26892,-144,-1384,0,0,7504,0,1332,836,712,4624,260,2908,0,17748,17748,0,26892
1975:Q4,27592,-84,-684,0,0,11864,0,-32,836,4136,6924,-1332,3020,0,14808,14808,0,27592
1976:Q1,27642,-40,-424,0,0,9368,0,2072,1128,1012,5156,4,2128,0,16606,16606,0,27644
1976:Q2,28086,80,272,0,0,14524,0,2296,1276,3828,7124,320,3316,0,9574,9574,0,28088
1976:Q3,28528,-124,-312,0,0,9124,0,1072,1680,932,5440,8,3296,0,16536,16536,0,28528
1976:Q4,28968,48,372,0,0,3964,0,628,2244,-92,1184,428,3724,0,20432,20432,0,28968
1977:Q1,30233,-120,-200,0,0,6000,0,2620,6304,-1952,-972,-192,3232,0,21513,21513,0,30232
1977:Q2,31005,256,1212,0,0,12324,0,7424,828,3024,1048,720,3232,0,13261,13261,0,31004
1977:Q3,31774,80,328,0,0,13020,0,756,880,-288,11672,-968,4088,0,15226,15226,0,31772
1977:Q4,32546,-160,-268,0,0,13520,0,12,2984,-48,10572,1676,4160,0,13618,13618,0,32544
1978:Q1,33096,208,1368,0,0,13156,0,3456,5532,-632,4800,164,2564,0,15636,15636,0,33096
1978:Q2,33776,220,1140,0,0,17944,0,5884,1532,1384,9144,656,2528,0,11288,11288,0,33776
1978:Q3,34460,128,1572,0,0,13820,0,1792,2280,-256,10004,644,2864,0,15432,15432,0,34460
1978:Q4,35140,-136,-328,0,0,20016,0,-356,8176,1132,11064,716,2560,0,12312,12312,0,35140
1979:Q1,36218,296,1572,0,0,7848,0,4892,1868,488,600,844,1072,0,24586,24586,0,36220
1979:Q2,37062,80,388,0,0,17528,0,10600,256,-824,7496,880,2988,0,15198,15198,0,37064
1979:Q3,37903,20,844,0,0,3888,0,-160,-1724,52,5720,1220,8060,0,23871,23871,0,37904
1979:Q4,38747,328,1612,0,0,8920,0,5676,5180,120,-2056,1128,4472,0,22287,22287,0,38748
1980:Q1,39640,200,444,0,0,21768,0,5812,2484,764,12708,1800,3584,0,11844,11772,72,39644
1980:Q2,40505,192,-52,0,0,29900,0,5692,7208,-304,17304,964,3516,0,5985,5917,68,40508
1980:Q3,41369,-300,12,0,0,15076,0,9668,1076,-416,4748,1208,5212,0,20161,20089,72,41372
1980:Q4,42232,56,500,0,0,10572,0,3712,4124,552,2184,1172,9016,0,20916,20848,68,42236
1981:Q1,44329,724,1692,0,0,12772,0,6020,4472,-556,2836,1104,4432,0,23605,23533,72,44332
1981:Q2,45689,-272,-1384,0,0,27128,0,8396,2988,300,15444,1744,8528,0,9945,9877,68,45692
