1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1993:Q4,50025,21379,54634,234036,-22415,3691,47409,92555,2984,46341,39664,-1730,5296,120535,41483,-3618,36576,46094,3120,2024,-40,1468,-612,0,-13700,179401,132213,7049,112339,16698,-56934,-2449,-2957,508,-990,2276,2780,51443,-5832,57275,47188,3568,952,40784,1884,-25988,0,ND
1994:Q1,47601,22653,-139993,392280,23777,13295,-53476,97287,-8172,52535,25618,4160,23145,48595,9840,-4545,-40720,84020,2635,-5196,-296,896,-5456,0,270220,532274,524618,114867,17692,-101526,82207,-6457,-5597,-860,24290,12,6820,386714,4616,382098,7656,2536,1696,7068,-3644,164941,0,ND
1994:Q2,43927,21232,19375,283744,7946,-5023,3832,-10265,716,-26593,17862,-626,-1624,175147,34476,-2342,62476,80537,145,-3452,2908,2856,-3848,0,113498,264370,229750,57561,-114335,733,49366,-2854,-2390,-464,16631,104,-13576,236120,-3604,239724,34620,60,680,22160,11720,3320,0,ND
1994:Q3,48378,20402,101780,112320,-10427,-8416,-14929,-46039,-2164,-76779,43859,-3052,-7904,225273,58586,3460,75587,87639,423,-1632,2756,1820,-3048,0,-33461,10541,-1703,25570,-38535,69532,67558,7024,3372,3652,28736,652,9916,-172156,2048,-174204,12244,2256,2872,27772,-20656,-73804,0,ND
1994:Q4,47913,20953,14152,250561,536,-16503,64479,-104357,2520,-79764,-4748,-7170,-15195,329021,111686,-6072,149020,74388,-687,-2312,2432,1940,-1440,0,-22548,236409,210345,133418,-15022,27122,48224,1212,-6808,8020,19471,980,-5604,543,7324,-6781,26064,2216,6772,6372,10704,12808,0,ND
1995:Q1,49147,21971,-67055,200741,3375,11435,-59748,16129,-6888,13878,31183,-5531,-16514,344017,131299,4480,123991,84247,52,-208,-472,2020,364,0,-116222,267796,190160,-26140,-61995,108598,32358,4502,4218,284,14165,268,17880,100524,4664,95860,77636,572,6092,46356,24616,94231,0,ND
1995:Q2,53163,20311,170566,402263,5251,-21009,70642,30696,3688,-37340,52229,-3743,15861,307850,158126,511,88096,61117,110,3000,1956,2044,1304,0,419,231697,181173,-44357,-10185,284014,40973,5115,-505,5620,-13120,212,-4360,-77119,2832,-79951,50524,4912,716,36796,8100,-137714,0,ND
1995:Q3,54253,20878,-12813,287866,-3958,-1784,-2025,68703,-3588,-8604,74680,-5167,11382,202460,74857,-2293,74024,55872,128,6500,2812,3128,12,0,11891,300679,252575,45983,-55293,228454,81444,4802,-1338,6140,2610,1776,19720,-76921,5828,-82749,48104,2152,9664,39976,-3688,46188,0,ND
1995:Q4,51891,21273,-28234,121149,5064,6646,120602,-49971,252,-60023,27456,-2527,-15130,125443,74716,-4922,26749,28900,-122,1764,2112,2136,-1156,0,-91368,149384,129652,28551,-55570,97341,-53372,-6836,-5408,-1428,10369,992,8960,99217,17496,81721,19732,2784,6764,12564,-2380,58852,0,ND
1996:Q1,52296,24261,6585,96744,3916,-4409,-72845,1773,856,-14121,12494,3131,-587,212503,88340,70,92959,31134,-380,3728,2496,760,288,0,-51084,90159,60599,-34412,-101773,248205,-29425,6917,137,6780,34513,980,1112,-65518,-3644,-61874,29560,3208,-724,19240,7836,21449,0,ND
