date,FU893150005.Q,FU543150005.Q,FU574190005.Q,FU344090005.Q,FU224190005.Q,FU263150005.Q,FU893150005.Q,FU153050005.Q,FU543050005.Q,FU543151905.Q,FU893131573.Q,FU763131573.Q,FU473131573.Q,FU543131503.Q,FU633131573.Q,FU653131573.Q,FU153131575.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q4,3935,283,1199,1917,536,0,3935,3935,0,0,ND,ND,ND,ND,ND,ND,ND
1953:Q1,4022,280,1327,1869,546,0,4022,4022,0,0,ND,ND,ND,ND,ND,ND,ND
1953:Q2,4168,279,1373,1958,558,0,4168,4168,0,0,ND,ND,ND,ND,ND,ND,ND
1953:Q3,4175,280,1415,1910,570,0,4175,4175,0,0,ND,ND,ND,ND,ND,ND,ND
1953:Q4,4226,286,1457,1901,582,0,4226,4226,0,0,ND,ND,ND,ND,ND,ND,ND
1954:Q1,4020,288,1248,1886,598,0,4020,4020,0,0,ND,ND,ND,ND,ND,ND,ND
1954:Q2,4072,288,1190,1983,611,0,4072,4072,0,0,ND,ND,ND,ND,ND,ND,ND
1954:Q3,3923,294,1142,1863,624,0,3923,3923,0,0,ND,ND,ND,ND,ND,ND,ND
1954:Q4,3992,305,1109,1940,638,0,3992,3992,0,0,ND,ND,ND,ND,ND,ND,ND
1955:Q1,4101,322,1208,1919,652,0,4101,4101,0,0,ND,ND,ND,ND,ND,ND,ND
1955:Q2,4296,341,1240,2050,665,0,4296,4296,0,0,ND,ND,ND,ND,ND,ND,ND
1955:Q3,4260,341,1263,1977,679,0,4260,4260,0,0,ND,ND,ND,ND,ND,ND,ND
1955:Q4,4271,321,1262,1995,693,0,4271,4271,0,0,ND,ND,ND,ND,ND,ND,ND
1956:Q1,4469,299,1407,2049,714,0,4469,4469,0,0,ND,ND,ND,ND,ND,ND,ND
1956:Q2,4648,271,1468,2179,730,0,4648,4648,0,0,ND,ND,ND,ND,ND,ND,ND
1956:Q3,4651,280,1518,2107,746,0,4651,4651,0,0,ND,ND,ND,ND,ND,ND,ND
1956:Q4,4796,325,1582,2126,763,0,4796,4796,0,0,ND,ND,ND,ND,ND,ND,ND
1957:Q1,5269,368,1871,2246,784,0,5269,5269,0,0,ND,ND,ND,ND,ND,ND,ND
1957:Q2,5633,411,2024,2395,803,0,5633,5633,0,0,ND,ND,ND,ND,ND,ND,ND
1957:Q3,5764,421,2150,2372,821,0,5764,5764,0,0,ND,ND,ND,ND,ND,ND,ND
1957:Q4,5947,400,2275,2432,840,0,5947,5947,0,0,ND,ND,ND,ND,ND,ND,ND
1958:Q1,5427,375,1782,2403,867,0,5427,5427,0,0,ND,ND,ND,ND,ND,ND,ND
1958:Q2,5437,351,1698,2499,889,0,5437,5437,0,0,ND,ND,ND,ND,ND,ND,ND
1958:Q3,5467,363,1631,2562,911,0,5467,5467,0,0,ND,ND,ND,ND,ND,ND,ND
1958:Q4,5391,411,1577,2470,933,0,5391,5391,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q1,5841,468,1944,2484,945,0,5841,5841,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q2,6185,534,2091,2597,963,0,6185,6185,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q3,6438,527,2174,2757,980,0,6438,6438,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q4,6259,446,2305,2510,998,0,6259,6259,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q1,5896,371,1931,2569,1025,0,5896,5896,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q2,6221,302,1861,3011,1047,0,6221,6221,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q3,5754,284,1773,2628,1069,0,5754,5754,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q4,5801,318,1766,2627,1090,0,5801,5801,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q1,5776,341,1637,2666,1132,0,5776,5776,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q2,6278,353,1610,3154,1161,0,6278,6278,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q3,5836,356,1509,2780,1191,0,5836,5836,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q4,5851,350,1508,2772,1221,0,5851,5851,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q1,5916,341,1475,2849,1251,0,5916,5916,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q2,6269,329,1286,3373,1281,0,6269,6269,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q3,5720,338,1146,2925,1311,0,5720,5720,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q4,5905,367,1193,3004,1341,0,5905,5905,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q1,6309,391,1530,3017,1371,0,6309,6309,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q2,7042,411,1646,3584,1401,0,7042,7042,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q3,6743,429,1782,3101,1431,0,6743,6743,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q4,7010,444,1933,3172,1461,0,7010,7010,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q1,7376,464,2211,3210,1491,0,7376,7376,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q2,8150,486,2379,3765,1520,0,8150,8150,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q3,7921,498,2533,3340,1550,0,7921,7921,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q4,8154,502,2712,3360,1580,0,8154,8154,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q1,8600,587,2933,3439,1641,0,8600,8600,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q2,9236,504,2978,4070,1684,0,9236,9236,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q3,8999,477,3219,3577,1726,0,8999,8999,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q4,9432,507,3558,3598,1769,0,9432,9432,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q1,10035,521,4003,3710,1801,0,10035,10035,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q2,10831,521,4072,4398,1840,0,10831,10831,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q3,10473,525,4195,3875,1878,0,10473,10473,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q4,10940,533,4501,3989,1917,0,10940,10940,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q1,10877,316,4518,4046,1997,0,10877,10877,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q2,11842,356,4658,4776,2052,0,11842,11842,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q3,11574,374,4936,4156,2108,0,11574,11574,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q4,11912,450,5020,4279,2163,0,11912,11912,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q1,12413,559,5223,4288,2343,0,12413,12413,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q2,13537,574,5447,5068,2448,0,13537,13537,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q3,13151,383,5773,4441,2554,0,13151,13151,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q4,14085,785,6041,4600,2659,0,14085,14085,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q1,14758,667,6574,4773,2744,0,14758,14758,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q2,16007,767,6908,5491,2841,0,16007,16007,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q3,16163,779,7331,5115,2938,0,16163,16163,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q4,16686,907,7661,5083,3035,0,16686,16686,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q1,14291,653,4713,5760,3165,0,14291,14291,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q2,15317,651,4621,6769,3276,0,15317,15317,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q3,14927,719,4522,6301,3385,0,14927,14927,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q4,15467,860,4491,6619,3497,0,15467,15467,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q1,15656,1050,4193,6680,3733,0,15656,15656,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q2,16835,1187,4190,7564,3894,0,16835,16835,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q3,16420,1225,4205,6935,4055,0,16420,16420,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q4,16912,1158,4245,7293,4216,0,16912,16912,0,0,ND,ND,ND,ND,ND,ND,ND
1972:Q1,18419,1083,5743,7159,4434,0,18419,18419,0,0,ND,ND,ND,ND,ND,ND,ND
1972:Q2,20471,994,6740,8120,4617,0,20471,20471,0,0,ND,ND,ND,ND,ND,ND,ND
1972:Q3,20301,1055,7107,7338,4801,0,20301,20301,0,0,ND,ND,ND,ND,ND,ND,ND
1972:Q4,20249,1258,6529,7477,4985,0,20249,20249,0,0,ND,ND,ND,ND,ND,ND,ND
1973:Q1,19869,1229,6091,7457,5092,0,19869,19869,0,0,ND,ND,ND,ND,ND,ND,ND
1973:Q2,20522,1355,5510,8412,5245,0,20522,20522,0,0,ND,ND,ND,ND,ND,ND,ND
1973:Q3,19901,1499,5499,7504,5399,0,19901,19901,0,0,ND,ND,ND,ND,ND,ND,ND
1973:Q4,20559,1662,5607,7738,5552,0,20559,20559,0,0,ND,ND,ND,ND,ND,ND,ND
1974:Q1,20808,1316,6099,7688,5705,0,20808,20808,0,0,ND,ND,ND,ND,ND,ND,ND
1974:Q2,22526,1543,6405,8720,5858,0,22526,22526,0,0,ND,ND,ND,ND,ND,ND,ND
1974:Q3,22401,1609,7198,7582,6012,0,22401,22401,0,0,ND,ND,ND,ND,ND,ND,ND
1974:Q4,22972,1515,7513,7779,6165,0,22972,22972,0,0,ND,ND,ND,ND,ND,ND,ND
1975:Q1,23510,2084,7248,7805,6373,0,23510,23510,0,0,ND,ND,ND,ND,ND,ND,ND
1975:Q2,25240,1860,8061,8771,6548,0,25240,25240,0,0,ND,ND,ND,ND,ND,ND,ND
1975:Q3,24958,2056,8610,7569,6723,0,24958,24958,0,0,ND,ND,ND,ND,ND,ND,ND
1975:Q4,24554,2663,7191,7802,6898,0,24554,24554,0,0,ND,ND,ND,ND,ND,ND,ND
1976:Q1,25189,3220,6971,8087,6911,0,25189,25189,0,0,ND,ND,ND,ND,ND,ND,ND
1976:Q2,25715,3756,5707,9230,7022,0,25715,25715,0,0,ND,ND,ND,ND,ND,ND,ND
1976:Q3,26824,4006,7863,7823,7132,0,26824,26824,0,0,ND,ND,ND,ND,ND,ND,ND
1976:Q4,28355,3969,8780,8364,7242,0,28355,28355,0,0,ND,ND,ND,ND,ND,ND,ND
1977:Q1,29580,3878,9785,8359,7558,0,29580,29580,0,0,ND,ND,ND,ND,ND,ND,ND
1977:Q2,29128,4047,7516,9814,7751,0,29128,29128,0,0,ND,ND,ND,ND,ND,ND,ND
1977:Q3,30484,4320,9551,8670,7943,0,30484,30484,0,0,ND,ND,ND,ND,ND,ND,ND
1977:Q4,28862,4577,7091,9058,8136,0,28862,28862,0,0,ND,ND,ND,ND,ND,ND,ND
1978:Q1,32561,4599,10012,9676,8274,0,32561,32561,0,0,ND,ND,ND,ND,ND,ND,ND
1978:Q2,31553,4808,6974,11327,8444,0,31553,31553,0,0,ND,ND,ND,ND,ND,ND,ND
1978:Q3,32556,4888,8976,10077,8615,0,32556,32556,0,0,ND,ND,ND,ND,ND,ND,ND
1978:Q4,34504,4838,9882,10999,8785,0,34504,34504,0,0,ND,ND,ND,ND,ND,ND,ND
1979:Q1,33569,4781,9457,10276,9055,0,33569,33569,0,0,ND,ND,ND,ND,ND,ND,ND
1979:Q2,35532,4712,9806,11748,9266,0,35532,35532,0,0,ND,ND,ND,ND,ND,ND,ND
1979:Q3,34009,4812,9244,10477,9476,0,34009,34009,0,0,ND,ND,ND,ND,ND,ND,ND
1979:Q4,36236,5081,10370,11098,9687,0,36236,36236,0,0,ND,ND,ND,ND,ND,ND,ND
1980:Q1,45502,5245,19570,10566,10121,0,45502,45502,0,0,ND,ND,ND,ND,ND,ND,ND
1980:Q2,50569,5299,23473,11856,9941,0,50569,50569,0,0,ND,ND,ND,ND,ND,ND,ND
1980:Q3,54134,5615,27355,10612,10552,0,54134,54134,0,0,ND,ND,ND,ND,ND,ND,ND
1980:Q4,57231,6190,29161,11123,10757,0,57231,57231,0,0,ND,ND,ND,ND,ND,ND,ND
1981:Q1,48021,7685,18361,10893,11082,0,48021,48021,0,0,ND,ND,ND,ND,ND,ND,ND
1981:Q2,48028,6005,18160,12382,11481,0,48028,48028,0,0,ND,ND,ND,ND,ND,ND,ND
1981:Q3,48714,8712,16898,11014,12090,0,48714,48714,0,0,ND,ND,ND,ND,ND,ND,ND
1981:Q4,43896,7110,13229,11306,12251,0,43896,43896,0,0,ND,ND,ND,ND,ND,ND,ND
1982:Q1,47352,7880,15371,11502,12599,0,47352,47352,0,0,7217,4475,325,614,323,436,1044
1982:Q2,53388,9593,17689,13094,13012,0,53388,53388,0,0,7217,4475,325,614,324,436,1043
1982:Q3,58085,11901,20988,11737,13459,0,58085,58085,0,0,7217,4475,325,614,324,436,1043
1982:Q4,58313,10307,22477,11745,13784,0,58313,58313,0,0,7217,4475,325,614,324,436,1043
1983:Q1,61001,6271,28417,12340,13973,0,61001,61001,0,0,9323,5950,400,781,174,950,1068
1983:Q2,69958,7850,34141,13405,14562,0,69958,69958,0,0,9323,5950,400,781,173,950,1069
1983:Q3,65058,7402,30336,12111,15209,0,65058,65058,0,0,9323,5950,400,781,174,950,1068
1983:Q4,72943,11139,33039,13215,15550,0,72943,72943,0,0,9323,5950,400,781,174,950,1068
1984:Q1,53270,9528,13748,14478,15516,0,53270,53270,0,0,12675,4040,625,899,497,1210,5404
1984:Q2,49059,10048,8169,15563,15279,0,49059,49059,0,0,12675,4040,625,899,498,1210,5403
1984:Q3,59856,10571,19142,14470,15673,0,59856,59856,0,0,12675,4040,625,899,497,1210,5404
1984:Q4,61068,18789,11561,14725,15993,0,61068,61068,0,0,12675,17124,654,899,498,1210,-7710
1985:Q1,58297,8812,17626,15530,16329,0,58297,58297,0,0,18204,13517,-504,1942,348,2767,134
1985:Q2,65523,14102,19950,14852,16619,0,65523,65523,0,0,18204,10571,1569,1942,348,2767,1007
1985:Q3,53503,12256,9309,15001,16937,0,53503,53503,0,0,18204,4307,1094,1942,349,2767,7745
1985:Q4,73705,20457,20943,15063,17242,0,73705,73705,0,0,18204,3848,2059,1942,348,2767,7240
1986:Q1,57840,5757,17590,16337,18156,0,57840,57840,0,0,20437,11953,1266,1403,498,4745,572
1986:Q2,58267,14592,9993,15912,17770,0,58267,58267,0,0,20437,9629,3154,1403,498,4745,1008
1986:Q3,69657,20442,14996,16043,18176,0,69657,69657,0,0,20437,777,742,1403,497,4745,12273
1986:Q4,82514,22586,25324,16101,18503,0,82514,82514,0,0,20437,3567,742,1403,498,4745,9482
1987:Q1,60231,6138,19059,15614,19420,0,60231,60231,0,0,18302,5396,973,1971,1239,3963,4760
1987:Q2,57276,6925,15316,15790,19245,0,57276,57276,0,0,18302,7169,972,1971,1240,3963,2987
1987:Q3,75269,9368,30839,15527,19535,0,75269,75269,0,0,18302,2633,485,1971,1239,3963,8011
1987:Q4,73630,18421,19870,15523,19816,0,73630,73630,0,0,18302,4851,484,1971,1240,3963,5793
1988:Q1,83449,22852,24221,16161,20215,0,83449,83449,0,0,13813,7472,537,2007,1237,2010,550
1988:Q2,75331,17609,20542,16393,20787,0,75331,75331,0,0,13813,7126,536,2007,1238,2010,896
1988:Q3,78170,16501,24355,16329,20985,0,78170,78170,0,0,13813,4348,205,2007,1237,2010,4006
1988:Q4,87420,22970,26738,16276,21436,0,87420,87420,0,0,13813,4157,205,2007,1238,2010,4196
1989:Q1,70880,12161,19820,16623,22276,0,70880,70880,0,0,14235,6095,383,-327,2237,2550,3297
1989:Q2,79538,20229,19235,17197,22877,0,79538,79538,0,0,14235,8484,382,-327,2238,2550,908
1989:Q3,73308,12133,20918,16890,23367,0,73308,73308,0,0,14235,4246,555,-327,2238,2550,4973
1989:Q4,82326,18558,22588,17133,24047,0,82326,82326,0,0,14235,4076,554,-327,2237,2550,5145
1990:Q1,83993,20133,22208,17099,24553,0,83993,83993,0,0,24097,4862,1023,1090,3250,2429,11443
1990:Q2,87410,33781,11273,17266,25090,0,87410,87410,0,0,24097,6529,1022,1090,3250,2429,9777
1990:Q3,81628,11694,27027,17313,25594,0,81628,81628,0,0,24097,4244,582,1090,3250,2429,12502
1990:Q4,80887,16988,20152,17503,26244,0,80887,80887,0,0,24097,3404,582,1090,3250,2429,13342
1991:Q1,72887,3884,24860,17640,26503,0,72887,72887,0,0,23899,4553,1293,1770,0,6486,9797
1991:Q2,90642,14001,30596,18126,27919,0,90642,90642,0,0,23899,4640,1292,1770,0,6486,9711
1991:Q3,88962,13528,28654,18203,28577,0,88962,88962,0,0,23899,934,513,1770,0,6486,14196
1991:Q4,90868,12853,30212,18402,29401,0,90868,90868,0,0,23899,2687,512,1770,0,6486,12444
1992:Q1,84138,8263,27273,18434,30168,0,84138,84138,0,0,20726,-2560,304,1237,750,9415,11580
1992:Q2,96625,17325,29202,18904,31194,0,96625,96625,0,0,20726,-1716,304,1237,750,9415,10736
1992:Q3,100372,20665,28911,18849,31947,0,100372,100372,0,0,20726,-3069,165,1237,750,9415,12228
1992:Q4,96616,45055,-292,18824,33029,0,96616,96616,0,0,20726,-1483,165,1237,750,9415,10642
1993:Q1,118834,25789,42360,18329,32356,0,118834,118834,0,0,21673,-2826,-48,3140,1500,13442,6465
1993:Q2,104316,21095,32328,18272,32621,0,104316,104316,0,0,21673,-3169,-49,3140,1500,13442,6809
1993:Q3,99023,33036,16543,18033,31411,0,99023,99023,0,0,21673,-1928,-88,3140,1500,13442,5607
1993:Q4,84877,15549,18301,17738,33289,0,84877,84877,0,0,21673,-4046,-88,3140,1500,13442,7725
1994:Q1,106868,6313,48715,18139,33701,0,106868,106868,0,0,21388,-2036,-223,3291,3250,6509,10597
1994:Q2,101192,875,48468,17939,33910,0,101192,101192,0,0,21388,-2578,-223,3291,3250,6509,11139
1994:Q3,91394,22080,15609,18823,34882,0,91394,91394,0,0,21388,-1658,201,3291,3250,6509,9795
1994:Q4,58063,-2570,7623,18075,34935,0,58063,58063,0,0,21388,-1124,200,3291,3250,6509,9262
1995:Q1,92846,29989,8507,18990,35360,0,92846,92846,0,0,30538,2151,274,2797,3750,10836,10730
1995:Q2,94610,20478,21042,19256,33834,0,94610,94610,0,0,30538,2978,273,2797,3750,10836,9904
1995:Q3,101403,13677,32167,19160,36399,0,101403,101403,0,0,30538,1252,331,2797,3750,10836,11572
1995:Q4,92082,9966,26400,18555,37161,0,92082,92082,0,0,30538,-1840,330,2797,3750,10836,14665
1996:Q1,91470,8560,26208,19092,37610,0,91470,91470,0,0,33188,34,262,2585,3250,15971,11086
1996:Q2,85531,6464,21349,19690,38028,0,85531,85531,0,0,33188,-523,261,2585,3250,15971,11644
1996:Q3,85124,5213,23053,18697,38161,0,85124,85124,0,0,33188,-702,167,2585,3250,15971,11917
1996:Q4,107785,28508,20865,18890,39522,0,107785,107785,0,0,33188,-1964,166,2585,3250,15971,13180
1997:Q1,95287,14862,14936,18704,46785,0,95287,95287,0,0,37942,-1754,344,11883,-500,21124,6845
1997:Q2,114561,24729,24674,19351,45807,0,114561,114561,0,0,37942,-478,344,11883,-500,21124,5569
1997:Q3,105934,18603,24279,18514,44538,0,105934,105934,0,0,37942,1965,344,11883,-500,21124,3126
1997:Q4,97702,-3295,32637,18935,49425,0,97702,97702,0,0,37942,-5665,143,11883,-500,21124,10957
1998:Q1,130329,17803,46328,18878,47320,0,130329,130329,0,0,47865,-1563,300,6152,6000,21442,15534
1998:Q2,135663,29166,36588,21007,48902,0,135663,135663,0,0,47865,-3865,-688,6152,6000,21442,18824
1998:Q3,128206,22345,34367,18641,52853,0,128206,128206,0,0,47865,1717,48,6152,6000,21442,12506
1998:Q4,106646,381,37161,20649,48455,0,106646,106646,0,0,47865,-2025,675,6152,6000,21442,15621
1999:Q1,79250,2094,5862,19333,51961,0,79250,79250,0,0,54916,-784,370,10201,4500,19987,20642
1999:Q2,93992,7077,14907,20806,51202,0,93992,93992,0,0,54916,-86,371,10201,4500,19987,19943
1999:Q3,94660,-3038,20784,19993,56921,0,94660,94660,0,0,54916,-2268,374,10201,4500,19987,22122
1999:Q4,115273,19674,30244,20548,44807,0,115273,115273,0,0,54916,-3309,-208,10201,4500,19987,23745
2000:Q1,105329,8065,38321,19442,39416,85,105329,104964,363,2,57152,-2367,-82,4878,1000,17024,36699
2000:Q2,110020,24391,18393,20206,46945,85,110020,109658,362,0,57152,4435,-184,4878,1000,17024,29999
2000:Q3,109719,26544,19223,20405,43462,85,109719,109355,362,2,57152,4031,124,4878,1000,17024,30095
2000:Q4,122982,24259,27787,20044,50807,85,122982,122619,363,0,57152,533,586,4878,1000,17024,33131
2001:Q1,118425,52043,-7953,20409,53669,257,118425,117407,1015,3,42466,6201,314,6641,4000,14164,11146
2001:Q2,108757,4565,37664,22154,44117,257,108757,107738,1016,3,42466,-1876,1749,6641,4000,14164,17788
2001:Q3,164414,65358,21821,20101,56877,257,164414,163397,1014,3,42466,-948,1539,6641,4000,14164,17070
2001:Q4,89272,-25689,49782,21929,42994,256,89272,88256,1014,2,42466,-2113,-358,6641,4000,14164,20132
2002:Q1,134371,-14577,79561,21591,47533,263,134371,133350,1019,2,43702,1810,894,20500,2750,8246,9502
2002:Q2,111461,46993,-10033,20445,53793,263,111461,110436,1021,4,43702,2604,699,20500,2750,8246,8903
2002:Q3,125869,53683,-5909,22025,55809,261,125869,124849,1018,2,43702,3562,708,20500,2750,8246,7936
2002:Q4,129621,42609,20639,18836,47274,263,129621,128600,1019,2,43702,-3268,1088,20700,2750,8246,14186
2003:Q1,183124,18477,78940,21238,64102,367,183124,181988,1132,4,40092,3137,1233,1305,-3000,21178,16239
2003:Q2,119132,-5481,46055,22767,55425,366,119132,117997,1131,4,40092,1248,1674,1305,-3000,21178,17687
2003:Q3,114444,4047,25336,23060,61634,367,114444,113309,1132,3,40092,-634,76,1305,-3000,21178,21167
2003:Q4,132100,4333,44487,24814,58100,366,132100,130965,1131,4,40092,-2247,502,1306,-3000,21178,22353
2004:Q1,151243,34409,33927,22869,59387,651,151243,148999,2237,7,43976,266,-83,-550,-3250,21746,25847
2004:Q2,152879,27181,39865,23101,62081,651,152879,150636,2237,6,43976,1784,883,-550,-3250,21746,23363
2004:Q3,187198,42688,57011,25045,61804,650,187198,184955,2236,7,43976,-435,-437,-550,-3250,21746,26902
2004:Q4,158224,16608,60075,25105,55786,650,158224,155982,2236,6,43976,-870,510,500,-3250,21746,25340
2005:Q1,155522,31967,34443,24807,63329,976,155522,154440,1066,16,51605,510,15,7050,1500,21316,21214
2005:Q2,159447,32995,40547,25077,59854,974,159447,158368,1063,16,51605,866,1122,7050,1500,21316,19751
2005:Q3,133509,4177,45271,24741,58345,975,133509,132429,1065,15,51605,1580,-23,7050,1500,21316,20182
2005:Q4,156431,28260,41959,23905,61333,974,156431,155352,1063,16,51605,4448,518,7050,1500,21316,16773
2006:Q1,162690,11470,35764,24132,89655,1669,162690,157865,4793,32,61862,3249,487,3058,8500,26568,20000
2006:Q2,158159,26891,37357,24045,68198,1668,158159,153335,4791,33,61862,4494,1237,3058,8500,26568,18005
2006:Q3,138469,14693,35191,23679,63237,1669,138469,133644,4793,32,61862,7703,1185,3058,8500,26568,14848
2006:Q4,123425,2266,34047,24242,61202,1668,123425,118602,4791,32,61862,15109,1013,3058,8500,26568,7614
2007:Q1,132094,7555,35039,24286,63622,1592,132094,129854,2226,14,73337,5311,1613,12262,7000,33000,14151
